V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T,BGR_HFCE,BGR_NPISH,BGR_GGFC,BGR_GFCF,BGR_INVNT,BGR_DPABR
BGR_A01_02,517.5104,0.1588,0.5186,1.877,0.1234,393.6718,8.0622,81.4171,13.0243,7.0893,27.1379,2.7519,3.9594,4.2491,11.8031,4.9732,1.3438,2.9953,4.5572,2.9522,0.8052,4.1287,6.5006,2.6428,23.2872,60.8972,11.9055,0.3037,1.0343,6.6362,0.6152,6.4112,1.2513,3.3041,8.5204,1.7263,7.1902,7.122,13.3961,2.9926,0.448,5.2451,3.8157,3.1912,0.0,701.385,0.1912,19.2081,65.6102,31.6835,0.0
BGR_A03,0.5002,4.7967,0.002,0.006,0.0004,16.6622,0.0299,0.0288,0.0096,0.0183,0.0646,0.0151,0.0107,0.0345,0.0344,0.2371,0.0327,0.0094,0.0126,0.0074,0.002,0.037,0.0181,0.0083,0.2569,5.0924,0.1108,0.0053,0.0032,3.464,0.0011,0.553,0.0052,0.0109,0.0481,0.008,0.022,0.0523,0.1517,0.2878,0.0194,0.0205,0.0654,0.0885,0.0,30.5634,0.0129,2.2536,0.0814,1.1608,0.0
BGR_B05_06,5.6308,0.0498,0.8932,0.8383,0.0362,5.0836,0.5151,1.9549,0.4181,22.8164,3.4081,0.731,0.463,7.7894,9.6683,0.2498,0.079,0.3406,0.6291,0.1499,0.0628,1.0137,57.5926,0.4528,192.2267,22.5687,50.9424,0.3233,0.1419,0.6854,0.0929,0.8544,0.1275,0.0808,5.2321,0.8823,0.9454,0.6256,8.1622,0.1871,0.2458,0.6744,0.373,12.3259,0.0,43.7092,0.0,0.3431,6.6776,7.8614,0.0
BGR_B07_08,1.4649,0.0468,0.036,93.9745,0.2886,43.7771,0.3222,0.1586,1.3234,0.7969,55.0186,11.1203,0.4354,2.9741,143.4366,16.0263,1.0618,0.845,25.0464,1.902,0.6106,3.0292,2.6838,6.0698,234.2209,12.5461,2.265,0.0318,0.314,4.661,0.9829,12.9764,1.6076,0.6803,0.2575,0.2162,10.1752,5.2687,7.5422,0.3983,0.1363,9.1852,5.1745,0.3899,0.0,19.1766,0.0023,1.8939,36.2701,15.1866,0.0
BGR_B09,0.2128,0.0568,1.675,9.4109,1.2288,0.097,0.0101,0.0031,0.0991,10.9958,0.4044,0.0103,0.0438,1.4263,4.8247,0.1509,0.0005,0.0064,0.0247,0.0008,0.0024,0.0115,0.8734,0.1516,4.3688,0.0366,0.5061,0.0089,0.0232,0.1379,0.0014,0.0061,0.0019,0.0,0.0002,0.0014,0.1475,0.0759,0.038,0.0372,0.002,0.0055,0.0184,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR_C10T12,31.0477,0.1186,0.0246,0.5013,0.0199,1122.1474,0.3665,0.0848,0.0696,0.1505,0.9714,0.4758,0.1905,0.2684,0.1982,0.2485,0.1141,0.0824,1.0891,0.087,0.061,0.5322,0.2683,0.0406,2.5032,27.2495,1.3507,0.3917,0.2356,0.607,0.128,188.8477,0.1232,0.1502,0.7142,0.1146,2.1052,4.2469,3.5101,2.9056,0.7853,8.0992,6.4957,0.9382,0.0,3051.5924,0.0001,0.0367,0.5099,95.2821,0.0
BGR_C13T15,3.6617,0.0305,0.1052,0.6309,0.0885,3.5718,240.2139,0.682,1.7077,1.2894,1.436,5.5178,4.452,1.1754,3.4339,2.0349,0.3346,0.8269,1.078,100.2111,0.2689,5.6567,3.5915,1.5449,8.0203,40.6227,3.5356,0.0489,0.3598,3.6325,0.0965,1.8817,0.9055,0.6992,0.4232,0.4682,7.9723,3.0903,6.9081,7.4969,0.0906,1.7481,3.3312,8.598,0.0,452.2249,0.0003,0.4165,7.5588,28.3841,0.0
BGR_C16,5.7757,0.0275,0.0841,0.6954,0.0329,5.8038,1.5826,75.4842,1.0948,1.9421,7.9727,0.2779,1.8802,0.9476,3.0488,2.4626,0.3267,2.669,1.7257,0.6808,0.2592,22.2502,1.3422,0.7426,14.9163,15.6348,2.6419,0.034,0.1515,3.4752,0.276,0.7035,0.9714,0.157,0.5138,0.2846,6.5287,1.1288,1.1145,0.5228,0.066,0.353,0.4142,1.3204,0.0,75.0686,0.0089,0.5158,4.7781,5.6064,0.0
BGR_C17_18,3.6996,0.0475,0.1971,0.5722,0.0645,47.6036,2.9288,1.7493,213.7193,2.3053,13.898,3.6873,3.4331,7.1077,3.7483,3.2324,3.5528,1.765,5.8349,0.8981,2.3576,11.5726,1.653,1.2393,5.2616,102.5928,3.7169,0.0455,0.4332,2.7911,2.8527,4.6324,21.9647,1.1497,10.8844,41.7436,2.5051,59.8074,10.5646,56.0259,2.6521,10.5717,8.7842,85.1796,0.0,99.6963,0.0066,0.5158,2.0524,15.4454,0.0
BGR_C19,133.3632,1.2405,0.6134,35.881,0.9362,41.5041,3.9349,6.0839,2.2456,31.7101,11.0082,2.0787,3.3437,19.6646,60.0099,9.3462,0.6525,2.1741,3.2879,0.9406,0.4913,6.7315,17.779,16.7598,133.411,148.8779,600.5993,11.2544,43.6783,19.9242,9.6973,7.6317,1.1419,3.2965,2.9372,4.5287,10.3879,6.0263,18.9825,1.5445,1.3321,4.7419,2.7559,3.6345,0.0,502.3579,0.0006,0.5845,1.2029,39.5481,0.0
BGR_C20,86.862,0.0507,0.1135,4.6255,0.2955,43.2425,7.64,5.5681,16.2317,102.6522,88.6748,6.8808,22.3184,6.9267,7.8565,10.7249,0.9585,9.802,3.4633,2.0696,1.717,20.226,3.887,2.2881,19.1753,39.3901,5.6111,0.112,11.6784,2.918,0.3964,2.8032,1.9759,1.1729,3.8331,1.1288,3.1107,6.0391,8.8004,2.397,0.3556,7.9376,2.5352,10.4048,0.0,139.7415,0.0043,19.8308,8.0933,11.9829,0.0
BGR_C21,3.3577,0.002,0.0119,0.333,0.0138,1.3134,1.6303,0.6667,1.1625,3.0032,2.3258,2.2061,0.6068,0.7766,1.0608,0.5733,0.2353,1.055,0.7899,0.1618,0.1496,0.7484,0.2031,0.1553,0.7991,1.8362,0.3779,0.0093,0.3294,0.1134,0.0138,0.141,0.4386,0.0653,0.3686,0.1434,0.1304,1.5494,0.5426,0.1609,0.0796,4.1899,0.7968,0.3978,0.0,137.8122,0.0066,53.6166,1.6856,4.5339,0.0
BGR_C22,7.9488,0.4001,0.5623,8.5353,0.2309,95.1891,4.7765,0.6236,9.1317,3.0763,2.4651,1.6566,463.6716,7.0465,52.2231,18.2543,1.065,22.7371,15.4112,2.5457,3.8289,27.6156,2.707,16.5889,92.5999,83.0389,30.8823,0.0652,0.3319,5.7345,0.429,2.7484,0.878,0.4898,1.3501,0.7861,3.3784,6.0814,3.509,24.235,0.2468,9.4352,1.519,1.7478,0.0,171.2066,0.0027,0.8524,16.438,26.0945,0.0
BGR_C23,14.5732,0.1498,0.1265,17.7702,0.474,39.4997,4.1735,1.7107,2.0879,10.6483,8.7901,1.6746,8.3489,288.071,10.1711,6.2643,2.2872,8.1571,9.7161,1.9653,0.9044,5.0611,5.868,9.5484,500.8843,47.8594,11.9638,0.2065,1.228,10.1223,0.3823,4.6356,0.8429,1.0619,2.2078,1.2974,20.4247,6.1401,9.0053,3.6502,0.5106,5.0323,2.751,7.431,0.0,231.0381,0.0032,4.514,38.4738,29.4663,0.0
BGR_C24,0.8803,0.1488,0.0343,3.4536,0.2486,1.5508,0.3347,0.4186,13.9154,0.0387,0.2561,0.0561,0.089,8.6659,1350.9445,157.7043,3.1973,209.4382,83.5197,34.569,45.5779,9.6151,1.8133,5.2664,49.4789,148.123,0.7386,0.0059,0.0007,1.7471,0.0248,4.0096,0.2097,0.2183,0.0258,0.1178,0.491,6.9976,8.0889,2.419,0.1455,0.8065,0.2358,1.0416,0.0,1.3131,0.0,0.0,3.5274,102.0273,0.0
BGR_C25,12.298,0.3637,0.7641,7.099,0.868,19.5592,5.8232,1.8047,2.0075,8.8349,6.5987,9.7727,12.8387,6.1165,82.3193,311.8138,4.8508,72.0973,236.7043,13.9016,26.9042,39.7387,7.0061,6.7274,150.0609,79.0949,23.8162,0.15,2.2593,11.5102,0.4092,3.8825,1.0076,1.5813,3.1381,1.4512,9.9689,15.6625,10.871,2.5354,0.4288,5.5419,2.6824,4.4939,0.0,157.5978,0.0072,2.7575,226.6874,30.4918,0.0
BGR_C26,0.593,0.0084,0.016,0.22,0.0515,1.1416,0.3248,0.0985,0.1443,0.6116,0.1695,0.1275,0.6463,0.2566,1.6688,3.0035,33.1402,2.4577,4.2835,5.8013,0.2644,13.7577,0.6437,0.2269,4.9252,9.7861,0.7756,0.0507,0.1451,1.2547,0.3359,1.0103,1.0521,5.9465,39.8752,1.6023,1.3662,5.9833,4.7321,7.6585,0.2075,1.2286,2.761,1.7015,0.0,122.3975,0.0042,3.4603,83.9032,6.6135,0.0
BGR_C27,4.098,0.0329,0.2383,1.4375,0.1842,6.2029,1.2245,0.457,0.6823,6.2953,1.1546,1.5338,3.2283,1.518,18.7099,7.166,1.8696,201.498,11.4921,59.6054,0.5908,17.8561,12.5318,0.8448,77.4389,19.4065,3.28,0.0603,0.7024,4.9629,0.2025,1.3743,0.6436,0.7797,3.5722,0.5133,17.0572,9.5242,2.8812,3.8166,0.1503,1.9392,1.7321,1.4208,0.0,203.3319,0.003,3.3168,147.9926,22.4813,0.0
BGR_C28,3.7747,0.0388,0.0807,2.2007,0.4499,6.7215,1.2441,0.2731,0.8667,4.8967,1.1666,1.6848,1.7706,16.7589,16.656,8.8478,2.8226,18.0802,28.7484,4.6024,0.9663,7.9393,4.2614,2.0137,61.5648,23.939,5.9053,0.1736,1.3798,4.4743,0.6432,2.2554,1.044,2.0471,5.4495,1.4089,6.0184,7.7865,4.4018,1.4861,0.3875,2.7689,1.9747,1.6032,0.0,53.3345,0.0075,16.1736,378.9116,14.2661,0.0
BGR_C29,0.825,0.0412,0.0167,0.2515,0.0469,0.9971,0.345,0.1807,0.1045,0.4414,0.1668,0.7148,0.2343,0.2346,1.656,1.5957,7.2052,3.8021,1.1843,47.0571,4.6556,13.795,0.4874,0.7804,4.3392,51.6065,52.7157,0.0346,1.0156,1.2135,0.4067,1.2165,0.5753,1.095,7.8033,1.4339,2.32,2.6728,3.6973,1.7819,0.4193,0.4699,1.2501,0.5268,0.0,250.0073,0.0018,5.6449,244.2874,13.5249,0.0
BGR_C30,1.8367,0.011,0.0658,1.4382,0.0059,0.6622,0.0472,0.0418,0.0124,0.0425,0.0321,0.0138,0.0249,1.1256,0.0846,0.1498,0.4733,1.7164,2.6279,0.4275,38.8667,0.2969,0.0504,1.3063,2.8099,17.0247,79.5778,4.1191,8.6042,1.4915,1.9233,0.5496,0.1015,0.0318,0.3688,0.1395,0.8509,0.7769,5.3578,30.1414,0.0852,0.0421,0.1898,3.4149,0.0,73.6874,0.0,23.6373,22.1413,2.1277,0.0
BGR_C31T33,11.7795,0.1733,0.1379,1.3742,1.4459,38.8963,7.5465,3.1335,3.5408,59.5074,5.5267,7.52,10.029,7.7499,197.9784,11.6029,14.3153,19.1167,13.9885,11.1001,7.7802,144.0145,21.5607,4.8675,96.0252,66.5458,13.7648,0.199,1.4587,8.9624,1.1414,18.5005,2.9175,5.5484,18.1128,14.7062,17.4218,20.1403,12.2014,2.8103,1.2379,13.0211,9.6932,5.1375,0.0,353.0519,0.0061,13.1099,106.847,5.8723,0.0
BGR_D,20.6633,0.0699,41.4021,69.1916,0.8724,184.8613,35.2986,21.9833,29.3315,40.9501,114.4765,64.0441,33.471,98.5712,282.1553,60.5879,17.3933,24.1221,50.89,9.3873,3.4539,21.3635,159.357,99.6026,31.848,200.434,72.7073,2.6019,0.8084,65.6606,1.176,71.1632,4.2596,58.7407,16.047,21.6788,137.9493,10.4522,11.1682,73.187,0.959,52.2807,16.5684,13.6117,0.0,1099.9777,0.0029,5.2802,17.1451,1.7927,0.0
BGR_E,24.6502,0.1828,0.2451,7.0727,0.2574,58.8145,7.1708,21.2069,68.6421,3.6122,11.5078,3.3093,3.8311,20.9314,62.3728,6.2832,1.3778,8.5963,4.9221,1.6413,1.2215,5.0019,15.9268,65.6088,16.6602,51.3035,8.6499,0.5492,0.5339,5.6275,0.6144,35.732,0.4784,2.5313,1.8894,2.1317,16.5165,6.8524,8.5092,16.5179,0.5053,9.5838,4.6938,29.3672,0.0,490.0674,0.0005,61.8993,6.1413,0.6773,0.0
BGR_F,67.9451,2.6436,1.7775,24.4391,1.1176,69.9542,12.2037,7.0548,6.3524,22.5166,11.9377,22.102,12.2221,64.3175,186.5443,46.5201,15.6248,34.8707,54.8997,16.6342,17.7111,33.3865,53.7438,57.4991,1261.8787,311.9098,41.0905,0.7538,4.1888,114.0782,4.3346,75.829,29.8363,26.8625,26.7717,51.8851,551.6587,80.222,128.6824,48.0783,31.0252,169.9778,65.2668,10.1989,0.0,233.4502,0.0721,42.0192,5807.0473,7.9228,0.0
