V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T,TUN_HFCE,TUN_NPISH,TUN_GGFC,TUN_GFCF,TUN_INVNT,TUN_DPABR
TUN_I,0.0,0.0,0.1151,0.2961,0.7352,0.3265,3.7268,0.0577,0.1048,0.0213,0.0097,0.0066,0.0471,0.1615,0.0892,0.3315,0.2151,0.1682,0.2524,0.0,0.0,0.0,12.3893,0.024,1.0701,1.6504,10.1835,1.38,8.79,4.4898,0.0,0.0439,0.5383,0.0,0.1549,18.999,0.0564,0.2625,0.2396,17.4989,0.3769,0.6522,0.6545,0.6578,0.0,1839.1362,0.8001,0.0,0.0,0.0004,0.0
TUN_J58T60,0.3301,0.0528,0.4923,0.3665,0.2382,5.402,12.571,1.777,5.6277,0.0062,0.5942,0.4454,1.1869,0.601,0.3355,1.2717,2.2892,1.2389,1.2201,1.2638,0.6669,1.855,0.0927,0.8282,2.3829,8.2499,0.9393,0.1968,0.5065,0.7959,0.2418,0.1965,27.5008,0.5723,3.9697,5.465,1.1313,12.1371,2.7607,7.0142,0.4826,0.1689,0.8298,0.344,0.0,184.0274,6.7591,0.0,9.1127,0.0287,0.0
TUN_J61,2.2156,0.3076,15.5899,1.011,0.7809,7.241,89.7946,0.507,0.9724,0.0162,1.1178,0.7189,0.6705,4.8191,3.0436,11.7051,13.6132,6.0254,10.7883,6.7861,2.8062,1.2935,1.483,0.1607,16.4507,31.5841,3.2867,0.4821,0.7889,1.8639,0.3222,2.0452,5.2412,5.608,24.1583,22.4542,9.4677,33.9972,15.9659,70.4327,1.1047,2.0639,3.9782,2.612,0.0,700.9478,0.2264,0.0,0.0,0.5739,0.0
TUN_J62_63,1.4827,0.2503,4.2876,1.4681,0.6274,5.998,22.4412,0.3572,0.9826,1.1336,0.3068,0.2016,0.5021,1.0792,0.6832,2.504,5.3334,1.9033,2.5791,2.7361,0.9318,1.0618,1.5579,0.163,12.2601,2.1359,3.213,0.6418,1.8263,2.507,1.6938,0.4947,2.7742,7.0595,13.6803,9.9228,1.3746,5.8234,2.1923,12.7941,0.1879,0.3338,0.8115,0.4465,0.0,549.2447,0.2455,0.0,14.4927,0.2003,0.0
TUN_K,95.2104,6.9271,32.5339,10.6509,5.3678,70.7555,102.6786,5.8138,10.671,1.0482,13.2779,5.96,7.7876,21.3732,11.2214,26.4768,29.4327,16.0256,22.0841,22.8905,7.6118,9.4622,4.7424,5.321,87.284,76.4263,52.3864,12.1103,15.4276,24.6383,4.347,39.8711,7.9069,10.9953,36.6262,57.4773,92.0458,81.1006,66.9431,58.608,1.0878,1.8824,3.54,2.6865,0.0,577.253,3.1261,0.5905,2.5618,0.3746,0.0
TUN_L,3.1387,0.3835,3.6081,1.5486,0.8759,11.191,28.5243,0.8486,1.8126,1.1523,0.351,0.2002,1.2017,1.6593,1.1773,5.4753,4.1044,2.5697,3.6185,2.7614,1.1436,3.5573,1.0768,0.1581,24.8015,6.1656,5.0214,0.6017,1.0227,4.6762,2.0441,1.4678,2.2408,6.3531,4.0751,8.0433,11.8946,12.7128,5.9556,22.012,0.7858,1.3245,2.1071,1.5991,0.0,1595.9317,3.2694,0.0,8.9186,0.0101,0.0
TUN_M,10.6443,1.2818,15.3841,5.7459,11.6461,44.0341,65.1736,2.2592,4.9411,5.1907,2.3931,2.4357,3.4484,5.0937,3.8105,10.7601,19.3861,11.4119,12.7556,14.7554,3.9225,6.2998,3.7747,0.609,72.3202,9.3022,9.7339,2.4283,3.7714,7.3232,2.8672,1.6664,9.2998,12.3428,14.1614,23.1438,9.5687,69.285,13.2633,41.4077,1.0093,1.5856,5.1655,3.1376,0.0,809.9625,2.6365,0.0,68.5031,0.4065,0.0
TUN_N,6.1891,0.8016,8.1495,3.8592,10.9857,19.606,36.1756,1.4903,2.8904,2.792,0.9896,0.6949,1.9826,3.6436,2.2226,8.4148,9.6738,5.1121,6.7354,6.8041,2.6229,5.0743,2.7353,0.5474,49.4635,6.2587,12.5066,2.9899,5.1378,8.8246,5.0906,1.436,4.9646,10.4233,11.2147,13.6221,11.8016,24.7378,20.1822,37.3765,0.9895,2.0649,3.7206,1.9705,0.0,788.5747,1.9555,0.0,9.8211,0.2042,0.0
TUN_O,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9057,0.3546,7491.4994,0.0,0.001,0.0
TUN_P,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2736,0.219,78.5287,0.0,0.0,0.0
TUN_Q,0.0,0.0,0.0,0.0,0.0006,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2531,0.6087,80.934,0.0,0.0,0.0
TUN_R,0.0,0.0,0.0004,0.001,0.019,0.0035,0.007,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0002,0.0094,0.0025,0.0042,0.0025,0.0015,0.0033,0.0013,0.0012,0.0007,0.0022,0.0058,0.0062,0.0029,0.0237,0.0134,0.0017,0.0001,0.0001,0.0033,0.0002,0.0,16.5401,29.8292,0.0,0.0,0.0348,0.0
TUN_S,0.0,0.0,0.0006,0.0025,1.8725,0.0055,0.0114,0.0001,0.0002,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0003,0.0179,0.0062,0.0065,0.0014,0.0026,0.0042,0.0028,0.0013,0.0002,0.0051,0.0151,0.0147,0.0088,0.0261,0.0118,0.0026,0.0001,0.0001,0.0002,0.0004,0.0,14.9082,71.2256,0.0,0.0,0.0,0.0
TUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.3269,0.0,0.0,0.0,0.0,0.0
