V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_A01_02,2590.6405,32.6494,0.0,0.0,0.492,14536.4016,826.2916,1431.8139,939.5421,0.3344,0.4373,4.3647,1744.84,4.405,3.7994,10.2967,48.0148,3.4088,24.8175,10.0548,775.728,90.3848,0.0,0.0,0.0,1569.7792,0.0,0.0,0.0,0.0,0.0,975.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3062,38.0237,4.3965,0.0,0.0,0.0,9211.6192,0.3795,0.0,1152.7653,-0.3837,0.0
MYS_A03,1.2691,31.5302,0.0,0.0,0.0004,728.4106,0.2268,0.0032,0.005,0.0001,0.0001,0.0805,0.479,0.0012,0.001,0.0028,0.0132,0.0009,0.0068,0.0028,0.0003,0.0168,0.0,0.0,0.0,176.5947,0.0,0.0,0.0,0.0,0.0,860.3574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0104,0.0012,0.0,0.0,0.0,2549.7811,0.0771,0.0,0.3164,0.0237,0.0
MYS_B05_06,17.824,0.5291,2563.3012,3.7937,31.5089,308.3444,0.3543,0.2897,0.3894,16254.0063,1227.3092,0.4218,2.8354,14.0498,1.0932,0.6684,0.8676,0.8439,2.1126,3.5307,0.0725,4.7417,1501.5115,0.1438,238.7961,29.6647,3.0736,0.1098,1.1827,2.0778,0.2497,0.447,0.2252,0.1287,0.1014,0.1231,1.9178,0.2783,0.2812,0.341,0.1037,0.1168,0.2981,0.0334,0.0,55.3964,0.0,0.0,0.0,-29.4166,0.0
MYS_B07_08,4.0177,0.0,0.2709,0.2834,44.692,0.3097,0.2766,0.0107,5.2411,1.0814,11.045,0.569,11.4301,728.6097,407.509,18.0501,5.898,12.5172,32.9384,24.2489,5.7235,64.8312,19.9574,0.0,1086.5584,3.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4448,-0.1125,0.0
MYS_B09,11.1997,31.804,2592.1043,116.3744,577.2257,3.029,0.0683,0.3333,6.2549,860.7189,70.2304,0.1808,3.4908,70.0267,57.6909,11.3022,0.2436,0.2786,0.5136,0.0541,0.0625,0.235,24.6471,3.2121,122.5098,1.1439,7.0213,0.8917,3.3621,7.6446,0.0176,0.3945,0.1491,0.0,0.0019,0.4289,4.2609,2.873,1.9063,1.8618,0.4139,0.167,0.3637,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS_C10T12,2547.8624,462.0575,3.439,10.4791,3.1634,17478.8791,46.1265,2.1409,4.8677,26.7538,263.6613,6.6149,49.0805,5.6767,5.5276,18.3784,4.4731,3.3889,2.4549,1.1631,0.5264,1.9742,4.8512,0.6332,8.9428,2992.7636,6.4588,0.3757,2.4816,4.781,0.5801,5214.8878,0.6114,0.2724,0.2141,0.2634,4.0924,0.735,0.5985,296.8449,80.0063,192.9355,108.5888,0.2026,0.0,20420.8282,1.0297,0.3339,1.4818,-30.2654,0.0
MYS_C13T15,2.8609,0.2183,0.3604,0.1975,2.6383,76.9701,687.0403,3.5443,65.2881,0.2965,12.0164,10.1516,35.762,8.9175,3.6067,4.0246,10.3857,4.8331,7.3027,44.6414,2.8112,43.4544,0.1967,1.0744,6.5769,475.9098,3.6118,0.5281,0.4534,3.9759,6.7133,26.7938,1.7339,1.6286,5.0336,70.0398,0.6613,2.5239,6.3435,68.4493,4.6271,6.16,1.6841,0.4386,0.0,1937.3498,0.147,0.5037,1.2846,-3.7001,0.0
MYS_C16,33.389,2.6832,0.8237,0.9136,2.0548,29.3357,19.9698,1493.0671,101.6142,1.9524,77.4573,0.2553,27.5878,51.1285,64.0559,82.9316,178.3019,15.2504,22.8662,12.352,33.1883,706.6191,0.0606,0.1437,1787.2714,4.3928,0.0502,0.209,0.0067,0.059,0.034,0.0452,0.0218,0.0538,0.0834,0.2516,0.0441,0.0675,0.1331,6.5889,1.3903,0.4263,0.8765,0.0157,0.0,134.3327,0.0535,0.0,2.0554,-20.7847,0.0
MYS_C17_18,1.2098,0.1074,39.0513,3.8387,3.259,115.5522,18.2209,36.6412,1104.9431,0.9616,53.765,3.8563,52.9754,37.364,39.2346,33.5085,141.9266,9.6792,10.231,13.0973,2.9583,32.4792,0.2783,0.3163,2.9585,644.1762,55.728,44.3785,2.7987,76.2288,25.9925,111.408,69.8113,81.0332,111.6317,335.3238,25.3839,154.1076,104.0891,117.8821,263.6238,48.8233,25.1712,6.4119,0.0,2903.4037,0.1125,0.0,1014.2972,-197.3751,0.0
MYS_C19,556.292,332.1564,137.0528,190.5529,76.3407,668.9407,104.4997,161.1749,185.5183,730.5595,4324.9424,9.5315,302.1279,551.8654,607.1028,405.969,249.3728,54.8889,64.4842,54.8854,40.3217,157.379,1446.9109,91.7545,1803.2139,1536.4028,1926.5627,68.8202,741.3334,1304.5055,156.7727,286.0065,141.853,80.6512,63.5311,77.19,1202.4506,175.1641,176.2799,213.4896,65.0945,73.5839,186.8421,21.3755,0.0,5786.8794,0.0025,0.006,0.0,8.4355,0.0
