V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T,SEN_HFCE,SEN_NPISH,SEN_GGFC,SEN_GFCF,SEN_INVNT,SEN_DPABR
SEN_A01_02,387.0008,0.044,0.0031,0.0697,0.0025,1052.4039,9.6334,9.2437,0.0297,0.0132,0.0657,0.0126,0.0108,0.3351,0.0088,0.0313,0.0012,0.0167,0.0064,0.0004,0.1465,1.7311,0.1418,0.0458,1.2678,33.8846,5.9044,0.0026,0.0145,0.0556,0.0003,89.7827,0.0062,0.111,0.0102,0.0478,0.0087,0.1485,0.0421,5.4019,1.823,4.8161,0.1202,0.2228,0.0,2544.9035,0.0,0.0031,151.6955,48.5924,0.0
SEN_A03,0.4689,12.7577,0.0027,0.0601,0.0022,150.5214,0.1221,0.0343,0.0254,0.0113,0.0561,0.0041,0.0092,0.1175,0.0075,0.0267,0.001,0.0143,0.0055,0.0003,0.016,0.0313,0.121,0.0307,0.4678,0.1441,0.0755,0.0022,0.0124,0.0551,0.0003,4.3567,0.0053,0.0951,0.0088,0.0415,0.0103,0.1276,0.0363,1.5169,0.1877,0.0836,0.0035,0.0059,0.0,232.9396,0.0,0.0026,2.1473,4.3513,0.0
SEN_B05_06,0.0,0.0,3.2082,7.0052,0.016,2.7796,0.0,0.0002,0.0,3.9175,34.7608,0.0,0.0,13.9754,0.0038,0.0236,0.0,0.0,0.0,0.0,0.0,0.005,0.6972,0.2579,15.3615,0.0735,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1633,0.0,0.0,0.14,0.653,0.0
SEN_B07_08,0.5144,0.069,0.6883,17.667,0.0871,5.0493,0.207,0.0627,0.0465,0.0207,92.3539,0.0055,0.0169,46.7716,143.052,0.1129,0.0018,0.0262,0.0101,0.0006,0.0295,24.463,0.2222,0.3187,76.5078,0.2897,0.1319,0.0041,0.0227,0.0857,0.0005,0.2885,0.0098,0.1736,0.016,0.0741,0.0108,0.2318,0.0656,0.2262,0.1105,0.0807,0.0211,0.5069,0.0,16.0774,0.0,0.0048,13.5331,102.7501,0.0
SEN_B09,0.0122,0.0016,1.3078,28.1733,0.3346,0.0393,0.0049,0.0015,0.0011,0.0005,0.0025,0.0001,0.0004,0.005,0.0003,0.0012,0.0,0.0006,0.0002,0.0,0.0007,0.0014,0.0053,0.0013,1.6314,0.0039,0.0031,0.0001,0.0005,0.002,0.0,0.0063,0.0002,0.0041,0.0004,0.0018,0.0003,0.0055,0.0016,0.0054,0.0026,0.0019,0.0001,0.0002,0.0,0.2283,0.0,0.0001,46.1131,0.005,0.0
SEN_C10T12,114.8999,5.2609,0.0691,1.1656,0.0397,368.335,7.2778,0.5849,0.415,0.2183,1.1501,0.755,0.2101,3.0739,0.1405,0.4852,0.0162,0.2368,0.0953,0.0063,0.2969,0.5641,1.8751,0.8611,7.3001,34.2732,3.3389,0.0339,0.1924,4.4205,0.0065,129.4726,0.0928,1.785,0.1534,1.2574,0.1685,2.2234,0.637,18.9597,2.9436,6.4367,0.2813,0.4463,0.0,3508.2835,0.0,0.436,24.7697,49.3278,0.0
SEN_C13T15,1.7503,0.0424,0.0024,0.0512,0.0023,1.2435,62.112,2.2576,0.0253,0.0024,0.0561,0.0044,0.0252,0.1028,0.0011,0.0098,0.0007,0.0103,0.6756,0.0002,0.0681,0.6607,0.1349,0.1991,0.2861,0.1361,0.0824,0.0022,0.0116,0.0376,0.0003,1.3891,0.0072,0.0774,0.009,0.0468,0.0067,0.1503,0.6535,9.866,6.7704,2.1643,0.1253,0.3256,0.0,574.1431,0.0,0.0025,2.1428,9.8084,0.0
SEN_C16,0.0083,0.0362,0.002,0.0307,0.0013,10.5881,0.6757,16.0409,0.0862,0.0002,0.0435,0.0012,2.968,0.0075,0.2492,6.0159,0.0,0.0006,0.001,0.0264,13.9146,18.6665,0.0065,0.0954,27.5385,0.0411,0.0664,0.0008,0.017,16.9721,0.0007,0.0106,0.0005,0.0351,0.0294,0.1893,0.0038,1.3117,0.0397,1.0619,0.835,0.2837,0.0202,0.0381,0.0,64.9569,0.0,0.0001,6.3381,1.8573,0.0
SEN_C17_18,0.4278,0.288,0.0402,1.9252,0.2027,15.0758,0.2444,0.1726,15.3174,0.24,2.5803,0.2447,0.2316,13.9005,0.0015,0.0312,0.0093,0.0239,0.1981,0.0269,0.0201,0.2585,0.4153,3.6717,2.5291,10.4756,2.1107,0.0574,1.6106,3.2571,0.0774,0.9992,4.6995,5.0357,3.7413,16.0458,0.6187,13.4858,5.7483,17.287,15.7552,5.2389,0.5524,0.718,0.0,18.6607,0.0,0.0,0.0188,2.1385,0.0
SEN_C19,3.7917,9.939,0.4505,11.4243,0.6824,12.3376,0.2971,0.2589,0.172,0.204,12.2009,0.1054,0.2598,9.142,0.0101,0.0978,0.0028,0.0824,0.0811,0.0118,0.0262,0.3616,49.9362,3.7116,19.0396,12.1656,26.1415,0.6372,2.1817,5.4095,0.0212,0.6034,0.1317,2.7914,0.3167,2.7845,0.7072,13.7298,2.4831,13.9379,1.5309,3.5796,0.1378,0.2699,0.0,32.643,0.0,0.0,0.0,3.2291,0.0
