V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T,ARG_HFCE,ARG_NPISH,ARG_GGFC,ARG_GFCF,ARG_INVNT,ARG_DPABR
ARG_A01_02,7093.5057,12.6976,0.8651,2.8701,0.0,20572.6444,478.1061,117.7472,44.1526,8.7476,36.8921,14.0781,5.3252,1.4777,0.621,1.8072,0.144,0.0188,0.9344,2.1163,0.0742,1.5688,2.5632,2.8494,67.2681,135.8397,22.115,0.054,0.2131,1.9654,0.2284,789.9836,1.1077,7.7291,0.8086,1.9795,29.4794,30.4411,47.7771,42.0887,21.7662,13.5065,0.2006,10.5942,0.0,5135.6434,0.0,0.0,948.8118,1740.179,0.0
ARG_A03,0.0,65.5517,0.0186,0.0,0.0,306.9339,0.0,0.0,0.0165,0.5024,1.0784,0.3636,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.1422,0.0,0.0,0.0,0.1403,0.0142,0.0,0.0,0.0072,0.0,75.7502,0.0474,0.0,0.0,0.0,0.001,0.1102,0.4752,0.0,0.0,0.4612,0.0331,0.6865,0.0,245.8521,0.0,0.0,0.0,67.9522,0.0
ARG_B05_06,8.9094,0.0529,147.4795,11.7133,16.2799,18.5212,1.4532,0.8709,2.1615,5361.6878,72.0906,81.9613,2.6371,1.9823,20.5727,1.3804,1.0348,0.4041,3.283,3.1307,0.1933,0.9028,1964.0443,11.5441,264.6361,50.7069,89.8223,0.2492,0.9623,7.547,0.9484,14.2083,1.8077,34.7825,3.66,27.9804,118.2726,19.8843,49.5845,51.827,16.4403,34.5676,0.083,3.9211,0.0,302.4614,0.0,0.2858,2687.2768,301.8942,0.0
ARG_B07_08,0.963,0.0004,32.8632,154.1856,0.0,196.4411,4.3678,0.0425,13.9015,331.8582,60.3965,103.0172,0.3265,456.7137,247.8475,4.3607,0.0786,0.0884,0.7678,2.7496,0.1975,0.7387,0.0011,1.8731,353.2722,0.0057,0.0828,0.0011,0.0,0.0159,0.0,5.1202,0.0007,4.239,0.0,0.0,46.0266,0.7456,23.0639,8.2808,0.0998,0.2514,0.0154,0.7365,0.0,127.6225,0.0,0.0,0.0,104.2757,0.0
ARG_B09,0.0,0.0,2534.46,95.3887,99.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.0,24.3031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0038,34.2973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1549,0.0,0.0
ARG_C10T12,1847.3562,17.3929,11.694,14.5141,4.2948,8313.5801,39.6444,8.1441,77.8543,40.738,213.1967,223.3736,33.8128,70.5513,56.7343,24.6814,12.7549,11.5346,22.1283,41.0026,1.7651,21.1995,22.3588,35.8834,97.2875,239.9714,39.207,0.4007,37.9155,7.5682,1.4029,2559.738,18.7857,128.049,28.8082,35.8609,14.8536,53.13,50.273,297.8658,151.2452,345.6088,3.793,63.9308,0.0,37372.9553,0.0,93.3987,95.9993,2888.066,0.0
ARG_C13T15,152.7815,4.0246,4.8098,0.8118,7.504,141.5411,909.7306,5.2662,58.1288,8.1529,17.0583,50.75,188.2335,11.1716,7.7096,5.9205,2.8432,3.8533,11.9419,22.1719,0.9302,63.7206,5.4574,17.7819,55.2305,229.1999,8.4875,0.4145,12.2262,17.1219,1.1627,67.8771,3.2976,18.4213,5.9747,13.6554,25.5523,47.5043,41.9607,89.8149,57.755,116.5284,0.5124,69.5869,0.0,2489.4436,0.0,2.2945,13.4016,222.0435,0.0
ARG_C16,47.7602,0.4273,0.6532,0.3566,0.1359,90.468,2.9485,381.1653,16.6415,2.0139,8.9182,6.9384,5.0612,12.7385,2.3806,21.5567,2.6765,6.5363,5.6547,7.0236,0.6101,200.4057,8.3965,47.7671,295.7494,760.5165,1.5326,0.011,0.328,6.6868,0.0901,18.4937,5.8459,6.3546,0.821,0.9124,21.2319,2.9735,16.8657,6.8459,1.4834,2.1106,0.1152,0.617,0.0,50.8343,0.0,0.9099,92.8441,77.2446,0.0
ARG_C17_18,16.5876,9.3678,3.0659,42.6305,6.2456,619.1772,17.6018,43.259,1209.3198,3.8757,84.3124,188.8082,14.8915,86.2279,7.2358,25.6956,40.9887,19.4323,8.8875,10.2745,1.8656,23.1237,9.0457,6.5471,6.4689,478.9411,28.434,0.2143,4.1955,2.7989,18.3362,29.0857,320.0217,20.9365,85.913,301.8734,24.0908,233.0174,69.5457,79.1185,146.3145,68.8825,1.8957,50.1727,0.0,2016.7328,0.0,0.5836,3.3507,198.5082,0.0
ARG_C19,720.9163,60.0946,2.8312,83.0363,21.4092,202.5914,11.5389,27.1223,20.4224,693.095,398.3438,64.6372,41.7566,85.0408,69.122,23.6329,2.4513,13.0361,10.2046,9.1879,1.615,12.8711,504.2333,78.8296,64.8484,717.9646,1171.2877,2.4809,272.8804,148.285,10.6582,3.8213,5.6954,16.0021,9.4923,50.0537,1.5638,55.3081,58.9005,219.1279,7.7789,31.0283,1.0524,5.7598,0.0,4368.4634,0.0,0.0376,0.0034,449.0023,0.0
ARG_C20,1162.7179,9.1466,18.6758,53.8291,13.824,271.089,78.557,50.1042,225.978,170.2054,962.7726,355.8935,1035.7266,61.7227,48.6959,62.6695,41.7406,76.4742,35.2895,58.0703,3.9287,52.5768,19.1465,30.6918,131.2093,105.848,48.7418,0.7029,4.8419,4.2139,0.3517,21.3319,22.1329,38.4304,9.4776,9.8497,72.1607,33.8432,44.1422,28.739,11.5852,175.8245,0.6575,24.8321,0.0,1644.6352,0.0,3.8951,63.4505,249.0892,0.0
ARG_C21,390.1546,2.2216,9.2828,5.2475,1.9044,398.6229,19.4116,12.4035,30.0935,46.5641,73.8622,1494.2678,58.9845,16.7312,15.8215,16.557,19.4319,13.4265,28.173,40.5161,1.6637,10.9598,15.5043,5.9802,73.6388,109.9086,17.6035,0.1462,3.373,3.8088,1.2907,25.0583,16.0518,145.8122,30.9442,29.3592,17.1819,47.6949,20.2019,14.5975,18.3687,1242.1095,2.4305,61.7958,0.0,5355.4272,0.0,1495.647,101.8683,586.3769,0.0
ARG_C22,749.5116,3.08,37.9833,5.8627,30.7536,1138.0318,202.3503,12.6256,237.4952,18.2855,418.5647,259.9827,241.9981,40.0558,8.5126,44.0896,24.1013,88.9743,233.6177,297.3205,9.6073,96.7184,3.0167,33.8997,200.3137,859.1124,54.0216,0.931,10.6017,61.228,0.4891,294.3206,14.3047,37.7323,5.8615,21.3495,16.3894,75.6869,50.1782,68.3392,19.7606,48.5419,0.7356,9.8896,0.0,619.2322,0.0,1.6748,132.7667,248.4948,0.0
ARG_C23,30.0788,0.1698,176.9923,4.3795,8.9832,363.5147,2.3483,7.626,5.7401,2.8798,52.5573,74.9983,22.0875,526.111,23.8663,19.2309,9.4346,42.8553,26.6719,69.7232,0.5732,7.5697,7.6884,38.1625,2703.9392,146.5313,5.0625,0.1461,1.9422,0.9709,0.1052,3.7623,4.8312,8.8686,1.1861,0.9831,258.1482,17.3618,180.4181,16.1285,9.1589,40.5628,0.2128,6.3228,0.0,236.0639,0.0,0.7085,130.2458,220.5112,0.0
ARG_C24,56.4227,1.7435,50.3652,17.3522,0.4583,169.4947,5.1699,16.117,107.3884,15.2719,86.2146,26.6413,110.1712,58.7073,2545.7828,1081.6568,102.5546,951.4345,330.5304,398.4784,14.4795,113.5981,2.2429,3.8684,503.0626,17.5658,9.955,0.1575,3.7361,2.6066,2.0263,1.8667,8.1362,12.1518,2.6456,1.0543,54.1302,5.5815,31.1677,11.1463,2.1986,9.5052,0.4152,2.4265,0.0,81.059,0.0,0.838,41.6298,397.0446,0.0
ARG_C25,35.6481,12.7686,197.0099,5.1878,3.148,249.8571,17.5438,31.1685,17.7482,16.1169,116.733,99.3039,33.1464,13.2726,71.1829,218.2442,23.936,120.0951,441.5725,648.9322,19.4901,66.2232,14.0648,8.9851,472.4273,116.674,95.7665,1.3998,29.2854,23.2025,16.8859,10.2071,9.5631,81.2315,20.9083,6.1516,103.8214,22.8854,82.5331,19.5535,4.9362,7.643,2.1226,9.5288,0.0,347.7598,0.0,0.8509,927.982,193.0833,0.0
