V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T,PER_HFCE,PER_NPISH,PER_GGFC,PER_GFCF,PER_INVNT,PER_DPABR
PER_C30,0.0,22.3547,0.0086,0.0,0.0,8.8282,0.0,0.139,0.0,0.0305,0.0,0.0,0.0,0.0091,0.0,2.808,0.036,0.3257,0.3527,16.8774,15.1775,0.0,0.0011,0.0001,0.0,3.1622,21.5935,0.8896,16.263,1.0001,0.268,0.0,0.0,2.7729,0.0202,0.1087,0.0,0.6801,3.979,5.5537,0.0,0.0,0.1313,0.2254,0.0,385.2828,0.0,0.0,168.4767,-148.3106,0.0
PER_C31T33,18.7447,35.6184,50.3412,76.2998,2.3973,181.1335,44.7581,4.2577,9.8106,1.6149,24.9255,6.2246,13.3672,8.0406,3.7614,31.5118,2.5454,3.3345,121.1732,5.7613,2.0966,1557.9302,8.8969,2.168,154.2423,12.3431,0.0018,0.0,0.0001,1.3442,0.0,64.0367,2.3163,16.7138,1.0956,108.3328,2.8074,6.22,47.3355,190.2757,114.0371,683.2285,22.7707,49.197,0.0,3467.1395,0.0,0.0,1310.1555,-326.6878,0.0
PER_D,38.9815,1.9053,9.278,899.3804,0.1856,379.2235,116.3898,5.1186,58.1055,25.8978,70.0671,8.5992,90.9216,50.5918,180.4131,38.7104,0.9562,3.1256,9.4538,10.3973,3.3907,12.3222,791.5416,35.2073,12.5888,167.4065,192.2089,0.0786,0.3629,3.6831,0.2097,82.6259,11.856,85.7002,1.7283,75.9847,8.3606,63.314,31.4113,154.2161,76.4727,97.1403,48.8614,30.1562,0.0,3290.4137,0.0,0.0,31.8497,0.0,0.0
PER_E,12.8889,9.9445,10.5292,53.7397,0.209,75.2717,9.7489,0.469,23.0037,2.9027,4.7726,0.9817,10.2464,3.0455,35.2464,0.8485,0.0,0.1085,0.7685,0.4614,0.2908,6.809,4.8319,29.7429,4.5884,16.8475,1.8933,0.0529,0.1578,2.9143,0.172,30.649,0.3468,0.9075,0.0,25.9444,0.9922,5.9171,3.8718,212.1985,48.2192,92.2734,2.3541,4.275,0.0,673.2026,0.0,0.0,0.0,0.0,0.0
PER_F,5.0014,0.0707,2.4266,180.2753,1.1243,7.3717,3.3949,0.7011,2.4868,6.297,4.0191,1.1165,0.6329,0.1488,5.8633,2.1229,0.0978,0.1356,0.6318,5.1912,2.528,0.3236,0.4275,66.1169,518.8877,11.0522,1.0068,0.1238,0.9044,0.6148,0.0427,2.7172,1.6949,82.9236,0.2848,55.5187,124.7602,10.8319,3.8101,1149.206,4.0137,35.1911,2.8086,10.0438,0.0,156.0627,0.0,0.0,22675.0974,0.0,0.0
PER_G,803.1855,90.0773,65.8681,803.4403,8.753,3009.0499,336.549,83.8588,224.4558,210.8885,226.3094,55.6174,205.5156,77.3008,254.0235,145.0546,12.4703,46.0,76.1418,76.0744,27.7837,464.8889,144.9082,34.0151,1397.7666,172.6204,1187.9411,7.0112,25.4853,95.2628,8.7387,550.3056,35.8915,117.9275,2.8847,74.0887,32.1257,160.3138,141.7524,724.8974,114.4983,324.4328,24.3563,105.7997,0.0,10711.3542,0.0,3.5,2374.251,-10.1541,0.0
PER_H49,27.5409,20.2388,511.2725,601.0442,3.2562,180.4285,28.2912,50.7652,200.8183,165.5426,103.0225,10.361,22.0356,17.3408,43.4348,34.8451,0.9143,6.9095,3.424,6.5162,2.0996,77.0111,83.6216,21.3979,342.3545,4146.7026,2069.9586,102.01,386.3708,1203.1511,53.9166,63.9152,12.0866,92.7068,1.3985,79.3077,4.0815,50.8211,116.0294,303.785,160.9641,58.0345,11.8506,54.2175,0.0,3930.3101,0.0,0.169,72.4613,7.3118,0.0
PER_H50,1.5386,4.8367,90.7983,57.1352,0.0563,7.5628,1.5573,1.7657,6.7493,32.7979,2.3856,0.0198,0.0784,0.2514,5.9566,1.1096,0.0079,0.971,0.0258,0.0396,0.0133,0.2977,0.0727,0.0174,1.3532,38.5016,0.1875,18.4919,0.0078,66.1729,0.0015,0.1525,0.5384,0.0748,0.0014,0.037,0.0282,0.1139,0.2757,0.2779,0.072,0.1653,0.0118,0.0491,0.0,40.1126,0.0,0.0018,0.818,0.1835,0.0
PER_H51,3.377,0.5503,25.6853,12.8288,1.6291,47.214,7.4243,0.7989,2.3078,3.7022,2.5409,0.6426,2.29,1.8034,3.1036,1.8312,0.6236,0.9886,1.1516,0.8851,0.3009,24.2829,2.4257,0.508,13.1191,9.8184,3.0065,0.023,27.4421,25.9284,5.5022,4.9401,1.2803,8.9622,1.0286,14.3307,0.7471,32.5148,13.4289,119.3077,7.3159,44.9187,2.4505,12.6359,0.0,449.2073,0.0,0.0304,19.9155,13.9646,0.0
PER_H52,9.3898,15.2136,314.2602,297.0507,1.3565,66.2033,11.4979,22.0789,74.6026,114.4865,40.5615,2.3497,5.8218,5.4377,22.1577,13.8261,0.3301,3.8659,0.8455,1.1979,0.4225,29.308,2.7051,7.9322,111.877,1699.2795,776.8316,69.9476,158.6316,586.2852,14.3904,19.3034,2.6543,23.7479,0.3569,14.4036,0.8795,15.0383,38.2813,90.9247,49.7791,18.6951,2.062,12.1294,0.0,336.5318,0.0,0.0452,20.9739,5.0394,0.0
PER_H53,0.0,0.1239,0.0,3.7802,0.056,2.5428,1.0172,0.0263,0.5563,0.0,0.2871,0.6592,2.0409,0.1114,0.4079,2.6543,0.1671,0.3177,1.0739,0.4713,0.1978,0.9384,0.441,0.4612,0.2929,15.2441,0.0,0.0,0.0,7.3996,19.3989,0.4783,8.4314,77.4064,0.5401,93.1774,4.45,29.3447,6.8706,27.5301,15.537,2.3948,0.5638,13.5537,0.0,21.4286,0.0,0.0,0.0,0.0181,0.0
PER_I,0.1012,3.2306,26.7248,25.5224,2.4188,5.3267,0.877,0.1087,1.3487,3.6467,6.4109,2.4663,8.701,1.5632,1.0823,6.5976,0.4816,0.9005,3.0759,2.6964,1.6773,4.0125,14.5468,5.2426,26.6867,97.7557,54.1518,0.8939,7.3796,1.437,5.826,4.6367,3.1215,44.2323,5.7084,19.9371,0.2449,118.7286,40.9727,310.2315,30.4555,114.2754,37.8859,29.8907,0.0,8188.0765,0.8554,0.0001,0.4613,0.0,0.0
PER_J58T60,1.0452,0.4281,3.3997,8.2119,0.5554,13.3376,0.792,0.9383,16.1721,1.1987,13.1877,2.8611,0.879,0.5987,0.6846,0.7286,0.0804,0.1611,0.1329,0.675,0.3013,3.3527,3.8822,0.6784,6.1205,27.0363,0.5092,0.0854,0.8041,0.6448,0.0319,4.5347,94.1039,61.4302,0.2725,30.5514,5.3623,688.5893,10.982,45.1386,138.8043,48.1569,2.2044,12.6839,0.0,412.3857,0.0,2.2099,1.3395,0.0014,0.0
