V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T,MLT_HFCE,MLT_NPISH,MLT_GGFC,MLT_GFCF,MLT_INVNT,MLT_DPABR
MLT_A01_02,2.466,0.6378,0.0038,0.0174,0.006,65.1804,0.4313,0.0003,0.0602,0.0001,0.0331,0.1006,0.0107,0.0482,0.0001,0.0797,0.0229,0.0065,0.0052,0.0011,0.0213,0.3794,0.1756,0.2649,7.0247,1.4687,0.276,0.0288,0.1976,1.4656,0.0483,13.4433,0.0317,0.0237,0.0523,2.9575,1.5224,1.7401,2.8248,1.1361,0.7081,0.3762,0.7756,0.1984,0.0,31.9311,0.0,24.5755,21.6702,1.2247,0.0
MLT_A03,0.0139,25.7074,0.0001,0.0006,0.0002,0.0156,0.0047,0.0,0.0016,0.0,0.0277,0.1599,0.0004,0.0016,0.0,0.0014,0.0001,0.0001,0.0002,0.0,0.0004,0.0182,0.0044,0.0071,0.2573,0.0158,0.0069,0.0005,0.0026,0.0194,0.0006,6.0459,0.0003,0.0004,0.0022,0.0621,0.0403,0.0101,0.028,0.0121,0.01,0.0059,0.0143,0.0037,0.0,5.1474,0.0,1.0833,0.7092,1.1365,0.0
MLT_B05_06,0.0,0.0155,0.0,0.0015,0.0138,0.0137,0.0,0.0,0.0029,0.0,0.002,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.024,19.0453,0.0,0.0,0.0008,0.0,0.0217,0.0026,0.0007,0.0,0.001,0.0004,0.0266,0.0,0.1156,0.0003,0.0088,0.0105,0.0146,0.0018,0.0153,0.043,0.0,0.0,0.0554,0.0,0.0,0.0,-0.0443,0.0
MLT_B07_08,0.0287,0.3481,0.0113,2.3456,1.2987,0.5062,0.099,0.0002,0.0851,0.0,0.0484,0.0217,0.0213,23.2623,0.3662,0.0756,1.108,0.0053,0.011,0.0015,0.3534,0.2096,0.111,0.3511,35.539,0.1724,0.1767,0.0157,0.0896,0.2141,0.007,0.2024,0.0112,0.0161,0.0132,2.9503,0.6301,0.3193,0.1466,0.1844,0.1409,0.4083,0.3283,0.0642,0.0,0.7723,0.0,0.1779,5.9158,1.1126,0.0
MLT_B09,0.0565,0.4939,0.7637,1.661,2.5433,0.1332,0.0053,0.0003,0.0783,0.056,0.0875,0.0481,0.0392,1.6225,0.0017,0.2216,0.0025,0.0032,0.0051,0.0,0.0014,0.0231,3.9161,0.2368,6.6837,0.0244,0.2803,0.1037,0.425,0.37,0.0029,0.0279,0.0011,0.0,0.0003,0.3135,0.1793,0.5389,0.1543,0.086,0.0165,0.0195,1.0126,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT_C10T12,23.1737,21.0491,0.6838,1.4381,0.0066,230.1571,0.0903,0.0033,0.0393,0.0,0.9776,1.9354,0.0,2.0055,0.0,0.0189,0.0003,0.0074,0.0,0.0,0.0,0.1268,0.0,0.0,5.2516,1.196,0.1945,6.8967,7.6361,1.5071,0.0,256.2768,0.0443,0.0244,0.0,6.4519,0.0219,0.5082,0.9389,0.9886,0.0546,0.2966,0.0968,0.7054,0.0,403.2487,0.0,0.0,0.0,17.2933,0.0
MLT_C13T15,0.0343,0.4149,0.0,0.0058,0.0672,1.4929,85.0583,0.3776,3.9633,0.0056,0.0397,0.0656,0.5789,0.0476,0.0,0.2626,0.0332,0.0661,0.1432,0.076,0.2174,4.5836,4.1811,0.5557,15.6656,0.619,2.8255,0.9593,0.6876,0.5798,0.4958,6.7325,0.1385,0.0962,0.1603,47.0004,0.2114,2.6559,1.4599,7.6427,1.0864,3.9495,2.5974,4.2873,0.0,241.4881,0.0,0.0004,4.2486,24.6792,0.0
MLT_C16,0.0114,0.0022,0.0032,0.0137,0.0007,0.1685,0.2569,0.0987,0.1651,0.0089,0.0061,0.0051,0.0052,0.0134,0.0001,0.0252,0.0282,0.0084,0.0399,0.0185,0.0879,1.083,0.0036,0.0302,1.1184,0.0712,0.0167,0.1495,0.0045,0.0743,0.0041,0.0805,0.0053,0.0067,0.0233,0.2493,0.1358,0.0879,0.1436,0.1109,0.0166,0.1762,0.0453,0.0461,0.0,0.3272,0.0,0.0071,0.1829,0.038,0.0
MLT_C17_18,0.0554,0.0526,0.0247,0.1048,0.017,2.9639,0.5616,0.0174,14.7975,0.0042,0.1157,0.7992,1.1635,0.1194,0.0002,0.2065,0.7376,0.1838,0.3351,0.0352,1.1787,1.8643,1.1467,0.3269,3.3683,4.92,0.2949,1.1258,3.2978,1.6002,5.09,2.9121,1.8219,2.0546,4.6854,150.4445,0.5238,55.9781,3.5858,8.8665,3.5586,2.6613,8.4303,0.3942,0.0,8.9543,0.0014,4.646,4.9298,13.3876,0.0
MLT_C19,0.0044,0.0016,0.0001,0.0008,0.0003,0.0054,0.0002,0.0,0.0023,0.0,0.0003,0.0015,0.0002,0.0042,0.0,0.0018,0.0065,0.0001,0.0,0.0001,0.0006,0.0014,0.4524,0.0026,0.014,0.0261,0.0208,0.0192,0.0527,0.0062,0.0085,0.0035,0.0001,0.0004,0.0007,0.013,0.001,0.0062,0.0073,0.0054,0.0005,0.0118,0.0067,0.0009,0.0,0.1254,0.0,0.0,0.0,0.0099,0.0
