V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T,NLD_HFCE,NLD_NPISH,NLD_GGFC,NLD_GFCF,NLD_INVNT,NLD_DPABR
NLD_C23,33.0858,0.0605,1.1151,10.6294,25.2257,145.3043,2.5956,21.16,2.8392,1.1423,20.0466,19.1529,12.3619,579.6836,23.3561,41.9057,21.5217,64.0915,23.4162,29.3699,21.057,85.4622,7.8058,7.8547,3721.2087,31.5736,2.2083,0.6254,1.0181,0.8364,0.1376,21.454,7.7931,1.7873,5.1264,22.8698,278.8298,50.4005,76.269,35.965,20.1545,64.31,10.3248,16.4381,0.0,536.6055,0.1111,4.7164,132.6365,20.8993,0.0
NLD_C24,2.3538,0.0,0.0,0.0,0.0,0.0,7.4049,2.631,3.0124,0.0,25.0044,0.0,39.8424,52.5593,799.3931,2011.1828,38.8147,176.9198,741.922,365.3332,104.3213,82.3593,0.0,3.25,1167.9788,66.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6039,17.2079,0.0,1.2236,20.3796,0.0,0.0,7.2125,0.0,11.1372,0.0,0.0,0.0,15.0415,0.0
NLD_C25,48.8008,0.7597,6.6477,0.6665,1.4308,490.0944,12.5962,76.3457,23.4324,6.1153,194.0939,15.2588,54.2448,16.7149,31.3894,2565.1096,80.0429,23.2065,1836.086,531.3753,711.5685,1599.6785,36.0735,83.0768,4102.8709,394.8432,38.9605,10.4575,20.9256,18.5326,2.3174,20.6217,13.8784,8.671,33.2412,17.4648,95.5748,395.8387,45.697,458.976,79.095,63.2171,9.5514,24.0109,0.0,1249.7789,0.2535,61.4407,1600.5044,49.5312,0.0
NLD_C26,45.9105,2.833,3.7355,8.8694,32.154,131.0008,7.8963,8.7011,16.4188,7.615,54.8802,10.0738,13.1719,12.3159,15.4938,63.2874,560.5329,66.3923,749.9389,116.7756,183.4455,138.9726,18.1415,12.0521,441.826,412.9862,25.6012,21.8534,19.5391,25.4953,5.4362,39.2052,31.7155,418.1306,530.3195,83.3812,44.6032,331.3318,132.5245,90.3336,44.7788,521.9796,29.1325,27.9662,0.0,2655.6793,0.7097,737.4652,2658.7761,92.4116,0.0
NLD_C27,53.2075,0.675,6.4806,1.1996,1.8652,173.0479,10.5467,12.0156,21.2884,11.2512,70.6625,13.7144,18.5901,17.6738,16.1865,111.5162,94.738,320.9297,252.9646,69.8104,155.5159,123.0652,14.3158,20.3485,720.2678,350.7485,27.4385,16.711,15.0183,20.3393,6.6977,33.1491,27.8757,172.3771,58.828,55.1127,39.4489,221.4099,89.4997,87.1093,29.5748,73.9397,15.575,17.8278,0.0,1019.2554,1.0675,46.2905,484.5734,19.6253,0.0
NLD_C28,184.5561,6.1932,25.1726,0.706,1.5791,203.5772,15.3795,19.8388,47.0598,16.5557,144.6967,27.2479,41.7015,36.8595,121.0854,213.7336,114.0691,85.011,4109.7995,420.2145,529.9528,447.863,53.7849,48.6192,1033.1177,768.2505,52.5169,77.0911,183.4356,60.485,5.5436,49.8429,15.213,43.2383,84.7832,34.4766,47.7293,395.5404,128.3033,228.5253,18.9803,58.7148,10.0443,17.6587,0.0,503.5473,0.4063,28.0745,5917.0834,50.1351,0.0
NLD_C29,13.672,0.2524,1.2542,0.1586,0.2203,28.0014,1.7822,1.9143,4.5183,1.9846,12.1369,2.45,3.3807,3.131,6.3999,9.8291,9.2342,3.355,24.2989,1557.6152,14.045,6.7799,2.8426,8.7748,40.509,347.7696,6.3482,3.4988,7.8514,5.169,0.8442,7.4204,1.9216,2.7339,11.9003,8.0183,7.1644,29.3037,11.38,17.0946,2.9365,10.0779,1.315,2.2207,0.0,4315.1864,0.1603,16.1647,1115.88,11.2672,0.0
NLD_C30,0.0,0.0,0.0,0.0,0.0,0.5476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1915,0.0,0.0,0.3818,84.9468,403.4329,13.2161,0.3069,0.0,4.783,6.3695,14.4856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7888,0.0,0.0,0.0,2.2462,0.0,1034.451,0.0,2.1885,2663.5138,13.9433,0.0
NLD_C31T33,557.3094,16.3309,81.0967,0.9161,2.1493,497.5207,37.0168,37.7945,122.2772,44.1953,344.8268,78.7345,93.0763,100.7265,377.9749,215.512,69.6742,59.5199,306.6876,128.6231,712.3504,232.7656,144.8785,152.4038,1200.8927,873.9617,148.4565,260.7687,629.7502,215.6305,9.4418,168.7651,25.6974,57.5646,168.0685,72.1771,179.2173,474.5859,455.1257,728.7604,75.0755,401.5809,19.7877,54.4238,0.0,2796.1293,0.4387,1911.0462,1123.0608,7.479,0.0
NLD_D,469.7889,8.8554,535.9607,0.4531,0.4848,591.5862,29.8122,14.5785,107.3729,85.866,745.0884,27.1934,169.843,104.5914,270.9531,187.2061,29.1748,58.8367,153.6425,79.0988,31.2423,90.2672,1681.3459,180.8889,1006.6169,1994.7517,234.5484,12.7235,10.9051,283.6953,24.2388,421.2485,49.6062,121.2023,175.1763,190.8693,590.1048,374.1315,193.1864,602.5647,317.2467,644.6375,392.6628,290.2616,0.0,5565.7684,0.0,59.1713,1781.8888,0.899,0.0
