V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T,ESP_HFCE,ESP_NPISH,ESP_GGFC,ESP_GFCF,ESP_INVNT,ESP_DPABR
ESP_C25,494.0578,10.888,6.3138,32.6687,5.0567,629.6723,77.5456,53.0784,56.7523,3.8441,240.7978,44.7832,321.7481,96.046,1714.3155,3141.6647,179.6693,1004.7311,1209.0293,5232.546,370.0238,658.5153,252.9455,356.5227,3196.0645,494.206,79.9418,7.1551,63.6617,248.9773,3.6407,278.6826,38.3818,86.7892,74.8515,63.3819,65.7179,347.006,666.7571,111.1581,57.0485,137.5034,72.271,78.7836,0.0,760.3516,37.0214,30.8436,5513.0642,96.0135,0.0
ESP_C26,7.2073,3.1189,0.3398,3.9576,0.2133,18.9248,3.0121,2.7486,9.3618,0.7973,8.3686,4.6874,6.3018,5.7785,11.6206,26.9799,107.7209,86.4669,50.8598,266.038,10.2061,39.9777,40.1928,17.8733,141.8445,125.908,23.4194,1.8299,13.5494,19.3239,3.2363,50.8603,168.8455,198.5101,142.2214,19.0982,24.3522,129.5984,76.6422,33.706,14.4904,92.6518,22.8932,26.3963,0.0,643.2069,0.5629,27.2779,1150.3902,12.4227,0.0
ESP_C27,31.0427,8.2564,1.3215,13.4539,0.8241,63.4927,7.9285,7.8051,16.0569,2.1944,25.344,11.671,28.1526,35.0703,64.5262,108.9666,171.0007,929.0633,517.6918,694.1477,85.3384,212.6347,182.671,72.5879,2325.9521,313.0317,48.4962,3.2516,24.0457,62.7008,4.468,138.9797,29.3301,210.7565,125.9181,39.0709,89.7284,286.6563,152.0904,83.2682,28.0773,64.9123,46.6425,27.1247,0.0,1562.1007,1.4669,30.8394,1914.1392,36.592,0.0
ESP_C28,88.3919,14.3423,5.2098,49.0892,4.0393,154.1669,15.5862,31.7916,77.429,6.4206,81.4678,47.8555,75.5042,60.3644,150.1309,228.913,29.0017,110.6365,981.2047,688.2465,67.4375,227.6514,275.6762,147.4951,440.9568,506.4002,100.2694,10.6791,98.8609,299.797,4.6213,253.8094,30.0139,228.0087,101.1054,70.6718,57.2836,471.9529,184.6673,127.5429,44.1191,115.4198,70.7495,29.7869,0.0,306.7383,2.7876,40.3393,7240.0369,47.9377,0.0
ESP_C29,78.1792,9.4972,3.2267,18.4033,1.1713,236.4651,24.9011,22.7813,45.4035,7.1925,87.4508,43.6974,226.2257,76.4318,134.3856,261.018,27.4432,272.1726,238.8707,7674.8853,298.5042,90.2483,98.1912,123.2043,457.478,2393.0963,261.1334,3.7972,27.3279,157.6984,9.5184,155.7145,35.2622,126.8835,198.2492,117.6095,173.6385,521.3839,572.5452,193.9478,81.457,193.5396,104.5307,44.6829,0.0,7000.5953,45.4496,882.0648,6126.3418,113.4103,0.0
ESP_C30,1.3825,10.4123,0.1172,6.0112,0.0213,0.8916,0.1497,0.7265,2.502,0.1755,1.3971,0.2835,0.3926,1.1823,4.3958,12.8305,11.4668,33.0276,28.7926,11.5489,3764.9942,677.9609,0.8541,0.824,17.5532,118.0435,125.2215,2.1218,313.1331,165.5286,4.5439,18.4831,0.2851,8.979,28.5929,15.8425,3.6946,327.3721,101.2904,19.8745,3.5052,11.0131,36.744,14.0373,0.0,872.5885,0.0,45.393,1709.2562,19.9703,0.0
ESP_C31T33,159.3339,71.7694,7.8656,55.9077,4.2447,356.1912,74.0787,131.4086,135.8944,18.1795,189.8851,90.966,113.2992,132.3075,300.2633,352.2511,13.4159,117.1305,145.19,866.0443,24.6553,715.5355,284.4982,206.1723,865.5485,621.6697,396.3853,52.1509,492.6235,235.8056,17.4985,319.1253,91.426,345.1229,147.4629,295.2218,84.2074,342.3129,448.5046,293.5815,231.9451,1754.8397,300.9504,55.2337,0.0,3751.9088,3.0419,84.2968,7148.3574,9.3325,0.0
ESP_D,1491.355,15.9977,36.1381,137.4458,6.5372,1681.253,183.0171,198.2715,890.3862,234.13,1786.7815,277.7825,624.4806,1351.4727,2182.656,673.2138,36.8142,198.5033,165.8355,737.5418,130.1224,226.8338,6618.044,551.6922,764.3188,4541.7685,902.9939,2.9042,19.9747,1014.261,37.208,2576.3001,142.4355,1577.3824,244.1058,41.0303,667.6617,1048.9761,465.5765,1566.7623,646.6861,2162.3446,503.6051,379.8579,0.0,15751.2154,2.4271,85.9092,334.0615,5.8031,0.0
ESP_E,533.851,18.9325,3.7281,33.1971,2.3146,499.8429,75.0428,44.2389,279.442,75.7196,597.2135,120.5376,261.9315,337.2796,3496.5443,402.2638,28.2123,114.0371,181.085,168.1423,63.2411,164.9778,384.6969,9406.3185,623.2837,1181.3345,182.6846,15.964,49.1955,171.9621,15.6621,569.5814,79.1983,182.0422,197.7549,77.2128,457.8957,492.8048,275.6963,356.4576,143.8125,737.5494,208.3159,135.8508,0.0,5865.6469,21.4044,5393.948,223.7263,2.8179,0.0
ESP_F,363.3429,7.4022,3.6665,68.2049,6.5351,629.2973,85.9151,20.6429,128.9343,21.3043,288.3076,139.8831,156.546,280.7549,153.6579,215.6525,31.8846,74.6563,178.3265,93.9453,93.4139,314.1906,464.7635,381.9198,30307.772,3933.7148,870.7814,35.9907,141.0837,1056.9294,47.4266,1264.1539,164.9585,611.256,747.9005,652.5878,5821.1486,871.8334,801.0363,1509.4833,919.2294,1233.4673,268.2178,211.8122,0.0,6965.9586,6.1849,2116.1782,101908.6838,7.0176,0.0
