V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T,ROU_HFCE,ROU_NPISH,ROU_GGFC,ROU_GFCF,ROU_INVNT,ROU_DPABR
ROU_A01_02,2997.3046,68.8063,0.0709,0.0129,0.0187,4311.8039,59.0162,642.3639,127.5365,0.5158,2.5829,0.3124,1.4576,3.0622,0.5203,0.1086,0.7694,1.1619,1.2208,0.7031,0.3682,140.4979,1.5056,0.8745,103.3171,203.2034,10.0355,0.5904,0.1945,1.551,0.002,28.2086,0.4162,0.0172,3.0625,0.8659,0.0348,55.9533,11.4889,0.4289,0.7635,3.1008,1.7088,8.7058,0.0,6062.4471,0.0,474.5205,48.0741,71.7918,0.0
ROU_A03,0.0002,55.9834,0.0007,0.0002,0.0,357.0964,0.0,0.0203,0.0,0.0,0.0009,0.0002,0.0,0.0316,0.0,0.112,0.0005,0.0,0.0,0.0,0.0025,0.0,0.0002,0.0197,0.163,26.3518,0.0006,0.0,0.0,0.0,0.0,20.1243,0.0112,0.0002,0.0,0.0,0.0,0.299,0.0,0.0,0.0,0.0631,0.0799,0.455,0.0,294.5142,0.0,0.0556,0.0,10.8485,0.0
ROU_B05_06,0.0267,0.0,0.2806,0.0004,1.8549,0.0068,0.0129,0.0566,0.0001,915.5443,0.0784,0.001,0.1552,0.0123,1.1771,0.0622,0.0,0.0,0.0,0.0206,0.6879,0.034,1182.6971,8.564,0.0004,5.4087,201.3288,0.0,0.0,0.0,0.011,12.211,1.5376,0.0668,0.0026,0.0,0.0007,4.1551,0.0005,0.0002,24.8648,1.2959,14.5341,7.7963,0.0,211.1081,0.0,0.0,58.3449,22.2083,0.0
ROU_B07_08,0.3938,0.2109,7.1208,42.1301,2.2756,0.1117,1.0871,0.0748,0.3769,20.6753,1.8334,0.0223,3.9192,201.7598,27.2295,3.9405,0.0012,0.0254,0.0016,3.0278,0.2087,0.1745,51.5946,0.9485,30.427,36.5949,3.941,0.0457,0.0005,0.0,0.0,0.6146,0.1318,0.0,0.0,0.0,0.0164,6.897,0.0147,0.0038,0.0,0.0035,0.7731,1.0599,0.0,27.9959,0.0,0.0,7.1123,2.4564,0.0
ROU_B09,1.8708,0.5832,54.028,8.6792,14.5873,1.1982,0.0274,0.0483,0.3486,24.8225,2.3134,0.0291,0.3394,7.6854,8.2939,1.2145,0.0027,0.0566,0.0738,0.016,0.0081,0.0615,6.0929,0.4464,34.3495,0.2043,4.9964,0.0587,0.115,1.0323,0.0053,0.0439,0.0204,0.0,0.001,0.0146,0.8119,1.0442,0.429,0.3272,0.0649,0.0835,0.0863,0.0452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU_C10T12,282.8396,1.3805,9.3396,2.4687,0.1192,3014.8263,49.0441,22.8777,10.13,2.6691,21.2325,16.7074,7.0362,21.5316,15.4948,20.315,17.3065,44.318,17.4988,59.3713,5.7037,18.7698,8.9744,36.689,195.5691,727.6717,48.9496,5.5342,8.2384,59.5783,14.4191,984.2769,15.486,27.511,75.8639,17.9742,16.7039,188.957,66.7511,93.7361,155.5297,606.743,65.9596,165.1829,0.0,19111.5909,0.0,172.3505,0.0,216.05,0.0
ROU_C13T15,10.3972,0.1559,4.6243,0.2325,0.4008,16.7113,326.2844,9.7664,4.0817,1.2067,7.7862,0.4952,54.9579,14.3292,11.8332,6.8635,10.3509,17.7266,14.998,54.5505,4.1143,77.5339,12.2407,5.4868,61.1513,203.3518,30.141,0.4286,0.5023,8.4461,2.0408,4.4963,18.4354,3.8608,10.1968,1.5372,5.7243,40.4119,10.483,47.4078,3.3555,115.9527,4.403,16.8315,0.0,3027.7535,0.0,0.0056,0.1693,38.3917,0.0
ROU_C16,19.2411,0.792,1.1124,2.9292,0.1546,15.5241,5.8162,314.4708,27.6707,1.01,5.7267,0.728,6.7018,35.6765,28.2983,8.2369,9.6008,21.971,24.5277,23.6503,12.0321,325.403,6.1583,7.5791,796.0444,258.9115,42.0803,0.3746,0.9546,12.4739,3.0152,1.6494,3.203,5.8076,16.7111,2.9016,49.8664,40.0816,13.3841,0.8975,0.7145,3.5938,13.7722,9.9903,0.0,395.6008,0.0,0.0,1.0626,12.5359,0.0
ROU_C17_18,18.7693,0.9058,3.346,0.5777,0.2093,26.1923,16.4237,18.5585,98.0807,0.6998,15.0207,1.9326,5.992,29.8267,18.1363,14.0446,20.3857,52.6467,14.152,48.4828,3.3624,35.0748,15.1026,12.2699,49.2268,377.9519,17.9368,0.3551,6.7043,11.2621,16.6598,7.0405,84.4234,29.0249,15.167,35.2852,39.9107,52.7299,12.1382,106.4952,167.8918,64.0471,61.7209,14.3656,0.0,510.3676,0.0,2.0417,0.0,9.6969,0.0
ROU_C19,260.41,0.4722,9.0536,6.5982,4.5198,45.1239,11.615,13.496,6.6138,4.1175,64.1814,0.8839,19.6178,39.7341,266.8451,14.7691,1.6436,8.8562,10.3044,34.5347,5.6889,8.1031,112.7196,9.471,258.0176,600.2607,506.1372,9.4597,16.0051,14.5407,3.5117,4.1219,3.7571,7.0092,19.6284,6.5287,8.1684,53.1016,15.7254,26.8228,1.6649,10.8478,10.5123,27.0254,0.0,2001.4065,0.0,0.0,0.0,18.329,0.0
ROU_C20,275.1882,5.35,4.037,0.624,1.6989,45.9024,79.7513,25.4025,23.5649,6.3509,267.3884,14.6308,333.8551,42.5358,34.1108,32.3416,25.4037,55.6798,24.527,107.8475,8.4682,66.3357,20.4572,57.0542,237.7492,368.3697,66.0177,2.7245,1.3571,3.5665,1.8004,7.8698,19.4834,0.8502,27.0108,3.8568,146.8001,39.188,47.3643,21.0237,15.0077,111.1669,5.1116,5.9554,0.0,110.9628,0.0,0.9634,0.0,12.5238,0.0
ROU_C21,4.897,0.0472,0.0711,0.0141,0.0077,1.9643,0.5952,0.0,0.0,0.0,0.0,5.1732,0.0,0.0,0.2437,0.0,0.0,0.0,0.0,0.0,0.0563,0.0,0.0357,0.0067,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.2502,0.0022,0.0,0.2115,0.0,0.0,7.4293,0.1739,0.0,0.1193,255.6827,0.0203,0.019,0.0,232.0323,0.0,120.4868,0.0,2.2575,0.0
ROU_C22,12.7688,0.819,16.7936,1.9305,0.8769,82.3828,67.9747,20.4023,12.779,2.689,33.7428,3.8803,612.825,40.6558,59.8363,85.162,80.6287,196.6018,112.2525,783.3663,15.7176,50.0832,43.1855,13.5842,546.5155,306.9852,709.7192,0.6159,1.7643,20.4109,5.3623,4.4686,12.9881,72.2795,27.4991,4.8743,63.7257,90.7563,21.8707,9.1589,1.338,10.9539,19.415,15.15,0.0,158.6457,0.0,0.228,1.8432,26.7988,0.0
