V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T,COL_HFCE,COL_NPISH,COL_GGFC,COL_GFCF,COL_INVNT,COL_DPABR
COL_H52,72.6455,0.6115,174.1917,109.1949,0.0434,32.6096,5.5035,1.8767,5.5909,8.1367,58.7258,7.5331,18.0426,12.457,4.268,2.0677,0.0402,1.6824,1.0487,16.3742,4.9144,11.1971,10.11,6.0221,78.037,743.0568,887.2736,6.8432,285.4408,377.3144,46.8438,27.5201,3.3817,3.1002,0.113,12.259,1.6849,167.4344,9.0905,25.4415,1.2917,4.803,14.5866,17.3031,0.0,305.7303,0.0,4.5724,13.313,2.289,0.0
COL_H53,6.3973,0.1016,0.2749,0.1773,0.0,10.9483,2.8614,0.3755,2.7468,0.8548,9.5285,1.8909,7.157,2.2443,1.0035,0.5734,0.034,0.7837,0.8793,0.158,0.0344,2.832,17.8569,4.4713,6.0393,99.1356,25.4232,0.0221,5.1315,40.4938,43.8493,47.2657,10.9372,64.501,12.7125,11.5875,8.4622,54.8581,96.5442,9.973,1.0383,20.3425,7.6508,7.4228,0.0,133.6441,0.0,0.0,9.3237,0.072,0.0
COL_I,1.8461,0.837,16.1769,6.7672,0.4733,23.0113,8.8509,1.1523,4.3583,8.392,9.6507,2.1478,3.0211,4.289,1.3361,1.4686,0.0494,0.8693,2.1224,0.7599,0.3316,12.3656,9.546,1.2046,9.242,141.2512,17.4629,0.9741,43.7522,6.9431,4.5513,70.6349,12.0887,32.906,14.0827,78.7212,6.7475,58.5649,59.7651,180.513,85.5267,45.1191,90.3754,74.0021,0.0,16946.8541,0.0,1272.8817,0.0,0.0019,0.0
COL_J58T60,29.5848,0.0435,2.8472,5.3884,0.0638,284.9321,26.9,2.1499,15.6964,14.0187,35.5877,9.2872,0.9114,21.3273,0.3284,0.4111,0.0682,1.8532,7.6089,2.0427,1.0759,2.8288,7.0007,1.6982,3.5484,119.9228,48.7925,0.0204,3.43,21.1403,2.0759,13.7524,16.8305,9.5673,1.8941,0.1807,4.5491,52.607,0.0123,51.689,7.746,23.7145,7.594,4.1902,0.0,259.7444,0.0,0.0001,271.9751,0.0471,0.0
COL_J61,19.1176,0.2568,7.134,1.2945,0.0,42.8836,11.2208,4.1817,9.1642,0.4288,17.2875,3.28,4.2584,4.3622,1.2307,1.5302,0.0672,1.3552,5.5988,0.6122,0.2196,22.5691,57.363,4.9343,59.5239,567.3131,14.886,2.2733,6.837,13.139,4.5756,125.6816,49.9633,1158.7148,56.8789,10.6551,19.35,92.4377,60.5782,114.1547,24.4452,67.8771,27.4937,63.7888,0.0,6370.9964,0.0,0.0,0.0,0.0278,0.0
COL_J62_63,11.6101,0.132,5.9664,1.1364,0.0,27.0559,9.0685,2.896,8.5504,0.4396,18.6416,3.5645,3.5688,3.7471,1.1944,1.1959,0.0803,1.4536,4.967,0.6649,0.3158,10.9293,68.9863,4.6605,42.6836,455.7211,12.8084,1.8129,8.4056,12.7094,3.1613,53.26,46.7781,260.2183,265.1305,12.9868,13.7918,123.8866,64.3124,108.9313,22.5391,59.9088,31.4497,15.5903,0.0,1680.3817,0.0,0.0,334.8224,0.1763,0.0
COL_K,289.0888,6.4115,153.6442,17.9387,2.5017,481.629,122.545,8.9159,113.3011,69.6982,156.75,22.7221,69.3724,71.1244,25.2923,18.3946,1.1325,27.9553,33.9881,26.2955,9.722,50.5249,291.1152,48.0514,1193.6222,1207.5385,449.4642,18.745,37.0531,112.0615,52.8394,174.3294,26.6887,152.5228,46.8778,4103.0786,776.7564,233.5855,178.2807,1030.6311,231.7217,293.2885,125.1267,78.4138,0.0,9003.5701,0.0,134.1381,67.908,0.4312,0.0
COL_L,8.3462,1.7096,69.5253,1.8435,0.0,55.1686,141.6226,0.283,14.2843,5.8607,33.4555,5.8748,25.9616,37.9171,8.6707,11.4608,0.0435,1.0681,11.3756,3.3519,0.9214,44.9687,49.613,114.2834,59.4917,1658.8701,20.7861,0.9424,14.1568,227.4305,21.5206,1187.5679,50.886,289.7519,84.348,587.0768,101.9014,189.3287,610.3131,177.5149,473.6719,104.7933,240.6364,140.4312,0.0,22072.5387,0.0,9.3092,178.7142,0.0047,0.0
COL_M,98.69,0.0,180.1755,24.448,6.0766,59.285,66.0473,1.1981,16.8511,19.7807,58.3858,11.1727,24.9045,12.2661,17.2832,15.1964,0.3931,6.0389,10.6188,6.3884,2.0042,60.4021,351.0611,288.3882,208.1311,670.8654,151.6345,7.5551,14.1246,85.8537,19.442,222.7205,97.5426,450.1994,145.7307,686.5513,242.7032,1108.6845,397.89,2727.5918,1608.3919,390.0784,158.1283,103.1464,0.0,253.6515,0.0,62.8197,774.6799,0.7308,0.0
COL_N,65.2477,3.8443,294.9274,42.426,8.0995,327.4726,215.3514,9.1722,215.5592,108.9145,122.594,29.0337,55.9721,23.2815,8.304,8.4701,0.4416,10.4419,14.8221,13.4895,4.1388,56.5312,136.0551,130.7686,119.5636,1678.7668,34.7552,10.1923,42.0604,174.8396,35.3685,567.328,234.6602,1042.2715,400.639,871.7233,513.718,663.2963,673.652,1998.0965,351.8869,424.7271,169.7051,86.9198,0.0,383.269,0.0,0.0,34.5108,0.6952,0.0
COL_O,7.6708,0.2608,19.9783,10.3215,0.1476,7.5695,2.0932,0.2235,1.545,1.0818,7.6624,1.0448,2.9393,1.4932,1.0038,0.5914,0.0137,0.361,0.3352,1.7453,0.5323,3.7138,4.1875,2.8849,12.854,78.8629,81.3733,0.7169,26.0525,35.2204,4.4332,8.4282,2.5943,9.7932,3.0974,10.7314,1.3714,23.8904,4.3923,15.2529,13.1054,4.9505,4.5542,3.6436,0.0,454.3211,0.002,29672.4106,6.9428,-0.5776,0.0
COL_P,0.5528,0.1255,1.7667,3.9204,0.0038,10.7324,2.8801,0.1106,1.0489,2.9704,1.4944,0.6502,0.8341,0.9912,1.505,0.4771,0.0095,0.1878,0.3116,0.299,0.1481,6.247,14.0016,11.5924,10.1673,16.7119,3.6429,0.0263,3.4547,7.6046,1.7419,5.1704,0.0368,0.1678,0.0763,33.0388,12.8429,10.1661,4.9411,171.7402,159.0531,54.3002,1.9854,1.3003,0.0,7905.3671,111.9007,10686.5666,679.5364,0.2633,0.0
COL_Q,39.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1688,0.0,0.0,0.5848,0.0,0.0,0.0,7.1233,15.7015,6837.0508,9.427,9.2441,0.0,13189.998,443.3981,3080.0881,0.0,0.0025,0.0
COL_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8359,0.0,33.1218,8.1695,0.0,0.0,2.0717,0.9942,0.0497,1.0787,0.0,2.3794,0.4098,2.772,0.0,0.0,0.0,86.4422,0.0,0.0,0.0,0.0,6.1818,124.6087,60.9574,41.2976,20.1252,4.7282,7.0521,0.0,0.0,95.8224,19.3919,27.7788,165.0967,47.7647,0.0,4129.4816,11.103,293.2314,9.5778,0.0202,0.0
COL_S,10.361,0.5938,15.1561,5.2286,0.6384,17.6936,2.6269,0.1519,3.379,4.2318,23.6158,4.9801,0.908,4.2241,1.9061,1.1643,0.0525,0.9191,13.6435,2.1306,0.5365,4.8361,7.2213,5.199,10.7059,66.1367,77.0788,2.6024,1.7691,8.1413,7.2224,16.253,3.106,53.4358,9.7779,42.8376,3.6883,29.0559,21.664,47.3146,7.8916,25.4878,225.9119,233.0443,0.0,2425.4254,423.3397,0.0,82.3618,0.0004,0.0
COL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.4859,0.0,0.0,0.0,0.0,0.0
