V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,DEU_HFCE,DEU_NPISH,DEU_GGFC,DEU_GFCF,DEU_INVNT,DEU_DPABR
DEU_A01_02,2921.0145,0.6487,28.5419,24.2809,0.1101,26812.3768,80.9188,2281.1863,99.865,20.3619,64.8889,22.0073,206.9405,24.5775,33.4854,46.9967,13.057,14.9376,45.0736,117.0747,5.714,111.327,241.8563,45.859,205.5949,708.5775,68.893,42.2343,2.1406,50.5499,11.4856,379.669,10.6316,16.6289,13.3942,36.0278,798.2097,63.9568,918.6463,670.6708,63.6177,406.1594,29.1373,87.1665,0.0,23402.6065,6.1651,62.5519,1288.0956,485.3545,0.0
DEU_A03,0.0,30.7275,0.0,0.0,0.0,178.4994,0.0,0.0,0.4173,0.0,0.6185,0.155,0.0,0.0,0.0,0.0,0.0,0.4111,0.5186,0.4451,0.0,2.309,0.0,0.0,0.5838,3.2789,0.0,1.0521,0.0,0.0,0.0,43.2443,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.6474,0.0,18.262,1.2233,0.0052,0.0,122.6681,0.0,0.0,0.0,2.9207,0.0
DEU_B05_06,15.2261,0.1185,134.9129,19.447,0.2252,124.9994,11.6521,6.5311,50.9064,1286.0711,148.2849,13.7922,22.6215,107.4548,425.731,35.0718,9.8434,14.131,80.5085,33.4721,7.7391,15.5674,1691.6155,18.0329,38.0039,142.2982,23.6854,14.2993,3.4316,13.0024,5.79,19.0296,5.1162,5.5972,4.0697,14.3459,7.7526,22.8106,20.2962,78.5119,17.6721,83.8751,5.6099,11.1727,0.0,1100.1626,0.0028,2.6978,26.159,31.963,0.0
DEU_B07_08,26.6875,0.5013,0.8619,40.2216,0.5989,28.4401,2.9167,10.2208,5.929,7.5701,29.2365,10.9346,8.1866,322.5429,61.9912,11.616,10.1903,11.4168,32.12,30.1986,4.0336,17.1593,30.8637,5.7155,799.4558,16.7591,3.0699,0.6626,0.3848,2.3625,0.6757,6.3466,1.0074,2.031,0.4288,0.6618,2.647,4.7142,8.4072,62.3396,1.4779,17.2339,1.6354,2.7292,0.0,198.1826,0.0426,4.9634,93.905,14.1926,0.0
DEU_B09,0.3888,0.0266,33.81,6.9859,1.0028,0.4033,0.0053,0.0237,0.7637,30.7104,5.4081,0.2675,0.2762,5.9185,6.3176,1.9799,0.0053,0.0612,0.3194,0.021,0.0203,0.0773,5.5417,0.4366,20.6583,0.1422,1.8101,0.2398,0.2134,2.2481,0.0155,0.0324,0.0331,0.0,0.0006,0.0515,1.8578,1.2224,0.8131,0.4078,0.071,0.0849,0.0621,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU_C10T12,3751.0472,0.2611,21.765,15.2646,0.1924,31246.5864,54.4103,14.0934,49.6589,45.4866,1402.7191,755.0618,46.4509,26.6278,48.6425,32.15,31.934,29.8189,68.1875,56.4433,13.868,62.2761,31.5847,6.9446,310.0954,158.995,9.6653,607.8915,103.7243,6.1183,3.9884,11099.0388,38.379,5.3622,6.0772,12.5319,3.4071,46.9708,36.2793,4968.8723,929.3997,10287.588,126.6124,329.4639,0.0,129584.041,0.2942,779.3246,134.3794,2145.9099,0.0
DEU_C13T15,39.2127,20.3791,1.7535,1.459,0.1941,53.9111,1141.4233,7.8675,18.6941,9.8176,21.9527,40.2719,324.7036,9.7487,11.9225,57.4295,50.3956,52.8145,129.4315,536.1284,42.6544,323.1174,14.2012,8.6001,251.4912,96.5291,9.4769,4.587,1.6477,9.56,26.7929,69.5143,12.8826,4.3757,40.0613,25.186,5.3557,24.1836,101.7941,73.9061,27.2856,179.4421,68.2022,43.6391,0.0,15370.5582,0.0623,177.9934,206.8318,251.7105,0.0
DEU_C16,73.6655,0.7018,14.3638,18.861,0.1839,246.8145,31.0105,4449.6988,234.5136,14.9766,234.1504,59.1348,75.6689,102.0955,85.6903,286.9704,119.0489,108.2169,396.7029,395.0346,503.1349,2102.3517,159.3005,64.7604,5713.4045,289.7606,19.1307,3.705,1.8247,53.441,12.6448,71.9244,12.5507,35.4316,10.0222,33.8623,116.6253,150.1793,393.3781,194.4869,151.889,126.2098,54.4649,646.0588,0.0,3008.3064,0.3615,10.4745,3361.012,198.0884,0.0001
DEU_C17_18,57.2045,4.642,11.8446,72.9386,0.3067,2790.309,291.7878,115.4664,8425.7577,37.9425,1015.2569,1117.5033,389.1413,252.3478,87.1285,372.3521,510.5284,539.891,559.6695,574.6627,72.3297,602.7487,109.9157,88.9026,569.4807,5188.5696,93.1529,13.6701,9.7199,99.7755,352.2367,78.7346,2941.6451,337.1889,156.4326,922.1243,83.645,2112.6645,1331.6275,897.5688,267.381,847.4587,123.1097,325.6254,0.0,7982.4191,4.4406,49.8498,393.5438,339.4919,0.0002
DEU_C19,862.1693,7.3413,25.9151,89.4303,3.8659,219.2445,47.4167,55.9488,77.1711,1607.9475,1561.2139,186.5088,197.562,376.283,489.0333,109.0549,75.3121,118.5679,186.8249,314.2975,49.7336,95.9857,633.3374,327.097,1772.1039,2252.5918,1600.492,941.3555,1179.5673,1779.063,452.4617,111.1202,76.5345,50.231,81.4102,68.9871,57.8722,503.2008,402.2286,814.1088,148.0883,324.3596,101.3084,223.8707,0.0,14681.3239,2.0071,32.4273,219.8976,246.292,0.0003
