V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T,ISL_HFCE,ISL_NPISH,ISL_GGFC,ISL_GFCF,ISL_INVNT,ISL_DPABR
ISL_C25,1.3964,3.6577,0.0654,0.007,0.0024,2.8237,0.0,0.0174,0.0,0.0012,0.2484,0.0,0.0031,1.3566,3.875,20.1538,0.1956,1.474,9.0925,0.1929,1.5635,5.3716,18.0426,2.2286,147.9298,0.0,0.0,0.0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0321,0.088,0.0,0.4809,0.0,0.0,0.0,0.0,17.5288,0.1288,0.0,67.449,1.4062,0.0
ISL_C26,0.0059,0.4033,0.0003,0.0015,0.0,0.045,0.0021,0.0012,0.0038,0.0,0.0049,0.0088,0.0016,0.0074,0.1655,0.0122,0.0651,0.0094,0.0103,0.0017,0.0161,0.1256,0.137,0.0177,0.0666,0.2336,0.0621,0.2635,0.1869,0.041,0.0175,0.0807,0.1164,1.4613,0.9709,0.2135,0.4422,0.5662,0.1782,0.2037,0.4587,0.8572,0.0334,0.06,0.0,1.8567,0.0173,0.0,9.4607,0.0734,0.0
ISL_C27,0.0009,0.0669,0.0013,0.0067,0.0001,0.167,0.0041,0.0,0.0,0.0,0.0,0.0,0.0128,0.094,48.4482,0.11,0.0144,5.0703,0.3298,0.0185,0.0358,0.8173,8.933,0.0671,3.7477,0.1908,0.0079,0.0131,0.0412,0.0051,0.0063,0.0119,0.0249,0.3427,0.1045,0.0154,0.2322,0.0742,0.6667,0.0391,0.0,0.0,0.0,0.0024,0.0,7.9392,0.0267,0.0,11.6491,0.2743,0.0
ISL_C28,5.2465,13.0623,0.0648,0.5714,0.0029,12.8482,0.1434,0.4014,0.2785,0.0016,0.475,0.4205,0.3868,4.3758,18.488,2.7797,0.0448,2.775,28.3318,0.1014,0.5221,7.5124,10.9152,2.5818,104.7794,1.1113,0.1612,0.9409,0.5944,1.4397,0.0,1.0109,0.3981,0.0,0.0,0.0,0.0,0.0,8.5217,0.0,0.0,0.4196,0.0,0.5177,0.0,1.6804,0.1074,0.0,72.1829,1.4948,0.0
ISL_C29,0.0467,0.0418,0.0002,0.0528,0.0,0.1413,0.0058,0.0021,0.0054,0.0,0.0073,0.0145,0.0047,0.0174,0.1159,0.0188,0.001,0.0138,0.0214,0.0193,0.002,0.0837,0.0368,0.1904,0.2224,0.4961,0.4788,0.0461,0.0267,0.0959,0.0384,0.077,0.0211,0.064,0.0705,0.1044,0.1759,0.086,0.3745,0.145,0.0283,0.038,0.0204,0.033,0.0,4.6364,0.0028,0.0,0.6522,0.0654,0.0
ISL_C30,0.0,2.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2216,0.3201,0.0,0.0,0.0003,0.029,0.0,4.3729,6.9015,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1384,0.1025,0.0,0.0,0.0,0.0,0.0,6.5011,0.0,0.0,25.5798,-26.1822,0.0
ISL_C31T33,2.8229,18.0937,0.1032,0.4427,0.0043,11.3338,0.3308,0.2292,0.6264,0.006,0.6381,0.9332,0.3375,2.1968,17.7912,2.4935,0.0717,1.0538,3.829,0.0343,0.3094,49.1078,15.2316,3.0328,24.025,29.9254,2.9538,7.7383,18.064,3.6272,0.4809,14.3681,1.8015,3.1322,6.8962,3.3581,4.3762,8.9766,9.7389,12.832,11.2376,13.4929,23.2155,4.698,0.0,187.1731,0.362,0.0,57.3788,0.0709,0.0
ISL_D,14.1132,4.5797,0.1773,0.3528,0.005,37.6344,1.3196,0.8814,2.7701,0.0246,3.7782,6.6862,2.6082,8.5947,233.2716,13.7598,0.2623,2.9694,9.705,0.1197,0.3107,12.8804,118.1252,9.2092,30.7459,67.8887,2.2151,8.8498,12.416,13.2958,4.5692,29.5099,11.1025,22.8446,29.4498,30.9827,61.5064,30.9241,16.7908,65.2525,39.2298,20.5696,6.1606,14.7975,0.0,157.2964,0.9198,0.0,0.0,0.0,0.0
ISL_E,4.1069,1.9689,0.0364,0.0467,0.0017,17.2721,0.2323,0.4811,0.3625,0.0031,1.3468,0.4121,0.7737,2.1157,79.7655,0.4956,0.0212,0.2617,0.5125,0.0119,0.0426,1.2089,10.13,37.1458,7.4452,9.6339,1.0135,2.6387,1.5585,1.8659,0.3589,7.3699,0.9173,1.8701,2.0491,2.0623,5.5693,6.2729,2.0319,2.1993,2.8957,7.3838,0.6309,2.505,0.0,21.4954,8.3769,81.8145,0.0,0.0,0.0
ISL_F,0.3025,0.5037,0.0485,0.7724,0.0035,2.8092,0.0639,0.0482,0.1016,0.0029,0.1236,0.22,0.0494,0.1921,2.1592,0.3068,0.0173,0.2162,0.4074,0.0102,0.0357,1.8618,2.0068,0.558,186.7035,2.6157,0.4682,0.4355,0.9238,0.3813,0.0787,0.5783,0.452,0.3931,1.0764,1.0685,332.7342,2.362,0.6319,0.8523,0.3165,1.0111,0.3072,0.6774,0.0,71.612,1.6319,148.0675,3094.5659,0.0,0.0
