V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T,MAR_HFCE,MAR_NPISH,MAR_GGFC,MAR_GFCF,MAR_INVNT,MAR_DPABR
MAR_C29,1.2707,0.5774,0.0088,3.0336,0.0421,8.396,2.6705,1.7431,0.2594,0.0094,3.2003,0.4074,0.2295,5.7146,1.436,18.2574,1.122,8.3946,2.5043,1902.2051,4.8934,13.1751,2.7668,0.8126,35.5181,176.4717,56.545,1.8421,7.3848,12.3291,5.8794,0.6189,0.4058,25.1583,1.026,0.0108,0.4454,2.2314,7.8107,7.9548,1.7588,2.4682,0.3375,1.2103,0.0,906.1991,0.0,0.0,1124.9946,146.3199,0.0
MAR_C30,0.0,0.6897,0.0,0.0,0.0003,0.3963,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,27.4043,2.2193,0.0,0.0,0.1167,7.6119,1.7901,0.6167,3.7848,0.4977,0.0,0.0,0.0,0.0,0.0027,0.0,0.0004,0.009,0.011,16.4551,0.0712,0.0648,0.0,0.0,0.0,35.1618,0.0,0.0,256.3225,2.669,0.0
MAR_C31T33,69.7953,13.4181,0.829,32.2178,0.1432,68.3648,18.9123,7.1641,6.8368,0.1196,29.2843,4.1577,2.4929,23.1997,12.0567,8.5758,1.5894,18.8012,1.8257,10.2014,4.9774,27.756,17.8375,4.4223,75.4429,30.8075,18.6473,4.7505,19.828,7.4311,0.9974,10.093,2.2869,12.1657,3.8457,3.4242,128.7713,7.9181,23.1157,9.3065,9.6289,7.3297,3.7594,6.7911,0.0,430.1322,0.0,0.0,126.0312,9.4044,0.0
MAR_D,242.1597,4.2035,0.2243,106.0929,0.3297,195.1295,40.2613,6.7066,16.6985,0.3756,112.8131,12.6557,30.5602,243.7158,50.6821,16.0529,11.4144,47.2715,2.4815,108.851,3.107,13.056,123.1572,11.5627,151.2761,213.8593,38.1795,3.073,8.2296,31.9526,3.3149,93.7054,14.9671,107.5693,5.8782,50.7606,3.0797,8.6776,17.6469,160.2119,71.479,92.0891,15.253,32.9114,0.0,2225.492,0.0,0.0,0.0,0.0125,0.0
MAR_E,45.0831,1.0115,0.0482,19.8046,0.017,32.922,6.055,0.8687,2.2301,0.06,19.7402,2.9395,3.7913,32.4061,9.603,2.3553,1.6869,6.0218,0.3379,14.6415,0.5644,0.897,16.0964,11.2802,38.2107,39.9348,5.7112,1.5521,2.0073,5.9226,1.3661,17.5049,1.7151,17.2556,0.7964,9.3868,0.9614,1.4874,3.5913,33.9456,13.8947,16.9875,3.0147,7.5406,0.0,331.9591,0.0,0.0,0.0,0.0002,0.0
MAR_F,76.9524,1.5034,0.5161,33.0464,0.4077,38.9738,5.2889,2.0832,1.1096,0.1436,13.9016,3.2079,0.3322,21.4587,1.6089,1.1115,1.8349,9.606,0.7531,71.4188,5.4168,9.8232,55.0662,9.3975,43.8448,127.0422,10.8621,1.6509,3.7003,11.0158,0.8605,5.9259,3.0344,14.1252,9.1671,92.0527,15.1109,13.403,17.4752,113.7546,46.5669,43.6814,3.4402,9.2314,0.0,931.6103,0.0,0.0,16169.1544,1.8923,0.0
MAR_G,611.0172,42.1309,0.2696,83.3566,1.0347,1392.5399,134.0763,28.4987,52.3052,0.653,179.9723,44.5035,45.2039,129.5366,61.3799,61.6323,21.6271,99.8155,17.4617,231.6445,18.2978,62.3243,39.1293,8.0206,705.5286,325.2689,277.6329,35.6139,102.0861,68.5713,3.5402,106.2299,16.3321,34.4581,16.1344,6.75,6.98,30.2518,72.8006,1361.5804,85.2193,141.0233,9.2149,31.4524,0.0,4533.5716,0.2754,40.5364,951.8239,210.581,0.0
MAR_H49,115.0653,6.5145,0.3685,99.5911,0.2517,181.4996,20.3875,6.3578,16.7834,0.2715,93.3846,9.6424,7.5643,46.9212,18.57,15.2117,4.5321,37.5062,2.3106,21.8543,2.6807,9.8105,9.2419,1.6759,137.7249,110.9796,36.1284,5.6718,13.7995,12.2798,0.8381,12.5423,9.9457,4.86,0.9776,17.4678,0.3585,2.1979,5.1081,33.1092,27.8702,25.2105,6.3056,25.1262,0.0,837.0751,0.0142,4.0829,57.8076,31.5968,0.0
MAR_H50,0.0518,0.0077,0.0014,0.0051,0.0001,0.3772,0.7733,0.0041,0.0686,0.0071,0.2489,0.0331,0.0653,0.0845,0.3707,0.0887,0.0122,0.0839,0.0321,1.3094,0.0474,0.0745,0.5476,0.0578,1.8234,0.0321,0.0422,0.0006,0.0609,0.0006,0.0024,0.0974,0.0163,0.0352,0.0065,0.0017,0.0033,0.0188,0.0444,0.0282,0.0009,0.0045,0.0015,0.0024,0.0,0.0008,0.0007,1.4357,8.2351,184.4857,0.0
MAR_H51,1.3419,0.266,0.0038,0.0902,0.0007,2.875,3.748,0.1107,0.5378,0.0807,1.9382,0.1784,0.444,1.1912,1.8336,0.6591,0.1169,0.8035,0.1846,5.6331,0.3001,0.3513,2.3046,0.3156,7.9959,0.747,0.958,0.195,0.0623,0.0044,0.0139,0.3981,0.083,0.163,0.0216,0.0073,0.0209,0.0723,0.2231,0.0039,0.0039,0.0089,0.0072,0.0142,0.0,0.0034,0.0015,1.2649,16.8453,172.6952,0.0
MAR_H52,21.2881,1.4777,0.1009,18.6433,0.038,35.357,3.4373,1.2097,3.1347,0.0462,17.7231,2.0475,1.4047,9.256,3.3007,2.8357,1.0544,7.9302,0.4276,3.5787,0.4779,1.8773,1.406,0.2708,24.9187,34.1251,13.6014,6.7284,13.3871,14.1768,0.2119,2.3012,2.2418,1.1241,0.2023,2.9543,0.0623,0.3921,0.994,6.3804,2.4878,3.4599,1.1452,4.558,0.0,240.4819,0.0025,0.7401,9.1633,6.976,0.0
