V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_J61,19.031,0.3459,60.0501,51.4993,0.6218,0.7438,0.0705,0.0223,0.1013,0.0549,0.0456,0.0694,0.0628,1.2721,0.7384,0.0163,0.0383,0.0142,0.0094,0.0237,0.0386,0.2409,1.5344,2.4555,10.2153,869.4034,1152.415,0.6763,0.5912,54.0128,0.1634,3.5723,116.5203,165.2434,144.0179,350.9401,41.2818,78.3121,118.6216,478.9871,50.5069,75.7845,61.8986,166.7805,0.0,1593.2214,0.0,1.3999,2.956,0.2955,0.0
KAZ_J62_63,1.6983,0.0979,75.4107,0.223,0.3707,0.3124,0.0382,0.0002,0.204,0.1735,0.0573,0.0464,0.0738,0.1404,0.0008,0.0001,0.0996,0.0511,0.0087,1.2347,0.0253,0.1659,50.9888,1.1202,8.3832,173.4211,62.9023,0.5318,4.3501,2.362,0.0112,9.7458,129.2962,433.6691,39.2498,28.579,44.402,69.7416,39.598,271.0562,81.664,67.5369,16.6999,15.2424,0.0,1.8176,0.0,0.0,387.8121,0.0409,0.0
KAZ_K,744.7053,2.7715,245.0996,42.3384,7.1554,53.0958,5.1974,2.2318,17.5675,5.3322,23.0469,10.6363,10.6431,90.3002,144.7021,1.9998,11.539,9.066,15.0547,14.1264,3.7517,22.9321,66.3422,9.8094,397.0257,2578.8138,762.5709,8.2914,15.6351,280.1187,8.4294,14.027,15.7786,61.0979,22.4498,1578.8322,939.7033,255.6255,411.8983,402.7324,573.8989,4903.7905,79.8536,96.898,0.0,345.6244,0.0,2.9746,0.6032,0.4112,0.0
KAZ_L,19.738,1.5045,134.2795,3.0534,6.0825,4.5291,0.0261,0.1143,0.3202,0.1111,0.2302,0.7408,0.1414,0.6488,1.3016,0.0152,17.1584,0.0098,0.0167,0.2597,0.1391,0.4428,1.8111,0.1524,470.9769,2769.4936,458.1964,2.2996,250.1852,156.7168,36.6958,131.698,279.9503,260.5988,383.5264,2926.7306,530.5215,1177.0705,1014.0419,263.5884,322.7572,53.8437,404.0193,3470.3579,0.0,14673.0801,0.0,0.4818,0.0,0.0,0.0
KAZ_M,294.22,8.0458,2071.9251,73.6139,66.1781,36.4374,0.5093,0.6327,3.9557,14.6421,2.5103,7.5146,1.3421,4.3006,28.4023,0.9867,35.7929,0.5554,0.604,0.5572,0.5058,7.0837,27.9703,5.6472,3942.7937,6461.6564,827.1736,10.9153,18.965,52.2734,3.3596,15.4547,44.0198,162.7569,41.9278,261.6517,547.4377,2569.2792,483.9802,2137.5976,176.1291,136.8035,68.229,641.9589,0.0,127.728,0.0001,31.7815,2708.8915,4.3407,0.0
KAZ_N,97.1192,7.0548,543.7131,113.5723,46.468,18.7635,0.1264,0.4072,3.0321,1.6728,0.5483,7.0484,2.2313,8.3716,63.1541,1.6632,0.2001,0.0577,0.5284,0.4059,0.2494,5.042,25.0805,31.7657,361.8919,3278.4618,486.082,41.3938,17.9397,227.7904,0.3407,19.7947,50.8082,115.4373,34.5603,339.6511,746.1465,1264.423,746.8664,672.6893,330.2833,1000.3877,218.0756,305.6474,0.0,105.3609,0.0,17.2933,13.3613,0.6538,0.0
KAZ_O,3.1769,0.0224,4.2859,0.46,0.1724,2.1371,0.1809,0.2035,0.4134,0.0865,0.1694,0.1882,0.0328,0.3653,2.2449,0.0317,0.0087,0.0188,0.0325,0.0494,0.0189,0.0889,0.4642,0.0694,6.9638,5.6739,2.5383,0.0357,0.075,3.0377,0.018,0.3545,1.2413,2.0672,1.08,2.1392,159.9052,3.3121,1.8388,6.1576,5.7652,12.8592,2.8632,1.2811,0.0,196.6657,0.0004,12952.0182,8.0734,0.3585,0.0
KAZ_P,0.539,0.0037,31.6824,2.7871,0.2594,0.242,0.0643,0.011,0.0368,0.0106,0.053,0.015,0.871,2.5659,46.439,0.0034,0.1438,0.4988,2.145,3.0475,0.0031,0.4814,0.1341,0.0443,0.5633,2.2211,27.2187,0.1093,0.5962,0.2723,0.0224,0.1369,0.7292,10.8463,1.1617,43.6279,135.4682,7.8076,29.6616,115.9582,107.1921,176.2502,8.686,6.6063,0.0,8614.057,0.0248,6376.6713,2.0022,0.0286,0.0
KAZ_Q,17.2791,0.3113,286.0651,9.5754,23.3924,9.3849,0.3284,0.0292,0.2758,1.1856,19.1794,52.512,0.3389,0.7781,70.8786,0.2646,0.1594,0.2027,0.0449,0.1934,0.0554,1.6901,4.201,0.248,6.5587,31.2688,228.771,0.1421,8.8234,152.7996,0.1381,8.2833,0.7215,3.2149,0.6447,262.3031,5.5924,32.0571,207.5432,425.1571,292.4689,3429.7848,193.7247,65.795,0.0,20516.21,0.059,1608.4919,4.0541,1.9837,0.0
KAZ_R,1.0066,0.0,74.4448,1.3104,1.6536,0.0,0.0043,0.0,0.0021,0.0028,0.0046,0.0,0.0064,0.0036,132.2674,0.0,0.0041,0.001,0.0,0.0,0.0,0.6413,0.6652,0.0991,5.4672,0.3372,20.4657,1.2321,0.0146,0.1235,0.2621,0.321,1.1948,31.2607,0.1704,49.7809,38.9695,189.3902,43.2033,50.3816,1237.7729,155.0526,80.159,93.4643,0.0,2052.6967,0.0,434.4227,699.0464,0.003,0.0
KAZ_S,3.9389,10.6209,77.7122,94.6001,1.8311,4.1865,0.0017,0.0262,1.5025,0.0431,0.1193,2.851,0.0003,0.8077,0.8618,0.0053,0.0514,0.0017,0.0372,0.0003,0.0346,1.3134,8.2869,0.5296,3.081,22.9972,12.2638,0.1293,3.9689,10.2704,0.0795,2.5892,15.1954,114.0399,27.4677,47.5978,3.3635,41.0165,48.6426,150.6691,84.0979,63.6092,112.1956,28.399,0.0,10960.2731,1943.8815,0.0,0.0,0.0,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.4271,0.0,0.0,0.0,0.0,0.0
