V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T,CZE_HFCE,CZE_NPISH,CZE_GGFC,CZE_GFCF,CZE_INVNT,CZE_DPABR
CZE_A01_02,1389.4141,5.0313,11.6257,5.6243,2.7028,3538.8591,358.595,455.5082,54.5588,0.6511,34.8308,95.1501,56.3649,39.3253,8.6513,33.4034,4.8578,19.8322,19.9882,24.3763,3.2866,30.5879,122.1968,12.9332,61.6539,354.084,24.6413,0.1035,0.284,25.5963,5.0985,314.514,3.8301,1.2456,1.757,3.438,13.5568,59.4963,36.2326,8.178,11.1315,30.1644,29.0662,16.8319,0.0,2857.7226,7.3696,23.7301,162.8962,-3.9197,0.0
CZE_A03,0.708,1.7602,0.0051,0.0029,0.0005,2.9334,0.1656,0.0099,0.0243,0.0025,0.0817,0.0469,0.0684,0.0342,0.027,0.0373,0.0266,0.1057,0.0342,0.114,0.0073,0.0378,0.0707,0.0447,0.0864,0.2954,0.098,0.0003,0.0022,0.0445,0.007,0.1976,0.0398,0.0081,0.0748,0.0272,0.0764,0.0684,0.0535,0.0258,0.0725,0.1489,0.092,0.5354,0.0,21.99,0.0467,0.2366,0.4259,-0.946,0.0
CZE_B05_06,9.7228,0.0652,6.7988,3.2694,1.4756,8.5205,1.6682,1.6508,6.9324,8.3237,66.3103,0.783,90.8253,20.2494,134.4837,4.3828,1.3621,2.1295,3.5926,6.8938,1.1146,2.4009,442.2924,2.5005,9.1645,9.228,6.243,0.0101,0.3476,5.7716,0.6239,1.8269,0.7226,1.0595,0.8805,1.4706,16.3883,4.8305,3.0238,13.0658,5.734,6.6134,1.8487,1.845,0.0,202.4592,0.0815,2.4993,7.7878,0.1335,0.0
CZE_B07_08,6.76,0.1446,0.9399,35.3011,1.4621,4.892,0.296,0.5996,0.676,0.1214,28.647,0.4675,1.6556,199.9223,141.128,8.4032,0.8102,8.7614,4.9574,4.9588,0.9005,1.2514,5.2999,8.8375,173.7554,9.2983,2.2273,0.0358,0.0449,2.9024,0.2803,0.6347,0.2643,0.3003,0.1782,0.4279,12.3002,2.219,6.519,3.018,0.6393,1.7116,0.5507,0.7493,0.0,40.4212,0.0719,1.7649,13.5181,0.5895,0.0
CZE_B09,40.0097,0.1925,28.8239,28.3618,16.1736,0.9775,0.1318,0.4935,0.3487,0.4172,1.0893,0.3906,1.5485,3.3144,1.6206,0.5613,0.3438,0.4033,0.4662,2.0784,0.1027,0.5212,1.7713,0.1777,8.7908,1.8003,1.209,0.0026,0.0366,2.0612,0.1446,0.1963,0.068,0.0843,0.1232,0.1488,2.0039,2.509,3.7987,0.8537,0.2461,1.0456,0.1344,0.2119,0.0,5.1289,0.0165,0.9787,1.089,0.3659,0.0
CZE_C10T12,723.7583,2.5575,1.8021,1.5138,0.2196,1130.4437,13.9244,7.9081,12.2295,1.7857,110.0191,11.7448,61.3369,15.0356,16.2855,27.7493,14.4315,13.7236,23.6687,53.9806,3.6872,15.1359,18.8066,9.8552,32.6208,229.1709,16.6038,0.3211,1.0288,11.4127,0.984,425.9729,6.1317,2.2843,8.067,8.6341,35.7501,36.7233,44.6838,33.5922,35.415,101.1841,12.8511,14.206,0.0,8511.8323,4.7305,14.9027,57.8748,-4.9049,0.0
CZE_C13T15,28.4669,0.0972,1.5989,0.6034,0.0858,9.708,147.6192,1.9942,56.8468,0.2395,10.4905,30.2546,77.4532,14.1542,2.7627,10.6868,4.8787,13.8158,18.867,311.3187,4.7746,49.1034,8.5238,8.084,32.2907,70.8051,13.4917,0.0663,0.1001,2.9834,1.8023,10.0926,12.4445,0.9217,2.846,1.7086,32.1344,15.3809,32.0023,14.4892,3.8506,68.1356,8.9122,12.9135,0.0,707.0706,0.4943,13.7739,22.2476,-2.0673,0.0
CZE_C16,61.7626,0.049,1.3829,1.5782,0.123,12.5443,1.4146,658.4435,149.4466,0.2094,9.1069,1.3201,19.9975,32.8331,37.0241,31.7007,3.017,10.3001,20.167,117.9044,4.2681,239.996,37.3408,13.2638,378.1144,50.9235,9.7887,0.0416,0.2062,12.0982,1.7133,11.0187,10.717,0.8885,7.7303,2.4674,279.0044,41.0762,16.1393,12.0319,5.7999,9.2516,3.0063,7.7555,0.0,191.3442,0.1012,3.4242,23.6989,-3.0917,0.0
CZE_C17_18,10.6671,0.0815,0.5976,1.4755,0.089,100.2248,14.9809,27.2917,829.2142,0.2026,27.3646,22.1993,44.2668,35.5595,12.9511,24.3597,5.1272,25.7625,29.6452,47.1498,9.0825,68.2868,23.2485,7.9009,31.4027,223.4514,8.0163,0.3462,0.3591,15.4989,7.0662,25.3398,205.5174,4.6137,76.361,80.0323,50.6419,543.5752,111.1192,29.9151,54.0102,38.3945,23.647,29.3863,0.0,267.8675,0.7278,11.4944,9.0667,-1.7497,0.0
CZE_C19,16.5707,0.0749,0.7847,0.95,0.4161,4.0307,0.2696,2.1211,0.8196,1.177,32.6453,0.3729,2.0275,3.747,17.3337,2.5466,0.3908,1.1047,2.2084,5.4627,0.6228,2.5249,4.4174,4.4723,21.0849,31.272,52.2435,0.1694,1.8521,14.1929,1.2934,1.1797,0.2923,0.5099,0.7478,1.3185,6.1384,3.3873,5.0087,5.5674,0.5637,2.117,0.7119,0.7216,0.0,77.9232,0.0007,2.0266,0.5461,0.0511,0.0
