V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T,AUS_HFCE,AUS_NPISH,AUS_GGFC,AUS_GFCF,AUS_INVNT,AUS_DPABR
AUS_A01_02,10905.6338,1016.2386,37.7457,165.7893,0.8745,23005.7069,458.3594,1802.2367,4.613,8.5375,14.3659,23.9071,253.027,0.283,0.0237,8.1203,0.4367,0.4497,1.2745,1.5173,3.1926,19.4757,15.7865,42.4529,1395.3114,2387.0682,32.1067,15.3917,7.9692,30.3456,10.1118,1194.0769,29.1591,29.6808,27.4957,31.0602,164.4908,131.488,187.1548,232.0284,236.429,531.5306,275.8287,248.8436,0,13237.4602,7.0927,416.9757,2833.3135,52.4508,0.0
AUS_A03,83.7938,176.5783,0.0,0.0,0.0,1873.7226,20.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8073,0.0,0.0,0.0,1809.1693,0.0,0.0,0.0,0.0,0.0,602.3541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6313,0.0,0.0,26.153,0.0,0,3148.3074,3.7145,38.5583,0.0,32.6392,0.0
AUS_B05_06,61.0239,5.2018,1212.0819,1347.4867,64.1333,251.0792,5.1713,41.9989,106.1563,1566.1057,82.946,6.974,85.4608,16.2465,2.9767,70.4489,3.866,3.6405,10.9314,7.0851,18.4326,14.7917,1292.1046,17.2457,668.9431,701.0777,143.0009,15.7673,7.8525,50.4452,90.2615,195.628,22.9763,18.3901,9.3945,15.4316,97.8584,89.4646,68.3092,130.7324,58.0635,137.3756,9.104,22.2263,0,2531.3386,0.1973,44.4165,1409.0798,-149.0161,0.0
AUS_B07_08,201.1472,21.4918,2099.4494,1051.1247,30.0918,371.2313,18.0199,44.0944,54.5071,37.8165,5734.1663,4342.9972,49.5031,8325.9816,33396.0022,118.7424,10.968,11.3247,30.1177,20.1101,26.5004,87.1714,896.6303,130.3819,3456.0695,5465.4373,459.4141,52.5575,38.6084,262.0542,161.0467,83.1144,28.4645,66.9674,58.114,59.8268,107.9493,157.114,179.0502,217.947,71.5639,144.3598,44.679,25.1283,0,1537.5112,1.6964,250.3762,363.6996,168.087,0.0
AUS_B09,33.0188,2.7868,3547.7986,5143.4877,39.3352,27.9303,1.2335,3.1469,8.8504,4.4428,1.1251,1.1474,5.093,0.7941,0.2381,17.704,1.5597,1.2318,3.0918,3.0782,4.9999,5.0635,38.4047,15.3309,373.5405,120.427,27.7986,8.4461,28.7328,71.8898,8.5509,6.6092,2.571,24.161,15.9483,17.9778,25.9914,32.8547,27.2361,43.1249,17.006,25.2016,3.9458,4.1025,0,104.0394,0.3524,178.5534,2191.1017,0.5728,0.0
AUS_C10T12,994.0868,164.5051,103.3713,141.715,25.0555,7324.6867,112.5123,10.459,16.2182,27.8054,13.8043,15.4915,34.3634,2.4067,0.9666,22.4265,9.1748,6.8438,19.8708,9.6929,18.8673,42.2745,55.4745,77.238,323.7477,1585.3444,54.2689,10.3618,17.2037,25.0801,33.4323,6803.1113,16.5629,13.5675,31.2575,51.2774,34.6366,172.0562,144.2887,360.7721,418.0789,1947.1226,400.7049,114.89,0,38567.6374,12.2764,41.4604,172.7533,17.1063,0.0
AUS_C13T15,12.1323,15.3594,22.725,23.3149,0.8267,50.2565,103.2114,2.8423,10.1322,0.755,1.1551,1.8757,19.7644,1.8393,0.0313,23.651,3.2776,2.0837,6.4618,13.1387,26.2684,54.6811,7.2942,16.6513,212.8094,123.1887,22.822,3.7893,2.0995,1.0544,8.9719,11.44,1.3332,6.9181,0.0,0.6513,2.6077,21.2237,25.7318,89.1527,95.9565,304.6988,16.0357,42.7016,0,2468.4608,0.7966,0.0,116.3555,6.5784,0.0
AUS_C16,23.6866,6.6369,15.6115,43.0982,2.3573,11.3232,3.0181,859.8773,142.9207,7.9995,0.2947,0.2419,16.482,2.0103,0.1217,61.4824,3.2825,4.5276,12.1652,15.03,34.6423,422.4339,12.627,26.8739,6870.9352,114.494,20.2562,1.6131,1.2601,12.3067,5.2589,8.9892,1.8298,1.9106,2.1279,3.2815,8.8352,6.0079,8.7331,26.0919,135.6377,17.7695,21.3078,12.594,0,315.1377,0.9571,2.6156,196.2611,-49.6141,0.0
AUS_C17_18,80.4766,10.5051,77.8471,104.6998,16.1945,710.2924,13.9077,35.4362,791.9475,15.8693,11.2664,17.653,73.2289,8.7816,0.8304,40.5088,20.2973,14.7239,27.72,12.4116,20.8272,40.3863,69.9933,40.0949,590.0358,1049.2064,73.9836,16.4254,17.0804,27.7295,54.2107,149.884,580.7696,45.999,85.4016,220.0486,35.0576,125.9843,132.2855,332.5787,222.5687,329.5183,56.2028,68.5018,0,2678.1808,2.2973,29.6826,173.7164,-18.247,0.0
AUS_C19,500.1274,163.3056,525.4055,862.148,34.4631,49.7653,3.0203,6.1958,5.1579,203.323,7.1742,2.9592,26.9589,1.8071,0.8346,30.6098,1.8835,1.9982,4.9873,6.6049,14.0642,11.704,45.5472,124.3859,809.738,201.575,855.631,173.9226,625.6613,82.7172,149.7561,28.9949,23.4807,127.1272,0.9561,121.555,11.1656,89.8583,41.8904,159.7771,16.85,64.149,12.5519,16.2122,0,2723.9198,0.0224,3.6812,18.7568,9.2992,0.0
