V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T,KHM_HFCE,KHM_NPISH,KHM_GGFC,KHM_GFCF,KHM_INVNT,KHM_DPABR
KHM_K,1.2569,0.0043,0,0.9899,0.1425,12.6699,2.6801,0.1339,0.1642,0.508,2.7264,0.4056,0.3655,0.0996,0.224,0.5023,0.0006,0.0011,0.1305,0.0376,0.0444,0.4169,2.5627,1.1154,7.1315,29.7168,7.3736,2.0124,2.6474,2.5906,0.2279,6.316,0.4903,1.2914,0.5587,13.2856,67.3538,1.322,1.124,1.844,2.1611,0.9724,0.4524,0.8809,0,227.5672,0.0653,0.1904,5.3429,0.0603,0.0
KHM_L,0.0476,0.0001,0,0.0621,0.0144,0.3618,0.0299,0.1018,0.0059,0.0272,0.0052,0.001,0.0161,0.0052,0.002,0.0078,0.0,0.0,0.0001,0.002,0.0027,0.0059,0.0199,0.0132,0.0421,0.8294,0.2927,0.0393,0.071,0.1813,0.0097,0.4803,0.0152,0.0746,0.099,0.1478,1.7683,0.2616,0.1129,0.4663,0.2014,0.0361,0.0086,0.0134,0,1454.8068,1.3316,1.4194,0.0003,0.0054,0.0
KHM_M,8.3834,0.0148,0,0.6274,0.1731,11.5405,1.846,0.1162,0.6845,0.4685,0.2207,0.075,0.6827,0.3033,0.1241,0.3038,0.0,0.0001,0.0206,0.1248,0.1765,0.1654,0.891,4.0486,10.0411,32.2703,4.8944,1.1767,2.0368,2.2073,1.2321,14.8327,4.1187,12.2389,4.5627,4.402,52.2637,20.0525,3.5507,15.6125,3.7058,1.4204,2.8199,4.4585,0,136.5419,1.9626,10.1342,39.9854,0.0472,0.0
KHM_N,5.3997,0.0092,0,0.2649,0.0565,7.3874,1.5397,0.1104,0.3952,0.181,0.1104,0.0258,0.48,0.2072,0.1412,0.4232,0.0,0.0,0.0095,0.0566,0.0854,0.1456,1.2622,2.7675,6.151,21.6067,6.1383,2.3825,5.3512,2.3042,1.7569,20.9289,2.3281,9.2173,3.6624,3.2369,35.5858,7.8602,7.7018,8.8157,2.9084,1.2559,2.1243,2.1968,0,130.6398,1.2259,0.4959,2.2235,0.0003,0.0
KHM_O,1.0828,0.0012,0,0.4859,0.0922,1.5905,0.0796,0.0062,0.0574,0.0028,0.0152,0.0037,0.0207,0.0154,0.0229,0.043,0.0,0.0,0.0,0.0011,0.0021,0.1672,1.907,0.5552,0.1075,1.6725,1.3157,0.266,0.4452,0.4447,0.0355,2.5668,0.2633,0.1679,0.743,0.0486,4.379,2.3017,0.7151,0.3438,1.6967,1.6382,0.1899,0.2814,0,69.863,0.0,625.1252,0.0001,0.0,0.0
KHM_P,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,0.002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.2677,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.1485,0.0001,0.2447,0.0,0.0001,0.4346,0.0897,0.0,0.3686,0.8456,0.1772,0.3765,0,232.0278,45.5272,189.4879,0.0,0.0,0.0
KHM_Q,0.0,0.0,0,0.0,0.0,0.0001,0.0015,0.0,0.0,0.0047,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.1935,0.0,0.013,0.0008,0.0001,0.0002,0.0004,0.0,0.0,0.091,0.0,0.2752,0.0,0.0,0.7907,0.3067,0.0,2.0212,0.9397,0.2399,0.4411,0,398.2371,119.1256,313.6094,0.0,0.0,0.0
KHM_R,3.3034,0.0178,0,0.159,0.0323,3.8994,0.1448,0.0106,0.0552,0.0164,0.0287,0.0072,0.0648,0.1034,0.0207,0.0479,0.0,0.0,0.0132,0.0367,0.0483,0.0185,0.8505,0.373,1.1494,0.813,2.217,1.9254,1.2059,1.4669,0.671,3.0084,1.855,3.0145,0.3172,0.3546,3.6499,1.037,2.0039,1.9287,1.6689,0.3264,5.6233,0.946,0,106.4694,20.3008,56.0027,0.6114,0.023,0.0
KHM_S,6.8241,0.0978,0,0.368,0.0971,6.4993,0.4273,0.0439,0.1156,0.059,0.0808,0.0158,0.1378,0.3727,0.052,0.1314,0.0,0.0001,0.0337,0.0946,0.1421,0.2377,4.5635,2.6836,3.3557,3.2117,7.3915,1.4945,3.0243,2.7427,1.4436,9.8972,1.2898,4.8673,0.555,1.5486,9.0932,2.0587,1.7204,4.5939,2.0874,1.1211,1.2925,4.8281,0,227.0965,181.7922,31.5193,1.4161,0.0,0.0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
