V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T,PHL_HFCE,PHL_NPISH,PHL_GGFC,PHL_GFCF,PHL_INVNT,PHL_DPABR
PHL_A01_02,13002.7887,513.2823,1.8021,9.1941,1.5248,21083.85,373.8528,198.9844,84.067,26.5584,67.3207,10.4435,82.271,189.5227,11.1905,5.0933,28.1589,6.8986,3.2331,5.4691,2.4361,50.3701,6.275,7.0879,48.1084,419.9822,20.2813,28.2499,9.5764,7.7236,1.157,174.5273,3.9927,15.7358,11.3928,60.2044,16.9265,14.5073,26.3822,69.4154,5.5244,8.8351,3.2685,9.4283,0,8990.7723,13.5484,187.7073,3897.0421,-46.4208,0.0
PHL_A03,63.2933,247.2883,0.8264,12.5379,0.4182,1903.2648,36.1225,344.9386,71.8042,35.1361,103.2284,1.2444,1.3001,336.5791,9.0975,7.5158,25.4583,3.5332,2.9983,67.4,2.7836,10.442,10.8757,10.8763,36.2726,404.5165,5.9434,2.5225,1.8752,1.5211,1.2721,49.7559,3.0199,3.6162,3.1374,17.7317,19.5714,13.2515,28.3432,59.1792,14.8049,14.5079,7.1907,12.7901,0,6532.341,5.038,60.9693,47.3291,-6.1279,0.0
PHL_B05_06,0.5734,0.2972,1.2477,3.7598,0.3643,3.3588,0.5107,0.1109,0.2649,777.37,3.2054,0.0394,0.0915,44.4304,237.4251,0.3738,0.928,0.1715,0.1013,0.1864,0.0685,0.2139,54.2355,0.2509,4.3989,4.0995,1.3337,0.4599,0.6995,0.2866,0.054,0.4031,0.0658,0.2235,0.1226,0.7372,0.3728,0.2671,0.4263,0.2975,0.1328,0.173,0.0643,0.1547,0,8.0314,0.0738,0.8691,17.8306,-3.1094,0.0
PHL_B07_08,1.1684,0.2763,40.0059,131.8705,1.7256,25.4509,0.7238,0.2283,0.4345,3.5211,54.7101,0.294,1.2468,281.7302,1106.3515,255.9844,5.7102,1.6996,2.4175,1.0825,0.7775,3.894,19.7586,4.1105,208.7142,13.3572,1.354,0.5552,0.8051,0.4383,0.0725,2.224,0.1721,0.6586,0.2835,1.5894,11.1022,0.7242,1.2135,2.803,0.509,0.482,0.5151,0.6809,0,33.146,0.4047,3.2061,50.5437,-7.7535,0.0
PHL_B09,1.9614,4.1365,14.2547,16.0863,4.5658,1.2014,0.0483,0.0253,0.3333,101.9213,3.3418,0.0346,0.067,4.0022,5.4624,0.457,0.1349,0.0609,0.0337,0.0269,0.0126,0.0286,2.9752,0.3144,12.1002,0.3762,1.1849,0.1738,0.4029,0.3227,0.0089,0.1216,0.0167,0.0439,0.0233,0.1466,0.4996,0.1826,0.5755,0.2406,0.0436,0.0359,0.0376,0.0253,0,1.0998,0.0284,0.2363,1.6709,-0.1347,0.0
PHL_C10T12,1963.3336,2334.8279,0.8249,5.4247,0.9853,15563.701,42.5157,9.213,16.4501,46.1308,94.238,9.1501,16.3355,15.427,17.3307,10.7726,71.622,8.7506,5.861,64.1244,4.9043,25.4104,13.8439,2.3762,63.2563,2031.3329,14.5709,11.9143,8.6057,4.5796,1.6497,2560.2741,4.05,8.9055,28.6035,176.1352,26.3556,282.4629,183.9156,249.9743,21.9735,27.3286,13.9455,26.4643,0,61107.5696,12.3964,3608.8204,185.3581,-30.3144,0.0
PHL_C13T15,32.9886,30.8515,0.8684,2.0408,0.9188,176.949,2065.2208,11.6298,140.7495,28.6517,88.2238,10.8038,18.9331,31.0714,7.3718,8.0606,132.9208,26.5573,18.1138,53.568,8.5592,182.086,8.4971,1.3859,93.246,351.1692,14.124,6.8359,8.4177,4.8446,1.4055,79.596,8.1212,8.8562,3.6635,36.7232,17.9236,10.515,29.5702,45.2068,13.9715,14.2716,31.4139,14.5459,0,6563.2273,4.5359,95.7717,71.9475,-83.5547,0.0
PHL_C16,2.0059,0.3348,0.1901,0.415,0.1741,52.0134,3.8324,181.6654,179.0075,57.915,6.2936,1.2107,6.5949,7.3266,0.8256,0.5164,28.2728,1.9541,2.2718,0.851,1.0207,162.4459,0.521,0.2601,140.532,10.512,2.3503,0.7679,1.5284,0.7515,0.0862,4.9836,2.6647,1.2855,0.3691,2.5981,2.3232,0.7141,68.81,81.4113,22.8467,0.873,0.6236,47.566,0,235.3402,0.8816,5.4028,14.8003,-39.3045,0.0
PHL_C17_18,2.342,0.5397,0.0853,0.3707,0.2493,18.7789,3.2998,1.3257,312.0413,9.157,52.3685,1.4075,4.3945,1.0367,1.4225,0.7269,215.8032,57.9279,2.2715,3.3435,1.2528,15.0995,1.143,0.3458,12.2511,32.9771,45.0748,2.5116,2.8791,4.5626,5.5998,58.1297,65.6546,19.7069,17.0191,234.3528,10.2676,20.2436,56.8261,183.4865,261.5637,19.6909,8.0235,18.9979,0,369.7349,1.4723,1057.433,11.925,-28.2226,0.0
PHL_C19,97.4081,106.1436,19.0829,89.6603,4.1173,660.727,118.3916,17.7056,102.6408,3021.5243,175.8639,13.6867,35.4832,497.0634,780.5055,119.5345,184.75,7.9781,9.6588,47.4983,8.4596,50.0662,937.6384,14.5935,331.8576,1403.1926,1094.1404,350.9471,589.6616,197.4164,41.8996,113.9709,3.1269,57.8032,45.8125,267.5192,97.9592,53.5101,78.2989,120.9306,34.9098,51.5844,6.4521,52.6377,0,2823.0111,1.5679,33.7364,50.2243,-112.8034,0.0
PHL_C20,491.1649,10.2767,1.2043,84.4097,3.6274,211.4999,118.2624,5.3682,45.0155,155.502,3018.7154,256.3807,555.3618,18.2098,27.0514,15.0471,1103.2458,30.3496,37.0257,29.401,33.1516,33.6855,12.3962,21.9771,685.1395,504.374,24.819,10.6436,96.4857,14.103,0.9484,583.8022,1.7257,5.7221,3.2917,28.1471,59.9416,34.792,74.4936,67.6119,53.0653,148.6887,52.8524,463.4626,0,3307.6445,4.4672,398.4675,85.3642,-172.2258,0.0
PHL_C21,3.8765,0.425,0.051,0.4424,0.1916,5.5719,1.0961,0.2044,0.4092,1.4463,9.5668,44.4118,1.7398,0.3075,0.5804,0.2883,5.9556,0.5535,0.4006,0.3885,0.4776,0.8477,0.4304,0.1742,8.0447,4.0576,1.1663,0.3954,0.8575,0.3827,0.0562,2.6067,0.226,0.6653,0.3749,2.1552,1.0412,1.1243,1.3838,2.3726,0.8119,59.3704,0.3009,1.6268,0,1401.3338,1.2291,23.3731,8.3195,-8.4966,0.0
PHL_C22,3.0881,0.4898,0.2499,1.6887,0.7008,6.7844,25.6388,0.7905,2.4203,3.2162,8.4612,1.033,31.8878,0.436,0.9434,0.5861,245.0034,8.542,10.931,1.2442,1.609,18.5898,3.7957,6.7292,296.8251,8.7514,2.6779,1.1247,2.1759,0.9765,0.1065,3.5879,0.6316,1.8584,0.5072,3.3849,2.1838,1.3065,1.8984,3.2124,1.745,1.2252,0.7493,2.1433,0,881.322,0.4188,435.2491,44.5665,-91.747,0.0
PHL_C23,8.8283,1.0993,1.2463,3.8135,1.2836,24.2576,9.4744,1.8232,2.8538,82.7186,78.568,15.7752,20.5088,10.2122,12.7324,16.6415,295.3613,129.7706,67.785,55.0637,81.6345,80.3524,93.7179,3.9963,2192.5355,17.4645,48.5131,20.4321,40.2615,16.3793,0.6835,43.535,2.4728,27.2825,4.4151,5.1752,73.0406,10.4728,4.2485,52.3984,2.539,6.9661,38.5549,16.7884,0,381.5193,1.334,171.1026,122.0011,-305.616,0.0
PHL_C24,7.8709,2.2269,1.4105,9.9478,3.138,53.7304,13.738,3.6508,9.2582,51.0063,37.5674,3.1869,22.5709,3.8403,115.7998,320.8731,736.5042,244.8879,191.8531,44.6082,74.0865,168.1282,16.5774,29.1175,3240.1967,236.552,54.9209,22.9239,47.4643,20.0439,1.4234,41.8042,3.2615,34.0831,7.2507,26.5877,127.0995,13.0325,21.9385,41.0214,5.6268,10.9311,11.1927,19.5256,0,159.6072,0.2077,4.7089,491.0811,-98.4329,0.0
PHL_C25,2.4486,1.2658,0.2757,4.3491,6.8262,20.9359,5.3613,5.2305,5.8296,111.3792,46.4664,6.2087,25.119,0.5505,3.5062,19.7636,582.8041,344.4875,138.3409,44.8625,27.244,22.5636,3.0504,7.216,346.075,23.1918,120.2392,52.9653,118.7309,47.9512,1.7575,86.4226,5.8466,79.1511,11.4601,4.6493,74.4366,27.3646,6.1712,19.6569,1.3516,17.4832,16.6156,43.9419,0,146.672,1.3705,110.2915,273.0975,-224.4036,0.0
PHL_C26,35.9966,9.6615,2.2353,14.067,6.1103,159.6972,27.6795,7.9026,12.2181,50.7468,451.0195,12.9993,32.286,6.1884,28.5744,13.8685,4287.1112,653.8765,77.9696,466.2692,362.7852,68.5676,207.4775,58.6631,930.4514,1368.8606,360.1332,146.5555,346.0593,150.4803,18.4103,480.2612,208.1982,725.2835,85.119,291.1211,410.7498,253.5645,349.3031,32.8161,25.524,126.7593,120.7643,191.7567,0,3233.6964,5.6067,196.9354,3074.0462,-3249.6046,0.0
PHL_C27,15.398,4.2999,2.1357,8.9651,2.019,99.7057,26.3171,4.2685,12.2235,22.5702,18.06,3.1826,9.9908,7.1344,28.4472,10.6287,547.4553,371.2734,19.7583,199.7449,82.113,19.4887,111.5691,21.1532,235.2202,223.0104,184.4541,80.5543,185.7258,76.9576,4.4759,152.6547,16.465,193.8921,24.2181,180.3627,111.0021,56.2812,53.4311,19.6582,8.2155,16.383,15.4093,18.0582,0,617.298,1.5261,84.7965,812.9658,-719.6325,0.0
PHL_C28,7.055,1.696,3.922,57.1708,6.131,43.6991,7.4025,1.7893,5.2112,11.968,7.9758,2.1586,16.6239,2.9536,12.8653,4.5166,170.993,19.1665,24.5358,14.1106,4.9044,12.8329,8.8151,7.4236,45.9088,170.2393,13.9776,19.9185,9.9588,5.5685,0.9839,15.6575,3.049,13.8277,3.7207,24.6092,20.0784,7.3288,20.3494,7.5174,3.6165,6.0159,9.5897,7.0725,0,183.8033,0.8521,30.722,2125.6058,-1960.887,0.0
PHL_C29,10.6102,3.1719,1.5363,3.3614,0.9428,75.0759,13.6425,2.8567,9.0178,16.0522,9.4091,2.0607,2.9517,5.8554,21.9589,8.4473,122.3472,12.9752,8.1868,15.6075,14.7626,13.7162,11.4618,3.3345,54.4364,319.3793,14.4118,13.2232,7.9927,4.8881,1.4116,18.5376,3.0605,12.1985,5.5514,40.6562,31.9234,12.407,35.0495,14.3736,6.216,8.2944,7.2569,7.8159,0,1650.1516,1.5005,556.8437,2632.2954,-1997.2396,0.0
PHL_C30,6.2689,1.9197,0.9761,1.676,0.1488,47.2306,8.1389,1.7638,5.7244,9.1216,5.4583,1.4527,1.4271,3.7237,13.8822,4.7035,98.1011,5.9079,3.8433,10.2617,66.2155,9.1977,7.2511,1.9487,28.3843,346.1624,9.599,30.9214,5.5568,3.2336,0.9494,12.4753,2.2132,8.4333,3.6109,25.5047,39.1538,20.704,23.0958,9.1231,3.9998,5.5121,5.7579,5.2266,0,1105.2317,0.1097,87.1119,2550.2801,-2946.9476,0.0
PHL_C31T33,10.9564,2.3086,11.5986,2.06,2.3259,72.1555,44.4808,68.6605,28.5469,90.4143,99.2967,51.6434,19.3974,3.9337,26.9588,27.6584,902.1639,50.955,168.1901,22.1344,74.4387,305.3112,13.5175,5.219,310.6658,431.2398,92.1038,40.0569,87.6378,42.875,2.4948,55.318,7.23,67.2615,11.3943,97.8843,69.5038,22.7417,44.7357,24.8432,6.7852,16.7487,39.7156,36.9351,0,696.4426,1.7794,98.9016,334.6923,-791.1646,0.0
PHL_D,261.9522,84.2983,37.9856,37.7667,5.0162,1715.6281,226.1866,51.2973,192.1579,387.9111,147.4111,23.2703,33.4135,146.193,477.1915,116.0226,326.1969,43.5837,24.377,121.8655,24.2172,103.7444,270.014,58.0174,480.4092,980.1874,195.669,73.6092,83.5217,58.893,12.1947,224.5438,32.087,152.3906,79.1647,642.5718,307.4384,88.5466,415.1626,143.0137,110.1058,110.037,47.0432,91.5737,0,3570.9731,5.1004,976.0239,142.9092,-8.2148,0.0
PHL_E,33.2324,8.668,0.9686,3.8008,1.5284,394.7835,23.3739,5.3261,19.9437,34.2131,15.5652,2.432,3.5426,15.017,21.2442,12.0843,34.0382,4.5187,2.5555,12.6775,2.5806,10.807,250.6746,26.284,50.2143,101.6107,20.406,7.723,8.6989,6.1772,1.2855,23.5316,3.4109,16.017,8.3598,61.265,36.8244,9.4814,28.9398,34.5611,11.4747,11.6024,4.9583,9.6442,0,1113.8365,22.0215,27.5795,36.7103,-3.4535,0.0
PHL_F,14.8031,3.2688,0.9893,7.1963,6.2947,113.1815,12.8396,4.309,7.0685,35.1727,11.924,2.1417,3.2939,9.4631,16.2667,9.997,46.8811,14.8237,7.3826,8.7949,3.8856,12.0277,12.9393,2.1894,112.5212,176.7106,27.3397,75.7035,6.9731,11.1559,1.1869,37.9354,75.349,13.0927,20.7776,82.3482,25.7281,210.2688,29.8037,13.0718,6.568,26.6013,6.7037,12.866,0,1268.7285,8.202,54.5557,38959.8111,-32.3066,0.0
PHL_G,2988.7428,966.0023,18.9036,71.4778,8.7439,9889.4051,1562.7006,165.1798,274.352,1209.8042,854.238,111.9226,171.5458,293.34,405.5352,117.2583,2238.1502,408.8411,170.1208,314.77,195.6844,365.7129,427.943,48.7177,1439.4184,2705.5218,624.8596,227.4865,421.3853,172.8247,28.3824,1348.3457,170.6242,355.1555,94.1387,606.3857,328.6026,259.0633,368.5605,385.7265,140.2213,174.1383,109.8785,227.6841,0,32890.0648,30.0656,2527.9775,3292.827,-68.3552,0.0
PHL_H49,348.275,73.2783,5.229,23.5012,6.4634,1088.6815,107.5576,42.0436,62.1014,209.3298,103.1051,12.2807,24.6569,71.8188,240.6254,75.0868,256.3808,71.8877,31.0988,65.9158,23.2345,78.7639,54.9166,10.8195,279.8942,635.09,625.5712,108.4386,231.8187,222.8042,19.3354,106.9442,22.821,126.3808,46.8748,52.0122,83.6646,103.3233,78.6503,52.0383,27.4741,15.4811,11.1706,22.5594,0,5614.9594,3.5763,615.1786,394.0263,8.6698,0.0
PHL_H50,6.7627,0.7007,0.1658,0.9502,0.1243,13.4513,2.9893,0.9941,1.0533,9.0655,7.1062,0.7971,0.2258,1.8182,8.2648,2.0999,19.2025,5.229,1.7494,2.2264,1.6173,1.9345,2.4166,0.4542,17.6083,4.5135,9.1603,1.6694,6.4764,1.8075,0.671,5.3605,0.7546,2.2495,0.7242,4.6684,2.8616,1.3856,3.6069,1.2053,0.676,1.0823,0.7693,1.6031,0,31.816,0.4413,8.8991,35.2271,441.3681,0.0
PHL_H51,26.7927,5.5536,0.4718,2.5192,1.1263,69.8613,15.9946,2.6462,4.2267,30.8899,21.9162,2.3232,4.602,5.7784,24.1126,5.0941,55.9158,13.3242,4.7966,7.0215,4.7484,5.6965,8.6878,1.2873,53.9224,192.5841,16.7448,4.4774,173.809,4.2442,1.0831,15.173,2.2943,8.3421,1.7511,21.8953,8.9857,5.6019,8.8335,147.7503,2.6023,3.6993,2.1338,5.817,0,4297.4099,2.1466,113.9954,87.9833,170.3107,0.0
PHL_H52,81.6328,12.6735,2.7416,19.8377,4.4026,163.5409,59.1473,59.0189,9.1775,34.357,16.235,1.9329,4.1182,11.0754,246.6746,106.3833,68.7479,94.1555,36.8934,72.9822,7.2964,49.2833,7.8835,2.9996,124.3964,46.4078,398.4745,4.2826,282.4338,52.0161,43.5264,66.1742,2.1953,9.2852,2.5683,15.1539,35.0694,4.5926,15.825,38.1817,4.5937,7.6605,1.6203,4.2751,0,399.0277,2.9376,122.6657,77.2583,3.6747,0.0
PHL_H53,3.3135,0.8356,0.0772,0.4404,0.1008,17.0325,2.3937,0.8247,1.7339,3.1093,1.4153,0.2205,0.3206,1.315,3.1776,1.707,3.3121,1.0052,0.4585,1.5619,0.2622,1.1844,0.1295,0.0415,1.0955,0.8884,3.4747,14.1377,4.652,3.1459,3.4958,0.8158,22.6977,23.1397,2.4593,15.4455,3.972,2.3643,8.3191,39.7158,16.6626,0.2729,0.9917,0.0869,0,41.9968,0.2532,497.1873,0.7142,-0.0288,0.0
PHL_I,4.2737,1.3181,0.091,0.408,0.6801,35.1527,4.0104,0.7333,1.6374,6.71,2.2074,0.28,0.4549,1.4266,1.7034,1.0368,5.0881,0.8557,0.4962,2.4245,0.4412,1.3685,1.9252,0.3049,6.1546,29.937,9.6577,3.3567,2.9534,1.0589,0.1917,1287.6747,0.7254,2.545,5.7817,35.7982,3.3729,5.5567,12.0446,178.8941,1.9904,4.8378,18.3463,2.6698,0,10238.9907,10.1949,4980.4042,10.3504,-0.1887,0.0
PHL_J58T60,4.1724,1.0737,0.1797,0.6625,0.164,20.541,4.2436,0.9832,3.9119,9.6204,4.884,0.3967,1.1537,1.8547,2.1608,1.897,9.5929,2.0252,0.6385,1.7901,0.8353,1.6511,2.812,0.8549,7.5873,30.9195,5.8822,1.8349,1.8477,1.9278,0.4433,5.9961,143.6598,22.4904,3.4215,24.1184,10.108,6.9694,10.7476,172.0053,5.5076,3.8801,7.1311,5.4156,0,417.2317,12.5736,624.515,65.0628,-0.6415,0.0
PHL_J61,81.6623,21.0375,2.1521,9.4524,0.8718,491.8521,63.7342,14.2813,49.2032,95.4376,40.0577,5.9553,9.3164,37.2176,48.6903,30.5276,90.9958,12.8075,7.0319,36.6497,7.3384,27.0273,66.154,7.546,146.0447,312.8277,62.9981,23.8948,27.9618,21.3474,4.94,77.4106,39.3998,185.5643,44.7712,267.9121,177.1795,35.8815,103.0214,174.4412,35.0644,36.1667,18.2426,30.762,0,3325.0327,2.4993,2128.4412,79.9335,-5.705,0.0
PHL_J62_63,6.6331,3.0864,0.1314,0.5325,0.4501,37.0885,3.6183,0.7973,1.867,6.7752,3.7837,0.4797,0.8817,1.5125,2.1969,1.4077,9.1525,1.7798,0.6464,1.7966,1.0621,1.8681,2.5405,0.694,14.1101,20.3989,7.8953,3.0266,3.3794,3.2312,0.4164,10.3357,3.0661,8.3485,5.9499,34.6654,10.3598,5.612,16.6947,76.9298,3.828,6.2777,0.8751,2.6572,0,154.4062,2.036,283.2788,27.7134,-2.7601,0.0
