V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T,FRA_HFCE,FRA_NPISH,FRA_GGFC,FRA_GFCF,FRA_INVNT,FRA_DPABR
FRA_A01_02,15114.3656,0.0,0.7976,4.37,0.0066,27660.4232,179.4966,5767.8801,525.3716,0.0,118.5196,0.0,115.0766,0.0,0.0,0.0,0.0,0.0,5.6446,0.0,0.0,8.3723,266.2857,10.8086,3048.2049,7.0358,0.0,0.0,0.0,0.0,0.0,736.3775,33.0222,0.0,0.0,19.3239,0.0,21.552,29.5968,2218.0276,139.2772,18.777,142.9527,112.8554,0.0,28913.927,0.0,0.0,2254.5004,1715.7989,0.0
FRA_A03,0.3435,32.2721,0.0,0.0,0.0,715.9894,4.7172,0.0,0.0,0.0,3.1013,4.767,4.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2694,10.4392,1.8622,55.858,0.0,0.0,20.9728,0.0,0.0,0.0,315.1891,2.8278,0.424,0.0,0.0,0.0,0.863,1.2425,0.4461,0.0,65.1483,3.6492,12.5046,0.0,921.0366,0.0,0.0,0.0,39.7359,0.0
FRA_B05_06,0.2894,0.0102,0.1556,0.014,0.0074,2.0827,0.1007,0.0018,0.0949,129.0452,5.7261,0.125,0.0065,0.0431,8.0366,0.0113,0.0064,0.0049,0.0125,0.0877,0.1141,0.1791,111.3692,0.1039,0.2232,1.0321,0.789,0.198,0.2487,0.1003,0.0175,0.3327,0.0454,0.0816,0.0655,0.056,0.0242,0.266,0.3609,10.373,1.2927,0.201,0.0736,0.1058,0.0,4.0692,0.0,0.0,0.0,3.1261,0.0
FRA_B07_08,203.9587,34.058,0.0,27.915,0.4809,200.4006,9.5449,1.1403,67.1598,3.0746,529.089,11.8044,25.6913,717.1913,837.4045,64.416,13.4655,12.8382,15.5656,7.1783,11.6136,26.4925,16.5997,18.8082,1029.1579,30.5708,0.7185,0.4364,0.798,1.3198,0.8252,32.9363,0.9467,3.8477,1.9772,10.1585,0.3151,28.0261,22.6037,0.0,0.0,14.6579,2.5554,7.7439,0.0,5.5666,0.0,0.0,0.0,48.0365,0.0
FRA_B09,0.7549,0.203,0.4417,6.2489,0.262,0.5243,0.0095,0.0044,0.4303,21.207,3.6032,0.1431,0.1308,3.6927,3.346,0.958,0.0022,0.0155,0.0597,0.0041,0.0404,0.136,5.4541,0.5098,20.1026,0.1653,2.0691,0.1214,0.1701,1.2259,0.0046,0.0518,0.0314,0.0,0.0007,0.0587,1.5408,1.8506,1.0909,0.3883,0.0687,0.0961,0.0625,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA_C10T12,5322.0523,56.5487,0.9928,22.6336,0.0254,21959.1679,297.5777,8.7009,101.1026,35.6303,1410.7055,383.3302,46.891,34.1974,66.3653,56.1807,38.0521,27.7119,50.8594,78.2169,17.192,159.8447,37.4078,115.0132,321.8373,2334.0392,75.0413,97.4978,116.1863,125.8145,38.8102,13606.5157,384.9059,250.3622,252.3632,82.0834,125.4153,1909.5234,1089.0414,599.2909,2703.9873,3591.9929,1097.5181,237.3536,0.0,96220.9409,0.1482,287.2863,0.0,2464.9028,0.0
FRA_C13T15,51.6363,2.057,0.2573,0.7242,0.035,163.9965,3434.7678,8.7975,238.4568,12.4152,65.4184,41.8175,49.9131,13.2756,20.0107,25.8405,44.8564,21.9635,55.4942,179.8783,75.1897,241.8355,10.2377,31.385,226.0012,836.3715,10.774,34.1691,5.7024,26.7624,9.6937,110.8944,275.3502,68.4163,8.4812,27.4312,42.4037,136.8808,121.7436,126.3442,77.1813,380.1358,101.2633,61.9202,0.0,11527.5488,0.0205,15.6003,0.3702,405.9774,0.0
FRA_C16,502.7876,26.6973,0.0,31.2677,0.0297,348.26,8.9495,539.6978,212.3681,1.0621,51.5808,67.8661,57.2175,251.1083,69.14,94.3264,45.7206,29.1254,76.8836,341.1502,146.6255,878.9183,2.7406,93.8087,3752.7409,358.6569,3.8969,17.7725,2.3279,87.3487,1.193,48.0803,258.8179,116.2042,17.6607,6.4515,248.2052,43.1074,184.5978,7.4927,37.5517,41.3229,112.6304,91.5235,0.0,1031.9899,0.0,0.0,0.0,146.7338,0.0
FRA_C17_18,116.1814,6.3918,0.0,15.3183,0.0489,976.9554,107.8674,11.9032,2335.3943,13.0858,342.9841,363.4808,148.5022,114.8088,15.9696,40.9801,76.1744,58.6475,57.3721,49.8869,38.4005,163.8625,19.8626,179.7445,246.1166,1578.7642,27.935,27.5722,3.0791,123.1183,7.7024,82.2454,3225.9935,269.8975,224.8432,1453.443,249.2087,2299.8514,926.4448,949.4331,523.0747,443.2496,422.519,258.377,0.0,2475.114,0.3433,2.7316,0.0,285.6577,0.0
FRA_C19,666.0814,23.4656,0.2267,32.3273,0.5432,192.9528,20.9335,4.0711,36.9077,394.9091,1175.6411,20.9239,15.0856,82.6694,70.1474,26.0799,14.7324,11.2871,28.8133,39.3378,6.6995,53.4444,148.45,121.0664,484.9322,1246.7042,1802.4805,446.5662,555.0943,201.1216,21.6461,34.6679,83.3709,101.9362,106.2047,129.0883,48.6281,448.4943,318.5043,381.375,85.8831,130.1781,111.6911,67.963,0.0,8778.2232,0.0,0.0,0.0,223.824,0.0
