V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T,SGP_HFCE,SGP_NPISH,SGP_GGFC,SGP_GFCF,SGP_INVNT,SGP_DPABR
SGP_A01_02,2.1562,0.0575,0,0,0,30.9075,2.4477,0.0023,0.0201,0.0001,0.1975,0.2665,0.0238,0.0,0.0,0.0172,0.0437,0.0102,0.0903,0.004,0.0124,0.1314,0.9927,0.0,0.7885,0.0059,0.0008,0.8185,0.0,0.0027,0.0002,34.5764,0.1801,0.0,0.017,0.1768,0.1795,0.33,1.1432,0.0547,0.0246,0.137,0.1369,0.2259,0.0,96.2339,0.0622,0.0,0.5603,-9.5865,0.0
SGP_A03,0.0026,9.502,0,0,0,6.111,0.682,0.0002,0.0025,0.0316,0.261,0.4755,0.0027,0.0026,0.019,0.0089,0.8037,0.0086,0.3095,0.039,0.0436,0.2546,0.4263,0.0605,0.2597,1.5055,0.117,1.5809,0.032,0.1609,0.0016,33.5065,0.2639,0.1106,0.2852,0.756,0.187,0.6108,0.3242,0.4153,0.0684,0.1132,0.2715,0.1337,0.0,90.7233,0.0818,0.0107,0.0094,0.6813,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,4.5263,2.1621,0,0,0,772.7743,3.7173,0.1389,1.1358,11.6658,304.7117,33.5526,0.8306,0.533,2.7649,1.9021,92.0024,1.6688,25.262,2.8298,3.726,27.5486,1.5825,2.6197,19.6844,96.5937,7.3754,57.7391,4.8419,6.6099,0.3575,860.9031,17.2158,5.0222,17.627,25.7853,7.4283,17.0408,19.6021,22.2186,2.9708,11.8258,5.8199,11.7856,0.0,2941.9465,1.6338,1.3692,70.6435,54.8047,0.0
SGP_C13T15,0.0118,0.0538,0,0,0,1.0252,65.2992,0.2357,1.8916,0.8883,1.8058,0.8792,0.737,0.0437,14.9757,0.2517,4.5862,0.4028,1.9565,0.3798,1.1101,4.8424,0.4545,0.5632,9.8929,24.5416,1.295,1.2152,0.3016,3.4775,0.1079,6.559,1.3877,1.3508,1.2495,0.844,0.5802,2.5031,1.3437,1.5731,3.1677,4.9068,1.4253,7.02,0.0,472.073,0.1912,0.0155,2.6686,5.2974,0.0
SGP_C16,0.0537,0.0147,0,0,0,6.2715,0.1267,11.2065,0.5186,1.4499,6.4451,0.3669,0.4114,0.4822,0.5942,5.9782,4.5461,2.61,3.1228,0.3676,0.8141,28.7611,0.1671,0.2604,66.4222,1.6542,0.0659,0.2833,0.085,2.3313,0.022,0.431,3.8351,0.0876,0.3574,0.4416,1.3429,5.4754,0.5124,0.1544,2.2693,1.2702,0.0475,0.7356,0.0,7.3748,0.0748,0.0079,1.661,1.0252,0.0
SGP_C17_18,0.2547,0.1378,0,0,0,17.5628,0.7969,0.2511,139.9572,3.2437,14.3364,4.9539,3.4936,1.5617,8.8857,6.3183,62.7313,17.6948,8.2965,1.4276,1.8135,28.3927,2.9341,3.306,8.1702,110.8841,21.4274,1.2487,1.4153,7.4738,1.8153,17.0473,26.6654,6.0253,61.381,44.0597,13.8411,58.3613,26.1088,16.376,45.8344,10.8541,13.0696,7.4651,0.0,178.5132,0.1898,0.018,7.6792,4.9309,0.0
SGP_C19,0.0864,0.0824,0,0,0,24.8946,0.4272,0.0396,2.0633,3098.2198,1647.3993,8.6688,2.4661,6.1249,104.0768,5.8125,228.4214,62.0814,25.5471,1.657,10.8102,7.9007,15.3153,20.0629,219.6076,300.3871,322.8054,4345.7839,1285.0568,129.1319,2.4958,35.0101,14.1195,8.4364,45.3066,36.5159,28.658,144.047,43.0694,28.6204,6.0501,13.242,4.0369,5.362,0.0,648.101,0.0299,0.0807,30.411,356.8065,0.0
