V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T,DNK_HFCE,DNK_NPISH,DNK_GGFC,DNK_GFCF,DNK_INVNT,DNK_DPABR
DNK_A01_02,1100.7449,0.153,0.2968,0.1384,1.5344,3092.378,2.6049,76.2623,1.5858,0.1229,7.4438,59.7557,3.8732,2.2365,0.2304,5.7303,6.981,0.9546,131.074,0.5765,0.3467,48.6064,36.6337,16.583,137.6364,115.1674,7.3789,2.035,0.6971,23.638,2.0309,219.8622,16.9414,9.2832,23.6497,14.3312,9.3316,156.2008,114.228,66.1199,44.0847,116.9255,15.0915,15.5956,0.0,2469.9778,0.0,100.6758,1044.1015,62.0407,0.0
DNK_A03,3.3436,0.9336,0.1187,0.0586,0.3619,215.17,0.075,0.0353,0.09,0.0043,2.3384,1.2178,0.0769,0.2557,0.019,0.2285,1.8364,0.1217,2.0255,0.0616,0.0413,3.3949,0.1642,2.5547,17.9397,14.04,1.8319,0.2868,0.1264,6.7581,0.2039,19.8202,1.55,0.4396,3.7175,1.1849,1.0398,7.8605,6.6467,1.8493,1.8926,4.379,1.3484,1.2776,0.0,91.0603,0.0,0.0001,1.1265,2.7479,0.0
DNK_B05_06,24.1694,0.0018,245.9083,94.6106,14.375,330.7644,4.0393,1.5441,21.5167,1728.6618,117.5064,31.4998,22.3911,108.8724,48.8924,28.1035,2.6493,3.4609,20.6168,3.0054,0.5308,6.3215,747.3654,12.5978,631.0409,47.1037,2.1949,0.432,0.0467,4.7241,2.2338,38.8794,13.8846,1.0753,3.6742,5.8838,9.0564,20.6114,152.2651,13.1525,25.1819,113.7153,23.3583,3.5538,0.0,434.4724,0.0,0.0,21.4951,97.4224,0.0
DNK_B07_08,9.3363,0.0008,13.265,18.5527,3.0979,23.3956,0.8778,0.2278,3.8252,0.0359,3.8508,1.1388,3.6747,145.7964,1.9755,4.733,0.3774,0.48,2.1286,0.3973,0.0258,0.764,33.4206,0.4583,113.3283,3.7822,0.2621,0.0483,0.0064,0.2275,0.0761,1.5603,0.4977,0.0483,0.4892,0.6491,0.2931,0.8915,5.7727,2.8349,3.2742,3.7565,0.7788,0.3606,0.0,93.9717,0.0,0.0,1.01,2.633,0.0
DNK_B09,11.499,9.6412,231.6206,25.3024,245.666,5.1463,0.0394,0.2252,3.7277,55.976,43.9081,10.5022,1.5968,48.903,17.2448,14.5123,0.0509,0.2236,4.1887,0.0101,0.0174,0.5514,18.5323,5.1288,310.8955,1.4541,20.3165,14.1349,1.6611,12.3206,0.0698,0.6839,0.4456,0.0,0.0069,0.4851,22.2458,19.7277,8.5147,3.6412,1.0741,1.3914,0.6384,0.6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK_C10T12,1061.0009,93.0486,0.4424,0.2185,0.2352,3284.3411,11.3435,1.3263,3.5334,0.1164,215.0716,186.2403,4.3932,3.1365,0.0247,2.6313,4.734,1.3273,43.5567,1.1543,0.3193,32.0797,19.6235,13.5875,9.9365,152.1321,6.8677,3.1613,0.0745,15.3419,1.4862,1155.7643,11.0176,3.6245,25.738,8.9146,4.0562,94.4807,34.8927,46.3621,25.9917,182.553,19.1593,39.1786,0.0,7521.3965,0.0,16.7119,1.6525,137.1715,0.0
DNK_C13T15,1.1426,0.4986,0.0772,0.0437,0.2401,5.0236,140.7477,1.2971,14.7227,0.0113,2.2762,4.0097,6.1636,6.6183,0.9316,6.5198,3.1346,1.0634,13.3208,2.8341,3.3458,31.9013,0.942,7.2586,23.8313,18.0306,1.9638,0.7018,0.0569,2.3386,5.2309,3.7368,3.6124,0.9815,1.7738,0.5953,0.3128,5.0706,12.6252,10.3966,3.6272,35.9701,6.6139,10.3155,0.0,899.8398,0.0,10.0624,28.6932,16.6046,0.0
DNK_C16,7.0466,0.0595,0.5739,0.363,0.1986,9.978,0.7183,119.5875,4.567,0.0188,6.1535,2.2062,8.6473,5.8525,2.8208,13.578,7.133,1.8137,21.9574,4.4424,2.925,160.2491,22.1109,9.3804,834.3361,18.7935,1.4891,0.2136,0.0191,2.1595,0.2364,0.8728,1.1919,0.5629,1.1497,0.6885,2.2231,2.9415,9.6263,2.2278,1.9185,5.174,6.3033,3.0008,0.0,154.1594,0.0,2.5465,26.7227,11.159,0.0
DNK_C17_18,3.7207,0.0951,0.2638,0.1691,0.4102,117.332,2.039,4.0513,250.955,0.016,23.0817,32.5029,15.7034,6.5279,3.2956,8.4829,8.7331,3.7092,15.1887,1.0894,0.359,19.2928,0.7306,10.1994,9.215,206.9952,2.705,0.6085,0.0996,1.941,6.144,6.3046,98.3198,7.4336,24.8187,12.9921,16.8394,61.2324,18.3864,37.3031,27.4588,32.6761,9.5258,11.1241,0.0,329.7126,0.8366,16.6393,190.5059,9.9856,0.0
DNK_C19,84.8705,26.3923,1.0012,0.6627,5.0364,20.2216,0.6187,1.9578,1.4427,3.8368,4.5596,1.3751,2.3231,28.166,0.9183,8.8531,0.8235,0.9394,9.5776,0.9975,0.3466,8.013,5.8415,14.4264,138.4329,83.0062,205.5671,619.372,53.6793,14.4902,7.4073,5.3025,1.7312,1.557,2.0588,4.0297,11.6146,12.6675,24.1045,39.4394,7.3024,7.6962,2.9301,5.2797,0.0,632.3157,0.0,0.0,0.2389,19.942,0.0
