V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T,CIV_HFCE,CIV_NPISH,CIV_GGFC,CIV_GFCF,CIV_INVNT,CIV_DPABR
CIV_A01_02,667.3521,0.2308,0.0,0.0,0.0,1681.9529,0.7369,5.8164,1.2062,0.0,12.7716,4.6604,29.6085,0.0011,0.6033,2.7121,0.0,0.0,0.0,0.0,0.0,1.2578,0.0,0.0,0.6084,0.0,0.0,0.0,0.0,0.0,0.0,310.5919,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0793,0.0,1.6773,0.0,0.1232,0.0,6842.7518,0.0,0.0,502.6129,-5.5054,0.0
CIV_A03,0.1794,8.594,0.0,0.0,0.0,39.8024,0.0,0.0,0.0,0.0,0.1021,0.0567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.8573,0.0,0.0,0.0,0.0011,0.0
CIV_B05_06,0.0075,0.0,0.18,1.1454,0.0642,1.3292,0.0,0.0,0.0,379.5298,0.1497,0.0036,0.0,1.7204,1.5483,2.1936,0.0,0.096,0.0,0.0,0.0,0.5782,0.2271,0.0,0.4844,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256,0.0,0.0,0.0,6.2094,0.0,0.0,0.0,-0.1799,0.0
CIV_B07_08,0.5909,0.0,5.0591,105.7437,3.5793,42.4722,0.0,0.0,0.0,0.0,8.5212,1.1458,0.0,75.2679,378.3769,439.0809,0.0,13.7667,0.0,0.0,0.0,83.12,1.0152,0.0,79.2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.111,0.0,0.0,0.0,36.6961,0.0,0.0,0.0,-0.6543,0.0
CIV_B09,0.043,0.0,3.0186,11.077,1.4669,3.4487,0.0,0.0,0.0,73.6252,0.3927,0.0129,0.0,2.2195,8.4327,16.8198,0.0,0.1143,0.0,0.0,0.0,0.0,0.107,0.0,2.3482,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C10T12,61.5614,3.3553,0.0069,0.0261,0.009,816.8941,0.7948,0.0905,4.5454,0.0333,55.2202,13.0272,1.4082,0.2958,0.0755,0.3177,0.0462,0.0038,0.007,0.0001,0.0001,0.0976,0.2161,0.007,0.9303,2.3925,1.2115,0.0969,0.1516,0.8534,0.2382,1120.8996,0.0154,0.0114,0.0126,0.0235,0.0031,0.013,0.0046,16.9132,5.0955,1.1657,0.0004,0.0807,0.0,5520.5006,0.0,0.0,4.4671,-0.489,0.0
CIV_C13T15,6.4995,0.6722,0.0,0.0005,0.0,0.8444,35.6442,0.008,3.2013,0.0053,0.1512,0.0424,0.6616,21.5528,0.0008,0.0064,0.0,0.0006,0.0,0.0,0.0,10.2382,0.0088,0.0,0.149,0.5092,0.1953,0.0155,0.0241,0.1364,0.0382,0.0009,0.0006,0.0005,0.0005,0.0,0.0001,0.0008,0.0003,0.7034,0.0001,0.0598,0.0,41.0041,0.0,432.969,0.0,0.0,0.0,-0.0111,0.0
CIV_C16,1.3105,0.0001,0.0501,0.1733,0.0664,26.8903,0.2691,27.6603,0.2256,0.0038,0.6757,0.097,0.2254,0.0168,0.0879,0.4542,0.3492,0.0004,0.0529,0.001,0.001,39.1048,1.2236,0.0048,0.8335,0.5136,0.0346,0.0094,0.018,0.0799,0.0156,1.031,0.0876,0.063,0.073,0.1775,0.0209,0.0485,0.0226,0.1336,0.0727,0.0631,0.0022,0.3384,0.0,61.6682,0.0,0.0,7.8707,-2.113,0.0
CIV_C17_18,7.7383,0.0428,0.0897,0.7994,0.0514,21.9757,0.4104,0.1538,44.0562,2.7384,7.1619,2.6657,0.8057,1.3518,0.05,0.3386,0.267,0.0497,1.4606,0.6809,1.9769,0.232,0.8634,0.1228,3.0298,125.7206,0.4185,0.0986,0.2055,0.9794,0.4494,26.4398,1.2049,0.3349,0.3065,4.4794,0.5216,1.2883,0.9183,9.6301,13.846,8.097,0.057,0.1269,0.0,165.6263,0.0,0.0,0.0,0.0026,0.0
CIV_C19,110.8084,12.9315,1.7782,16.4125,0.7924,114.6148,0.5002,9.32,1.7388,122.7334,14.4726,1.0713,6.1973,2.2453,5.3427,11.3724,1.629,0.0294,1.522,0.6834,2.0024,6.3105,3.7948,10.8091,64.1191,86.6325,336.2556,106.6598,216.5581,100.4128,43.0246,50.2883,0.1777,0.2885,0.2047,3.5574,4.4777,0.5632,10.6999,22.9653,2.1986,1.8391,0.0299,1.488,0.0,635.8129,0.0,0.0,0.0,1.7342,0.0
