V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T,SVK_HFCE,SVK_NPISH,SVK_GGFC,SVK_GFCF,SVK_INVNT,SVK_DPABR
SVK_H51,0.2026,0.0035,0.002,0.0195,0.003,0.2705,0.0118,0.0851,0.0845,0.5054,0.1265,0.0062,0.2328,0.1918,0.4579,0.2172,0.1946,0.1551,0.2391,1.1932,0.0191,0.1197,0.8533,0.0261,0.2933,0.2751,0.1716,0.0071,0.006,0.3226,0.0055,0.0197,0.0027,0.0039,0.0082,0.0032,0.042,0.0355,0.0732,0.0454,0.0058,0.0767,0.0064,0.0229,0.0,0.0874,0.0008,0.2021,0.8543,21.9233,0.0
SVK_H52,23.6644,0.101,0.887,6.0027,0.1311,54.1862,5.5649,5.881,13.7497,67.951,16.1462,0.8171,40.6198,17.6976,47.7001,20.5626,11.407,9.8738,19.6704,58.8801,1.9283,12.6318,111.8315,18.7333,41.0987,303.2779,376.4146,12.5511,9.9719,1232.7641,12.6615,10.4519,1.4885,5.6855,14.1077,5.2396,15.2485,48.7574,32.4971,69.7326,9.7472,9.7355,2.1578,2.4715,0.0,400.75,1.2259,782.3438,27.3074,62.9554,0.0
SVK_H53,2.5798,0.018,0.0474,0.3811,0.0111,5.4395,2.8419,0.5057,2.8528,1.3483,0.9863,0.2004,1.481,1.3226,1.5613,2.302,2.0824,1.045,2.9156,6.8078,0.8754,1.7051,10.0417,5.6039,3.8392,72.9834,10.4963,0.0457,0.1836,6.153,279.249,1.8193,12.1926,29.9932,3.1804,55.375,1.7165,6.1592,7.0222,27.225,1.5116,2.3421,4.4615,1.1137,0.0,147.5649,0.0321,7.1255,4.5019,2.8504,0.0
SVK_I,0.4809,0.0082,0.0692,0.3359,0.0278,2.7213,0.2974,0.2481,0.3217,0.3465,0.5507,0.2491,0.525,0.5395,0.3172,3.2891,0.6497,1.1526,2.4388,2.8393,0.3067,2.8401,0.0577,0.3629,11.2262,27.2751,18.3699,0.083,0.2094,3.4557,0.0499,13.1916,0.4935,0.3224,5.3576,3.1932,2.4321,26.1169,12.081,14.4702,9.3882,10.4972,1.8578,0.5933,0.0,1451.7436,0.0,10.1653,0.0502,0.0001,0.0
SVK_J58T60,0.8739,0.0076,0.0135,0.0836,0.0094,9.4678,0.5148,0.3858,2.8354,0.9583,0.4418,0.3115,0.9163,0.7376,0.8158,1.0611,2.0439,1.1408,1.2052,6.3985,0.1569,0.8738,2.3517,0.8291,3.3293,51.3966,1.8192,0.0259,0.1397,2.4029,0.7968,2.7863,73.0816,7.6604,32.7721,8.6822,8.0299,41.5403,13.4332,34.1075,7.6212,3.3524,10.4816,1.3852,0.0,323.2292,12.066,94.8454,88.0516,-0.1107,0.0
SVK_J61,4.9787,0.0193,0.035,0.2428,0.0385,8.2389,2.3768,1.6165,2.4483,1.2298,1.6143,0.282,3.1613,1.7723,2.5531,4.2871,3.2541,2.4519,3.7576,9.3343,0.4328,2.4324,8.8408,3.0772,8.3894,62.3377,10.936,0.0679,0.1278,5.3171,5.0599,4.6122,36.4217,224.5178,48.9027,18.5206,6.812,29.4139,7.6781,34.234,8.1319,7.0967,5.9847,3.7619,0.0,1319.5791,0.4346,5.0956,15.3572,0.3871,0.0
SVK_J62_63,11.5789,0.0294,0.1818,1.382,0.0545,39.3536,4.8352,2.7265,39.9704,16.0191,5.9226,1.8691,11.8684,8.8283,15.8013,19.9254,16.0657,13.8171,23.0805,73.642,1.341,7.6599,52.7822,11.8676,36.6524,412.9262,35.4002,0.2172,0.533,22.3883,10.1367,13.7595,65.2262,109.1219,959.164,172.6444,132.1514,281.7165,137.3322,107.3362,13.5035,24.1633,95.4217,27.8852,0.0,156.5825,2.2916,101.2654,762.8144,-0.292,0.0
SVK_K,14.4562,0.0446,0.1945,1.2531,0.2803,22.7491,4.5767,3.6834,6.3746,19.0707,6.6459,1.052,21.2893,10.0002,11.9813,18.2208,15.3196,12.6738,18.5786,146.5751,3.2757,10.4943,44.8204,6.6803,28.9171,136.8337,99.0035,0.3627,3.1926,44.7025,2.2361,6.2787,4.4406,6.6705,32.6257,1304.4779,165.9942,46.8416,33.6879,200.7134,14.5882,21.939,16.0288,10.9147,0.0,2451.0911,19.5062,26.9867,3.679,0.35,0.0
SVK_L,149.7812,0.517,0.5431,7.3855,0.0885,135.5049,33.5509,14.1644,16.3918,8.3434,17.7634,2.322,53.5518,12.6125,14.6883,51.7242,34.0595,24.0484,44.1166,127.5055,4.6202,23.124,70.425,32.7843,104.2285,1158.9088,152.4249,1.1439,0.4358,123.8815,8.3806,130.1082,36.3384,56.4393,122.0721,84.8865,972.4075,442.0511,104.3697,70.6944,24.5809,183.8352,102.5166,18.8583,0.0,9198.7283,117.8643,34.6517,12.8079,0.0068,0.0
SVK_M,73.6615,0.2606,1.0551,8.6529,0.6595,218.5272,41.378,20.9194,60.6323,53.7474,29.0466,22.3903,110.5798,44.6374,62.0934,80.2676,51.0854,58.2284,91.1259,667.1691,10.9605,49.5211,196.0803,72.1026,488.9529,1383.4422,90.3824,1.3084,2.0219,60.3276,12.8844,65.7321,42.6537,69.5136,246.2557,189.7505,640.1303,1983.8497,324.2866,242.879,41.7491,114.1995,98.6959,47.1158,0.0,501.6198,28.1007,196.048,721.3245,2.3144,0.0
SVK_N,83.4803,0.051,0.5993,6.1121,0.3353,136.5255,24.8764,23.5012,35.3204,27.8889,24.7729,4.752,55.5357,26.7904,25.0813,107.3109,53.0873,37.6732,65.9176,285.8191,5.2547,32.5032,119.2434,35.2781,209.2882,740.8092,138.4665,0.5657,17.7131,86.4707,17.0074,43.7004,21.7198,36.1497,94.7951,143.8024,185.7873,239.5839,692.6792,246.2791,74.0658,234.7094,112.1417,69.9537,0.0,698.7835,64.4137,143.0592,174.2953,4.3225,0.0
SVK_O,6.1891,0.0189,0.0782,0.4543,0.0187,17.9426,7.5255,1.695,4.898,4.172,1.6396,0.18,6.1869,1.0681,1.7654,4.4073,0.7727,3.4814,3.2453,9.8598,0.5227,2.2222,12.6699,7.2763,12.5197,72.9169,10.2877,0.6246,0.9996,5.0403,0.1807,6.252,6.3386,1.0658,8.9775,159.9996,4.149,106.9692,35.8468,445.1822,17.3623,6.5196,9.592,9.2468,0.0,175.6474,13.3526,9579.1054,59.2983,0.002,0.0
SVK_P,2.8531,0.0175,0.0434,0.274,0.0146,5.4826,0.9655,1.4209,2.2275,1.3429,1.3128,0.2547,2.3429,1.4439,1.7597,2.6884,2.0955,1.4746,2.8188,11.659,0.3921,2.8795,3.6188,2.7354,6.6432,28.5443,7.3832,0.0505,0.4777,7.7685,0.6695,1.4963,2.0241,3.0476,19.3349,17.7178,5.517,19.367,20.1507,40.9409,48.698,9.5199,29.5717,42.093,0.0,854.7436,84.0678,3378.1881,260.793,2.245,0.0
SVK_Q,2.3067,0.0173,0.0305,0.1958,0.0152,3.222,0.6541,0.5701,0.9231,1.0472,0.972,0.5022,1.7691,0.7668,0.9211,1.942,1.4181,1.043,1.6746,6.702,0.3352,5.8572,3.3705,1.0283,9.6574,25.7463,6.1992,0.0256,0.3695,1.6945,0.2373,1.072,0.5551,0.8593,6.1286,12.5892,5.0131,18.6456,49.7358,16.5831,5.0361,250.9817,4.355,9.2417,0.0,1003.8519,217.7926,4428.1512,365.1388,1.2207,0.0
SVK_R,2.0401,0.0767,0.0207,0.1809,0.0054,5.3298,0.6892,0.4442,1.6841,0.7062,0.6552,0.1466,1.2978,0.8845,1.0535,1.5169,1.0782,0.9037,1.4291,4.1521,0.159,3.0358,2.4489,0.5897,4.2563,25.1728,4.465,0.0241,0.1405,4.1958,0.5802,2.1526,9.1664,1.7932,5.1225,4.0853,2.5849,28.374,8.0047,14.7689,11.3273,22.3522,713.913,4.9099,0.0,1738.0199,40.3073,306.8282,19.3679,1.5108,0.0
SVK_S,8.1332,0.0439,0.0856,1.4138,0.0236,6.5539,2.16,2.9894,4.5479,2.2547,1.8693,0.288,3.086,1.3724,1.9931,4.3983,2.3604,2.0139,3.4615,16.5793,0.8313,5.0118,6.507,4.7372,8.6694,58.4747,9.4517,0.5116,0.3468,5.0341,26.5604,7.5989,4.4478,31.0566,17.6578,31.1281,6.8173,15.5796,10.7342,27.4708,7.0521,24.9724,9.9055,83.7568,0.0,649.7377,331.5553,54.7882,10.8828,1.5809,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.477,0.0,0.0,0.0,0.0,0.0
