V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T,MMR_HFCE,MMR_NPISH,MMR_GGFC,MMR_GFCF,MMR_INVNT,MMR_DPABR
MMR_A01_02,22978.5116,366.1142,71.2584,45.1168,0.8022,6631.1889,1065.1926,403.1223,92.63,17.1266,380.2528,107.823,160.3566,12.7356,7.5382,8.9941,10.922,5.2432,9.2524,14.6784,3.3001,157.7924,56.3423,9.1729,355.7184,1381.8418,45.0415,33.9188,11.0575,31.5976,1.2896,832.3503,19.4266,24.8611,5.8634,30.2312,92.4243,121.404,170.2317,377.6875,203.7284,326.5745,75.7752,134.348,0,10517.3511,5.6071,481.9358,1814.8686,-24.7731,0.0
MMR_A03,141.4612,4295.589,12.2671,6.4096,0.1028,1115.3897,14.7819,7.1943,2.2598,2.0137,12.0342,5.3878,1.7077,1.6817,1.3719,1.7079,1.7584,1.3544,1.8887,2.0953,0.4487,8.2896,1.4419,0.4797,10.4824,156.2161,7.8478,15.4719,2.8529,3.3111,0.2442,470.7373,4.8692,12.5587,5.1117,9.1707,14.6003,15.8798,7.2203,120.3309,41.4426,67.9179,11.2971,21.1249,0,3069.7439,3.2399,48.8871,75.476,-12.6772,0.0
MMR_B05_06,7.0657,1.679,281.3381,20.3098,0.7363,1.9978,1.9872,0.7173,1.9429,1418.0036,9.0601,0.8633,1.2103,10.4429,12.3805,1.8767,1.2152,0.9045,1.9047,1.3947,0.5104,1.7061,125.2226,0.5303,14.3344,13.7658,16.1175,4.5869,6.8323,2.867,0.4384,0.5664,0.6451,2.2109,0.3799,1.6253,3.8386,3.1644,1.545,5.088,2.4388,1.9572,0.5329,1.0769,0,19.3997,0.0138,1.6417,167.3235,-16.1938,0.0
MMR_B07_08,8.8864,0.7817,73.1078,424.6062,2.8501,1.3503,1.1317,0.4042,2.6947,13.5641,24.5566,1.4307,1.266,267.4532,521.2655,12.2844,1.7252,4.9405,1.8617,1.7441,0.5516,3.595,8.3953,1.3751,355.9764,4.9381,2.4397,0.4191,0.2525,1.4477,0.0472,0.2775,0.1902,0.6092,0.098,0.3691,8.6629,1.8869,1.3158,3.927,0.6737,0.6058,0.325,0.6413,0,55.221,0.025,2.4125,56.375,-2.218,0.0
MMR_B09,0.0486,0.0333,26.3921,2.351,0.1561,0.0114,0.0079,0.0025,0.0131,1.8163,0.0342,0.0028,0.0049,0.1544,0.1171,0.0237,0.0034,0.0028,0.0054,0.0045,0.0012,0.0055,0.0744,0.005,0.4519,0.0381,0.066,0.011,0.0184,0.0282,0.001,0.0028,0.0033,0.0083,0.0019,0.0076,0.0393,0.0279,0.0168,0.0173,0.0059,0.0054,0.0019,0.003,0,0.0861,0.0002,0.0237,10.6902,-0.0102,0.0
MMR_C10T12,2261.302,202.878,32.5767,17.8263,0.3428,795.0282,102.2111,3.8099,26.9829,10.9772,126.8071,50.411,8.4925,8.3559,4.221,5.2586,6.225,3.4012,5.0895,5.6234,1.2353,16.3226,6.4681,3.5789,38.6548,389.9281,26.2812,41.2557,24.6595,17.2842,1.6369,667.8108,23.6632,27.2006,9.3639,47.9339,51.5339,51.4678,47.0677,273.4564,230.4137,252.6079,50.1849,72.9553,0,4632.8558,2.5285,56.1606,55.3825,-38.948,0.0
MMR_C13T15,30.1024,10.7143,75.6132,16.1183,0.7699,7.1424,2208.5711,6.017,18.0391,4.0401,5.9517,5.7207,17.2819,12.3656,5.8317,10.1231,13.7029,6.3147,10.7475,47.7368,6.0998,112.3797,4.7,3.8167,73.4984,182.7745,21.5852,7.0516,13.6598,11.9724,3.7899,7.5449,8.7253,15.38,3.6444,15.8501,13.8962,49.4106,43.6065,133.2569,29.4995,82.5277,19.9617,57.4404,0,2626.1157,2.1244,41.1293,89.7521,-12.9856,0.0
MMR_C16,10.7465,1.1426,5.9385,6.2021,0.0713,2.2816,3.5263,200.2273,18.9857,0.5077,1.9765,0.4329,3.2945,11.0378,2.7372,8.4806,2.7011,4.2861,3.9102,9.8939,3.663,149.6242,4.1254,0.3339,364.0548,25.0482,2.553,0.6896,0.344,3.5183,0.1792,0.6409,1.5187,1.3095,0.4538,1.1793,35.4848,5.023,3.5839,3.113,3.0267,1.9728,1.1331,6.3785,0,74.8541,0.2128,2.1424,80.665,-4.6702,0.0
MMR_C17_18,8.4007,1.4753,7.5415,4.9179,0.0941,12.4326,13.9778,6.0589,253.7277,1.3889,8.0217,7.7863,9.2589,15.3341,2.3839,4.7372,11.7044,6.9184,4.5676,5.4967,0.8767,18.2152,1.8629,0.8617,13.362,103.4711,7.2436,1.7833,1.6169,8.2706,3.3519,1.8499,91.7635,19.9955,10.2092,46.5578,13.7618,51.7597,23.3934,48.0871,34.8246,15.0788,5.3533,9.713,0,180.0204,0.3092,15.7583,45.4102,-3.7809,0.0
MMR_C19,102.9146,29.5222,160.2507,114.3717,2.3443,5.2007,10.7619,6.9667,9.3851,249.9429,42.8372,4.9775,11.3821,43.4371,28.3147,8.8898,6.9972,8.3263,5.5476,9.9651,2.1353,17.6652,35.1848,6.0826,118.1853,163.7193,501.1489,146.2137,243.9142,46.393,8.1106,2.4168,5.6047,17.9873,3.7395,26.0303,20.7568,33.0321,25.4082,67.6889,16.3031,20.6099,4.8138,14.9905,0,443.2198,0.0411,3.5733,37.3837,-5.0902,0.0
MMR_C20,176.1982,3.7693,128.8595,50.0606,1.0636,7.3439,47.2318,20.0317,50.2003,72.2069,191.9649,34.4526,157.8551,43.5074,17.5669,20.4675,24.5492,30.0771,12.6199,28.9269,5.8794,42.2357,6.2999,4.9257,86.8664,46.6403,9.6708,2.6139,3.0221,4.9616,0.3652,1.942,9.5191,3.7436,1.8938,3.3221,24.8487,19.543,15.4185,13.7677,8.65,48.3241,2.6199,18.7607,0,121.3752,0.1792,13.2868,21.7004,-4.6492,0.0
