V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T,TWN_HFCE,TWN_NPISH,TWN_GGFC,TWN_GFCF,TWN_INVNT,TWN_DPABR
TWN_A01_02,2004.6017,40.7123,0.0447,0.1733,0.0841,5871.6886,234.0403,14.2232,3.8068,0.8808,12.5841,22.8014,21.3816,1.5178,1.1816,0.8401,5.7216,0.8734,1.7022,0.261,0.247,2.4822,0.8153,0.6624,137.087,302.1155,0.5819,0.9463,0.6017,0.9132,0.3729,855.8223,2.7038,0.1309,0.3834,1.7315,17.5267,2.736,22.1421,93.0993,14.2811,1.605,17.1368,48.0433,0.0,8320.6728,0.7948,1.3546,107.9768,2.4819,0.0
TWN_A03,5.7257,204.6569,0.0034,0.0135,0.0064,193.73,0.0255,0.1535,0.0157,0.068,1.2331,1.5497,0.0163,0.0576,0.0855,0.0395,0.1382,0.0226,0.0464,0.0145,0.0112,11.8369,0.0364,0.021,0.135,6.0997,0.0251,0.0483,0.0066,0.0557,0.0315,186.5213,0.0534,0.0042,0.0156,0.0514,1.6166,0.4119,0.1714,9.8342,0.0271,0.0504,1.9011,0.2663,0.0,2376.8013,0.2625,0.101,0.1154,-4.3752,0.0
TWN_B05_06,0.0007,0.0012,0.6301,0.1466,0.0725,0.0997,0.6011,0.0019,0.3801,428.9925,7.3888,0.027,0.1893,15.377,47.4129,0.0119,0.2262,0.2334,0.0193,0.0042,0.0024,0.0105,173.3333,0.0932,5.9426,0.1534,0.0714,0.0101,0.0184,0.0041,0.0013,0.254,0.0097,0.0063,0.1059,0.0608,0.0397,0.0383,0.0147,0.0361,0.0082,0.0107,0.0052,0.0093,0.0,0.5444,0.0001,0.001,1.5346,-0.3924,0.0
TWN_B07_08,0.0069,0.0168,0.0581,1.0249,0.2318,0.8613,3.975,0.0057,3.5519,83.9722,143.9763,0.0818,1.4924,365.5028,433.4951,0.1632,2.0173,1.0376,0.2519,0.022,0.0384,0.0611,175.5846,0.6057,219.8374,0.1468,0.3076,0.0407,0.0,0.0037,0.0,0.5033,0.0,0.0032,0.0,0.0,0.0,0.0634,0.0108,0.0112,0.0,0.0,0.0064,0.0167,0.0,1.6124,0.0,0.0,1.1563,-0.0655,0.0
TWN_B09,0.0096,0.0332,8.9733,0.2346,0.3619,0.5761,0.0141,0.0032,4.5111,130.9766,16.812,0.0454,1.6101,112.0673,32.768,0.1563,0.3295,0.5205,0.2738,0.0189,0.0016,0.0532,425.6419,0.4058,80.4525,0.171,0.1653,0.0228,0.0,0.0023,0.0,0.3266,0.0,0.0,0.0,0.0,0.0,0.0729,0.0048,0.0203,0.0,0.0,0.0032,0.009,0.0,0.0,0.0,0.0,0.6696,0.0,0.0
TWN_C10T12,1803.2379,303.79,0.7772,1.2855,0.6353,4177.0726,128.4189,7.6787,59.6874,16.8727,108.7483,63.3833,36.1214,14.9694,62.5289,30.9694,130.8778,22.5592,30.4246,6.3227,11.0785,83.0975,18.6729,2.8518,53.3068,511.3243,7.9235,5.9404,13.3096,6.2852,1.201,3118.1488,13.808,3.2632,4.0761,15.8894,35.5022,23.0354,5.3974,169.9431,48.0137,77.1157,240.4249,45.029,0.0,19453.893,2.6796,23.69,181.2051,-1.1267,0.0
TWN_C13T15,24.6533,82.5645,1.7511,2.417,1.1843,52.7733,7083.8401,3.2866,141.0386,20.1472,657.238,31.1442,457.9076,81.3834,75.7286,95.4936,608.183,49.4303,62.0447,54.3105,35.1378,219.4003,18.2746,11.4047,106.9435,322.6414,13.9073,8.5378,12.802,9.7641,3.5797,146.1689,19.2053,7.3185,5.9517,14.2451,7.939,99.9679,7.3713,48.3655,21.3511,37.3431,10.737,93.4209,0.0,4832.8808,1.0889,17.8735,133.6843,-5.0799,0.0
TWN_C16,6.5856,2.8526,1.8152,4.3907,2.2539,1.858,4.1817,289.6187,59.6759,0.6082,4.6788,0.2527,4.6484,8.6371,6.2549,30.9739,16.9882,7.5005,18.2253,4.8734,20.4722,53.3396,3.8526,0.5591,883.4338,55.6169,0.467,0.3624,0.1733,1.6226,0.159,18.0101,5.302,0.2091,0.6661,0.5694,0.497,18.7223,3.0937,4.5794,5.7834,0.8258,1.8845,3.6469,0.0,51.2513,0.1237,0.6312,4.5128,0.2422,0.0
TWN_C17_18,11.2179,5.529,1.1477,0.3756,0.1758,317.0442,128.6967,27.1211,2995.9478,12.4672,310.3531,51.6593,250.0927,120.5955,64.2262,143.686,510.2349,81.1644,76.4512,32.5642,14.9932,64.9513,24.7946,6.3817,100.3283,1271.3918,16.4846,1.1638,15.4488,19.1313,18.3769,293.166,893.0629,74.9041,46.1704,422.1826,53.1632,1045.413,240.8369,472.4145,183.671,131.2045,57.8071,310.2254,0.0,753.4551,0.4776,3.5322,43.3954,0.4441,0.0
TWN_C19,90.9622,336.6093,53.9936,337.5811,120.3509,122.5516,139.7386,18.2568,108.5159,3964.9132,7090.8611,10.8516,215.2922,409.923,2666.2737,364.2894,528.9553,97.1145,192.611,47.6288,39.4419,39.0188,1819.0342,83.9218,641.3336,1322.2778,2344.5699,553.8274,2645.1823,233.7403,32.8723,81.841,39.689,34.2381,11.1918,44.332,59.7358,92.8389,140.8155,233.2018,60.8997,151.4146,17.3725,95.3892,0.0,4080.871,0.1398,5.032,64.2705,18.2304,0.0
