V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T,ISR_HFCE,ISR_NPISH,ISR_GGFC,ISR_GFCF,ISR_INVNT,ISR_DPABR
ISR_A01_02,1179.0246,9.1639,0.0046,0.2844,0.0128,4003.4251,0.8278,0.1892,0.0896,0.0972,47.3815,5.2605,30.3797,0.1856,0.0387,0.2351,0.0836,0.04,0.0497,0.0247,0.0239,2.3448,2.3423,2.7418,19.2026,43.8529,1.7381,0.4844,0.4927,0.2285,0.0658,592.6324,10.8166,0.0122,1.8951,1.9145,3.8898,27.0564,82.2902,172.9618,2.8057,8.1997,3.926,0.1097,0.0,4321.0861,0.0086,0.0305,289.884,197.0236,0.0
ISR_A03,0.0022,0.2578,0.0002,0.0149,0.0007,5.2186,0.0033,0.0011,0.0066,0.0405,0.0326,0.0009,4.6088,0.0135,0.002,0.012,0.0375,0.0067,0.0019,0.0013,0.0372,0.0177,0.0142,2.7555,0.1774,0.0671,0.0813,0.0443,0.0335,0.0581,0.0045,2.726,1.8478,0.0923,0.0445,0.1216,2.4351,0.1779,0.145,0.0486,0.0603,0.0135,8.515,1.9398,0.0,139.1816,0.0,0.0,0.0,1.9266,0.0
ISR_B05_06,0.0133,0.0014,0.0879,1.4286,0.0954,0.0181,0.0016,0.0,0.0,199.877,1.2229,0.0,0.0,1.6925,0.0552,0.0031,0.055,0.0004,0.0011,0.0,0.0012,5.0617,7.3644,2.0742,0.2981,0.0057,0.0008,0.0,0.0,0.0,0.0,0.0009,0.0,0.0014,0.0068,0.0,0.0004,0.026,0.0055,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,5.5625,-4.9677,0.0
ISR_B07_08,0.6373,12.0979,0.0,0.0045,0.0001,0.04,0.0179,0.065,9.0875,0.0005,0.7349,8.4411,7.7466,0.0749,0.0002,0.0029,0.0041,0.0,0.0001,0.0085,0.0,896.5191,0.0001,0.0,2.1743,0.0,0.0,0.0,0.0,0.1131,0.0199,0.0,5.3723,1.7034,2.8383,0.1647,0.0001,0.7334,0.8771,4.5388,0.1736,0.0,0.0,0.2605,0.0,0.0,0.0,0.0,24.0183,301.6597,0.0
ISR_B09,0.0,0.0,36.7307,1.2567,21.4449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,1376.3694,26.8274,0.0998,5.0003,0.2656,4374.2615,5.8083,2.7436,8.9783,3.9003,173.0512,25.2393,3.7857,1.3197,1.1882,1.7485,6.4891,16.8934,1.9408,0.1692,1.6679,38.0666,2.3341,5.1641,13.7815,7.3582,7.2257,7.3654,5.1986,0.6377,0.2337,2680.3932,18.7087,1.3688,9.262,6.385,10.7586,29.9664,9.6763,354.7126,50.4097,55.5053,3.4688,3.5025,0.0,12701.7341,0.0113,0.5696,7.1118,564.8774,0.0
ISR_C13T15,5.897,0.0653,0.0386,2.2485,0.0699,8.8064,327.6284,0.9148,16.6406,2.7837,29.2612,1.2082,23.3369,4.2173,1.2371,9.2202,4.6635,1.6855,5.501,5.9345,2.3062,72.8804,2.09,9.4336,29.9725,44.4621,8.9716,8.0858,5.5658,2.6766,0.3087,9.7173,0.4437,0.0836,0.9553,2.5756,4.1576,20.0704,14.7038,39.7973,6.8454,45.2131,10.5404,8.4273,0.0,1508.1853,0.029,0.1025,9.0662,60.5065,0.0
ISR_C16,0.9549,0.0365,0.0055,0.4227,0.0168,6.1028,1.3037,82.2857,6.6536,7.9263,9.9893,0.0759,5.6555,7.854,2.5066,5.5632,3.4658,2.0023,0.9789,1.407,1.1674,197.0552,0.4151,0.2277,142.3601,1.3572,0.2736,0.2099,0.1263,0.0479,0.0148,0.7325,0.0531,0.0104,0.0399,0.1949,3.8528,1.0216,2.2291,4.4574,0.2527,0.4704,0.3023,0.2057,0.0,17.7259,0.0,0.0,9.0129,7.6776,0.0
ISR_C17_18,78.6077,0.2476,0.0181,1.3657,0.0425,187.7699,9.8041,14.8837,578.4847,23.5456,111.0149,30.3328,59.0524,25.9229,7.3715,40.9909,30.1266,9.3781,16.1281,2.1618,9.387,99.8836,7.3521,15.3484,70.8886,225.9802,5.9944,3.4171,3.5501,10.9647,2.5844,17.2436,252.5633,4.3845,12.0513,44.9444,4.5977,313.5064,7.1445,112.6738,64.8401,78.0333,43.74,9.9488,0.0,582.3068,0.008,5.6162,10.1618,64.9434,0.0
ISR_C19,37.6427,3.0482,0.5978,41.2822,0.882,95.5086,95.6877,3.1593,35.6417,4733.3141,439.9063,39.8216,613.5005,195.8721,37.0705,45.9571,102.35,35.2155,35.2933,7.2069,10.138,202.3521,95.2358,86.2937,278.1848,298.6367,577.2212,207.2647,313.0787,12.9682,6.6611,28.8875,4.9059,18.0073,35.2886,32.3253,26.835,87.038,124.4576,251.0195,18.7551,42.2097,18.4,15.6489,0.0,5395.5945,0.0142,0.0501,0.528,317.5174,0.0
ISR_C20,190.4206,0.4736,0.5055,23.085,0.7983,191.6736,40.9987,5.446,142.0713,1229.6824,1693.238,225.6464,213.4479,105.0112,43.1852,75.011,97.2683,25.6913,67.7663,8.0909,15.0944,101.7676,27.4363,58.3508,361.3102,75.8319,7.9986,4.0455,3.0815,2.4538,1.2426,40.1009,13.8514,0.106,2.9437,5.7609,22.2023,65.8352,30.9614,60.5256,16.9055,128.5131,11.1329,10.4068,0.0,1618.2971,0.0,1.0244,19.1906,209.1705,0.0
ISR_C21,18.6116,0.0816,0.0912,4.1621,0.1657,59.0548,1.3628,0.6569,7.0102,125.335,371.1324,832.4974,19.1057,9.2061,4.2292,7.2082,13.6264,2.5193,8.0172,0.8014,1.4063,117.2041,3.1147,9.279,49.2554,10.1345,12.1652,3.8698,3.8729,2.0645,0.9636,5.1512,1.1263,0.1437,2.937,12.8415,2.7623,102.6512,18.2134,39.4764,3.0327,1820.5088,2.6686,1.6926,0.0,1827.1,0.1448,792.7744,13.8826,236.0096,0.0
ISR_C22,14.415,1.7383,0.1645,12.877,0.6347,425.6909,23.7419,23.4913,68.8829,71.5414,180.1007,70.3249,455.2534,43.6931,16.9372,63.9272,108.4448,35.0239,118.3605,18.833,25.951,274.7108,31.5761,75.425,723.749,507.845,25.8604,6.1167,6.5696,1.9699,5.4994,62.3769,1.3793,1.1323,7.5622,5.2119,10.9951,52.4586,52.2505,78.1056,6.3908,119.4669,10.2944,8.3357,0.0,275.6988,0.0095,0.0336,244.4622,110.0701,0.0
ISR_C23,4.7523,0.0178,0.3352,26.5388,0.9676,114.6677,5.8913,0.9375,1.2656,21.9947,74.6167,11.1509,15.5682,728.4783,13.0522,52.2848,39.0066,3.797,8.5396,7.2755,25.3116,51.2668,3.3459,3.12,2463.6867,20.5751,2.8894,0.6194,0.594,0.3538,0.1144,8.5456,0.1655,0.0743,2.0037,1.4761,71.9118,12.0114,8.7587,26.9136,3.6623,3.113,6.3392,3.4548,0.0,286.4977,0.0072,0.0262,8.1406,78.3513,0.0
ISR_C24,1.9628,0.0129,0.6185,13.2481,1.0465,7.5338,1.7846,1.6964,3.7744,7.1864,15.874,2.1386,24.0533,32.6373,889.1748,541.1097,61.9837,37.3465,122.5285,45.1535,25.3414,142.6625,12.928,56.9252,429.1832,16.3973,1.8743,0.2975,0.2367,0.6341,0.048,1.1259,0.3887,0.0718,0.2437,1.12,0.3908,5.6951,2.1927,54.0375,0.3004,0.8415,2.1819,0.536,0.0,40.6033,0.0,0.0,76.4014,33.6812,0.0
ISR_C25,4.0481,0.0783,0.0911,4.5928,0.217,142.487,8.6889,10.8145,15.2376,15.6316,33.8019,5.9028,83.515,35.8075,44.8473,297.883,264.3279,39.7421,106.5593,28.2025,66.4051,190.3432,29.7982,32.1536,1853.3066,42.7715,4.5822,6.2934,4.3594,3.9688,0.3096,8.2408,3.1433,0.8787,3.1506,3.8493,6.4938,24.8096,20.3276,1425.5418,3.2946,9.3275,65.1426,4.2669,0.0,400.2,0.0128,0.1129,649.7835,114.4155,0.0
ISR_C26,7.9099,1.0146,1.2903,57.7451,3.1913,96.5193,9.1591,4.8482,32.0615,43.6682,76.74,17.5075,69.2519,41.3825,38.4672,202.7262,3289.42,211.0465,584.5788,40.5739,353.5947,274.0923,230.3282,92.4975,1260.9707,232.0363,46.1111,13.7294,12.7356,95.6356,2.0519,9.1539,16.0487,129.2122,836.577,60.2384,9.8099,1469.6817,61.4167,2978.7065,55.952,416.9979,57.0936,87.7397,0.0,2748.9175,4.5064,15.9098,4292.5522,674.5996,0.0
ISR_C27,11.7568,0.2683,0.04,1.982,0.0806,46.2069,0.5183,0.737,2.3814,2.4714,4.9747,1.8626,9.8891,2.7834,13.957,18.3961,142.6869,137.3585,44.1946,5.1266,26.024,41.571,92.7184,33.9892,249.1217,67.0523,4.3394,1.3909,1.1082,6.4831,0.214,25.1312,3.7262,7.3804,10.0925,3.5286,0.7244,34.4051,13.3071,87.12,2.9759,5.2736,8.8072,7.2434,0.0,188.8196,0.0151,0.0535,602.0187,50.2029,0.0
ISR_C28,17.367,0.3898,1.1362,50.2465,2.1839,35.9973,3.6755,1.7848,14.9336,104.2644,108.055,18.6377,31.964,26.7809,14.2764,81.2064,141.7266,30.2496,230.1384,13.295,36.7974,49.8638,75.1964,36.3407,348.9673,82.8525,11.8587,4.0331,2.4911,22.6039,0.2841,2.4334,5.7419,12.3349,10.9598,2.6432,5.4916,49.5335,12.7157,94.7705,2.5428,12.583,8.2699,12.9641,0.0,754.8748,0.0067,0.024,1539.699,76.7781,0.0
ISR_C29,0.1562,0.0234,0.0075,0.4204,0.0178,2.9274,0.1733,0.1692,0.3559,0.5047,1.1627,0.3546,2.1137,2.9006,0.8924,3.2929,8.5649,1.4509,2.6856,19.5681,1.5318,3.2382,1.3197,1.3297,29.4765,20.6498,2.5744,0.2306,0.2127,0.3529,0.0769,0.3257,0.1119,0.7774,1.6871,0.578,0.4438,3.7013,1.9449,20.3592,0.3092,1.382,1.0179,0.5393,0.0,329.6619,0.009,0.0317,687.6182,6.1984,0.0
ISR_C30,0.0595,0.0,0.0,0.057,0.0,0.2603,0.0204,0.0002,0.0046,0.2434,0.4618,0.1587,0.1615,0.0456,0.0595,2.0646,157.3674,0.0471,0.9896,7.6024,414.3499,3.4841,0.2459,0.218,0.3687,12.5422,4.9531,107.2914,68.2363,0.4551,0.0038,0.0961,0.7304,0.3201,0.0169,0.0303,0.1654,1.1411,1.8259,552.8108,1.0148,0.1394,3.5465,0.9726,0.0,363.5116,0.0,0.0,872.1337,57.3169,0.0
