V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_A01_02,10018.2217,3.1652,125.7626,50.132,0.0597,20751.2897,3465.0333,530.4448,186.5268,0.581,83.3716,24.9163,172.9274,15.0045,3.6607,3.549,0.1242,3.4623,6.3229,18.2365,1.786,98.7572,0.6391,4.7163,70.8344,395.8021,10.1798,0.6146,3.4401,1.2008,3.2015,941.9897,0.8281,1.2129,3.1917,4.5355,26.5069,86.8255,48.6024,456.3042,31.5797,32.2749,28.658,33.3502,0.0,24696.0695,0.0,168.1294,2914.5474,2125.3821,0.0
TUR_A03,2.757,32.3273,0.0527,0.0508,0.0,119.5499,0.0387,0.0,0.0,0.0342,0.0248,0.0,0.2101,0.5485,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0187,0.0,0.0,1.8299,14.4813,0.0,0.2025,0.0542,0.2491,0.0,177.2141,0.0,0.0,0.0,0.0,0.0183,1.2148,0.6877,2.121,0.0339,0.5857,0.673,0.1191,0.0,977.9058,0.0,0.0,0.0,53.1719,0.0
TUR_B05_06,5.931,0.0496,55.1556,11.2758,0.2057,15.8664,6.4287,5.878,1.5677,621.2526,2.5778,0.2537,2.9767,22.794,698.7561,0.3325,0.1652,0.4794,1.0581,1.3506,0.1501,1.2573,1402.6178,1.8776,3.9585,95.6132,20.4959,0.1803,0.0704,0.2466,0.0228,17.7287,0.16,0.1246,0.4192,10.2369,282.8864,2.4531,1.3824,0.6839,0.9258,2.1937,0.0835,13.1535,0.0,237.2323,0.0,0.3988,27.1418,-56.5658,0.0
TUR_B07_08,41.5376,0.229,33.6562,380.4585,3.4692,103.1844,87.2747,4.4486,38.65,211.0566,272.6215,0.5561,21.4107,970.2248,4172.5927,35.1753,0.8695,23.9103,8.84,22.8413,1.0869,14.6035,23.9392,9.4331,630.9851,60.2676,25.3571,0.5185,0.832,0.5888,0.1924,2.3833,0.1759,0.7015,0.1588,1.2383,8.3987,20.8393,3.6617,3.0628,0.8277,18.2101,0.6447,1.4693,0.0,470.9049,0.0,10.1602,167.2784,236.6103,0.0
TUR_B09,4.9813,1.2946,52.7568,83.4504,13.2823,1.2308,0.1694,0.0626,2.488,188.4374,9.7412,0.1355,0.7537,30.671,41.1061,4.3895,0.0025,0.1079,0.2518,0.0169,0.0134,0.1735,26.1236,1.3415,80.457,0.3718,9.953,0.274,1.1089,2.132,0.0144,0.1573,0.0279,0.0,0.0004,0.0526,2.3827,1.3374,0.826,0.6401,0.0894,0.0566,0.0973,0.1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR_C10T12,1673.9133,50.828,2.2582,20.9558,0.1627,9966.7044,141.139,4.0777,75.1103,2.7333,45.2141,31.5598,11.9138,15.9982,8.9425,15.8058,0.4629,10.6252,11.7409,4.843,5.1244,45.6433,13.5447,15.612,56.8261,746.8429,42.9716,5.0537,1.1007,11.8343,17.4387,5783.7471,7.089,10.3422,5.5237,24.1404,5.744,82.1122,119.5464,532.9904,65.6004,127.419,63.0881,75.9923,0.0,46092.2273,0.0,929.0744,0.905,2187.0727,0.0
TUR_C13T15,51.887,2.961,61.8341,111.1155,1.4185,220.2558,18301.2848,7.6139,225.7677,11.4431,147.1384,44.9031,137.0237,199.3971,39.3644,73.4593,9.0802,111.3278,143.9443,167.8634,16.5295,547.4355,36.645,16.7765,250.4144,909.2855,58.4125,1.1829,10.1507,35.7186,22.6057,113.5842,8.1098,2.9689,2.963,18.8479,36.8036,52.8972,101.9565,507.4678,43.2652,46.5026,37.2098,401.5574,0.0,21077.4556,0.0,2104.8461,1016.148,2882.104,0.0
TUR_C16,37.8915,0.5952,2.9814,0.9779,0.2992,36.4406,40.0229,890.7238,30.1074,1.5515,28.5926,2.8064,49.1221,86.565,36.7291,85.5559,1.4801,53.5967,47.6324,8.5924,16.7341,1377.505,2.8223,7.4601,1544.9432,138.6255,13.4413,0.3264,1.4672,1.812,1.1125,3.3111,1.4361,1.7453,15.2944,4.2306,12.1202,38.0228,14.696,13.0746,1.4136,15.0914,2.0909,77.4853,0.0,213.2775,0.0,1.8602,88.7603,162.3968,0.0
TUR_C17_18,136.1054,6.203,2.628,16.0792,0.6577,1036.6598,571.5925,97.3222,3552.6642,31.937,314.4135,90.1422,317.8215,271.8304,148.1761,138.2022,26.0608,172.0021,92.2497,74.6186,12.112,179.89,68.1516,15.8393,148.3738,1410.5422,113.7155,2.5492,5.5765,104.4162,59.9016,180.7052,580.9906,52.4378,64.3699,281.7902,31.4456,566.1314,290.2076,290.2656,145.761,154.4838,85.0489,132.2735,0.0,2347.5468,0.0189,20.6926,85.9049,554.5516,0.0
TUR_C19,579.7081,22.4195,199.7412,394.9655,3.1605,149.4474,93.976,21.0209,33.4745,247.5119,162.9433,12.0138,86.3584,330.1354,90.6638,64.9514,2.7825,79.7448,39.2332,32.5257,6.043,63.6036,92.0961,71.0432,857.0973,937.0578,2376.2633,141.6341,809.408,222.6817,77.2933,69.3678,4.5964,12.9051,7.4037,25.1505,119.8812,98.5994,128.6229,466.6739,59.1632,35.4836,8.4527,84.2786,0.0,1789.8229,0.0,2.5397,23.8793,290.2516,0.0
