V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T,CYP_HFCE,CYP_NPISH,CYP_GGFC,CYP_GFCF,CYP_INVNT,CYP_DPABR
CYP_A01_02,69.4387,0.0169,0.0033,0.016,0.0002,326.5706,0.0018,0.0334,0.0123,0.0088,0.0776,0.1553,0.0253,0.0222,0.0042,0.013,0.002,0.0024,0.004,0.0013,0.0006,0.0469,0.0469,0.0387,3.3754,0.2706,0.0016,0.0002,0.0014,0.3674,0.0139,8.557,0.0447,0.0304,0.0046,0.1923,0.1658,0.6353,0.5079,5.724,0.2545,3.1881,0.1879,0.2334,0.0,264.6893,0.0058,38.3265,8.1496,-0.0976,0.0
CYP_A03,0.0,0.7606,0.0,0.0,0.0,9.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6596,0.0861,0.014,0.0,0.0,0.0,0.0,0.0,1.1785,0.001,2.0289,0.0746,0.0345,0.0,0.2732,0.0,0.0,0.0,0.0017,0.0
CYP_B05_06,0.0062,0.0,0.024,0.0308,0.0005,0.0127,0.0,0.0,0.0,6.8858,0.0361,0.0233,0.0,0.8244,0.0815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4095,0.0,1.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0835,0.0,0.0,0.0615,0.0,0.0,0.0,0.0,0.0,0.1934,0.0,0.0,6.5308,0.0,0.0
CYP_B07_08,0.0846,0.0,0.0598,0.563,0.0033,0.0945,0.0,0.0,0.0,9.9751,0.4948,0.3193,0.0,8.6759,1.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2841,0.0,0.0,0.8438,0.0,0.0,0.0,0.0,0.0,3.2763,0.0,0.0,26.5555,-0.0131,0.0
CYP_B09,0.0045,0.0039,0.0705,0.1213,0.0025,0.0022,0.0,0.0001,0.0012,0.122,0.0029,0.001,0.0004,0.0486,0.0062,0.0057,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0589,0.0039,0.162,0.0013,0.0053,0.0066,0.0005,0.1414,0.0,0.001,0.0002,0.0,0.0,0.0009,0.0061,0.0046,0.0024,0.0032,0.0005,0.0003,0.0005,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP_C10T12,64.3153,0.061,0.006,0.0269,0.0007,192.6716,0.0227,0.0214,0.0318,0.0168,0.9055,0.724,0.0165,0.0214,0.0055,0.0463,0.0009,0.0476,0.0086,0.0035,0.0019,0.9164,0.0359,0.0579,0.7502,4.7942,0.4913,0.9892,0.0148,0.2501,0.045,213.9325,2.3697,0.4744,0.1197,0.2745,1.2227,0.51,0.1309,8.6998,3.5073,21.3913,6.707,1.8248,0.0,738.815,0.018,0.0,15.7413,-12.9797,0.0
CYP_C13T15,0.1272,0.0046,0.0012,0.0058,0.0001,0.3558,2.392,0.1771,0.1023,0.0157,0.0077,0.016,0.0087,0.0445,0.0141,0.171,0.0108,0.0291,0.0112,0.0266,0.0007,0.4639,0.0134,0.0458,1.0721,0.3487,0.0103,0.0032,0.0007,0.3234,0.0034,3.4806,0.1145,0.0181,0.0154,0.0977,0.2305,0.1165,0.0578,0.5639,0.0364,1.1452,0.1501,0.0882,0.0,34.529,0.0,0.2475,0.3282,-0.3712,0.0
CYP_C16,0.343,0.0088,0.005,0.031,0.0003,6.1296,0.0939,27.1813,0.0194,0.024,0.2632,0.015,0.0176,0.4057,0.0241,0.441,0.0189,0.0305,0.0559,0.1201,0.0914,3.9084,0.5588,0.0324,37.8419,13.5897,0.0168,0.3779,0.0229,4.5374,0.0232,18.4898,1.6001,0.2339,0.0593,0.1779,2.0534,1.6698,0.206,1.4128,0.3251,2.3843,1.5881,0.0613,0.0,22.8657,0.0004,0.1711,9.1602,-6.7737,0.0
CYP_C17_18,0.0886,0.7436,0.0128,0.0631,0.0006,1.761,0.0851,0.1132,10.5097,0.1952,0.1188,1.5888,1.5278,0.3467,0.0641,0.3425,0.0431,0.2058,0.1037,0.0972,0.0072,0.3626,0.2323,0.9398,2.396,9.559,0.2874,0.2945,0.0093,4.3351,1.934,1.5644,3.5254,2.065,1.5411,6.8005,1.9242,21.4031,4.2457,2.0066,2.8402,1.5607,2.9399,2.1647,0.0,27.5653,0.0001,0.1849,0.3616,-0.4419,0.0
CYP_C19,0.4059,0.0226,0.0729,0.4781,0.0028,0.8802,0.0185,0.0532,0.0329,1.6101,0.1845,0.0362,0.3915,0.7889,0.0269,0.1196,0.0174,0.0104,0.0085,0.0034,0.0003,0.0702,26.7181,0.5777,1.3934,2.2765,1.9372,0.1873,0.2967,0.7691,0.2062,0.629,0.0773,0.063,0.0693,1.0024,0.2414,0.2464,0.4878,1.1774,0.1578,0.4129,0.1094,0.1854,0.0,34.9968,0.0,0.0,0.0,0.0001,0.0
CYP_C20,3.0354,0.0541,0.0212,0.1024,0.0009,0.6155,0.088,0.3976,0.9043,0.0666,0.7375,6.6195,1.6897,2.0106,0.2395,0.8429,0.1748,0.1741,0.1616,0.0264,0.0382,0.5655,0.0602,0.1736,1.9954,1.0165,0.0137,0.0031,0.0017,0.4922,0.0296,1.0395,0.1373,0.1003,0.1954,1.0344,0.22,0.8889,1.1934,0.506,0.343,1.1968,0.1449,0.9659,0.0,20.4634,0.002,0.0122,0.5578,-0.0276,0.0
CYP_C21,0.0282,0.0001,0.0549,0.3111,0.0,0.0737,0.0298,0.0001,0.0002,0.0003,1.5535,4.2018,0.0004,0.0022,0.3849,0.0002,0.0,0.0,0.0001,0.0,0.0039,0.0001,0.0051,0.0356,0.0107,0.0329,0.6532,0.0,0.0,0.0026,0.0206,0.3443,0.0393,0.1329,0.0124,0.0031,0.0004,1.0353,0.1283,0.2403,0.7354,37.358,0.0121,0.2583,0.0,60.7728,0.597,21.9994,11.3549,-0.3071,0.0
CYP_C22,0.426,0.1365,0.0477,0.4138,0.0046,10.6756,0.1427,0.6516,0.6544,0.1025,0.5414,1.4697,1.5903,3.5954,0.0627,4.7553,0.0298,0.7915,1.1768,0.2192,0.0013,2.2674,0.1551,0.134,5.5553,13.7311,6.6126,0.0244,0.039,0.6465,0.0667,2.4767,0.3988,0.1048,0.1063,0.7741,0.3865,0.3393,0.3395,0.7241,0.4393,0.7399,0.3923,0.1113,0.0,13.8175,0.0531,0.7618,2.0854,-1.3685,0.0
