V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,USA_HFCE,USA_NPISH,USA_GGFC,USA_GFCF,USA_INVNT,USA_DPABR
USA_A01_02,78100.4992,6.8983,39.0613,34.8793,18.1686,173204.6434,2266.9682,9559.3472,4165.9701,9.1854,4879.7092,29.3784,1018.8367,1.051,0.4633,0.8336,0.102,0.079,0.4358,0.4395,0.167,310.8705,1.8206,0.912,2601.4149,3006.3146,9.7418,94.0781,0.112,4.1386,0.1143,399.2217,93.859,6.5635,10.6026,17.7747,48.5586,882.0867,1257.6526,4675.4482,399.7256,10.8938,583.0654,51.7308,0.0,110444.6547,1498.01,0.0,199.6876,18415.9149,0.0
USA_A03,3.8772,20.2809,0.0,0.0,0.0,1137.6865,0.0,0.0,0.0,0.0,1.8583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7789,0.0,1.0617,0.0,0.0,0.0,708.7214,0.0,0.0,0.0,0.0,0.0,24.6319,0.0,84.6493,19.375,0.0,23.6888,22.5077,0.0,717.8148,31.1545,0.0,0.0,111.2376,0.0
USA_B05_06,505.0722,1.7548,21428.6797,601.0486,395.3593,428.7184,22.9133,20.9097,291.8627,98753.8627,2100.9382,5.5673,71.1252,503.9159,1120.3247,32.7926,7.1879,47.7117,35.7866,33.997,6.488,28.3755,22342.6721,38.2615,1596.2459,260.4417,947.7654,66.3134,270.7411,133.4636,247.2119,244.6133,21.5988,24.3479,43.4191,328.3004,529.213,213.8261,215.4264,19522.7575,1002.1905,201.0583,27.3667,84.3391,0.0,5293.7925,4.5844,0.5859,32368.7508,8818.0872,0.0
USA_B07_08,1258.4846,0.0266,648.7378,3613.6382,85.6165,205.7952,24.8452,9.4338,261.4919,46.1145,2223.6039,14.8316,169.818,6360.9916,7936.0979,298.678,10.0655,61.7076,78.8008,77.5628,39.0904,129.3818,216.5582,179.2806,16470.6573,84.5675,125.952,0.2644,0.9575,18.1716,4.2189,53.683,64.2984,107.2695,329.123,26.5814,703.1195,704.145,277.7971,1713.3644,234.6972,87.7728,288.7483,1052.6562,0.0,526.7338,9.094,0.3575,10883.5884,1926.8543,0.0
USA_B09,37.7167,0.1195,5224.6027,775.6131,528.6007,142.0126,8.3284,23.1424,56.2232,43.4413,74.9413,3.6197,54.7873,45.4496,69.8445,339.6544,37.1219,68.6235,154.9044,508.478,61.2703,68.8029,36.8382,18.0926,1916.9215,120.8867,38.8145,7.8717,4.5516,19.7203,12.2345,43.2033,15.7385,55.5316,29.1605,31.9627,537.8194,115.5842,42.1604,485.5969,62.3,43.1209,5.1094,45.2007,0.0,494.5707,8.0971,0.5638,48203.452,160.7884,0.0
USA_C10T12,34109.576,0.0609,37.7961,11.0673,7.1766,126588.3955,682.8332,55.9964,1632.6185,240.3843,2050.787,1269.8538,358.2201,253.9979,44.7333,79.2166,27.973,28.4046,70.9946,125.1335,24.8671,62.9243,22.9482,10.5253,306.7753,5967.0774,55.5695,323.2896,493.8404,15.2017,6.3856,41090.131,91.361,31.8986,135.2372,19.0094,67.433,4340.659,89.373,29786.8023,17595.8781,15838.1455,2610.7568,1732.0512,0.0,599483.1945,2460.3713,151.1527,3721.6073,40435.2008,0.0
USA_C13T15,192.0243,0.4855,33.626,9.0378,5.3175,162.5119,2454.6672,143.4356,1114.8277,31.736,508.2911,25.0993,763.4742,172.2471,13.3054,108.7212,14.8812,14.1406,323.2134,1251.0525,229.7305,1168.5062,11.6003,180.6782,883.0649,6424.761,9.4402,14.2997,0.7816,12.2089,17.1944,408.3798,100.2354,13.9973,22.703,13.5032,149.8414,240.855,356.8204,1504.8061,267.1105,1380.7395,30.8088,660.7524,0.0,33851.2878,150.7395,1.4585,1718.6488,2472.6882,0.0002
USA_C16,477.0613,14.8035,7.5428,281.8456,158.8656,373.2053,46.9887,19514.2608,4608.1915,3.7238,261.8681,9.6386,1144.6504,257.8155,546.3018,822.4032,69.7166,454.7719,455.4825,2089.0253,165.0866,5701.5438,4.1765,21.6713,38789.59,5183.5885,1978.3673,1.3569,0.979,213.0406,54.508,948.6369,222.9552,757.8029,1047.6546,93.6408,4856.8752,526.9769,722.392,815.6966,2250.0723,1081.0472,73.628,434.2329,0.0,6885.2789,149.7413,1.5979,8284.6002,4469.0636,0.0014
USA_C17_18,452.4797,0.0559,121.9759,115.1568,43.3331,21941.2864,460.5369,530.3661,31162.0214,119.0478,4350.8991,329.4135,3607.8852,1330.0835,1355.7392,2122.1774,357.2838,838.051,1578.291,2535.7056,384.3826,2293.0831,96.5121,267.4209,4145.7703,23578.57,1536.885,49.1695,28.0655,2382.4762,826.0846,4879.678,10366.8638,1264.5447,5771.7311,6137.0242,1692.9003,13799.1464,6367.9366,9106.1607,10971.0685,7685.6824,738.2003,2874.7621,0.0,34943.8858,353.3086,1.6248,1029.2254,8849.5553,0.0002
USA_C19,5093.4521,33.4882,2634.0626,996.7814,832.2026,1880.1343,233.5728,351.3193,1174.021,2308.1782,5730.8028,130.6795,1650.7757,3295.6353,940.1341,594.7509,128.8243,886.7277,481.9916,434.039,75.8774,541.2489,8585.1645,687.6916,16183.8013,3924.6866,17967.6731,1271.0796,5189.8447,2433.5907,4704.2653,1308.7027,346.6419,274.4846,695.499,5928.5328,3589.622,1919.9174,4096.7062,28177.6645,15463.6626,3137.6646,393.4634,1135.7239,0.0,102627.8486,20.4147,3.7254,837.3952,11810.1408,0.0
