V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T,ZAF_HFCE,ZAF_NPISH,ZAF_GGFC,ZAF_GFCF,ZAF_INVNT,ZAF_DPABR
ZAF_H49,482.0087,15.8413,589.528,880.9066,9.0509,692.83,83.2019,45.017,216.3607,648.5193,356.639,47.036,102.3942,152.0315,206.0844,120.6656,34.8936,60.9681,134.3776,238.4675,19.443,77.0537,208.3021,74.4422,568.0883,839.496,480.53,6.2357,99.8845,404.706,98.1487,75.4003,68.129,83.4045,38.6779,98.9757,88.5666,148.4859,188.4133,234.6935,71.1167,109.6468,33.4809,32.3079,0.0,5100.768,1.2911,4.5028,281.1285,30.6194,0.0
ZAF_H50,0.0714,0.0003,0.0006,0.0008,0.0004,0.0307,0.0247,0.0003,0.0231,0.5694,0.0306,0.002,0.0159,0.0004,0.1076,0.0231,0.0279,0.0542,0.0498,0.5051,0.0038,0.0257,0.1366,0.0215,0.4745,0.0027,0.0007,0.0002,0.0144,0.0014,0.0002,0.0114,0.0064,0.1294,0.0023,0.0056,6.6275,0.0021,0.0017,0.0004,0.0209,0.1252,0.0145,0.0033,0.0,0.0006,0.0056,3.5671,2.1457,379.8091,0.0
ZAF_H51,53.7446,1.4175,82.2295,139.9998,1.8606,87.1538,14.6909,4.6721,24.2944,95.0305,54.9691,15.4561,12.8153,18.536,14.6325,8.6176,6.2093,7.1785,17.2817,35.9386,5.0401,10.7603,25.9234,10.3505,47.5964,168.1509,37.6671,0.6343,60.6884,159.024,39.2075,12.9784,15.5392,26.3236,21.2154,55.3472,7.6263,95.1197,182.0974,104.3473,10.5772,30.751,8.9092,10.1369,0.0,1622.7167,0.3704,1.7546,71.5511,183.0946,0.0
ZAF_H52,95.0582,6.5308,184.801,348.3636,16.7166,395.2528,50.2271,25.4992,114.3182,176.2209,173.7303,37.159,39.13,62.3957,54.337,51.3374,17.0777,22.1041,74.0783,96.1298,12.1772,42.2057,93.9122,74.5021,390.1944,1671.0121,346.9179,18.4809,407.0908,937.9902,43.2044,311.0177,90.5726,649.6279,311.4641,70.326,438.4257,813.1625,773.4953,198.9808,301.369,265.074,86.7025,79.8514,0.0,373.0891,1.333,0.7308,75.1238,0.6576,0.0
ZAF_H53,1.29,0.2579,3.6624,3.955,0.5232,45.2736,19.8038,0.8,8.32,1.1834,6.7407,2.4037,3.0964,2.4146,1.0181,1.5656,4.6526,1.8591,5.7026,6.5063,0.9233,11.7843,5.8537,3.7439,5.4527,324.4474,6.0193,0.7206,1.2247,108.1357,48.5518,8.1546,9.6015,122.2465,10.2097,109.5334,11.1039,119.2295,281.8496,32.3331,0.1753,25.3652,4.5899,8.2683,0.0,178.6307,0.2345,0.0,0.0,0.1063,0.0
ZAF_I,0.805,0.1354,19.6198,10.5953,0.6632,10.4294,3.97,1.0721,3.1602,2.6975,7.5313,3.1215,2.761,1.6684,0.6571,2.4842,2.242,1.0124,5.8633,2.8307,0.9323,2.6773,21.1342,5.253,18.1037,95.4011,10.8109,0.5741,28.7204,56.6276,1.5886,14.2003,5.6233,12.5931,12.4457,92.656,1.8641,59.828,56.0296,387.263,832.677,90.723,5.2748,8.5017,0.0,6266.5479,8.1103,0.0,0.0,0.0015,0.0
ZAF_J58T60,27.8406,0.2457,13.0296,48.225,0.3291,22.2965,6.5368,1.7072,39.4837,2.753,9.0771,3.6425,3.6387,2.9141,0.9728,3.5492,1.9012,1.3195,5.0118,4.05,1.3152,4.9141,31.764,28.0915,18.0981,136.754,8.8097,0.6973,20.8367,11.418,2.1139,25.2627,68.833,27.1565,9.583,151.3003,52.6112,57.3564,32.9658,270.7417,446.3647,37.907,80.3463,17.8338,0.0,1480.4245,6.5762,1.4107,5.739,-2.048,0.0
ZAF_J61,63.5866,0.9576,41.0882,50.2932,0.7825,59.7885,15.7259,7.2107,26.0249,13.1306,29.2331,10.2705,11.6648,12.959,4.6863,16.7352,186.3374,25.3426,26.3385,16.5652,4.1551,27.1443,61.2484,145.5127,63.8205,631.4606,77.9754,3.3406,29.4371,189.8882,25.9289,78.5489,49.1565,6334.7126,138.7119,846.7224,146.8927,407.8097,161.3354,1152.8343,16.7036,898.6789,35.3126,57.9802,0.0,6115.7546,2.1659,0.0,3256.6891,-1208.1871,0.0
ZAF_J62_63,119.4854,3.0105,141.9426,473.0049,5.0887,125.6405,26.0395,6.9179,36.9074,41.0223,41.2834,13.2589,10.7855,17.3278,15.3281,13.8499,60.9786,144.0649,45.0227,58.1526,8.6748,12.6082,260.5017,132.778,459.5546,625.8792,75.094,5.9231,41.1757,200.4693,17.1936,146.135,79.6351,425.9229,853.1285,927.3616,88.2858,358.3387,197.0188,490.7952,29.5677,174.0388,50.9957,44.8368,0.0,918.2751,2.0099,0.0,408.2694,-153.7705,0.0
ZAF_K,777.4151,14.5889,184.3271,341.5461,6.8771,365.8758,93.6681,32.9567,62.1541,104.9631,137.7414,35.0181,57.0236,52.6786,54.854,82.926,23.2203,33.7188,93.6079,109.3943,15.019,89.933,257.6436,87.6747,411.5309,3751.1008,268.5161,6.0235,42.7418,802.0291,55.5255,269.0564,81.1692,179.1121,86.989,8318.128,2178.1159,596.7461,599.7372,1390.8806,54.5277,390.2008,107.511,99.4048,0.0,17539.7241,21.4251,0.7541,922.9939,2.9442,0.0
ZAF_L,327.9352,1.0713,19.1229,39.2464,1.7502,97.8676,48.5417,15.9762,53.543,17.6028,54.5826,17.4928,28.7663,21.3063,5.1886,48.1811,11.947,9.9933,47.4372,21.0753,12.83,57.739,52.2805,97.6795,79.3992,2193.1118,130.5635,2.2803,11.4945,758.4621,41.085,387.0165,42.6659,295.9485,108.647,1995.6547,699.0883,472.5337,454.9055,1255.2312,18.4016,397.5861,40.7581,47.4513,0.0,21512.1375,29.5294,0.0,431.2005,0.0002,0.0
ZAF_M,572.2052,6.1,425.6447,1123.4166,36.5212,374.4681,52.5572,23.4492,96.6398,141.205,154.092,72.8699,32.7454,53.012,40.8831,44.3282,12.325,10.5431,56.7608,65.8701,15.1484,33.2823,671.5355,358.0023,237.6487,1578.5956,189.1866,14.7846,75.5388,360.3221,22.4616,351.4196,114.0547,525.6067,455.8344,1425.1481,497.0369,2494.6384,679.3922,1071.8089,68.8432,383.4559,134.8224,143.1699,0.0,3129.9002,57.6879,5173.5425,278.0016,0.3893,0.0
ZAF_N,473.3844,4.372,246.5696,647.9637,16.9099,302.2916,47.9438,20.9288,81.5545,78.2473,102.8756,41.112,27.6574,40.1489,36.26,40.9665,10.3383,8.337,44.2501,50.0434,11.4551,39.5328,394.4839,218.7148,140.8725,1596.6686,238.1248,15.6425,142.2719,540.9041,41.1965,473.9952,119.6988,632.2074,497.7642,1222.0258,679.9387,1142.9892,1630.2456,874.8633,229.8729,676.6475,191.9293,155.0052,0.0,1386.0256,9.0884,0.0,97.02,0.0108,0.0
ZAF_O,23.2661,2.7632,208.1242,853.8304,5.1016,160.7209,22.3191,7.6672,59.1118,41.2669,65.5973,28.6269,15.3502,25.9018,15.1622,15.6559,6.4901,6.653,27.8636,41.5206,6.1069,21.5077,52.6453,46.6043,82.7052,916.7822,69.3704,4.6687,54.2017,85.0789,11.6143,205.5847,60.9669,378.1197,801.042,76.0865,433.5253,1435.9694,318.0192,348.6631,30.5896,269.6879,72.635,94.0911,0.0,824.7391,31.6839,33792.7214,65.8431,0.0061,0.0
ZAF_P,34.6895,0.5599,46.0906,135.5873,2.8798,41.0571,8.211,3.0632,11.3076,11.8686,21.3238,14.3568,5.7083,5.3719,3.7953,5.364,3.7654,2.4514,13.0509,11.7004,2.0952,4.0229,71.9376,33.0938,34.9899,129.1997,24.8786,1.5066,33.0434,70.3644,2.7525,34.9384,10.6127,42.4368,214.143,231.3391,130.4785,380.864,201.5576,385.2427,103.0964,73.6037,9.7699,26.001,0.0,7101.4963,183.8543,17588.8759,89.8564,0.0042,0.0
ZAF_Q,320.5586,6.9575,111.3586,404.9539,2.1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833,137.4261,0.0,0.0,41.812,0.4133,6.182,17.2226,0.3242,0.0,20.6937,51.6781,17.2176,122.0236,62.4589,56.3948,239.9124,108.1924,0.1468,442.7585,117.4299,1.3624,0.0,11786.3856,154.5129,8217.0835,0.0,0.0042,0.0
ZAF_R,34.7077,0.0651,3.2588,3.3702,0.1842,3.0052,1.6165,0.6074,1.2267,0.4128,1.6582,0.6297,0.6504,0.5961,0.3013,2.2101,0.898,0.5321,2.4095,0.5115,1.1036,3.2598,12.9226,0.8352,11.4575,55.4899,2.8759,0.8597,0.2939,9.6398,0.2743,14.2635,0.8178,1.5026,3.349,5.6477,50.8582,22.4462,28.7226,59.3437,14.8132,13.6881,2.5937,2.6094,0.0,3483.6354,146.2904,0.0,0.0,0.1423,0.0
ZAF_S,35.7073,0.4264,39.7837,159.7133,0.0598,170.1923,29.5972,11.3337,65.2552,43.4756,48.3858,15.658,17.0188,14.6833,26.6249,25.4915,6.4832,9.2144,32.162,64.4416,5.4477,21.4732,1.3679,10.1809,18.2509,11.7398,56.4383,0.8919,6.2912,26.4309,1.9444,14.9019,10.5951,50.2605,40.9189,5.868,109.8995,116.3036,47.3666,15.8404,23.9035,6.1003,0.3978,9.3056,0.0,1120.7242,333.1709,0.0,0.3558,0.0005,0.0
ZAF_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25098.5545,0.0,0.0,0.0,0.0,0.0
