V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T,BGR_HFCE,BGR_NPISH,BGR_GGFC,BGR_GFCF,BGR_INVNT,BGR_DPABR
BGR_A01_02,493.7447,0.1631,0.4992,1.7788,0.1235,420.7822,8.2933,77.4364,12.0778,6.3449,26.0885,2.7598,3.821,5.0565,11.8857,4.4295,1.1982,2.9166,4.4804,3.2801,0.8233,3.7809,6.3436,2.3762,31.8293,58.4946,11.0993,0.2028,1.0209,6.6591,0.6862,5.4556,0.9358,3.1081,7.2221,2.3669,6.752,6.1844,14.7016,4.5609,0.6855,7.4602,2.3573,2.5155,0.0,790.1608,0.2133,25.6257,62.4236,5.0383,0.0
BGR_A03,0.4652,4.7516,0.0018,0.0055,0.0004,15.8544,0.029,0.027,0.0088,0.0159,0.0586,0.0149,0.0101,0.0394,0.0335,0.1978,0.0263,0.0089,0.0121,0.008,0.002,0.0311,0.017,0.0073,0.3337,4.5156,0.1008,0.0034,0.003,3.1474,0.0012,0.4612,0.0038,0.0099,0.0384,0.0111,0.0202,0.0453,0.1402,0.4358,0.0209,0.0281,0.0393,0.0695,0.0,31.282,0.0147,2.6841,0.0736,0.3575,0.0
BGR_B05_06,4.5611,0.0455,0.8178,0.6926,0.0332,4.8482,0.4759,1.6664,0.4168,20.5977,3.0529,0.7244,0.4692,9.4132,9.2546,0.2184,0.0709,0.3417,0.6404,0.1606,0.0628,0.8602,49.3354,0.3746,226.0737,18.1848,42.3258,0.188,0.1323,0.6479,0.1014,0.7012,0.0896,0.0709,3.5888,0.8873,0.8484,0.4678,5.9859,0.2772,0.3121,0.8937,0.2198,8.914,0.0,41.4626,0.0,0.4429,6.2927,3.1729,0.0
BGR_B07_08,1.3245,0.0461,0.0338,89.5985,0.2656,41.4258,0.3117,0.1515,1.1256,0.6677,46.4616,10.4041,0.4041,3.055,131.985,13.2756,0.7045,0.8317,22.8766,2.0125,0.5902,2.4859,2.4303,4.9912,286.7035,11.6706,2.1921,0.021,0.3029,4.2716,1.0308,10.5059,1.0778,0.5703,0.2054,0.2975,8.6698,4.2341,9.0342,0.6151,0.196,11.5687,2.8944,0.296,0.0,19.5409,0.0027,2.468,34.8278,12.1955,0.0
BGR_B09,0.2387,0.0963,2.1112,10.2705,1.6244,0.1168,0.0067,0.0042,0.1049,10.0705,0.4705,0.0137,0.0436,1.7435,3.6148,0.2344,0.0003,0.0073,0.0179,0.0005,0.0015,0.0071,0.7213,0.1321,5.0361,0.0211,0.6364,0.0112,0.0391,0.2205,0.0009,0.0063,0.0029,0.0,0.0001,0.0042,0.1583,0.0721,0.0708,0.0417,0.0038,0.0057,0.0092,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR_C10T12,26.9261,0.1211,0.0234,0.4705,0.0216,1106.7983,0.3644,0.0837,0.0656,0.1418,0.8586,0.4625,0.1838,0.3195,0.2131,0.2206,0.0966,0.0826,1.0343,0.0978,0.0612,0.4577,0.2583,0.0355,3.3549,25.9654,1.2723,0.2557,0.2253,0.5708,0.1393,164.3021,0.0855,0.1287,0.5561,0.1526,1.8434,3.0276,4.6696,4.5433,1.1107,10.6757,3.7141,0.765,0.0,3230.3011,0.0001,0.0493,0.4943,42.7739,0.0
BGR_C13T15,3.5391,0.0315,0.0993,0.6096,0.1002,3.6281,247.7644,0.6838,1.6826,1.1346,1.3296,5.7186,4.3557,1.4323,3.422,1.8541,0.2939,0.8106,1.0482,118.8921,0.2742,5.3761,3.6589,1.3986,11.3313,39.3183,3.4711,0.0328,0.3683,3.6037,0.1102,1.4749,0.6505,0.6311,0.3509,0.6029,8.0662,2.7148,8.7654,12.7662,0.1338,2.4064,2.1101,7.9006,0.0,515.6278,0.0003,0.5231,6.9359,14.1237,0.0
BGR_C16,5.4494,0.0278,0.0807,0.6501,0.0325,5.7837,1.5691,73.1458,1.0093,1.7084,7.0428,0.2782,1.7697,1.1119,3.0221,2.1388,0.2858,2.5315,1.6528,0.7422,0.26,20.1177,1.2828,0.6152,19.7945,14.3687,2.4015,0.0213,0.1436,3.2622,0.3,0.569,0.6615,0.142,0.4169,0.3365,6.2771,0.9454,1.0951,0.814,0.0945,0.4727,0.2463,1.0436,0.0,79.4964,0.012,0.6313,4.2669,1.8854,0.0
BGR_C17_18,3.2379,0.0468,0.1773,0.5099,0.0677,46.3802,2.7954,1.6684,191.8708,1.9319,12.1026,3.5382,3.1553,8.194,3.4783,2.7366,2.8868,1.6379,5.4265,0.9361,2.2846,10.291,1.4928,1.0541,6.791,94.3512,3.3553,0.0282,0.3993,2.5711,3.0724,3.6438,17.3197,0.9706,8.3702,45.8906,2.1638,45.6189,11.9236,86.3819,3.7067,13.6034,4.9691,36.7556,0.0,102.2344,0.0077,0.6005,1.8305,6.362,0.0
BGR_C19,97.2096,1.0477,0.4764,27.8285,0.7127,34.2756,3.2373,4.9418,1.7814,22.7247,8.8357,1.7283,2.7935,19.0479,46.3356,6.7305,0.4522,1.8026,2.5907,0.843,0.4179,5.1831,13.6422,11.6773,147.2883,111.214,465.8457,6.0678,34.5277,15.4687,8.7175,5.058,0.6671,2.3308,1.944,3.9721,7.95,4.0885,18.6553,2.0272,1.5627,5.2133,1.3513,2.4511,0.0,441.0771,0.0006,0.6388,0.9755,14.635,0.0
