V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T,IND_HFCE,IND_NPISH,IND_GGFC,IND_GFCF,IND_INVNT,IND_DPABR
IND_H50,50.0454,3.6331,6.6974,9.3533,0.0045,105.5782,93.8558,11.6616,25.0417,571.9948,101.2145,24.9828,41.4221,67.7429,243.3226,33.9799,26.0377,34.9825,44.4862,88.9452,28.605,49.7074,95.7033,8.8366,37.8182,0.6,45.3034,5.0417,2.9229,1.9283,1.0551,18.6507,7.4375,13.0984,1.3624,4.6339,1.4902,0.1746,1.5086,0.0069,0.0071,2.2204,0.0136,1.5892,0.0,0.0051,0.2206,1.8563,456.4046,876.2796,0.0
IND_H51,98.9177,7.1363,13.7993,20.8917,7.4049,204.8663,190.4366,23.8291,51.6112,1207.1053,208.6153,51.354,85.5316,136.8623,490.0235,68.7226,54.3978,72.2246,91.3186,182.9205,59.379,103.1489,202.3883,163.9095,635.1299,347.0668,110.1651,10.8911,12.8323,115.1019,11.9252,41.2515,25.2449,59.5221,2.7896,536.5902,27.2912,37.8829,212.3541,606.3337,428.3336,91.8331,7.4998,50.294,0.0,1591.5795,1.4095,1.4967,956.2992,839.949,0.0
IND_H52,788.4636,61.8041,291.7374,58.9943,35.6653,2143.8562,867.3719,87.9119,141.5158,382.2444,570.3123,156.274,217.0474,685.39,2851.4346,335.9685,71.5977,184.3531,290.2875,544.2163,117.8884,207.6706,440.5628,65.1001,3081.6858,1754.3609,364.7506,8.3806,704.5557,163.024,16.9035,542.4203,81.4596,79.0747,48.4485,408.2987,56.1232,32.3473,239.383,394.9993,59.0686,58.6161,29.7186,167.4935,0.0,7203.5061,3.5754,6.9873,977.919,187.8095,0.0
IND_H53,27.7919,0.0,0.6227,0.6818,5.7496,5.0041,14.4999,1.2605,1.6161,2.3998,0.5718,1.2867,15.2863,11.9512,2.1482,5.7305,3.1189,1.1319,4.5527,1.9924,0.5565,3.4192,759.92,213.8904,514.1139,366.2904,1579.1354,3.5931,86.1051,663.1303,534.1409,4.3303,34.5677,1201.0445,192.3071,369.7246,87.341,110.5305,417.738,0.0,93.1376,14.4041,27.0153,43.1132,0.0,2188.1173,1.7816,0.0,0.0,0.6334,0.0
IND_I,130.5022,0.0,0.9146,11.3861,23.4551,0.0,0.0,0.0,0.2894,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.1347,0.0,0.0,0.0,963.8638,172.1293,3289.9154,5494.2604,2399.4386,8.3818,174.1724,385.8802,70.2593,5.0829,39.4968,607.4962,452.5447,4336.4236,318.5711,101.9396,482.9457,561.4035,169.3485,41.5301,24.0781,226.811,0.0,45917.7403,84.7402,0.0,0.0,0.0084,0.0
IND_J58T60,59.9421,0.1079,4.2069,6.8542,6.7748,3.881,8.795,0.062,12.1863,95.2516,2.3519,61.1189,0.2395,0.9422,14.246,0.2224,0.4687,0.7923,24.396,0.7164,0.2056,3.964,82.6928,4.7173,51.5403,74.0069,199.7317,2.8008,60.395,92.1807,1.796,5.0979,441.5058,31.8802,56.3878,136.9921,17.3117,31.3371,72.426,6.1312,276.5453,73.2792,40.0831,94.5978,0.0,15471.8027,106.0208,795.3155,0.0,0.5154,0.0
IND_J61,121.7593,0.0,2.7718,3.0103,13.5603,18.5281,54.9038,5.1321,5.3884,8.8103,1.7923,3.9441,54.0384,45.9362,7.394,20.6344,12.2831,4.0205,15.5798,6.3074,2.0157,13.7127,2312.5359,742.7901,2687.1799,1111.0747,7496.0884,16.9506,479.0392,2147.5099,54.0242,24.8522,223.1696,4154.0936,1513.3587,1302.2624,416.7625,453.9653,1607.7632,0.0,376.3767,71.4209,121.2709,169.2143,0.0,27297.7786,7.4839,0.0,0.0,2.454,0.0
IND_J62_63,0.3791,0.0,0.1642,0.055,46.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7071,0.1209,505.4135,53.9555,0.491,0.1066,21.9388,36.4074,3.0087,5.2132,48.6716,54.0572,91.2197,94.0953,699.2783,116.4492,349.0228,30.1056,7.7165,99.741,27.958,28.6819,0.0,13368.5849,38.1328,0.0,36759.6769,18.1708,0.0
IND_K,7204.1345,7.0493,138.3564,85.485,125.2648,3461.8785,3527.269,232.4315,510.0686,1668.52,1019.6907,1118.3473,984.2309,1083.7447,1434.0158,596.3849,528.9924,585.1082,989.5816,656.3508,214.4631,743.8979,3308.1185,2554.5868,7218.978,16271.4295,3840.8577,10.923,756.5994,1726.5777,254.488,246.2697,1966.642,3000.7064,10730.3349,21081.8805,3685.5311,2251.9691,9609.7746,1908.5572,6796.8025,2515.9799,1252.5979,355.0579,0.0,59455.3763,143.2297,0.3341,290.5777,23.0562,0.0
IND_L,0.5761,0.0,53.7608,0.0,12.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10098.1832,616.645,4190.4439,0.8243,0.0,2.9428,66.1245,167.3683,0.0,942.9549,0.0,0.0,126.3673,2.8599,10.0112,0.0,537.473,0.0,113.3878,12.4282,0.0,182265.711,83.9293,0.0,0.0,0.3041,0.0
IND_M,11.6586,0.0,48.5822,9.6534,18.9179,7.0688,10.3023,3.0242,3.144,18.2378,4.3202,0.6889,34.5249,3.321,71.7173,11.5845,122.5051,32.6922,106.2749,25.5679,6.2371,2.0921,124.7334,33.5218,77.7136,134.0601,84.0097,0.9981,24.3378,43.4342,4.5972,6.8597,66.1303,83.7488,518.2209,151.3079,59.0472,85.9442,111.1482,34.5519,108.9578,17.0346,42.9206,26.0729,0.0,182.6076,3.8034,0.0,767.8171,14.991,0.0
IND_N,471.76,0.0,2273.8242,405.9833,513.4574,284.7455,551.6721,108.3281,112.0979,531.3748,114.5491,18.6511,1161.2554,111.1491,3075.0642,416.2126,4213.8479,967.9388,3345.9117,803.3258,251.5712,73.4233,5017.4826,1535.7957,2470.1689,3933.0018,5970.3587,61.3135,1875.2138,2415.322,371.0474,317.7423,2436.6066,3824.1681,18568.9522,4797.5078,2392.5661,1306.895,8326.3786,1475.9882,7314.4802,1062.5338,2009.3919,890.6779,0.0,14447.3511,173.4963,0.0,0.0,2.0939,0.0
IND_O,0.0,0.0,0.0,0.0,4.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6573.09,159.5091,195514.4371,0.0,0.0192,0.0
IND_P,121.6642,0.0,5.6877,5.0253,2.5684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0749,1.0597,51.3272,1020.0138,81.3216,13.6298,345.8714,362.586,16.037,0.9085,26.6685,185.3714,380.7435,979.7525,101.8176,200.7973,584.616,0.0,1570.4072,66.633,31.0874,67.0819,0.0,59545.8488,1429.1104,76700.6878,0.0,0.0146,0.0
IND_Q,0.0877,0.0,1.5069,0.0,1.7376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6625,0.0,0.0,39.6778,0.0,0.0,0.0,0.0,0.0,106.3812,1.1829,0.0,0.0,41207.9564,1567.839,25852.5384,0.0,0.0066,0.0
IND_R,7.9422,0.0393,0.9725,1.4018,0.2966,0.0,0.0171,0.0,0.0047,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.0002,14.831,0.2337,16.949,11.3854,37.2601,0.5027,1.6209,8.5551,0.3357,1.8462,23.0861,2.9949,4.9909,6.8925,2.0691,7.369,33.4685,0.1066,130.4377,24.5188,55.7265,26.8969,0.0,11227.1146,609.9538,790.2629,0.0,0.0661,0.0
IND_S,1.4493,0.0,100.7612,20.5306,4.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2837,0.0,0.0,0.0,18.4158,1.495,19.6599,2.9069,7.9251,0.4642,11.5919,3.7611,0.413,1.6878,5.5256,3.1581,2.4812,10.1195,7.3935,3.2295,10.3368,0.0,8.4632,0.9503,4.9424,6.836,0.0,36975.7321,2849.9319,15001.8843,0.0,0.0053,0.0
IND_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.1791,0.0,0.0,0.0,0.0,0.0
