V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T,RUS_HFCE,RUS_NPISH,RUS_GGFC,RUS_GFCF,RUS_INVNT,RUS_DPABR
RUS_A01_02,13722.3309,20.4632,13.3321,0.6884,26.6555,29806.469,79.2072,2281.8557,651.3029,20.3632,35.3764,50.6395,112.746,17.632,20.2974,10.1036,2.4051,1.7142,3.3643,3.2848,4.8428,69.6019,84.3954,4.4489,280.9991,206.908,24.7176,5.4913,5.6452,90.2792,2.9393,1024.2134,2.2851,3.5727,2.8416,168.4926,32.5378,25.2216,151.9252,501.5369,175.4276,270.1159,23.0675,32.4037,0.0,40811.4853,1.5726,226.9419,264.138,2310.1646,0.0
RUS_A03,189.8298,130.2269,6.2639,0.1791,32.92,1725.7917,1.7599,1.0631,1.6303,6.2034,5.2714,1.2654,1.4687,2.5292,4.1303,5.4872,1.4715,0.8862,1.4154,2.2145,1.8832,2.4291,10.0057,1.9081,24.1165,37.0078,27.0965,3.1929,7.5149,14.7197,0.3783,276.6098,2.071,2.603,1.1286,1.0462,2.4873,6.433,7.2312,106.5867,17.6036,29.6228,2.0909,3.7474,0.0,3007.2448,0.4009,70.3374,12.9711,173.3709,0.0
RUS_B05_06,323.0255,63.6969,1135.4418,17.377,1176.316,129.7544,6.0076,34.2441,41.4504,24372.0053,418.1636,9.9665,24.4292,128.8823,2000.6954,91.3868,9.7413,8.4676,15.8163,12.0068,27.7117,53.5538,12770.1415,49.2098,426.2507,3009.5645,1795.4058,45.4201,281.6396,250.9653,12.6362,16.3682,5.068,20.3053,5.5159,115.0439,48.3799,106.4764,99.4356,201.0841,42.4556,78.5549,22.9876,15.3037,0.0,2675.5747,0.4393,29.8132,965.3414,3067.7721,0.0
RUS_B07_08,43.3326,0.9156,176.5602,130.7566,275.5765,29.8876,4.2284,7.6864,12.9447,23.7629,219.7404,13.1398,58.7165,694.6367,2362.7296,99.4313,6.9732,13.6739,14.1619,12.1316,13.6123,124.85,34.1803,25.4269,1047.9788,48.165,31.9801,1.701,6.0334,92.4648,0.4458,3.3112,0.9848,1.6699,0.7795,0.573,15.1493,11.4919,10.2341,29.8688,6.2243,14.3059,4.1208,9.2633,0.0,203.4173,0.1032,7.6347,216.0598,185.9479,0.0
RUS_B09,50.7539,16.2606,8886.8924,8.4794,33095.0276,87.5009,5.543,10.4625,11.8705,20868.8554,37.5748,8.2917,15.8768,48.1613,54.0888,34.2543,14.3197,8.3391,20.9835,13.7438,30.0059,34.7362,123.5918,18.6981,723.4946,273.7091,638.3469,20.114,48.8051,118.286,3.3534,18.8132,8.7235,25.4644,10.3004,13.8827,77.4757,397.0201,93.2115,140.2434,28.5937,62.2424,23.9963,10.7645,0.0,241.16,0.2968,37.0987,20784.8725,27.7069,0.0
RUS_C10T12,4808.278,136.1081,21.341,1.7254,39.7738,14666.5438,40.8161,16.2872,39.2218,138.0492,120.4273,31.9415,24.5346,26.4317,62.0152,32.5074,15.3104,11.1534,15.2253,13.4929,21.7862,20.9238,94.2516,13.4021,114.8605,536.5371,49.6745,3.6477,12.5945,94.8605,1.683,3797.6966,8.2363,7.0905,7.1157,10.1956,24.7369,56.311,27.5331,1070.2077,499.7758,742.7658,23.8228,65.2358,0.0,86406.9913,11.2886,64.2018,142.6784,3861.3556,0.0
RUS_C13T15,41.0053,22.2809,15.1249,1.3644,69.6461,99.347,889.4947,3.661,12.6824,30.5725,68.4043,11.9686,101.3586,10.9521,35.911,19.2437,10.8025,3.2428,8.7417,78.24,14.8806,136.9233,57.1482,8.9409,103.5871,86.4162,33.684,1.5918,2.0538,18.8296,5.3571,40.6119,1.5328,7.189,0.9401,2.8096,14.6656,52.1456,31.8639,232.2984,62.316,129.9032,37.7258,39.6106,0.0,5799.8156,0.6672,7.0936,35.6459,424.261,0.0
RUS_C16,185.0662,1.3883,14.6148,1.051,7.8251,117.3397,1.4115,1075.0298,194.412,8.0282,39.9871,19.1368,7.7144,169.7183,40.4839,43.8343,3.468,11.2394,12.5402,16.355,12.2203,914.8577,32.8933,4.2278,3051.2599,79.7704,30.5627,2.524,1.6926,141.5402,0.6732,2.5836,2.0868,3.6134,0.4257,0.4629,681.7254,20.2547,14.8514,48.3463,15.7782,18.3175,13.5877,24.4918,0.0,942.3513,0.0363,2.7077,26.1717,356.3439,0.0
RUS_C17_18,336.1052,60.1026,8.9704,1.213,13.97,2469.5376,25.7382,264.5729,3076.4936,32.5422,274.67,197.0199,109.3206,223.1066,31.9595,66.8411,30.7435,31.0373,20.6976,25.8883,12.7086,151.1506,68.803,19.3176,168.8244,1127.6861,31.3943,3.6908,4.7064,69.4121,28.5151,298.6012,601.6458,37.3436,85.2752,257.4034,381.5756,709.4191,138.4852,854.3791,137.2575,218.0092,99.4685,214.5893,0.0,2047.3422,0.4299,11.9751,41.2312,452.4637,0.0
RUS_C19,2646.512,536.3624,1164.1875,133.5233,2551.7769,816.3959,55.6761,286.3502,248.5138,13924.038,3706.3066,88.1783,434.2542,513.7502,1850.2994,646.3043,44.5382,78.7602,81.1444,85.9532,117.3829,283.3176,3309.3885,313.6913,3004.5521,2426.8229,6345.6568,376.7548,2378.8423,1665.8315,93.5918,88.671,34.0049,123.4226,29.7526,142.8223,165.2209,465.7906,553.7148,982.2101,233.6451,436.9893,120.3643,95.9649,0.0,11154.5067,0.2407,43.1871,149.2238,2562.2953,0.0
RUS_C20,2462.3537,8.0064,145.1421,12.5074,764.3946,1060.7539,301.8828,421.1082,707.9046,1089.5756,4379.9792,341.9825,3845.5623,724.003,469.5865,940.1386,156.5496,392.1441,137.4306,281.504,133.7919,413.3106,164.2443,88.666,802.8727,530.8178,98.8166,5.5727,12.7426,83.3662,2.1113,127.4392,26.934,8.2315,4.2615,5.9319,208.162,169.5532,315.3969,124.4524,61.4944,291.7722,57.368,87.0521,0.0,4954.7908,0.5056,32.7909,177.7344,979.3144,0.0
RUS_C21,361.0064,0.7502,2.8216,0.3037,5.3483,106.7637,2.7076,3.0935,3.2674,33.9185,11.2297,1251.505,4.71,6.854,13.0012,8.165,3.3055,2.5479,3.4001,2.8001,5.0408,5.7594,21.6019,1.9289,32.2804,53.9231,6.5819,0.2217,0.9709,3.7985,0.2005,4.6306,1.0629,1.5503,1.5774,2.3995,6.4146,86.1488,3.0028,388.3125,77.7521,4253.8713,8.2879,2.2323,0.0,4221.8882,0.2001,922.7913,29.7474,357.0706,0.0
RUS_C22,271.6567,35.9429,142.5626,15.9103,179.8201,1621.7102,53.6013,103.3604,192.8654,31.6215,316.1632,127.5028,813.8902,199.695,81.1115,190.3594,102.7778,213.1018,220.569,814.9463,203.5779,483.4925,120.5983,64.1543,4484.5227,931.0646,220.2979,1.2166,6.12,126.8225,7.9141,133.725,6.5638,9.7152,10.5384,13.1939,674.6993,186.9056,78.2533,71.5034,31.6879,111.8176,13.1279,27.9819,0.0,1844.0024,0.031,2.3427,54.7264,456.6209,0.0
RUS_C23,88.2842,1.8557,64.1561,10.285,89.8476,677.4091,5.0975,17.7842,12.8042,34.6264,101.1497,197.8871,140.7479,3194.4489,712.3184,86.2866,40.7418,126.0175,75.6824,264.0689,179.3768,155.5418,167.858,46.6162,12730.5495,166.343,75.9562,1.7418,4.0734,389.5724,0.635,33.5029,1.1313,4.4252,1.0924,1.2032,1003.0864,76.1619,26.9217,70.8876,33.5916,64.261,15.3031,33.8016,0.0,1557.5075,0.1497,8.1054,110.2644,623.6905,0.0
RUS_C24,29.1332,4.0478,433.8994,34.4399,1695.3425,246.1218,1.9755,34.0781,75.7855,34.9901,1292.0371,24.0403,88.8043,668.6376,24836.0395,8399.6326,630.1262,2724.9502,2639.13,1520.4486,2453.9725,1761.7635,1976.7254,3100.4803,8157.7882,168.9261,721.6418,4.9002,0.0461,185.201,0.2969,0.3689,4.3285,3.4518,0.1005,0.8336,158.1244,311.2702,41.1414,37.8912,12.6319,16.9775,3.4703,33.7644,0.0,102.2574,0.0,0.0,5800.8638,2504.9046,0.0
RUS_C25,270.5107,100.6944,154.9276,24.9417,871.6716,803.8261,26.4662,101.408,47.2869,68.0365,228.8446,66.8258,170.9614,454.0109,477.7629,3583.8225,363.2329,294.9041,1290.2151,934.3308,1105.0167,825.481,373.1206,85.3484,8455.8132,495.0356,98.4598,8.6554,10.8224,145.7434,2.2693,49.2831,5.88,26.2544,12.4202,21.3033,277.7772,939.2549,57.9974,545.5678,35.0418,62.727,21.9442,59.6569,0.0,2509.1811,0.2445,33.1811,5098.7535,949.2224,0.0
