V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T,LTU_HFCE,LTU_NPISH,LTU_GGFC,LTU_GFCF,LTU_INVNT,LTU_DPABR
LTU_G,327.6211,13.7613,7.2991,6.1586,0.8132,607.822,75.1174,116.118,47.1587,344.9557,202.2281,4.2101,68.2115,41.8154,3.8411,71.4114,41.308,30.1361,50.488,41.2695,9.6486,175.3358,69.3348,26.4719,257.3985,384.9217,464.2527,8.136,25.625,30.1984,4.7799,73.8659,21.3564,17.3423,61.7259,30.2637,101.6101,75.2442,89.2852,99.0377,28.5412,121.734,22.9087,22.0168,0.0,3951.9708,1.2119,111.3383,588.6636,-11.4049,0.0
LTU_H49,59.7087,1.2956,18.5798,7.1992,0.34,115.6362,12.6834,31.5189,20.5135,315.8839,65.1828,0.7791,17.2257,32.5323,1.2138,24.7184,4.469,18.7744,10.7691,8.6989,1.7495,59.3728,34.1598,11.463,74.8628,257.2681,346.8711,3.1802,2.3514,314.2999,0.8118,16.8228,2.4557,2.522,6.7615,3.2157,14.666,9.8535,21.3723,13.4319,3.8615,9.9236,2.787,3.4308,0.0,463.417,0.8008,68.324,72.8909,120.1569,0.0
LTU_H50,0.829,0.0161,0.0217,0.0152,0.0022,0.6683,0.2085,0.0671,0.1654,1.7679,0.0639,0.0089,0.1869,0.1037,0.0581,0.4907,0.0977,0.217,0.2041,0.3004,0.0211,0.5084,0.2859,0.0754,1.4068,1.0066,0.8961,0.0136,0.1092,0.0349,0.0142,0.1865,0.0243,0.0415,0.1464,0.089,0.6225,0.2759,0.4219,0.2307,0.0842,0.3218,0.0536,0.0747,0.0,6.3994,0.0001,0.7429,3.4399,30.5799,0.0
LTU_H51,0.7688,0.0193,0.0228,0.0261,0.0016,1.5544,0.2255,0.3323,0.1846,4.729,1.0032,0.0081,0.2782,0.1964,0.0676,0.3798,0.071,0.2775,0.2316,0.1735,0.0257,0.6178,0.2437,0.0774,1.3561,0.6845,1.467,0.0261,0.0278,0.0888,0.0157,0.2232,0.0388,0.0276,0.0552,0.0498,0.3604,0.0813,0.16,0.0824,0.0349,0.2524,0.0376,0.0648,0.0,2.6474,0.0001,0.6695,2.9987,25.5508,0.0
LTU_H52,11.0726,0.4864,0.2456,0.2226,0.0381,19.7094,2.121,4.9421,1.8428,19.3289,7.1923,0.1239,2.6296,2.0156,0.2103,3.3124,1.283,1.2584,1.7477,1.2355,0.3281,6.5377,2.3931,0.779,14.2558,11.7445,16.831,0.4431,0.6458,2.174,0.1368,2.3244,0.6835,0.5485,2.1407,0.9616,5.1186,2.0184,2.3659,2.7205,0.8844,3.3956,0.7367,0.7593,0.0,102.1887,0.0006,3.1512,19.4207,15.8205,0.0
LTU_H53,0.9122,0.0281,0.1613,0.0368,0.016,2.2569,1.6559,0.3283,2.4657,0.695,0.6686,0.0434,0.5673,0.2453,0.0401,0.7552,0.3172,0.2962,0.521,0.1015,0.0601,0.8801,1.1039,0.5841,0.8072,17.439,1.4824,0.057,0.2401,15.9583,27.7193,0.3671,5.383,0.5898,1.5745,11.9474,2.9135,9.6849,2.9441,14.3253,1.1369,2.4297,0.6488,1.191,0.0,27.4663,4.9516,1.0451,0.6565,0.1495,0.0
LTU_I,2.6017,0.0048,0.1842,0.068,0.0851,1.6729,0.6763,1.0304,0.1555,7.0308,0.9594,0.4265,0.1449,0.3986,0.6037,0.1753,0.3335,0.1805,0.3892,0.2154,0.1592,2.0861,0.0815,0.8991,5.1466,5.8008,0.1882,0.0896,0.8754,0.2924,0.0835,4.2791,0.2074,0.2262,4.218,3.7262,0.56,4.3152,12.0118,8.261,8.2273,22.7495,2.0707,0.7495,0.0,1110.5747,0.0,11.487,0.0,0.0,0.0
LTU_J58T60,0.7108,0.4075,0.0541,0.056,0.0138,1.9748,0.3955,0.3087,0.2289,1.0158,0.4859,0.0217,0.1449,0.1959,0.0774,0.1723,0.1031,0.2596,0.183,2.2229,0.2239,0.5985,0.9534,0.3791,0.7174,9.7873,1.2436,0.0857,0.1604,0.6757,0.1805,0.3363,23.5484,4.2113,21.6569,4.4388,1.4356,26.8059,3.4726,4.9817,3.4493,1.205,1.8121,1.1939,0.0,191.8474,0.0,35.7135,27.5603,0.061,0.0
LTU_J61,5.8869,0.3542,0.3901,0.1233,0.0726,11.9814,2.0089,2.2591,1.2686,13.2382,3.8301,0.2202,1.4011,0.9835,0.173,1.6033,1.0244,1.0509,1.5967,0.3595,0.2677,3.6738,5.2688,1.2061,5.5043,29.939,10.9702,0.3303,0.7196,1.5116,2.0191,1.9077,3.7039,34.5898,20.8525,7.5333,6.4755,18.2275,7.302,4.6641,1.9914,4.8777,3.1309,1.8624,0.0,491.6325,0.0001,5.3378,37.7233,0.1011,0.0
LTU_J62_63,6.0711,0.237,1.1904,0.1875,0.0721,16.0072,6.9951,5.4868,5.4571,17.3662,5.4102,0.71,1.4397,2.8306,0.0581,2.231,2.0695,3.7016,4.9594,2.0052,0.344,4.9782,37.8347,3.497,14.4983,147.2037,49.7199,0.7687,8.928,5.408,3.8665,3.0128,24.7683,39.7657,117.4665,59.8717,6.2628,74.2643,16.1721,31.1835,15.3467,9.3505,5.8062,6.7321,0.0,163.343,0.0001,10.3547,734.6052,-1.4424,0.0
LTU_K,26.9352,0.6533,2.3802,0.9823,0.4621,29.3153,9.4712,8.7443,6.8108,62.5185,17.0719,1.2148,6.7306,5.6133,0.5502,7.3404,3.2992,6.6771,4.6906,3.6606,1.5869,19.0271,23.8533,6.2585,37.9764,139.9963,58.0069,2.9271,2.288,10.7406,1.7346,4.8493,2.7782,5.2296,24.2697,254.0558,101.6669,39.6795,26.6532,78.6481,7.7797,13.9339,4.5498,19.847,0.0,683.2668,2.602,109.2652,22.4572,0.4023,0.0
LTU_L,50.7839,0.346,0.6434,0.8307,0.1367,15.482,11.1098,3.56,2.3592,10.4464,3.017,2.7465,12.3618,4.7294,2.4174,10.0972,10.0439,8.6354,11.4366,2.4749,0.3965,61.1501,37.6774,4.9207,56.6157,570.1635,73.4767,0.3069,2.4387,26.7299,6.1452,57.663,14.6569,40.5445,134.1405,70.1443,183.4555,89.2181,84.9302,47.5532,13.0507,37.8526,50.3118,59.3207,0.0,2364.8469,0.1227,14.5028,141.8923,0.084,0.0
LTU_M,91.7087,0.2394,2.9194,1.4918,1.318,79.3651,16.9335,17.8582,9.2761,47.9651,42.6555,6.9395,8.0134,13.158,0.4208,7.7167,3.5084,15.929,5.5001,2.8318,2.2303,76.7999,79.5798,11.538,186.728,344.5874,70.1816,5.0374,12.0316,29.2687,2.7269,20.1828,32.9374,45.6376,127.8746,109.24,52.5539,379.6204,96.8191,59.8005,15.2581,23.3671,21.2752,20.0267,0.0,173.9717,4.2043,9.39,414.7741,0.4139,0.0
LTU_N,29.3737,0.7252,3.6598,1.7763,0.6608,72.0773,9.3132,10.7336,5.0047,28.5799,15.2198,0.6669,5.5913,5.2524,0.5315,8.0789,7.0762,7.2366,7.8675,1.7506,2.7955,16.5455,77.3404,12.1463,108.5924,166.441,46.5896,4.1358,25.9294,21.5363,6.0404,9.1606,9.2838,22.6301,59.5394,35.7338,73.0144,130.9581,201.9808,49.8289,28.9393,21.7547,13.9952,7.4853,0.0,272.3386,3.2094,6.6795,44.4348,0.4748,0.0
LTU_O,3.5262,0.0506,0.4459,0.1857,0.0461,4.6842,1.0444,0.8183,0.7209,15.4397,8.0301,0.3456,1.0969,0.8467,0.143,1.5484,0.6212,1.0542,0.827,0.3514,0.4108,5.395,2.9941,0.8482,3.7274,17.9724,4.147,0.2094,0.381,1.7124,0.5451,1.5839,0.9176,2.1885,5.2052,13.0193,10.1372,42.1095,3.8485,19.1641,0.8257,4.554,1.3023,2.3738,0.0,103.3743,0.2213,3997.2399,6.7766,0.0339,0.0
LTU_P,1.8151,0.0184,0.0516,0.136,0.0116,4.9188,2.1406,0.9864,0.4312,1.5537,1.626,0.3431,0.3377,0.5516,0.0252,0.6682,1.6057,0.43,0.7136,0.353,0.2584,4.613,5.0417,0.9634,5.0873,14.8193,2.4709,0.2792,1.2528,1.0671,0.2054,0.5457,0.5568,1.9909,26.5759,13.0497,2.5021,18.3221,5.2272,15.389,32.9103,9.0177,3.0603,0.9043,0.0,278.2926,5.2012,2299.1516,101.416,0.007,0.0
LTU_Q,1.0044,0.0658,0.8215,0.0105,0.0068,1.6812,0.7552,0.1653,0.3843,8.9659,0.3641,0.0424,0.683,0.1864,0.0162,0.2047,0.1427,0.221,0.6908,0.062,0.1324,1.9695,1.4623,0.2241,0.6553,3.1888,1.5987,0.0396,0.0835,1.4487,0.0528,0.4751,0.1568,0.2932,0.9197,0.5049,0.2687,1.6748,0.8073,3.5458,0.6052,35.8854,0.4366,0.7382,0.0,639.9171,5.9332,2728.1622,6.2045,0.003,0.0
LTU_R,0.4733,0.5446,0.1528,0.0524,0.002,1.0236,0.3588,0.1514,0.0673,0.2641,0.4241,0.0051,0.1382,0.1257,0.0096,0.3117,0.1788,0.0441,0.1362,0.0754,0.0096,1.1875,1.3872,0.2069,0.4016,3.3205,0.7173,0.1364,0.4137,0.2784,0.0504,0.3693,1.5916,0.721,3.4123,3.4844,0.9058,2.8771,6.7772,3.2483,3.4735,5.7991,49.5374,2.6067,0.0,356.1183,9.2521,341.3717,2.4039,0.0161,0.0
LTU_S,7.4875,0.4756,1.1739,0.9737,0.0283,5.8124,1.6584,0.7168,4.8765,0.8856,3.3447,0.0045,0.6175,0.9766,0.1112,0.2196,2.676,3.369,0.2578,0.4979,0.0936,0.7389,6.8562,5.0922,2.1065,12.4753,2.1752,0.3381,0.5425,1.5565,0.4653,3.9518,2.4062,1.1094,12.1779,11.5078,1.0136,16.9048,5.1451,11.538,9.7219,3.9733,2.1425,3.6526,0.0,546.249,88.4727,5.7585,2.5077,0.0005,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5591,0.0,0.0,0.0,0.0,0.0
