V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_A01_02,178.747,0.1446,0.7643,0.3153,0.0058,208.1357,3.6057,101.8992,12.9918,0.0068,3.9397,5.0087,19.3996,3.9791,6.9852,8.0276,2.4899,6.7959,5.5315,8.5554,1.1277,6.1892,11.87,6.4169,38.5266,64.1006,9.5419,0.028,0.4262,3.3418,1.6741,20.2698,2.1391,3.0629,2.8435,5.0619,5.3297,21.8095,6.4182,7.6752,8.3373,10.8794,5.4315,4.246,0.0,712.1953,8.6349,11.5438,78.5321,18.9285,0.0
SVN_A03,0.0409,0.7408,0.0011,0.0013,0.0,0.4366,0.0233,0.026,0.0149,0.0,0.0203,0.0264,0.0242,0.0174,0.0303,0.2542,0.0136,0.0558,0.0242,0.037,0.0024,0.0125,0.0369,0.0105,0.0591,0.4043,0.0474,0.0007,0.0023,0.2979,0.0018,1.4319,0.2307,0.0076,0.0155,0.0427,0.0462,0.1432,0.0364,0.0321,0.1442,0.0873,0.5661,0.0714,0.0,7.0934,0.6076,0.0988,0.042,0.1721,0.0
SVN_B05_06,0.0383,0.0004,1.2465,0.1724,0.003,1.8644,0.1662,0.1123,4.5701,0.0088,4.9336,1.9385,0.4649,3.3997,18.9133,0.4652,0.0536,0.0926,0.233,0.6834,0.0137,0.1202,116.5952,1.456,1.4686,5.1954,0.4132,0.0002,0.0029,1.0519,0.1227,0.9435,0.0386,0.0965,0.1508,0.0909,0.7585,1.6367,0.3867,0.2996,0.4005,2.7973,0.3676,0.105,0.0,0.8901,0.0001,0.0086,2.355,1.7373,0.0
SVN_B07_08,0.324,0.0019,0.0927,1.4482,0.0102,1.8712,0.088,0.089,0.9258,0.0,4.7362,1.8652,0.1052,17.2289,17.9606,1.6885,0.0446,1.0827,0.0733,0.2489,0.0147,0.3575,0.4089,2.0394,21.7439,2.41,1.014,0.0001,0.0033,1.0291,0.1184,0.946,0.0382,0.0797,0.0251,0.212,0.7778,2.0505,0.4577,0.8848,0.2227,2.7071,0.361,0.0435,0.0,0.7292,0.0003,0.0113,3.6444,0.7711,0.0
SVN_B09,0.0064,0.0008,0.0791,0.1054,0.0071,0.0029,0.0001,0.0006,0.0104,0.0003,0.0342,0.0093,0.004,0.0711,0.1654,0.0383,0.0,0.0013,0.0023,0.0002,0.0,0.0008,0.0492,0.0125,0.279,0.0018,0.0353,0.0001,0.0005,0.0213,0.0001,0.0005,0.0002,0.0,0.0,0.0003,0.0052,0.0178,0.0056,0.0029,0.0006,0.0007,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN_C10T12,84.8765,1.0762,0.2681,0.5133,0.0009,225.1399,0.2255,0.7017,0.8178,0.0005,9.5417,3.9329,0.3315,0.605,0.1799,2.6053,0.4686,1.1258,1.0225,0.6271,0.0523,1.8113,1.7381,0.6206,5.1675,43.6535,2.5622,0.0319,0.4095,1.298,0.1155,129.6627,0.5395,0.163,1.3147,8.6198,4.7288,5.3487,4.3239,2.9792,37.7844,31.8844,9.6779,1.1596,0.0,1269.0389,0.0691,0.0002,0.0007,26.8074,0.0
SVN_C13T15,0.4764,0.0343,0.2512,0.1094,0.0026,1.0669,98.0589,1.2277,1.0366,0.0017,2.2203,2.1664,17.6373,1.0051,0.7231,1.2474,0.2336,1.8034,0.9192,24.011,0.159,2.925,0.6387,1.4739,2.4601,7.7516,0.8618,0.0086,0.0403,1.0646,0.7523,1.9177,0.3216,0.2445,0.3595,0.6492,1.0758,6.864,1.1993,1.9054,1.7659,13.2288,2.6553,0.5483,0.0,295.3374,0.0032,5.97,13.1202,7.6662,0.0
SVN_C16,4.0214,0.0158,1.2425,0.1691,0.0023,2.0769,0.584,64.2509,4.9542,0.0022,3.7491,4.6323,3.8996,2.7129,4.8342,14.8286,0.4453,4.9792,2.6294,8.4282,0.1662,55.4653,6.0748,2.3648,53.2785,18.2583,4.2216,0.0117,0.2535,1.6266,0.1067,1.6274,0.3541,0.3031,0.5334,0.7601,1.6351,23.475,1.1101,2.6341,1.5496,2.3594,0.7048,0.5517,0.0,43.0016,0.0717,1.3916,21.8878,4.3778,0.0
SVN_C17_18,2.0983,0.0557,0.0911,0.2582,0.0024,25.2535,1.2839,2.1652,179.3323,0.0264,3.4492,83.005,7.5787,6.4986,1.9121,3.6024,1.556,18.1338,4.3925,8.5468,0.536,5.1832,2.8651,5.5904,3.841,76.5254,2.8537,0.0146,0.1403,5.2021,1.2802,8.3424,14.079,4.5157,3.9351,19.2643,1.8296,47.5771,6.3473,9.4221,7.46,6.2308,7.4511,3.0857,0.0,80.4301,0.0754,0.9365,3.5162,8.9177,0.0
SVN_C19,0.0285,0.0002,0.0004,0.0004,0.0001,0.0122,0.0032,0.0087,0.0095,0.0,0.0098,0.018,0.014,0.0182,0.0262,0.0259,0.0125,0.0187,0.0192,0.0223,0.0012,0.0174,0.0131,0.0152,0.0456,0.158,0.1848,0.0002,0.0032,0.021,0.0027,0.016,0.021,0.0047,0.0182,0.0393,0.0238,0.1453,0.0286,0.016,0.0136,0.0245,0.0101,0.011,0.0,0.436,0.0006,0.0145,0.0168,0.0098,0.0
SVN_C20,20.3386,0.0416,0.9747,3.8347,0.018,6.0412,9.0928,5.9862,17.1349,0.0279,94.9835,2.4936,52.2279,7.7769,7.1934,7.2567,3.7215,33.31,4.3922,19.0668,1.0663,6.3966,7.934,4.7586,12.9815,18.0596,3.0836,0.0058,0.0906,1.1949,0.1329,3.9748,0.5747,0.4686,0.9438,0.9265,1.859,4.0892,2.7993,0.8391,4.5239,9.9118,1.3306,0.8961,0.0,121.6231,0.0507,3.5974,20.8867,7.6748,0.0
SVN_C21,3.3265,0.0387,0.1827,0.3496,0.009,6.0677,1.9505,1.4585,1.2474,0.0038,2.5299,237.3331,3.4159,1.5081,3.1953,3.085,1.5394,5.0236,2.7173,3.6401,0.2776,1.3268,3.0981,0.9402,7.3027,20.1162,3.3104,0.0053,0.0808,1.1462,0.1304,2.2094,1.1503,0.8213,2.1406,2.0903,0.7882,29.2596,1.2965,5.831,2.5345,117.4281,1.8941,1.1937,0.0,153.314,0.5277,150.4494,223.8609,10.1194,0.0
SVN_C22,1.8827,0.0431,0.3596,0.3911,0.0089,24.4217,1.7692,5.9643,4.4974,0.007,15.399,1.2168,141.9643,4.9252,6.5689,13.183,4.6181,155.1471,9.9984,95.0623,8.7916,19.3765,2.9263,6.7697,35.3992,24.4908,8.8516,0.0066,0.1296,1.1826,0.2878,2.2046,0.4375,0.8621,0.8373,1.3528,2.5077,7.9931,1.395,1.392,1.3971,4.7448,0.9006,0.678,0.0,48.3316,0.0447,3.7929,24.2294,11.6335,0.0
SVN_C23,3.0523,0.0247,0.3662,0.7223,0.0123,5.5457,1.0681,6.0734,1.2366,0.0018,5.1657,1.3955,4.5975,42.113,14.1176,16.2173,1.5317,14.574,2.3255,21.2856,0.1238,3.6836,2.5521,5.4768,215.2898,19.71,2.4055,0.0022,0.0427,0.993,0.1219,2.9217,0.4014,0.3421,0.6584,0.8316,1.1258,8.6769,1.0503,1.1148,1.5212,2.611,0.6889,0.6809,0.0,32.0174,0.0286,2.4269,10.9056,6.1323,0.0
SVN_C24,0.0304,0.0024,0.028,0.0067,0.0101,0.3393,0.1208,5.2783,0.7367,0.0,6.0128,6.4367,3.1534,1.4218,200.6383,137.7511,2.2411,82.6287,122.0964,134.4402,5.3416,19.3619,6.579,5.1672,43.7254,12.2344,0.356,0.0018,0.0,1.4678,0.0,0.0033,0.114,0.0274,0.1817,0.0047,3.4456,16.8857,0.4753,0.0236,0.2293,0.1008,0.0266,0.3443,0.0,2.8096,0.0,0.0,0.0,6.8219,0.0
SVN_C25,7.4586,0.0681,4.4581,1.1185,0.0433,22.5598,2.8114,13.2189,6.4434,0.0136,8.2542,5.056,29.9076,12.7843,237.9366,335.8803,20.7722,98.733,153.8881,125.7142,3.1265,25.0784,8.9835,56.6812,160.0882,44.5339,7.3658,0.0188,0.1992,7.626,0.4311,5.4173,1.9425,1.2663,2.2237,2.9123,10.5637,40.7861,4.718,8.567,3.7986,12.6322,3.2074,2.8402,0.0,130.2993,1.8494,9.6154,146.4576,20.7651,0.0
SVN_C26,1.247,0.0145,0.3587,0.1581,0.0022,1.5762,0.405,0.8475,0.8507,0.0012,0.6184,1.0608,3.312,0.7256,1.6079,2.9999,51.0457,37.7606,8.7722,24.8639,0.1238,6.8901,1.9645,1.2047,11.046,11.0478,1.0719,0.003,0.0622,0.9108,0.0866,0.8242,0.2804,1.6388,10.0144,1.9104,0.8734,7.3693,1.183,0.8219,0.8754,2.1112,0.5389,1.6553,0.0,71.463,0.0751,20.5946,133.7704,5.0122,0.0
SVN_C27,3.7838,0.0497,1.3753,0.3496,0.0088,6.2822,1.4587,3.1698,3.4985,0.0042,2.4061,3.2988,6.3452,3.1345,13.3463,22.8479,10.2862,115.2771,21.4226,61.9544,0.6208,17.8259,9.6409,6.2417,46.6893,28.0921,4.1901,0.0078,0.1636,3.4,0.2728,3.3471,0.6272,7.8641,2.3402,2.8614,5.8755,24.6224,2.4968,2.5947,1.7538,5.7473,1.4156,1.5704,0.0,142.6367,0.2499,16.5034,191.9398,12.372,0.0
