V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T,EST_HFCE,EST_NPISH,EST_GGFC,EST_GFCF,EST_INVNT,EST_DPABR
EST_C24,0.1203,0.3411,0.0318,0.0075,0.0003,0.0633,0.0789,0.2759,0.2858,0.02,1.2497,0.0097,0.3123,0.3262,2.4615,24.2979,1.856,8.8957,5.8601,1.3246,0.0663,3.4422,0.032,0.3237,2.9643,0.0333,0.0376,0.0113,0.0128,0.2132,0.0,0.0088,0.0196,0.003,0.0012,0.2554,0.6508,0.3594,0.0919,0.0448,0.0062,0.003,0.0468,0.0412,0.0,0.0003,0.0,0.0,0.1581,-0.127,0.0
EST_C25,13.5548,0.4055,4.0449,1.5082,0.0481,15.0317,4.8931,24.7726,3.7638,0.3775,6.5189,0.3831,5.6533,14.1789,0.6175,138.6062,31.0516,42.9559,50.4836,9.7367,5.7759,40.5898,9.2629,11.9009,181.2392,19.8331,2.8667,0.4073,0.2286,16.6969,0.1542,0.926,0.9658,0.3152,1.4851,0.8253,19.0935,8.3693,7.9008,24.2076,0.6209,1.6116,1.9663,1.118,0.0,32.7177,0.0835,1.4623,118.4712,-54.6358,0.0
EST_C26,2.5951,0.0977,0.8337,0.2716,0.0065,1.1048,0.5799,2.4197,0.9583,0.3533,0.5672,0.0257,0.6276,1.1729,0.1011,4.8335,200.5332,12.8941,4.6949,3.1361,0.4538,5.8327,1.7885,1.0615,13.327,6.8283,1.1403,0.1244,0.1124,1.8165,0.1389,0.3792,0.473,2.8136,2.5114,0.7894,1.8533,4.2682,2.598,3.8716,0.7409,1.9311,0.6431,1.2647,0.0,65.4025,0.0124,4.9996,132.6218,-141.465,0.0
EST_C27,2.0524,0.2014,0.5691,0.1643,0.0042,1.5715,0.5878,2.6969,0.5585,0.5969,0.5998,0.0207,0.8169,0.7426,0.0996,2.7664,42.2664,43.9526,1.6774,1.909,0.5478,5.0558,4.5682,0.5632,24.1398,6.8274,1.5101,0.3116,0.5242,2.1112,0.1255,0.604,0.2755,0.407,1.0877,0.5671,2.6928,3.8938,2.5316,1.7648,0.6887,0.9669,0.347,1.0523,0.0,32.1605,0.0214,1.2278,34.9561,-44.6778,0.0
EST_C28,8.4423,0.0622,3.2082,1.03,0.0227,2.1451,0.7987,7.0916,1.448,0.8253,1.5871,0.0623,1.1247,3.1368,0.1531,5.8991,10.9107,5.6639,14.2174,3.7467,0.5663,8.6604,3.7352,1.3505,10.3971,10.384,1.9369,0.1585,0.1208,3.6599,0.214,0.3621,0.0598,0.1117,0.6474,0.5471,2.237,2.5835,1.8115,0.9654,0.5023,0.3243,0.38,0.4631,0.0,10.9644,0.0425,1.3638,152.702,-123.4711,0.0
EST_C29,2.241,0.0263,0.8257,0.35,0.0073,0.6852,0.2095,1.2826,0.1381,0.1188,0.1886,0.009,0.6791,1.792,0.045,2.5519,1.469,0.7821,2.989,51.6575,0.1519,1.6705,0.2955,0.384,5.6269,18.2276,15.1199,0.0801,0.0283,0.951,0.084,0.1013,0.0906,0.0293,0.1114,0.2045,0.6253,0.5841,1.9251,1.7274,0.2392,0.629,0.2349,0.0599,0.0,98.9918,0.0091,1.7274,165.9362,-145.921,0.0
EST_C30,0.0063,0.0174,0.0019,0.0006,0.0,0.0052,0.0199,0.0292,0.0051,0.0,0.0083,0.0,0.0131,0.0023,0.0017,0.0911,0.0089,0.015,0.0033,0.015,4.9372,4.4349,0.2516,0.0353,0.2202,0.6358,0.2727,6.6842,0.1896,0.475,0.0017,0.0054,0.0105,0.0054,0.087,0.0,0.0497,0.1166,0.3296,0.7173,0.0214,0.0838,0.2444,0.0172,0.0,17.2972,0.0,0.7276,98.0231,-29.5212,0.0
EST_C31T33,15.0859,3.1036,5.5334,1.2071,0.0407,8.2012,4.9701,20.4074,3.596,9.3486,4.5685,0.1,2.6489,7.5647,0.1696,12.3073,5.8096,3.3245,3.4222,2.5626,1.1417,94.2595,19.0653,2.9169,39.9254,21.765,18.7961,2.7997,9.9751,12.7228,0.821,5.9531,0.9315,1.8035,1.7749,4.4448,14.3646,9.8472,12.0921,28.326,10.6151,49.9134,6.0236,4.3604,0.0,137.519,0.1148,5.847,128.51,-88.3797,0.0
EST_D,30.2535,1.1909,17.5067,7.9638,0.0782,53.8369,11.6748,57.2388,38.0555,9.8153,23.841,0.6183,12.0784,24.5165,2.8277,24.052,6.8057,8.2468,8.8821,6.5603,1.0441,20.4947,174.9657,25.683,36.4179,88.6982,30.1646,5.8743,1.9472,41.6542,1.2765,31.0735,2.2894,9.7829,7.7212,6.0963,69.1169,16.3337,10.0177,38.9308,41.4759,31.2581,20.1621,15.0518,0.0,491.6912,0.4442,7.4985,24.5473,0.0061,0.0
EST_E,8.8368,0.2513,0.3656,0.0955,0.0024,24.0847,2.3547,8.0927,2.2363,5.7903,1.6569,0.0833,3.6047,3.9004,20.0583,4.2208,1.6723,1.463,0.9705,0.8591,1.6144,3.5058,2.706,199.8682,24.5418,11.5523,1.6907,1.6472,0.276,12.8393,0.1488,8.4346,0.1709,0.1737,1.4236,0.8635,29.7855,5.9307,4.1533,25.1474,4.5862,5.7444,3.4297,10.4787,0.0,120.1479,0.0679,33.6255,4.8648,0.0129,0.0
