V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T,PRT_HFCE,PRT_NPISH,PRT_GGFC,PRT_GFCF,PRT_INVNT,PRT_DPABR
PRT_A01_02,924.4299,0.737,0,1.1476,0.054,3206.7947,42.0552,431.826,540.569,5.6073,133.8492,6.4985,43.1626,4.1047,1.8311,5.9906,2.1487,2.3617,2.6091,11.6929,0.8478,13.6741,9.2871,7.316,39.0169,115.6642,10.6839,1.2327,5.5027,5.7047,0.589,240.1816,4.2226,6.5681,7.8537,6.2583,10.5127,37.5827,40.7804,25.9384,5.1124,60.2362,4.8814,23.2654,0.0,2468.9475,1.9163,7.1174,437.1407,-1.8794,0.0
PRT_A03,0.3889,17.8382,0,0.0361,0.0026,28.6287,0.4672,0.157,0.2552,0.1863,0.2995,0.3136,0.2026,0.1986,0.091,0.2704,0.0937,0.1025,0.1015,0.2542,0.0317,0.261,1.557,0.641,0.7038,2.0379,0.4323,0.0508,0.2038,0.2085,0.0235,45.6293,0.097,0.2596,0.2865,0.2503,0.3021,1.1087,0.5754,0.8848,0.2128,1.4746,0.1723,0.1553,0.0,484.6842,0.1116,0.2428,3.3069,-0.0081,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.3505,0.0256,0,43.8206,1.8671,5.4065,0.366,0.3983,1.985,0.2262,3.7236,0.1534,0.2196,362.2874,1.5634,17.9503,0.107,7.8081,0.7296,0.6385,0.0386,0.7953,0.3255,7.028,192.0474,8.9753,1.1825,0.0863,0.2683,0.5602,0.0293,0.9588,0.1519,0.1597,0.3424,0.2342,1.0025,1.4185,0.8049,6.675,0.9533,0.5947,0.1963,0.1735,0.0,7.5937,0.0031,0.2046,12.9689,2.5332,0.0
PRT_B09,0.276,0.2284,0,4.6163,0.7604,0.2282,0.012,0.0163,0.3876,12.3405,0.9167,0.025,0.0722,2.3719,1.3178,0.5088,0.0008,0.0069,0.0152,0.0026,0.0013,0.0191,2.3506,0.2912,5.9875,0.0563,0.6744,0.0179,0.1274,0.4634,0.0014,0.0332,0.0073,0.0,0.0002,0.0123,0.3786,0.2516,0.238,0.1097,0.0245,0.0244,0.0148,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_C10T12,925.5299,11.938,0,1.465,0.1509,2022.7868,28.0678,1.9132,13.1437,0.4579,94.5366,24.6223,2.5454,2.6507,1.1792,5.5142,2.2021,1.3558,1.7972,2.5254,0.3322,6.0291,1.2604,2.8454,18.2595,157.6564,5.0551,0.963,3.9131,2.6006,0.2339,2066.1089,7.5992,0.9698,4.2413,2.5727,8.7916,24.086,11.5109,17.4182,6.6937,309.8444,5.215,1.6571,0.0,10624.8696,0.0,19.0032,0.0,-2.355,0.0
PRT_C13T15,16.8814,3.842,0,1.599,0.1442,8.4305,2957.867,1.3728,7.6018,0.7109,8.1563,18.0849,39.6,8.9496,0.6094,10.7324,0.9845,1.4118,18.6085,148.962,5.3933,155.4106,2.387,1.5974,27.3906,72.8855,3.1266,0.3884,2.1814,2.5292,0.1608,57.1539,3.1173,0.6079,2.1281,0.8919,5.8192,9.5112,9.9019,5.2719,5.4561,223.4879,44.529,5.269,0.0,4593.2316,0.0168,0.656,15.1672,-5.6228,0.0
PRT_C16,41.4416,0.1143,0,0.9441,0.0702,80.1767,3.5546,804.4602,44.1316,1.1971,9.9037,1.0557,12.2267,43.3513,54.9968,20.6882,0.8863,18.901,6.3916,4.9503,2.0459,256.654,1.3949,70.0647,564.5843,75.8111,4.0768,0.23,0.8389,9.8257,0.1048,17.0973,0.601,0.9363,1.4305,1.1824,17.9966,11.6244,18.9112,15.5199,2.252,6.3648,3.2514,2.9663,0.0,75.0138,1.1132,8.0561,52.8691,-5.1172,0.0
PRT_C17_18,29.4007,1.9198,0,2.7714,0.2015,347.5937,30.8753,22.5826,1024.2031,2.6629,31.1657,17.3348,23.2561,37.7221,8.6092,16.0341,8.0033,7.7379,5.6968,13.3963,4.6076,28.1912,117.6725,11.2853,21.5329,233.8326,15.5477,4.4972,3.7908,9.1793,2.8446,30.6586,111.1057,9.7303,23.9962,32.4973,188.9893,101.4971,79.8102,33.2782,63.5,64.7579,12.7163,28.9941,0.0,488.5793,1.6416,3.5542,42.3448,-1.7481,0.0
PRT_C19,154.7094,29.7706,0,21.3262,1.0576,64.1344,25.3934,21.1017,35.9527,177.5244,117.8465,7.8925,28.3869,74.8546,5.6301,38.6683,4.0109,7.7769,8.7159,12.3593,1.2716,34.7154,121.356,39.0544,213.7965,345.0327,763.1868,20.1875,499.1318,32.4372,5.5961,14.5499,4.9642,4.816,8.221,20.3578,5.174,55.0911,63.3467,114.3614,24.5813,149.546,18.082,18.0304,0.0,1038.958,0.7142,8.8296,6.3507,0.76,0.0
PRT_C20,138.9054,0.9304,0,7.6651,0.5135,81.2352,125.5256,44.5418,84.4117,100.1446,571.3378,63.7965,372.5879,64.17,10.072,55.0458,8.7127,44.821,15.2589,205.7154,13.404,46.2232,9.044,28.2498,102.5995,143.1655,15.2237,0.5387,1.901,2.3841,0.2727,42.7102,8.1953,1.9799,11.1095,2.3601,23.6846,22.3555,22.4378,10.497,15.8275,267.3275,8.2839,66.0426,0.0,475.7508,15.4074,5.0132,51.8388,-3.2627,0.0
PRT_C21,6.1306,0.2401,0,0.2965,0.0214,14.2404,4.7273,1.3849,2.522,2.2296,4.7128,45.4754,2.6195,1.6436,0.7833,2.9347,1.124,1.1055,1.0921,2.9685,0.3415,2.1583,3.2781,0.9253,8.1923,39.8994,4.6317,0.8581,2.797,2.1391,0.3018,7.0553,1.5782,2.1483,4.4351,2.5538,2.2822,11.8011,7.112,3.6998,1.3252,392.1501,1.6027,1.7812,0.0,277.4922,6.0855,257.1211,101.4965,-0.4181,0.0
PRT_C22,28.6518,0.3815,0,1.1315,0.0903,216.1957,69.854,19.838,16.901,1.8878,33.9708,9.6121,218.1385,38.0661,4.8757,62.7675,36.155,42.949,35.6779,110.601,18.7405,114.7334,3.9002,6.6076,315.4455,298.812,25.8968,0.2202,1.1378,2.7716,0.1455,23.5743,8.6165,1.3825,8.882,1.2019,13.5529,52.4291,59.1966,6.262,2.0764,22.2357,3.041,6.388,0.0,149.3629,1.3784,2.2429,57.5585,-8.8389,0.0
PRT_C23,64.7013,0.2404,0,5.2323,0.402,185.7515,8.6704,12.1138,10.0098,1.946,49.7892,11.4292,11.7885,412.0941,21.032,95.3507,5.0355,20.7439,11.6867,67.6702,1.5451,33.5397,15.0542,14.0904,1716.964,106.2614,14.8511,0.4037,1.7315,7.7328,0.1967,63.6057,1.9168,1.6283,2.8957,1.9398,59.8271,17.7335,8.0642,22.4678,2.9351,10.4827,2.767,2.3877,0.0,209.6835,2.1951,3.5322,60.4307,-3.1493,0.0
PRT_C24,3.7838,0.0199,0,1.1256,0.1157,0.9614,3.7057,3.039,4.6347,0.1904,3.8019,4.6546,11.5297,38.8722,505.1729,485.3438,21.9105,125.7452,212.0229,207.4791,25.9332,48.9527,1.6962,66.6049,294.6678,20.1312,1.2251,0.0,0.0,4.7373,0.0,1.2836,0.3391,0.0,0.0245,0.0,0.8562,4.2009,0.6503,2.6786,0.3837,0.0464,0.4219,0.8497,0.0,2.3592,0.0,0.0,0.0,-1.8873,0.0
PRT_C25,67.1288,16.2988,0,16.1136,1.5795,204.4672,56.2799,42.0649,26.886,5.446,28.9675,12.1998,53.131,41.3878,9.5003,1213.5341,30.1975,71.1436,133.7524,188.9252,61.7298,194.1295,29.3437,18.9974,929.6723,334.8897,68.2445,28.9815,24.3402,18.196,2.1822,54.7698,11.56,16.3862,23.9892,8.4283,14.5355,83.0032,58.3507,22.3967,16.1277,48.0839,21.6763,14.8214,0.0,237.7789,2.3721,4.6325,477.5727,-42.6515,0.0
