V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_H52,5.0366,0.5331,0.1863,0.5418,0.9211,13.7369,2.6982,4.0043,2.4333,3.4894,1.7761,1.9516,2.1552,6.0565,0.6657,5.3601,0.861,2.3475,2.6153,1.1134,2.683,4.5422,13.3446,4.7174,63.264,48.0415,220.1295,1.1823,22.624,25.6296,5.9652,5.7489,1.1618,25.1639,11.4119,14.7451,8.6259,24.854,12.6779,9.8501,3.6536,4.6207,3.5488,2.7604,0.0,164.364,8.0496,48.3504,180.3144,11.1728,0.0
HRV_H53,3.0517,0.2955,0.0357,0.1205,0.2046,5.9897,1.4414,0.8236,0.9937,0.9631,0.5894,0.8635,0.9917,1.4613,0.227,2.1284,0.4516,1.0854,1.0468,0.1102,1.218,1.5528,4.5089,1.8216,13.0203,14.8504,2.6059,0.5534,0.2551,5.8304,0.1036,5.1036,0.7108,9.1387,4.5869,56.5405,1.7239,6.9294,4.3808,8.2018,1.1587,3.9223,2.2856,2.5263,0.0,66.7959,0.5532,2.9881,12.9335,1.715,0.0
HRV_I,0.5455,0.5187,0.1667,0.0642,0.4641,18.4538,2.3133,1.1821,0.6753,0.4054,1.2695,2.6152,0.6217,2.4896,0.2685,4.4547,0.239,1.1773,3.2628,0.0709,2.5387,3.0602,8.8415,2.3532,30.8447,69.7864,6.0934,0.003,4.232,4.39,0.3534,10.3495,1.1274,1.8547,22.9334,1.3808,4.8783,21.1571,95.8233,78.8285,11.5859,4.94,10.8644,18.9205,0.0,3088.0652,0.094,45.8471,0.7703,0.0,0.0
HRV_J58T60,0.3517,0.0006,0.0617,0.024,0.1702,12.6194,2.6309,0.821,22.6449,0.8824,1.2903,3.4857,0.4912,1.658,0.0828,1.6823,0.1725,0.989,1.1629,0.0607,2.0949,2.0545,3.7628,0.297,2.1924,24.5406,0.8023,0.002,0.0001,0.2323,0.0004,0.9276,64.4318,2.9936,13.8453,0.2021,0.0042,7.1291,0.4755,3.8492,1.2519,0.1896,18.6235,0.1733,0.0,323.6534,0.7912,115.5121,63.6601,0.1018,0.0
HRV_J61,1.2211,0.2527,0.0791,0.0119,0.3251,4.232,1.3211,0.5273,1.002,0.2723,0.3696,0.8083,0.4107,1.212,0.1239,1.8459,0.0759,0.3752,1.204,0.0362,0.9422,1.1834,3.6053,2.4274,20.6423,71.1838,14.3046,0.1157,0.98,11.9304,1.4193,6.028,4.4023,236.4017,35.4696,39.4826,6.5136,28.6007,26.4293,30.0821,12.3453,7.6657,13.9533,8.3412,0.0,786.3301,0.2112,10.0633,1.9067,0.3363,0.0
HRV_J62_63,17.5712,1.8799,0.124,0.6464,0.7344,30.9411,7.5186,3.9227,4.7554,4.7881,3.2575,4.4674,5.1118,6.8462,1.1011,9.5022,10.6136,6.6359,4.3474,0.8379,6.0162,7.5225,23.5182,5.4596,47.7031,43.3711,14.8569,2.4004,14.0611,4.7501,0.2422,30.9624,2.4483,1.6097,53.5548,66.091,10.3068,18.9712,16.6197,20.4719,4.2311,17.2334,4.4821,4.0097,0.0,219.4526,8.6635,34.4721,290.7264,10.879,0.0
HRV_K,38.738,22.3773,2.7218,8.9498,7.0624,228.3481,54.1354,40.8772,34.6082,62.717,27.4001,59.6777,21.3689,73.0807,10.0802,97.3619,4.6109,36.2113,57.2632,3.3799,66.6219,61.2026,216.0553,32.353,190.6907,171.399,34.9582,17.7264,10.2158,51.2373,3.7611,33.227,2.3339,13.2624,22.0992,228.828,61.1876,37.0525,50.0489,367.4434,16.0908,13.023,14.3344,15.0106,0.0,731.1557,27.8717,109.0303,47.2972,0.4883,0.0
HRV_L,0.7797,0.0,0.529,0.0774,2.1602,24.4185,10.3487,3.888,3.3219,2.5064,1.9852,3.5007,3.3493,10.0649,0.714,17.3956,0.3202,5.1859,6.2429,0.2409,4.6022,10.7579,9.4946,3.6564,103.7879,603.8109,49.0459,0.0932,3.5513,12.6956,4.8121,22.7789,3.2679,51.2387,23.9369,16.0874,213.9843,149.3122,44.6139,75.2614,3.1336,0.7229,28.0106,11.4973,0.0,4347.9673,3.951,2.691,1.1119,0.0317,0.0
HRV_M,46.1206,12.2564,0.8728,0.8872,4.4046,81.3991,15.5868,10.3544,9.9913,9.1122,7.8758,14.5596,8.6804,17.1651,2.2162,22.5525,3.7787,17.2019,20.3937,1.5959,14.0049,20.8985,37.768,31.9798,162.9263,348.4249,36.2522,4.2267,4.4896,18.3654,3.14,69.912,46.1926,28.6469,52.7828,128.4627,44.5943,317.9537,46.7055,40.8458,30.8551,23.8181,40.0588,27.5705,0.0,282.6976,9.0639,153.7316,278.1461,12.5865,0.0
HRV_N,16.8113,5.0014,0.3249,0.6058,1.2958,37.1214,6.6509,9.1357,5.8694,4.9022,2.963,5.3524,3.1829,7.9158,1.0937,12.5818,1.215,5.685,28.6682,0.6522,7.4796,14.8282,23.0815,7.1727,57.923,102.2751,30.4699,1.5466,3.0955,18.9244,1.0703,29.0577,9.9086,7.5999,33.3952,65.6204,25.1659,55.4183,79.7563,38.6204,37.4087,16.5306,42.6318,52.4648,0.0,456.0077,19.6767,64.7215,45.2902,4.3444,0.0
HRV_O,8.4233,0.0612,0.1125,0.2505,0.3325,15.2666,3.1211,1.1804,25.1604,0.8132,1.5457,3.9549,0.615,2.9525,0.1719,2.9254,0.249,1.5152,1.6303,0.1012,4.4133,2.6391,5.7871,6.573,78.2261,73.0148,4.2289,0.1499,0.6115,7.9917,0.5874,13.6361,45.7386,18.3728,17.8161,37.264,31.9105,33.9126,5.6524,19.0502,7.8908,11.0763,38.8117,12.0135,0.0,327.0297,19.4812,5180.0079,90.8573,0.0503,0.0
HRV_P,19.6552,0.1173,0.1862,0.0786,0.5159,2.917,0.4728,1.9346,0.8308,0.461,0.5191,1.0522,0.2671,0.7934,0.1616,1.1424,0.1042,0.6476,1.1104,0.0393,1.0869,2.692,5.6788,2.1135,6.2367,118.4713,4.0257,0.0408,3.2546,2.0305,0.1109,17.565,0.9763,4.0851,26.9243,4.9253,2.7314,32.1903,4.0228,109.0832,158.3369,7.4109,4.1161,3.1455,0.0,336.5924,0.3842,2252.4538,5.1655,0.2103,0.0
HRV_Q,34.7038,0.0411,0.0198,0.0226,0.0642,1.8252,0.2739,0.9768,0.4917,0.1567,0.1004,0.1736,0.161,0.2497,0.0311,0.3472,0.06,0.1665,0.1252,0.0169,0.2886,1.13,0.6021,0.4775,3.2921,9.2037,2.0386,0.9496,0.0292,0.4152,0.0266,9.0212,6.8302,1.664,1.1113,5.8101,2.3598,2.3614,3.7486,8.2887,8.6368,50.7959,14.2457,36.7669,0.0,1045.2026,26.5843,3249.4092,3.1058,0.2773,0.0
HRV_R,21.4124,6.8204,0.0631,0.3079,0.3744,14.9008,3.1149,47.1162,14.9711,2.3693,1.7161,2.0966,2.3797,3.2108,0.5245,4.5173,1.0409,2.6488,42.0494,0.3174,2.6874,54.2734,11.3608,2.238,22.0209,23.5833,4.624,0.988,0.3269,3.4846,0.2075,48.8442,2.9719,5.9937,4.6477,3.6594,5.0964,6.6864,3.8271,9.3831,8.8726,12.0362,98.9425,17.5194,0.0,553.4529,64.5528,198.7841,34.0856,7.3309,0.0
HRV_S,5.8806,0.9825,0.1679,0.0718,0.5415,15.6597,7.8541,3.5214,16.2288,1.1216,1.5219,3.0795,1.1747,3.01,0.3309,3.2094,1.6472,3.0039,25.6806,0.4352,3.2962,8.4044,7.1468,8.095,12.7174,107.1385,14.8004,0.6134,0.5752,5.6192,0.5106,43.0917,21.5623,58.5673,68.712,16.3908,26.953,20.7768,47.2266,54.1962,18.2558,11.6619,15.9777,35.4122,0.0,374.2004,108.854,36.9983,56.0131,1.1586,0.0
HRV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0558,0.0,0.0,0.0,0.0,0.0
