V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T,THA_HFCE,THA_NPISH,THA_GGFC,THA_GFCF,THA_INVNT,THA_DPABR
THA_K,1847.5719,123.3121,60.4216,71.9553,24.5764,1139.9481,734.6611,204.9936,175.1641,191.5238,981.8772,80.2641,516.3821,673.1013,400.5574,328.8934,359.7419,238.6046,262.2248,1127.9245,199.4494,520.1982,2071.9267,178.6106,875.2654,5306.849,805.9222,166.1139,633.586,35.315,121.0677,582.7625,93.0984,559.34,148.4846,3307.2014,1037.8836,218.6325,326.8992,10.274,111.6302,189.3759,17.7397,106.5043,0.0,11840.9329,140.9773,3.8946,35.0524,2.7979,0.0
THA_L,7.5426,0.0187,10.4781,2.7528,2.4949,62.6045,28.5362,16.8722,4.0139,44.0815,19.3003,3.5259,28.7476,3.8654,1.408,6.2218,5.6613,7.1917,3.8275,1.0099,2.9361,40.6606,15.304,1.318,37.8979,392.7269,41.8133,8.7324,44.6346,3.6321,2.1864,121.6782,71.2453,11.335,31.5795,309.3365,15.106,59.827,67.9448,87.6851,11.2947,5.3211,8.8628,43.2314,0.0,13443.4464,85.4986,411.7764,44.987,0.0,0.0
THA_M,16.2539,6.4465,642.6002,6.8303,41.4745,431.3931,117.7397,23.6731,77.3581,47.9167,216.2096,51.8754,108.1591,169.794,15.2741,38.338,135.5547,61.6733,49.9819,219.1019,13.1118,96.6498,91.0081,21.5659,499.6667,405.295,24.8008,40.3067,125.2107,2.5404,12.5627,165.8419,127.32,84.0825,101.8326,360.4596,156.9398,312.5218,262.1228,49.6487,55.2309,61.3344,18.9163,41.5692,0.0,1351.8952,44.61,1333.0181,836.9012,0.2734,0.0
THA_N,21.0108,5.2965,555.4195,7.2067,33.4308,449.0831,242.1222,52.2419,72.114,45.2466,234.4091,40.5228,209.9104,177.4888,48.8081,55.1666,162.7839,73.8335,45.2051,240.4471,16.8549,113.8771,78.3407,19.6041,356.415,353.9671,44.7156,74.9907,658.3592,3.027,20.8638,127.2939,61.639,72.6119,80.2244,200.6342,89.7969,105.1006,371.9866,0.0003,54.5708,60.6208,15.7382,29.2408,0.0,2446.7021,50.4353,0.0032,311.5336,0.0,0.0
THA_O,0.0,0.0,0.0,0.0,0.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2328,0.0,0.0,0.0,0.0,0.0,363.3606,28.9335,36226.0163,0.0,0.0,0.0
THA_P,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4779,0.0,0.0,0.0,0.0,0.0,978.4256,189.1544,25659.6721,0.0,0.0,0.0
THA_Q,0.0,0.0,0.0,0.0,0.0701,0.4237,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4726,0.0,0.0,0.0,10.6958,0.0,0.4549,0.0047,0.0,0.0,1095.0015,306.3793,14990.014,0.0,0.0,0.0
THA_R,0.0,0.0,0.0,0.0,0.0531,0.0025,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0615,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,26.5859,12.2267,0.0,2.6523,0.1372,0.019,3.7622,2.9844,0.0,0.0,0.0,1.2698,0.9397,0.0,1275.9703,475.9122,0.0,0.0,0.014,0.0
THA_S,0.9097,0.2262,1.5921,1.5803,0.8533,26.3305,5.9175,0.1076,0.234,0.7839,6.3297,4.6874,4.6964,2.2212,1.1981,1.4295,12.0512,2.2988,6.2962,7.411,1.2227,3.858,10.141,0.2714,9.3333,10.5179,3.9372,1.3112,2.2023,1.1733,0.2046,6.4047,10.9971,0.7554,1.1856,77.0295,1.4365,7.2542,6.4322,0.0681,16.3335,1.904,13.3487,31.464,0.0,5149.8324,2101.807,5.5656,0.0,0.0,0.0
THA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876.6,0.0,0.0,0.0,0.0,0.0
