V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T,EGY_HFCE,EGY_NPISH,EGY_GGFC,EGY_GFCF,EGY_INVNT,EGY_DPABR
EGY_A01_02,3549.085,0.6645,60.1276,18.3907,5.1241,8228.456,53.8467,1.2617,8.7761,0.3435,20.3303,11.5197,3.412,0.7839,0.9466,0.8037,0.2298,2.0155,0.2417,0.217,0.029,0.6667,1.1468,0.1378,11.3274,3.0919,3.9409,3.8688,2.5604,2.4393,0.1914,268.2195,0.2941,0.1626,0.0485,3.7568,3.5385,1.2237,1.2659,8.6035,1.5662,14.1543,0.1506,0.4383,0,33583.6174,0.0,0.0523,795.3853,657.9373,0.0
EGY_A03,0.0,15.489,0.0,0.0,0.0,37.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0001,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,131.745,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.1184,0.0951,0.6319,0.0083,0.0079,0,4599.0455,0.0,0.0,0.0,90.652,0.0
EGY_B05_06,1.2828,118.4576,4452.8324,3.1407,4.7864,1118.7718,203.4549,243.2982,35.6282,17369.1812,97.4586,5.1893,5.1845,327.6667,453.4717,11.042,0.4898,6.0399,0.0662,28.9904,0.072,94.5348,5547.099,74.4207,90.0884,139.3787,1489.5343,602.081,709.1599,192.8213,0.9633,677.6909,19.3949,89.412,6.1599,22.4213,2.0165,22.0162,24.0683,46.5371,8.7504,53.2351,27.5306,95.3746,0,5394.9033,0.0,0.0,0.0664,1933.6141,0.0
EGY_B07_08,0.0,0.0,1.0289,47.6356,4.651,0.4763,10.1063,1.1982,9.314,6.2514,1074.4578,70.2837,3.8367,329.8359,760.5829,5.3554,1.0778,13.5577,1.1821,3.738,0.0369,15.9768,0.008,0.002,548.8528,5.7783,0.5506,0.0034,0.0004,0.0097,0.0,38.3985,0.0016,0.0044,0.0004,0.3943,0.0122,0.16,0.1786,0.7078,0.8094,0.1535,0.007,0.0978,0,676.4785,0.0,0.0,0.0,76.0815,0.0
EGY_B09,934.0989,21.8335,39.2957,82.3852,14.3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1969,0.0,0.0,0.0,0.0,5.912,3.7129,0.0,0.0,0.0,0.0,76.8356,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EGY_C10T12,1154.4177,41.3622,17.1264,2.0243,0.5218,1647.2023,44.9861,0.7993,1.9792,0.3283,3.5194,1.6754,1.6729,4.0292,2.8372,2.7642,0.2595,1.7988,1.223,0.9146,0.0512,4.2747,6.6826,0.6521,9.2266,8.4969,19.307,3.8296,16.6963,29.6371,0.2063,230.0935,0.3771,2.4544,0.0914,7.2593,1.9393,7.0112,2.607,26.4204,29.2151,110.9923,6.1771,3.8617,0,28522.609,0.0,0.0,455.8747,499.4239,0.0
EGY_C13T15,0.4256,0.2328,0.5861,0.1179,0.191,0.9746,1643.1548,2.6129,13.4147,0.2965,4.3137,3.1905,3.2485,0.3634,5.0808,1.5214,0.9292,0.8934,0.2207,2.6963,0.2509,35.5748,0.1887,0.1936,8.2692,0.534,0.2268,0.2475,3.0843,0.4557,0.0127,17.837,0.3504,0.758,0.0844,0.5017,0.0911,5.2642,1.3798,1.4383,2.4987,10.0691,0.2762,1.6523,0,6359.5662,0.0,0.0,130.8337,136.5767,0.0
EGY_C16,0.426,0.0171,0.6481,0.0995,0.1639,10.2893,2.7725,161.2745,7.4317,0.1646,1.4132,1.1148,1.5812,1.8479,25.4079,6.8205,0.8352,9.1287,0.9937,1.0901,0.6989,795.9773,0.0419,0.0317,131.7038,1.2779,0.0919,0.0055,0.0203,0.087,0.0167,0.7631,0.025,0.0303,0.0188,0.5004,0.1923,3.9148,1.0465,0.6419,2.544,2.8039,0.0718,3.8998,0,1498.6446,0.0,0.0,101.2297,59.3897,0.0
EGY_C17_18,2.3969,0.836,1.5527,0.2184,0.1892,29.94,7.9533,0.5031,256.4864,0.1194,2.7077,3.7797,1.1012,1.7261,6.4048,2.4398,0.4107,2.6381,0.6739,8.5161,0.1492,2.1762,2.1989,0.8827,23.3181,4.792,8.6159,9.0564,1.7793,43.2731,22.7295,36.0859,239.2629,1.1226,0.4741,98.3954,13.971,43.7121,11.244,4.6915,111.768,68.9001,7.4877,6.9825,0,2945.7503,0.0,0.0004,399.3705,123.6732,0.0
EGY_C19,708.6796,174.5368,116.8822,35.1335,1.7511,1433.2896,162.883,9.1939,76.9691,24.6108,220.3872,20.3459,160.8306,537.2892,998.2845,50.2902,1.3913,29.5028,7.2778,1.6844,3.1838,18.7498,2082.3615,63.3653,157.3142,216.2289,974.039,1391.9442,324.0079,389.8537,9.1995,575.7176,33.0782,15.0368,0.8231,15.3036,15.7596,48.9452,46.8893,44.4252,53.9599,61.7927,12.0009,73.049,0,16878.2873,0.0,0.0,1.1743,496.1573,0.0
