V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T,BRN_HFCE,BRN_NPISH,BRN_GGFC,BRN_GFCF,BRN_INVNT,BRN_DPABR
BRN_A01_02,2.7733,0.0,0.4818,0.3295,0.0793,0.9874,0.0349,0.004,0.0017,0.0552,0.0002,0.0,0.0106,0.0001,0.0,0.1777,0.7217,0.0,0.3641,0,0.4465,0.2705,0.0002,0.0822,4.1442,0.4309,0.0613,0.0024,0.0267,0.0001,0.0,3.4742,0.0019,0.0781,0.0259,0.0755,0.0088,0.0986,0.114,49.735,5.9864,2.7492,0.0045,0.004,0.0,62.6271,0.0,0.0001,8.8422,0.0508,0.0
BRN_A03,0.0291,0.0,0.0068,0.0067,0.0012,0.0196,0.0011,0.0,0.0,0.0013,0.0,0.0,0.0003,0.0,0.0,0.0043,0.0,0.0008,0.0087,0,0.0106,0.0062,0.0007,0.0018,0.0,0.0037,0.0015,0.0001,0.0006,0.0,0.0,0.1317,0.0001,0.0019,0.0007,0.0018,0.0002,0.0021,0.0018,1.9995,0.1432,0.0658,0.0001,0.0001,0.0,1.9623,0.0,0.0,0.0,-0.2701,0.0
BRN_B05_06,0.0001,0.5563,905.1267,194.8123,45.1963,0.4387,1.5693,0.0278,0.0,992.8323,25.0238,0.0051,0.7379,0.0095,0.0,0.0,1.5084,0.1246,1.5481,0,1.8005,0.9386,23.0305,0.7439,29.769,14.3445,0.1609,0.0,2.6513,2.8317,1.1678,0.586,0.1197,1.321,0.5501,0.0113,0.582,2.0819,0.7111,0.0,0.0,1.5934,0.13,0.125,0.0,59.1664,0.0,0.0,538.9671,-201.2566,0.0
BRN_B07_08,0.5889,0.0,155.1561,224.2654,18.9722,0.2979,1.3746,1.5089,10.4336,0.0114,8.3435,0.0133,0.5749,39.7637,13.3225,11.85,0.0,9.2574,1.2057,0,1.4523,0.9294,8.843,1.0567,438.7099,62.0409,9.0433,139.0925,4.6139,0.3403,0.0,15.9598,1.4314,89.8416,5.5208,180.795,31.685,24.4326,8.2883,287.4333,41.4496,6.4035,0.2945,0.2994,0.0,55.5191,0.0,0.0,18.5173,548.4333,0.0
BRN_B09,0.0064,0.0092,20.9371,4.3974,1.2771,0.0153,0.0332,0.0246,0.0122,16.652,0.4251,0.0001,0.0138,0.0002,0.0,0.1865,0.0251,0.0026,0.0293,0,0.0336,0.0199,0.3879,0.0194,1.585,1.3864,0.1525,0.001,0.087,0.0483,0.0194,0.0311,0.0072,0.0553,0.0465,1.8391,0.5113,0.1818,0.0595,4.7755,0.6968,0.045,0.0209,0.0049,0.0,1.77,0.0,0.0,566.0498,-3.376,0.0
BRN_C10T12,2.6292,0.0751,0.6202,0.5133,0.0601,2.6659,0.1154,0.0064,0.0056,0.2501,0.0012,0.0,0.0301,0.0004,0.0,0.0473,0.0,0.0156,0.0802,0,0.0977,0.0486,1.0061,0.0672,2.2352,2.9603,0.0203,0.0316,0.2099,0.6426,0.0,5.062,0.0511,0.1407,0.1818,0.5185,0.1975,0.5977,0.216,10.1537,2.5106,0.7324,0.0421,0.0421,0.0,13.4349,0.0,0.0,2.7813,-0.7647,0.0
BRN_C13T15,0.0282,0.0,0.7642,0.5093,0.0902,0.1347,2.9935,0.0005,0.0003,0.2301,0.0011,0.0,0.0059,0.0001,0.0,0.1654,0.0,0.0505,0.2572,0,0.3878,0.1932,0.0254,0.0434,12.371,1.8349,0.0011,0.0525,0.3872,0.0,0.6521,0.0812,0.0066,0.1504,0.1123,0.449,0.0017,0.2987,0.2015,1.3469,1.5995,0.3532,0.0034,0.0048,0.0,18.4445,0.0,0.0,1.023,16.7501,0.0
BRN_C16,0.0014,0.0,0.1002,0.1342,0.019,0.003,0.0079,0.0032,0.003,0.0026,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0004,0.0022,0,0.0055,0.0017,0.0131,0.007,0.2105,0.207,0.0014,0.0002,0.0063,0.0361,0.0408,0.0023,0.0041,0.0,0.0175,0.0717,0.0029,0.0798,0.0421,0.1485,0.1126,0.0109,0.0032,0.0046,0.0,0.3554,0.0,0.0,3.1193,-0.1662,0.0
BRN_C17_18,0.005,0.0001,0.6633,0.4692,0.0637,0.0085,0.0355,0.0096,0.0136,0.0091,0.0,0.0,0.0034,0.0,0.0,0.0043,0.0057,0.0007,0.0072,0,0.0088,0.0042,0.019,0.0212,0.6471,0.7061,0.0041,0.0005,0.0184,0.0027,0.0,0.0144,0.0238,0.1346,0.0733,0.1911,0.0084,0.2728,0.1346,0.5015,0.3797,0.0357,0.0111,0.0116,0.0,1.1129,0.0,0.0003,12.3627,-0.0458,0.0
BRN_C19,7.9259,0.5338,188.2071,192.9293,15.9226,1.4633,2.0166,0.2451,0.2004,38.3368,0.593,0.0007,0.6241,0.0082,0.0,0.4607,1.8654,0.0,1.0143,0,2.4151,0.6677,52.9895,1.7683,62.2836,59.0244,15.7635,6.1048,59.4978,12.0686,0.0008,2.2706,0.6006,2.188,3.9325,7.1226,1.0221,13.191,13.8139,146.5702,8.3753,6.7051,0.3613,0.3775,0.0,176.0944,0.0,0.0,0.0037,8.4912,0.0
BRN_C20,0.2982,0.0004,8.5774,6.6187,0.802,0.0576,0.3104,0.0064,0.0937,1.1037,0.0115,0.0,0.0213,0.0003,0.0,0.0108,0.0503,0.0,0.0261,0,0.0324,0.0159,0.0,0.6424,3.1761,1.6262,0.3987,0.1496,1.4495,0.0,0.134,0.1934,0.1051,0.0,0.1755,0.4162,0.2069,0.994,0.9158,5.5537,0.2816,5.1774,0.0502,0.1704,0.0,6.9116,0.0,0.0,0.4632,-6.6373,0.0
BRN_C21,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0018,0.0001,0.0073,0.0,0.0,0.0,0.0058,0.0,0.0172,0.0002,0.0002,0.0
BRN_C22,0.1274,0.0002,0.3314,0.4469,0.0699,0.0538,0.0687,0.0027,0.0014,0.0312,0.0002,0.0,0.4591,0.0059,0.0,0.0284,0.0938,0.0,0.0505,0,0.1207,0.0383,0.0,0.0842,2.2253,1.6676,0.0044,0.0017,0.0345,0.0,0.5349,0.0575,0.0189,0.6051,0.0249,0.6339,0.0048,0.101,0.2144,2.3844,0.308,0.1747,0.0071,0.0443,0.0,1.0512,0.0,0.0,6.2036,0.0126,0.0
BRN_C23,0.3185,0.0,1.1609,1.3262,0.2067,0.0971,0.0686,0.0065,0.0059,0.0918,0.0004,0.0,1.1614,0.0152,0.0,0.1262,0.2389,0.0,0.1296,0,0.3235,0.1058,0.0011,0.2142,6.0597,4.3564,0.0073,0.0044,0.0898,0.0004,0.0001,0.1728,0.0313,3.1086,0.0602,1.6523,0.0219,0.3027,0.5508,6.0709,0.7943,0.4405,0.0249,0.0423,0.0,2.9067,0.0,0.0,19.6459,0.0325,0.0
BRN_C24,0.0035,0.0,0.6004,0.2961,0.0558,0.0031,0.0125,0.0016,0.0011,0.0,0.0,0.0,0.0015,0.0,0.0,0.009,0.0066,0.001,0.0041,0,0.0025,0.0015,0.0,0.0166,0.5579,0.2728,0.0005,0.0003,0.0079,0.0193,0.0,0.0067,0.0014,0.0541,0.0033,0.0211,0.0026,0.0155,0.0033,0.0383,0.0529,0.0152,0.0008,0.0093,0.0,0.2174,0.0,0.0,11.3364,-1.24,0.0
BRN_C25,0.0473,0.0,3.9893,3.1511,0.6477,0.0586,0.1675,0.0158,0.0162,0.1106,0.0004,0.0,0.0198,0.0001,0.0,0.0091,0.0457,0.0,0.0411,0,0.0509,0.038,0.0003,0.0992,2.8213,3.3843,0.0054,0.0029,0.104,0.5523,0.0,0.0396,0.0171,0.5834,0.0598,0.2585,0.0293,0.2217,0.1015,3.2232,0.2281,0.184,0.012,0.02,0.0,5.7351,0.0,0.0,1.6491,-0.0705,0.0
BRN_C26,0.0115,0.0,0.3601,0.2226,0.0557,0.0075,0.0164,0.0022,0.0009,0.0231,0.0001,0.0,0.0021,0.0,0.0,0.0044,0.0054,0.0003,0.0033,0,0.0054,0.0024,0.0251,0.0066,0.2688,0.3848,0.0222,0.0005,0.0081,0.0239,0.0,0.0134,0.003,0.0353,0.0106,0.0163,0.0031,0.016,0.0125,0.3331,0.0159,0.0177,0.0011,0.0013,0.0,0.7949,0.0,0.0,9.715,-0.0056,0.0
BRN_C27,0.0205,0.0,1.4147,1.0151,0.1428,0.0283,0.0854,0.0006,0.0077,0.0001,0.0002,0.0,0.0097,0.0001,0.0,0.0043,0.0239,0.0286,0.0201,0,0.0246,0.0139,0.1389,0.0151,1.7724,0.5104,0.0029,0.0013,0.0474,0.0918,0.0,0.0107,0.0152,0.264,0.0266,0.113,0.0135,0.0669,0.0238,0.176,0.2798,0.0916,0.0044,0.0044,0.0,2.648,0.0,0.0,8.3526,0.0072,0.0
BRN_C28,0.0077,0.0,0.826,0.5205,0.0733,0.0111,0.0298,0.0032,0.0031,0.0085,0.0001,0.0,0.0039,0.0,0.0,0.0112,0.0,0.0016,0.0079,0,0.0197,0.0056,0.0,0.0253,0.7398,0.6133,0.0009,0.0005,0.0188,0.0625,0.0,0.009,0.0034,0.1043,0.0088,0.046,0.0053,0.0342,0.0168,0.3364,0.0724,0.0334,0.0021,0.0021,0.0,1.0308,0.0,0.0,13.8437,0.0162,0.0
BRN_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN_C30,0.019,0.0,0.9785,1.4322,0.1893,0.018,0.083,0.0059,0.0072,0.0185,0.0001,0.0,0.0092,0.0001,0.0,0.0079,0.045,0.0,0.0192,0,0.0594,0.0094,0.113,0.0158,1.3221,1.2286,0.002,0.0011,0.0423,0.1534,0.0,0.0356,0.0093,0.225,0.0148,0.0973,0.011,0.0805,0.0429,1.0995,0.0682,0.0761,0.0062,0.0149,0.0,2.3821,0.0,0.0,15.0792,-0.0007,0.0
BRN_C31T33,0.0127,0.0002,0.3079,0.3569,0.0709,0.0096,0.0279,0.0022,0.0014,0.0121,0.0051,0.0,0.0018,0.0,0.0,0.0023,0.0004,0.0013,0.0065,0,0.009,0.0043,0.1435,0.0065,0.7064,0.4087,0.0027,0.001,0.0183,0.0024,0.0005,0.0241,0.0021,0.071,0.006,0.0334,0.0112,0.037,0.0358,0.307,0.0766,0.0415,0.0039,0.0114,0.0,0.9122,0.0,0.0032,8.7559,-0.1463,0.0
BRN_D,0.5919,0.0007,8.3167,8.0287,0.458,0.635,2.1692,0.0233,0.0305,26.1522,0.2474,0.0005,0.1873,0.0025,0.0,0.0298,0.0,0.0257,0.1352,0,0.1601,0.0967,0.9115,0.5072,2.017,14.1991,0.481,0.0048,0.3626,0.0016,0.0002,1.9247,0.369,1.8186,0.5876,1.7738,1.2052,1.5147,1.1979,24.8282,2.4623,1.6984,0.2659,0.1777,0.0,107.4324,0.0,0.0008,0.0,0.0,0.0
