V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T,CRI_HFCE,CRI_NPISH,CRI_GGFC,CRI_GFCF,CRI_INVNT,CRI_DPABR
CRI_A01_02,263.8748,1.1423,0.121,3.6845,0.0039,1619.5821,3.0551,22.8837,8.1733,0.7479,3.4757,0.7164,7.5133,0.9641,0.0813,0.1567,0.0447,0.2967,0.021,0.0422,0.0522,7.3568,0.1142,0.4362,4.453,6.4861,0.0833,0.1833,0.0255,0.5305,0.0713,101.8521,4.4951,0.1312,0.3655,0.5388,1.8855,3.7704,2.1931,3.7836,22.6286,27.2028,0.6489,2.4266,0.0,883.1692,0.1773,1.6512,114.083,-2.5902,0.0
CRI_A03,0.0006,3.5976,0.0,0.0,0.0,55.5156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3496,0.0,0.002,0.0,0.0,0.0,0.0,0.0066,0.0853,0.5398,0.1714,0.0,0.0,0.0,11.4576,0.0,0.0,0.0,0.0021,0.0
CRI_B05_06,0.0679,0.0,0.0309,0.3713,0.0007,0.0136,0.0,0.001,0.0014,0.7544,0.1486,0.0097,0.0008,0.1604,0.0068,0.0001,0.0,0.0023,0.0002,0.0,0.0,0.132,0.1309,0.0047,3.1186,0.5854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,1.1243,0.0169,0.0344,5.1708,0.0042,3.83,0.0001,0.1849,0.006,0.1424,2.251,0.0117,0.0006,21.5977,1.3407,0.0003,0.0,0.2275,0.0194,0.0,0.0,0.3729,0.8566,0.1325,289.2206,0.7623,0.133,0.1121,0.0157,0.0013,0.0,0.0153,0.0,0.0992,0.0,0.0,8.1419,0.1205,0.2195,0.1889,0.2377,0.0,0.0083,0.0351,0.0,4.8762,0.0,0.0,0.0,-0.0057,0.0
CRI_B09,0.0113,0.0028,0.0024,0.1332,0.0004,0.0059,0.0,0.0001,0.0054,0.1316,0.0232,0.0004,0.0011,0.0266,0.0164,0.003,0.0,0.0001,0.0,0.0,0.0,0.0006,0.0172,0.0048,0.1611,0.0015,0.006,0.002,0.001,0.0046,0.0,0.0007,0.0001,0.0,0.0,0.0002,0.0055,0.0071,0.0032,0.0012,0.0005,0.0007,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI_C10T12,176.0337,11.8919,0.0095,0.4804,0.0009,749.4986,0.6825,0.1156,1.916,1.9867,35.5898,7.6124,3.8089,0.7154,0.3635,0.5412,0.1099,0.7704,0.0545,0.041,0.042,7.3998,0.848,1.367,9.7798,53.1119,1.1292,3.8591,0.7165,4.4303,0.4516,396.1687,1.9372,1.4189,0.8283,1.7261,1.1591,7.7027,3.3252,9.6809,33.1728,45.6155,3.2084,9.3318,0.0,4564.2321,13.1373,16.833,11.2135,-1.1414,0.0
CRI_C13T15,1.3818,0.2073,0.0054,0.2412,0.0004,2.5262,20.9471,0.0077,6.4477,0.0702,0.1463,0.3379,0.7048,0.0496,0.1023,0.0585,0.0474,0.1091,0.0077,0.0192,0.0211,8.9564,0.3363,0.5188,0.6577,4.3631,0.0835,0.1021,0.0345,0.1565,0.0671,1.964,1.0518,0.5268,0.1679,1.1551,0.4211,1.9872,0.7276,1.7347,0.9147,7.4867,0.2691,0.8363,0.0,196.9923,0.0,0.0002,0.2403,-0.1819,0.0
CRI_C16,9.0792,0.063,0.0002,0.0072,0.0,9.515,0.2051,18.6279,0.3703,0.0581,0.9068,0.1569,2.1217,3.9058,0.0928,0.152,0.0028,1.261,0.0892,0.2841,0.3836,16.3481,0.0421,0.1897,32.6228,3.3991,0.0038,0.0083,0.001,0.1277,0.3092,0.5972,0.2392,0.0218,0.0016,0.0068,10.806,0.1795,0.1856,0.3519,0.3123,1.2865,0.0331,0.167,0.0,19.8408,0.0,0.0003,11.0466,-3.0862,0.0
CRI_C17_18,54.0019,0.0378,0.0014,0.1066,0.0001,41.2948,1.2257,0.0464,69.1859,0.9943,7.0073,1.0335,2.5205,3.9425,0.3707,0.4202,0.2656,1.1426,0.0813,0.0473,0.0395,27.1274,0.2516,1.1219,1.8028,50.6677,0.4353,0.4145,0.1264,0.9141,0.8891,12.0075,41.5496,1.9241,3.9692,4.9098,4.774,27.6886,3.6759,3.7516,12.3681,26.5195,1.1357,4.3882,0.0,229.2492,0.0,0.0,0.0,-0.1624,0.0
CRI_C19,18.7075,1.6918,0.0709,4.7172,0.0046,13.5301,0.3536,0.2592,1.0905,0.354,1.8064,0.1054,1.4589,4.4931,1.3787,0.6133,0.2184,0.173,0.0122,0.048,0.0548,5.2268,2.8387,1.8245,16.6186,15.92,20.4243,24.6984,8.7573,4.518,0.4477,5.7029,1.9675,0.381,1.5385,0.619,0.1621,6.4705,3.5169,2.6489,0.9055,4.5163,0.7514,1.2925,0.0,169.9171,0.0,0.0,0.0,0.0232,0.0
CRI_C20,99.8241,0.3282,0.0289,1.7381,0.0031,45.8508,3.8438,0.2686,14.7056,50.8466,118.4023,9.8688,63.3361,4.1567,2.5637,7.239,0.4456,8.0612,0.5703,0.3505,0.2974,48.1215,0.4319,1.3366,39.2618,38.9346,0.2259,0.2305,0.0586,0.1842,0.0645,8.1949,6.7744,0.3432,0.9917,0.2937,12.7881,6.7259,1.6408,1.7216,5.5833,51.9831,0.5144,8.379,0.0,420.5986,0.0724,0.0968,0.5063,-0.7454,0.0
CRI_C21,7.1513,0.0454,0.0023,0.0714,0.0001,4.4593,0.031,0.0008,0.0166,0.4006,0.5009,4.3473,0.0584,0.0127,0.0183,0.0081,0.001,0.0096,0.0007,0.0007,0.0007,3.908,0.0256,0.0275,0.078,0.547,0.0052,0.0113,0.0022,0.0402,0.0042,0.722,0.0246,0.0465,0.0053,0.3049,0.0335,1.5711,0.0228,0.4282,0.2182,17.1566,0.0116,0.1303,0.0,130.4196,0.0309,52.1845,0.1149,-0.0862,0.0
CRI_C22,4.4803,0.0318,0.0023,0.1012,0.0002,19.1483,0.7428,0.0451,2.2388,1.3521,5.5557,0.7029,4.6891,0.6691,0.7985,0.8207,0.6618,1.6263,0.1151,0.0699,0.0501,40.1973,0.0863,0.4574,10.6325,6.1719,0.4948,0.219,0.0539,0.1807,0.0573,2.3723,0.9537,0.0346,0.2315,0.1344,0.7693,0.7116,0.1774,0.1541,0.2924,2.2821,0.0286,0.2138,0.0,49.0276,0.0002,0.0054,10.3473,-25.9386,0.0
CRI_C23,2.8697,0.1273,0.0049,0.3575,0.0006,6.7332,0.0485,0.2246,0.3045,0.3122,1.5125,0.9499,0.3614,29.2675,4.4864,2.7713,0.9802,2.0423,0.1445,0.3046,0.2706,6.2385,0.3695,0.6927,357.3978,9.5566,0.1747,0.6933,0.0853,0.5896,0.2661,2.0103,0.1388,0.2996,0.0713,0.2197,33.3022,4.1375,0.0942,1.192,10.2566,4.9162,0.0861,0.8507,0.0,37.6254,0.0016,0.064,15.3904,-1.5983,0.0
CRI_C24,0.2168,0.0044,0.003,0.2051,0.0004,0.9704,0.0062,0.0026,0.4319,0.1773,0.0115,1.0253,2.0025,1.1565,60.3255,17.7862,0.813,38.6851,2.7368,0.8972,0.5631,52.2075,0.5136,0.0555,71.0189,1.1327,0.0475,0.0814,0.0039,0.015,0.0,0.3586,1.4677,0.105,0.0,0.0,4.8899,1.0881,0.0217,0.1003,0.1529,0.2489,0.0269,0.0752,0.0,2.2822,0.0,0.0,9.5588,-2.5138,0.0
CRI_C25,3.6411,0.1347,0.0254,1.1737,0.0029,17.5296,0.6994,0.428,1.5113,0.0593,6.6676,0.244,3.1932,3.0231,9.4276,14.2197,4.4143,4.2762,0.3025,0.7828,0.7278,58.7924,0.7205,0.944,94.9407,21.8858,0.5646,0.7516,0.1171,0.4771,0.0299,2.2299,0.442,0.096,0.0227,0.1957,5.2875,3.1413,1.1179,1.2181,2.3935,7.336,0.1496,2.6957,0.0,30.7503,0.0,0.0081,45.3936,-25.6248,0.0
CRI_C26,0.1258,0.0077,0.0002,0.0121,0.0,0.5186,0.0281,0.0038,0.0915,0.0207,0.1328,0.0587,0.0853,0.0281,0.0794,0.1901,2.4609,0.929,0.0657,0.0379,0.0424,8.34,0.3596,0.1079,7.3862,0.7939,0.1059,0.1536,0.0443,0.0219,0.0273,0.2169,0.0594,0.6565,0.2793,0.0544,0.0515,4.555,0.1176,0.0621,0.3302,0.9037,0.1216,0.0893,0.0,113.1288,0.1019,0.1828,107.6494,-138.8308,0.0
CRI_C27,1.1456,0.0868,0.0033,0.1143,0.0003,5.0556,0.3067,0.0317,0.7258,0.3372,1.2526,0.2137,1.1878,0.269,0.2506,0.7069,2.4731,7.0681,0.5,0.1123,0.099,49.3422,0.5653,0.5327,26.9959,4.0839,0.2135,0.1741,0.0537,0.1174,0.0185,0.96,0.5122,2.315,0.6346,0.6951,0.4948,2.9663,0.2631,0.8859,0.4084,2.156,0.1166,0.2034,0.0,194.841,0.0,0.0454,134.8615,-67.1908,0.0
CRI_C28,0.4101,0.0286,0.0013,0.0623,0.0001,1.1609,0.074,0.0045,0.5244,0.1014,0.7099,0.2116,0.2843,0.3356,0.3461,0.2573,0.0693,0.6132,0.0434,0.0456,0.0461,5.7861,0.283,0.2123,6.176,0.1556,0.0502,0.0797,0.0163,0.1052,0.0112,0.1023,0.5527,0.0821,0.0321,0.0514,0.0083,1.0236,0.0372,0.4118,0.1008,1.3525,0.0051,0.1868,0.0,1.8721,0.0,0.0,111.6966,-102.2118,0.0
CRI_C29,0.3833,0.0304,0.0049,0.2973,0.0005,0.4529,0.0216,0.0037,0.0761,0.0033,0.0064,0.0077,0.0646,0.033,0.0087,0.0084,0.7694,1.3616,0.0963,0.1415,0.017,1.1951,0.2257,0.0708,7.9203,1.9864,1.1345,0.1767,0.1084,0.0738,0.0062,0.0745,0.0876,0.3457,0.0209,0.0104,0.0697,0.3795,0.1078,0.0005,0.052,0.2931,0.0246,0.0196,0.0,104.4169,0.0,0.0,103.7933,-187.3892,0.0
CRI_C30,0.0757,0.0,0.0,0.0,0.0,0.0107,0.0002,0.0,0.0014,0.0,0.0005,0.0002,0.0,0.0,0.0055,0.0001,0.003,0.0002,0.0,0.0117,0.0258,0.0451,0.0001,0.0,0.0,0.2396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,10.0031,0.0,0.0,13.4847,-10.4249,0.0
CRI_C31T33,40.4385,2.5464,0.3463,10.242,0.0238,67.9436,4.5753,1.6327,12.8786,2.2405,17.7799,2.5677,7.1099,9.2131,9.7811,5.0514,4.1868,15.2324,1.0776,0.2529,0.2484,256.3689,10.9437,5.5054,68.9378,115.4756,4.3161,5.543,2.3912,7.1376,1.0681,23.0029,19.4078,6.0394,5.5015,29.1738,11.1028,31.0763,6.1778,12.6336,24.1586,275.0114,2.5366,6.7081,0.0,485.3066,0.4179,9.1556,429.2531,-74.8675,0.0
CRI_D,33.6707,4.1764,0.0972,5.9458,0.0042,105.6212,8.5344,2.6144,16.5153,4.2568,9.6061,1.2753,19.8464,17.9889,7.9438,7.0776,2.7612,8.0794,0.5716,0.9503,0.8228,42.3288,60.9797,27.0927,15.9854,199.5289,4.48,2.0974,0.7112,7.6617,1.3902,100.3751,17.6561,27.3025,8.2977,18.85,13.3646,41.4692,8.9147,17.3058,23.8232,70.5188,3.3039,13.1393,0.0,639.6262,0.0,0.0002,2.8701,0.0203,0.0
CRI_E,26.2519,0.75,0.0054,0.1589,0.0004,34.917,1.2233,0.0951,2.3023,1.014,5.5755,0.2888,1.0037,0.5252,0.6621,1.1106,0.2231,0.5357,0.0379,0.0744,0.0905,10.1108,1.0627,28.5732,15.6435,53.7176,0.9372,1.1238,0.2225,1.5864,0.5157,25.5507,2.262,1.4318,1.1452,5.2753,6.9182,5.5434,1.8758,39.2483,7.57,37.4794,0.9515,6.5707,0.0,444.9413,0.0,0.0001,5.3899,0.0017,0.0
CRI_F,4.2073,0.1889,0.0534,2.4181,0.0047,23.7118,0.9157,0.5933,5.8084,1.2589,2.8629,1.27,3.4565,13.3251,2.4136,1.7708,0.6249,2.4337,0.1722,0.312,0.3569,20.701,8.6324,12.6137,609.566,97.1323,2.693,1.7575,0.5288,8.4838,1.2732,35.5373,6.8783,30.9065,10.0235,19.8807,94.6661,35.8497,5.7105,28.7061,44.1006,50.6003,2.7883,30.1132,0.0,83.7087,0.0,0.0,5195.524,-0.9655,0.0
CRI_G,585.1832,7.3346,0.8154,51.3605,0.0712,661.9425,22.4294,13.5367,57.1349,32.5201,116.3793,17.9052,47.2792,37.1381,20.4165,20.1742,10.5836,23.9493,1.6655,2.2013,2.0258,261.1864,61.8133,84.4722,392.6008,1522.9532,198.725,274.6089,76.4256,26.5045,9.6543,176.739,49.8395,29.9355,25.7624,18.1407,39.236,196.5889,62.7439,56.7687,46.2599,245.1606,11.6516,31.8849,0.0,3156.6456,2.8577,81.4964,605.1776,0.0824,0.0
CRI_H49,20.8519,0.6032,0.0298,1.7546,0.0026,49.221,1.3531,0.7918,6.754,3.7149,9.963,1.6303,5.0593,4.6412,2.979,1.874,0.9679,2.3011,0.1629,0.1774,0.1211,37.0806,1.5918,1.2846,51.1403,25.9789,5.8117,7.0793,2.9024,1.8221,0.9068,15.2979,4.8438,7.7736,1.4616,4.2049,4.1629,9.4479,2.1976,3.7832,3.8841,12.2455,1.0966,1.8615,0.0,504.2148,0.2096,8.1519,46.916,-0.0015,0.0
CRI_H50,77.4871,0.6584,0.1583,11.7349,0.0166,73.3118,2.5525,2.799,12.5599,6.4702,13.9926,1.5684,8.8169,19.1763,4.1095,8.0602,2.1522,8.4567,0.5983,1.0495,1.1826,61.7958,0.7962,2.2708,33.0507,236.6344,5.861,41.1332,1.9637,34.245,16.6528,8.1749,5.9359,1.2458,1.5745,0.3347,1.4833,10.045,3.2148,1.1917,6.1481,11.6586,1.6953,1.6241,0.0,116.3213,0.0567,2.5868,38.2855,70.8793,0.0
CRI_H51,2.9538,0.0899,0.0043,0.2372,0.0003,5.2361,0.397,0.0926,0.9925,0.6045,1.6616,0.2764,0.9209,0.4527,0.8991,0.4849,0.2499,0.7244,0.0512,0.0421,0.0303,4.1488,0.1912,0.1324,6.0414,2.323,0.7023,0.7675,0.297,0.2023,0.0302,1.6214,0.6105,0.1155,0.1764,0.0986,0.4704,1.2238,0.2656,0.2372,0.4103,1.9612,0.061,0.2693,0.0,31.094,0.0227,0.9358,13.7125,23.3657,0.0
CRI_H52,20.7085,0.1663,0.0169,0.9401,0.0013,25.8364,1.4092,0.4324,4.0938,1.9693,2.8328,0.6427,1.9593,2.229,0.8582,1.7938,0.371,2.1865,0.1547,0.5806,0.4714,14.4631,0.9542,1.4992,17.9963,86.4155,11.2406,28.5134,6.4315,41.9711,7.8768,4.3636,1.7281,13.9119,1.838,3.27,2.3144,9.8398,3.6127,1.6941,1.7582,10.515,0.3768,1.055,0.0,191.9041,0.0355,1.5362,10.951,2.9355,0.0
CRI_H53,1.4864,0.0094,0.001,0.0501,0.0001,3.4131,0.1843,0.0517,1.8961,0.1749,0.6913,0.2252,0.4272,0.2937,0.1425,0.2093,0.0593,0.221,0.0156,0.0318,0.0259,2.6808,0.2097,0.1741,1.9659,21.1439,0.7588,1.6354,0.3789,2.925,5.1788,1.7629,0.9245,7.6266,0.6806,9.3029,1.1807,6.9915,2.3993,0.9476,1.0035,3.3596,0.1466,1.5416,0.0,220.2283,0.0019,0.0402,0.5308,0.1226,0.0
CRI_I,2.3954,0.0164,0.0074,0.2659,0.0011,10.2806,0.4053,0.1322,0.4853,0.7431,3.1934,1.1958,0.909,0.6839,0.5497,0.2829,0.1864,0.8442,0.0597,0.072,0.0856,11.0861,2.0941,2.0754,14.4332,40.887,2.1847,2.1345,1.9788,2.7128,0.7777,5.4777,1.4229,5.5405,5.7777,4.1797,3.6731,27.1909,13.2809,6.0693,8.0703,14.0253,1.911,9.3998,0.0,1579.2074,0.0658,101.5629,0.1655,0.0155,0.0
CRI_J58T60,6.2246,0.0167,0.0012,0.0473,0.0001,13.1031,0.4474,0.0354,1.6511,0.8351,2.5244,1.3013,0.3509,0.271,0.2543,0.27,0.0422,1.9966,0.1396,0.024,0.0253,20.2458,0.5443,1.4083,4.3345,75.1987,0.38,0.402,0.1939,0.5617,1.4795,7.8743,17.0549,10.1987,6.2675,3.284,8.8827,50.7893,1.187,6.4453,23.3936,16.6914,1.5942,7.336,0.0,495.4655,0.0,0.4234,6.9819,0.0078,0.0
CRI_J61,7.8133,0.1239,0.007,0.3669,0.0008,10.0224,0.7839,0.177,0.945,0.5848,1.7257,0.3047,0.7543,0.9259,0.4346,0.7477,0.4106,0.8089,0.0572,0.1044,0.1044,13.8264,7.4774,2.0157,16.1096,65.812,4.7865,4.5283,1.6152,2.4308,4.4045,12.2584,10.6485,115.7654,14.487,19.1055,4.5357,30.6172,11.2655,16.6533,12.6432,35.8874,1.499,4.5715,0.0,907.8439,0.0,0.0,28.2256,0.3391,0.0
CRI_J62_63,0.7769,0.0907,0.004,0.206,0.0004,46.5777,0.5304,0.1017,1.4109,1.0396,2.8273,2.5617,2.1121,0.9345,0.9838,2.5799,1.5118,2.5304,0.179,0.0716,0.0759,41.3341,7.5954,8.7157,34.019,149.9586,2.8096,3.022,1.6373,7.7723,1.7771,16.4318,13.4634,110.6199,153.5514,51.2088,8.0779,239.5237,21.0109,18.0134,15.0205,63.9596,7.7447,4.9452,0.0,3.9642,0.0062,0.3754,699.9808,0.1157,0.0
