V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T,BGD_HFCE,BGD_NPISH,BGD_GGFC,BGD_GFCF,BGD_INVNT,BGD_DPABR
BGD_A01_02,8782.5938,137.0924,7.0184,0.7969,0.3475,15924.2213,1581.6805,1457.9118,488.1003,64.2051,457.988,59.8504,181.7033,33.7087,15.9546,12.6351,12.3129,9.6848,14.4415,17.1808,4.1283,178.7897,63.1491,17.1591,847.1923,346.8269,32.6717,10.3728,9.5543,12.5553,2.0459,930.6696,16.1232,20.9523,4.3843,14.6479,27.166,34.351,40.7884,131.4379,64.5721,108.9951,37.0192,84.4061,0,30006.03,4.8536,90.9155,3141.6303,-2.7761,0.0
BGD_A03,57.1792,1393.1487,1.4383,0.0925,0.0749,2554.0501,30.3255,3.1259,3.4882,10.951,16.2454,3.6876,2.8453,3.4159,2.8853,1.9488,2.6438,2.0564,2.9959,2.8362,0.6769,5.6126,2.1752,1.5572,32.2119,35.4578,6.2504,3.8934,2.4751,1.6833,0.3316,464.1792,3.9154,4.8452,1.3148,2.2415,2.6404,4.6653,2.7891,28.9577,11.1956,20.1023,5.5018,12.568,0,10090.9714,2.7207,4.6931,123.7938,-1.0231,0.0
BGD_B05_06,2.9,0.6744,10.9795,0.2152,0.204,4.6019,4.6915,0.3219,2.0139,3527.9619,17.1681,0.7754,1.5032,11.5117,13.5995,1.3642,0.8536,0.8893,1.5768,1.1189,0.4254,1.2548,101.1867,0.8345,24.5676,4.5511,6.9177,1.216,2.0174,0.7999,0.2195,0.7214,0.4613,0.7927,0.1411,0.4086,0.855,1.0571,0.5799,2.3056,1.1472,1.0246,0.3884,1.25,0,31.4442,0.0085,0.0775,164.3757,-0.9878,0.0
BGD_B07_08,1.1273,0.0808,0.432,0.5773,0.0914,0.7066,0.5629,0.0332,0.7005,4.6276,7.1385,0.2694,0.3103,69.0715,20.7005,0.5524,0.191,0.4231,0.2248,0.2135,0.0468,0.4655,1.2198,0.4541,137.8155,0.3663,0.2588,0.0296,0.019,0.0747,0.006,0.075,0.0269,0.0428,0.0071,0.0176,0.3754,0.0873,0.0744,0.4036,0.0666,0.0571,0.036,0.1162,0,3.1591,0.0017,0.0142,10.2867,-0.0678,0.0
BGD_B09,0.1637,0.2037,9.8996,0.2373,0.3589,0.1137,0.0954,0.0075,0.1368,48.452,0.6789,0.0216,0.0482,1.6816,1.2267,0.1697,0.0168,0.0194,0.0343,0.0229,0.0068,0.0285,0.538,0.0327,7.6121,0.1023,0.3044,0.0322,0.0626,0.0804,0.0044,0.016,0.0172,0.0232,0.0053,0.0159,0.0799,0.0801,0.0434,0.0673,0.0212,0.0198,0.0113,0.0254,0,0.5653,0.0006,0.0057,85.4303,-0.006,0.0
BGD_C10T12,2609.6099,254.23,2.8477,0.4109,0.1839,5427.3296,371.559,4.0654,56.9721,63.863,484.1739,88.1032,28.0586,21.7887,13.3697,9.1262,10.507,8.7571,11.3242,11.3416,2.5727,25.9338,12.6924,16.1086,135.5585,243.418,24.7362,20.2657,13.8407,9.459,1.814,2365.8121,24.1026,17.2382,5.2149,16.6143,21.5772,29.8108,28.0649,209.9362,185.177,247.8148,59.1769,148.9905,0,29734.8219,3.6049,9.9938,211.9825,-1.9013,0.0
BGD_C13T15,47.6475,14.6608,5.9747,0.3789,0.3574,73.5096,11181.5978,8.5701,49.1035,40.2891,42.5529,15.356,60.763,37.806,21.1095,22.0726,27.165,20.5714,32.251,90.9153,12.338,183.7255,12.3169,16.2472,321.8884,137.8642,26.8368,5.927,10.4587,7.6915,3.6458,26.4404,14.226,15.1135,3.2564,8.0715,7.9626,27.8208,25.4809,99.8089,25.9439,78.5476,24.1053,117.0084,0,7275.7068,1.5234,4.6221,386.7494,-24.5808,0.0
BGD_C16,20.262,1.7814,0.7937,0.1483,0.0519,20.7731,25.9944,256.0681,67.2805,4.6681,12.7709,1.341,13.2967,39.1408,9.9214,19.9059,6.0008,13.7174,11.9954,26.0711,9.0238,359.9317,11.3783,2.3988,1917.7748,29.0559,4.2432,0.7413,0.5473,3.2356,0.3247,3.2456,2.8095,1.5621,0.4721,0.9825,22.0569,4.6561,4.3098,4.907,4.6949,3.652,2.6567,26.0316,0,328.3658,0.2257,0.3566,226.2626,-4.4362,0.0
BGD_C17_18,43.1505,7.7566,2.3676,0.4301,0.1838,392.6154,320.2286,22.478,1975.4228,31.3174,146.1598,64.4922,105.7493,157.9084,23.3587,31.4063,69.7817,63.1194,38.9927,40.4765,6.6202,126.2731,14.0123,16.407,197.1678,305.3254,30.374,4.6087,4.749,20.3834,15.0072,29.181,543.6509,49.6623,23.6085,75.9855,25.332,136.8765,62.7786,175.6603,136.1986,67.7703,30.5984,91.4206,0,1548.239,0.6203,3.4162,234.5564,-3.1223,0.0
BGD_C19,455.8468,144.5698,41.9582,7.6977,3.6758,123.7439,208.4685,20.3797,61.9128,4937.8994,605.2339,32.107,91.6803,351.082,225.003,47.7,36.076,59.8712,39.0751,60.2855,13.3801,98.7124,219.9085,90.8415,1430.6925,405.7607,1709.0577,300.2232,572.3191,93.9151,30.5673,29.9154,24.4594,42.6744,8.2261,39.3501,33.468,66.8721,67.528,221.9221,56.6251,77.3061,25.0083,129.7699,0,6300.5231,0.1558,4.285,307.2326,-5.0984,0.0
BGD_C20,685.5112,14.2446,28.4058,2.8414,1.4294,149.2952,773.6372,50.0518,277.8592,1157.4307,2392.8522,200.9759,1231.636,301.3424,118.2677,94.0599,104.2103,186.7371,75.9824,149.1516,29.9858,200.1349,34.8034,48.291,903.8435,98.2764,31.6929,5.4543,7.4162,9.2759,1.3524,18.8956,39.1445,8.8776,3.6384,5.2707,31.759,35.9583,30.9887,40.7039,25.9769,157.1016,11.762,108.0147,0,1854.365,0.6562,5.1159,186.2873,-3.3548,0.0
BGD_C21,38.9117,1.7541,1.0064,0.0747,0.0407,20.7301,23.4562,0.9246,4.4558,10.6436,39.7325,334.7289,12.9036,4.3618,4.3082,1.9994,3.7436,3.0451,4.5039,2.3721,0.5976,8.1915,0.9589,1.0585,22.768,10.0362,2.2141,0.7584,0.8892,0.7077,0.2517,1.6018,1.527,1.5168,0.3369,1.0392,0.8047,12.6806,1.4614,15.4633,6.686,512.1419,2.5493,9.1855,0,1478.5558,0.509,55.3966,113.8831,-2.8015,0.0
BGD_C22,50.1228,7.4768,8.0037,0.6216,0.3158,225.5097,315.8989,12.4421,83.0698,61.6003,131.7763,41.6181,533.1839,88.9647,23.7212,55.9316,139.7269,150.8463,117.5157,321.7695,37.612,182.0905,7.3375,22.014,1533.5161,167.6362,98.1475,2.9674,5.2076,12.6038,2.8467,12.3394,13.913,11.3293,2.8704,5.6697,16.6183,20.2106,14.5367,23.9884,9.9199,27.1019,4.7079,48.5616,0,832.7018,0.0442,1.0691,333.9392,-9.9792,0.0
BGD_C23,19.5153,1.736,2.886,0.8401,0.3821,61.8545,32.7964,7.2464,6.3949,17.7327,38.6327,10.1268,28.7495,735.9714,47.0772,30.3242,28.9156,37.9945,22.7045,61.4809,8.0781,32.3414,9.5289,7.2634,4737.9749,29.6382,8.0678,1.5246,1.5678,3.0213,0.329,6.1732,2.3165,4.9332,0.7108,1.9337,31.7136,9.514,4.191,9.6249,5.7603,8.8513,2.2478,12.1967,0,620.2073,0.078,0.8117,366.3184,-7.1566,0.0
BGD_C24,6.8325,0.5182,18.2508,0.4779,0.6452,12.9326,22.4035,3.9243,11.941,20.2992,36.9414,3.3085,43.4504,96.0502,2261.0984,1120.9194,182.715,711.6521,576.3528,486.6227,111.9287,270.2198,8.9037,29.9721,2031.9237,26.211,7.3115,1.3672,0.7836,2.9302,0.0773,0.822,1.3573,2.2975,0.4224,0.8988,5.8695,8.486,2.52,3.7754,1.5728,1.7919,0.9096,15.7339,0,20.0911,0.0322,0.4369,710.5192,-10.4947,0.0
BGD_C25,22.9725,3.9308,16.2568,0.5983,0.6608,56.7195,62.775,10.2723,11.8168,39.117,35.3284,5.6657,33.9396,50.7544,101.7537,271.7478,60.2254,99.7408,222.558,201.0055,49.8059,125.0851,10.8723,10.1225,1495.129,38.1328,13.7265,2.8421,2.7933,6.8279,0.5543,4.1955,3.2124,8.8133,1.4216,1.9627,10.3367,11.9947,7.4609,26.1077,5.8013,5.8167,3.2724,33.7197,0,480.7363,0.1913,1.541,1684.0729,-82.8478,0.0
BGD_C26,5.4699,1.2962,1.444,0.079,0.072,8.9332,16.2467,0.799,4.8343,10.5008,6.6494,2.352,4.8353,4.8295,4.1858,7.431,503.3526,55.4466,31.2621,28.9653,9.835,27.3108,6.1748,2.6074,107.9902,26.1228,5.7913,1.4242,2.6518,2.8542,0.9662,2.1119,9.295,68.0732,9.2424,4.7241,2.1438,15.1794,5.6314,15.6758,7.2035,24.3797,3.0756,56.1605,0,791.6522,0.2741,2.2903,2935.4632,-288.0011,0.0
BGD_C27,6.4286,1.58,2.0477,0.1558,0.1317,9.2935,16.985,1.0647,4.4755,9.3228,7.3351,1.8335,8.7454,9.8343,17.2923,17.3493,173.6492,344.1454,91.3922,98.9849,17.728,57.3622,36.0094,4.8667,709.8201,36.5233,10.8488,1.9023,1.8986,3.0888,0.4494,2.7639,4.8164,31.2273,2.717,2.028,5.8836,10.5815,5.4071,11.5756,3.7743,5.9709,3.2265,39.4477,0,743.8757,0.1303,0.4782,1958.8125,-88.2185,0.0
BGD_C28,24.9423,3.7935,11.9779,0.782,0.5823,18.3933,34.4496,2.9062,12.3625,40.1526,16.9103,3.3589,12.9311,26.932,20.8079,28.2616,29.4532,41.0509,242.5292,82.326,20.5989,63.2344,17.4398,6.1551,351.7406,27.5016,16.2621,3.5131,4.5251,4.707,0.5884,2.2807,3.4553,8.0902,1.3638,2.2396,3.4226,8.156,6.9502,11.0809,3.0413,5.5484,2.1718,15.7228,0,275.1195,0.1302,0.6092,4334.9313,-432.0461,0.0
BGD_C29,5.9257,1.1009,1.61,0.1325,0.078,7.7589,14.1191,0.8552,2.4889,6.4899,4.879,1.199,7.3359,7.6475,30.4158,15.1307,12.3888,20.1544,29.0517,839.3472,7.63,23.3527,2.134,4.641,76.5702,106.1617,47.4077,1.0282,1.259,4.4526,0.8045,1.2699,1.4214,2.9952,0.5725,1.3638,1.2852,3.8436,5.5049,7.1465,2.0911,2.6266,1.0621,10.2251,0,1759.2399,0.2199,0.8334,4461.9378,-289.1993,0.0
