V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_A01_02,22726.9836,299.9233,69.2751,40.6392,0.6602,6640.3917,899.2957,370.6126,79.4852,14.2551,325.5601,108.3509,151.4689,11.9844,7.5597,8.7841,10.5697,5.4723,8.711,12.7951,2.4506,129.1943,46.698,7.3324,298.1238,1225.7166,35.7811,26.1594,9.8502,25.7822,1.2087,845.2713,18.5558,23.0132,5.7385,26.1624,89.4749,102.6556,173.6079,411.4828,204.2523,308.3224,77.267,117.2228,0
MMR_A03,145.9973,4292.8768,12.6563,5.9533,0.0983,1019.7187,14.5373,4.8894,2.1315,2.1181,11.8012,4.451,1.4618,1.5648,1.2751,1.6308,1.9094,1.299,1.7998,1.8755,0.3598,11.3261,1.4572,0.4548,10.443,132.6289,6.351,11.0021,2.4979,3.0495,0.2279,478.6023,5.2615,9.2745,3.6671,6.7751,11.1144,12.3369,6.1074,95.7852,33.1603,57.8074,12.0091,15.9078,0
MMR_B05_06,7.6496,1.8151,266.8695,21.0896,0.6662,2.1839,2.075,0.7148,1.9831,1255.2647,9.241,0.7345,1.0087,10.0828,14.0646,1.8883,1.2705,0.8735,1.7708,1.3829,0.3787,1.5965,113.339,0.5353,14.6835,14.0294,14.3012,3.9573,5.7494,2.6088,0.424,0.7537,0.6284,2.1545,0.3346,1.583,4.3436,2.999,1.7248,4.9624,2.5839,2.1211,0.6399,1.2268,0
MMR_B07_08,9.6655,0.8466,87.742,384.8229,2.5747,1.6501,1.2803,0.4865,2.5701,23.5209,28.8688,1.4981,1.391,255.8611,507.2377,10.6343,2.1734,5.3211,2.2231,1.8739,0.4329,4.422,10.7953,1.306,352.5609,5.4618,2.4482,0.3086,0.2236,1.7218,0.0476,0.3722,0.1952,0.6489,0.1067,0.3938,8.3381,2.084,1.4876,4.7791,0.8177,0.7224,0.4101,0.7982,0
MMR_B09,0.0531,0.0337,23.0983,2.6831,0.1563,0.012,0.0083,0.0026,0.0153,2.3806,0.038,0.0028,0.0055,0.1924,0.2034,0.02,0.004,0.003,0.0066,0.0046,0.0011,0.0065,0.107,0.0072,0.7261,0.0414,0.0617,0.0088,0.0138,0.0242,0.001,0.0033,0.003,0.0082,0.002,0.0072,0.0454,0.0335,0.0175,0.0239,0.0062,0.0061,0.0025,0.0034,0
MMR_C10T12,2221.0083,200.9766,29.9349,14.751,0.261,803.5032,83.7517,3.7467,20.6375,12.487,109.879,46.1411,7.9243,7.1058,4.1111,5.009,6.6024,3.6447,5.5396,5.5044,0.9227,16.5977,6.5495,2.9404,34.3583,360.8861,20.9102,34.1678,18.0881,17.8174,1.2433,723.8439,22.3335,23.3629,8.3601,37.299,39.3129,45.9214,39.0207,231.9557,205.3038,237.8584,54.4365,61.1354,0
MMR_C13T15,32.1096,13.5046,69.3879,16.2693,0.6549,7.6945,2124.6898,6.2386,17.5504,4.3872,6.3396,5.1001,17.052,10.8234,5.6621,10.1222,14.7793,6.8534,11.1643,46.5431,4.662,108.1399,4.8501,3.5906,68.9528,168.3526,17.5437,5.7965,8.597,10.6145,3.3057,10.082,9.3253,16.8997,3.1863,15.2891,13.9435,42.5324,38.1914,127.4,30.457,76.2094,19.9349,57.3849,0
MMR_C16,11.7508,1.33,6.7489,6.559,0.0637,2.6308,3.5179,210.3233,17.2209,0.6225,2.1336,0.521,3.2993,10.4359,2.7014,7.9659,3.1073,4.1612,3.976,10.514,2.8111,147.1011,4.9753,0.3632,335.956,24.557,2.4918,0.6055,0.3271,3.2006,0.1719,0.8051,1.5851,1.4182,0.4095,1.165,35.406,4.7632,3.411,3.3817,3.2667,2.292,1.2295,6.7653,0
MMR_C17_18,9.1655,1.8371,7.7031,4.5196,0.0762,14.4098,13.4,6.9089,248.2908,1.4633,7.9956,7.9252,8.3849,13.7398,2.5848,4.93,11.7655,7.258,4.7154,5.2661,0.7061,17.9772,1.9171,0.8852,13.1699,100.0856,5.8007,1.4613,1.3531,7.242,3.0229,2.6497,89.2938,19.8797,8.8021,44.1725,13.2702,50.5716,21.8327,45.1625,34.6236,15.6303,6.484,10.6674,0
MMR_C19,117.7975,34.6564,163.5384,110.1581,2.3465,6.1774,10.9319,7.7595,9.0629,268.0698,46.4245,4.8591,11.3321,42.1289,27.7769,9.7692,7.737,8.5791,6.3944,9.7264,1.822,17.3879,37.0351,6.1727,128.2695,168.7832,450.4036,130.0188,213.8348,43.3609,7.6908,3.5807,5.4839,18.561,3.5386,24.2183,22.0236,31.1694,25.7514,70.4821,18.768,23.274,5.6414,16.194,0
