V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,1505.5463,0.5476,1.0525,15.302,0.0004,5934.4011,66.3033,118.7314,0.3154,0.0585,11.4051,5.3882,11.8106,0.2816,1.1496,0.0265,0.001,0.0028,0.0528,0.0081,0.0025,188.9212,0.2738,0.0321,2.5389,1.2276,0.3766,0.0004,0.0203,0.0138,0.0038,934.0889,0.0068,0.0701,0.0051,0.7161,0.037,0.1686,0.0491,18.0258,0.9405,3.8987,0.7887,48.6134,0.0
PER_A03,0.794,22.9184,0.0444,1.0937,0.0151,994.0393,0.0617,0.0022,0.0787,0.0091,0.2317,0.0127,0.0568,0.0378,0.0921,0.1133,0.0038,0.0038,0.1486,0.0022,0.0007,0.4009,0.0803,0.0352,1.4728,0.4179,0.1949,0.0094,0.3015,0.0419,0.0006,106.9803,0.1167,0.6032,0.0063,0.1348,0.001,0.2228,0.2698,4.2615,0.2412,1.4972,0.2119,2.9458,0.0
PER_B05_06,41.8838,7.7892,76.106,124.8964,13.7417,131.1639,3.8739,2.7678,7.0499,2718.4378,17.6404,0.0536,9.8916,1482.5144,162.1582,16.5406,0.0135,0.4141,1.0877,0.2702,0.0993,3.0785,528.3769,24.2761,14.9432,8.1093,102.4564,0.5876,8.1436,4.9503,0.8765,9.748,0.8847,1.1523,0.0194,0.8474,0.0404,5.398,2.3604,19.6418,1.3417,1.8481,0.5965,9.9603,0.0
PER_B07_08,23.5563,0.2954,75.3111,193.8165,0.6671,23.5003,2.526,0.1052,0.5124,0.3676,21.6272,0.4065,0.6389,258.1769,517.2615,1.3981,0.0617,0.7843,1.4445,0.634,0.2328,40.0675,42.8266,15.454,873.6476,2.3938,1.5579,0.0032,0.1255,0.2335,0.0209,5.5497,0.5077,4.3144,1.3587,3.8974,7.7999,3.5775,2.1052,74.959,1.7287,3.3369,0.4578,5.7766,0.0
PER_B09,0.5679,0.0083,212.2727,261.9547,1.8207,0.3192,0.0951,0.0059,0.0784,0.3459,0.1116,0.0181,0.076,0.0531,8.8957,0.1675,0.0026,0.0043,0.0535,0.0811,0.0266,0.0384,0.266,0.0445,8.6397,0.5174,0.2289,0.0072,0.2402,0.1138,0.0158,0.2188,0.1413,0.7654,0.0266,0.4489,0.0485,0.7045,0.5755,0.7728,0.3147,0.4475,0.2183,0.163,0.0
PER_C10T12,494.2487,9.5382,4.8236,37.7662,0.2454,2650.9753,27.0149,1.4321,14.6331,0.8054,54.918,8.0087,16.6943,1.8396,4.3047,3.6516,0.1449,0.2947,6.7713,1.1801,0.3022,39.5743,3.816,1.0975,27.102,13.3199,3.9192,0.1351,4.2771,0.9611,0.0431,3191.2124,1.9362,9.2236,0.1189,4.8018,0.9809,4.1251,5.4599,196.9885,13.7591,16.4883,26.4813,126.8787,0.0
PER_C13T15,18.7183,21.3616,2.9872,9.9653,0.1379,45.5027,1228.9821,3.5231,15.8794,0.5722,15.5199,7.478,19.0188,2.2042,1.437,5.2878,0.0636,0.0941,0.651,0.5715,0.2157,141.5,0.5454,0.178,45.5121,11.8935,0.6176,0.0014,0.0534,0.0817,0.0081,71.967,5.3927,0.2511,0.0149,6.4608,0.0586,56.1118,32.736,31.9301,5.0123,25.4984,4.9842,12.5283,0.0
PER_C16,8.0048,1.3476,0.3766,32.008,0.0003,6.0363,1.875,128.4725,7.6063,0.0002,4.5313,0.0026,5.6065,2.2979,1.8805,1.64,0.0002,0.2232,0.0002,8.8617,3.1427,152.4406,0.1979,0.1397,525.0453,0.5484,0.0543,0.0001,0.0039,0.0029,0.0007,1.4859,0.0005,0.0087,0.0003,3.4866,17.9527,1.9529,0.2802,42.9718,0.2919,1.1986,0.1551,14.226,0.0
PER_C17_18,32.2189,0.6229,0.3373,15.0774,0.0453,291.1172,18.2717,4.1991,876.557,0.2757,29.4889,6.1385,23.8012,16.3326,0.5128,13.0555,1.6583,1.8526,2.5856,5.1423,1.5985,49.3297,18.2551,3.1499,20.6753,161.8285,2.941,0.0025,0.2153,4.8753,0.3786,63.4283,181.9997,79.4254,1.5627,142.5082,30.5137,299.0919,122.9365,221.1182,159.2761,11.9344,22.6357,59.1042,0.0
PER_C19,45.4829,158.6844,56.3744,1244.2599,2.1865,329.5942,30.3843,5.558,27.0228,79.3378,46.3546,1.2498,9.6685,44.6255,88.8775,26.2353,0.3298,1.2201,7.3928,6.2868,2.2651,54.7046,150.5282,22.794,268.5283,144.7765,2019.2231,12.1034,160.7361,102.8737,18.0193,81.4814,3.9117,19.1037,0.4026,24.8858,1.2316,109.2928,46.4041,392.4239,31.6972,40.4007,12.8633,27.7272,0.0
