V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_A01_02,2773.6822,21.9369,31.3264,92.6389,2.0419,6960.5918,410.5198,542.0218,14.2395,27.751,98.8416,26.3713,90.1024,8.0986,12.625,11.4173,13.7536,3.2466,12.9716,18.4447,9.2761,50.6134,31.1781,43.1282,15.3427,153.9933,24.854,4.4959,16.8053,36.8629,2.5869,226.5619,51.5789,40.984,48.7016,84.6956,38.7054,64.1188,67.6658,133.7778,13.0451,67.309,84.1848,29.7347,0.0
ZAF_A03,41.0001,185.8784,0.0545,1.6674,0.0,233.0685,0.004,0.0014,0.1158,0.2491,5.0968,1.2255,0.0,0.0,0.0,0.804,0.0,0.0,0.0245,0.0,0.0,3.1664,0.8206,2.2165,0.0,2.7592,0.519,0.3939,0.8847,0.3774,0.005,49.749,5.7268,0.9075,2.8427,0.0,1.9511,2.9915,3.4175,16.3053,1.0508,7.3489,12.5292,9.2414,0.0
ZAF_B05_06,20.0613,1.7746,34.5985,821.8186,2.9427,54.5426,6.2936,25.8093,74.2523,2222.9523,105.4152,4.3527,7.0613,256.689,44.4493,2.9997,0.3508,21.877,2.9086,0.4432,1.3446,120.7292,2152.2541,2.8146,184.0135,0.0,12.485,0.7278,10.1774,17.8147,0.3569,12.7124,4.3891,32.6733,0.0,0.0,18.7952,0.0,0.0,3.657,3.2854,28.4455,14.6402,6.1477,0.0
ZAF_B07_08,143.6911,0.0,76.5994,824.0924,1.5622,50.3087,10.9574,13.3598,15.1927,512.8298,448.5295,36.2159,382.062,956.9429,6874.241,2220.7658,268.182,806.1137,1815.2634,3124.3327,121.9841,996.2215,100.2667,36.3152,2082.7021,0.0,77.4977,3.2362,43.113,75.8461,0.7668,1.2583,6.8119,135.7961,0.0,0.0,91.7251,0.0,0.0,15.8525,1.1802,3.2477,9.5465,44.6385,0.0
ZAF_B09,0.0,0.0,365.3582,6.0229,286.3917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,311.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,1361.3988,42.093,16.2286,119.1268,0.2293,5951.3371,7.0496,0.8634,11.2693,13.8322,236.1756,49.0697,13.7592,1.5569,2.8626,27.2724,0.1927,0.7019,2.2308,2.7492,0.1496,16.7467,12.2677,44.5318,7.663,95.1092,10.8396,16.7071,25.3836,34.8078,0.7018,1126.8978,167.116,108.6011,73.8567,2.64,50.7159,76.727,86.7879,244.4583,5.6632,191.8786,326.8325,107.2579,0.0
ZAF_C13T15,24.536,3.2135,31.5569,87.011,0.2495,16.9997,738.7128,2.7876,10.5759,0.7676,13.4689,3.1941,21.2077,1.5461,0.5131,4.4286,2.287,0.7707,7.1634,64.4351,0.9061,36.9133,1.5606,25.6507,73.0354,20.2728,3.0976,0.3985,8.7203,26.3877,0.5355,8.5913,10.755,67.5142,0.9526,0.64,1.079,0.9986,1.2068,26.236,1.0889,25.5711,20.0976,13.4646,0.0
ZAF_C16,383.0307,1.543,48.3201,269.9565,7.4171,53.0222,9.3974,266.5046,20.105,4.8133,53.1118,6.0998,8.8986,19.8545,0.9621,11.0079,1.0365,1.6712,5.1852,10.9585,0.8094,50.4722,0.6011,2.1138,377.8724,17.8713,1.6624,0.0169,31.0021,41.1777,0.3463,2.6574,2.6658,0.1668,1.7733,1.6725,54.4404,1.7744,14.3355,14.1089,2.1648,3.3306,0.0917,0.8077,0.0
ZAF_C17_18,119.0152,4.616,18.4002,53.3289,0.2524,476.5587,30.3408,27.5687,2401.0893,10.9838,118.0543,39.9148,108.8678,23.6538,18.1672,12.6789,14.079,12.2689,50.0735,36.6954,2.9256,16.4014,33.1277,55.0376,55.3994,242.3343,23.2775,0.7283,33.7503,61.9834,6.6372,53.8965,562.4774,56.6538,9.6126,206.1794,18.5685,81.523,208.899,270.574,561.6259,94.9917,74.5929,29.3915,0.0
ZAF_C19,779.2824,31.3228,617.635,1627.5563,64.7965,399.8993,50.4824,52.2067,77.2243,4718.5945,719.1354,65.3828,117.4192,119.6971,96.1408,57.4207,24.7618,20.0045,63.6401,91.6118,8.4659,98.3635,1107.6749,327.169,867.2702,1039.4736,3012.4884,69.6702,918.0781,743.2358,175.6404,86.9852,13.8959,158.7024,13.9884,156.7276,301.4038,83.5718,150.7001,505.8736,1.7076,205.5301,16.9321,27.5749,0.0
ZAF_C20,1122.4113,0.1403,39.0934,1562.6429,8.5163,125.3464,247.2677,29.2602,272.2777,209.2815,2607.3258,262.4286,502.5687,57.4141,9.53,24.5128,2.1722,9.0318,32.8826,85.2631,4.2007,30.23,7.2224,96.7972,255.108,182.3736,6.8704,0.5004,0.188,105.698,4.2993,25.9101,30.9658,0.4947,102.3759,13.6114,76.5863,94.4104,121.5144,109.3246,6.2886,104.2932,1.6369,33.7169,0.0
ZAF_C21,41.3922,3.2165,3.9675,11.6231,0.0,8.8611,0.9132,0.0,0.0,0.0,15.921,83.3129,0.0,0.0,0.0,0.0,0.1928,0.0,0.0,0.0,0.0,0.8945,2.0631,3.1463,0.0,4.9622,0.1073,0.0038,0.0636,0.1041,0.0001,0.0,0.0017,0.0018,9.7194,0.0,3.1119,7.7814,7.8464,46.9196,0.1937,661.8198,0.0056,0.8738,0.0
ZAF_C22,325.639,2.1282,32.6279,130.9278,0.0317,496.5147,50.7594,25.1519,149.603,13.5364,111.5852,31.6777,108.0912,54.0591,5.1814,35.2528,50.1591,24.5668,57.9535,122.2713,6.6903,37.7717,7.442,209.3382,482.5116,67.4008,114.5424,1.7628,9.3001,15.8918,16.1501,7.8952,32.8617,11.9649,1.8593,14.2932,24.9418,5.2487,14.8817,34.6431,11.3789,41.3978,1.7847,2.917,0.0
ZAF_C23,157.8924,1.7721,6.2835,36.895,0.0043,231.6512,1.7961,12.9037,1.8369,1.8445,41.2804,13.3435,17.1519,346.0348,12.6613,24.9859,66.5024,9.0776,18.5666,55.4688,43.3725,4.524,5.0362,7.3712,2367.9822,10.3883,2.1349,0.0357,44.7724,1.3326,0.4312,13.8499,1.2064,0.7504,0.8039,4.3816,495.9775,0.7129,0.9048,72.4483,2.734,10.9119,1.7129,12.675,0.0
ZAF_C24,128.9243,0.8439,45.7103,385.063,1.0896,19.5654,11.8513,5.9499,19.4304,197.973,42.3633,4.4948,369.3531,10.2605,3143.9819,1460.3309,213.6043,772.1438,1356.4615,1052.9848,73.5975,493.9898,69.1862,39.0663,1144.0096,8.5193,51.3932,2.1761,26.9216,43.4316,1.3197,0.948,5.8114,92.1349,1.5133,2.6576,5.456,1.8281,2.2758,13.4162,2.7516,6.2178,5.6439,33.6806,0.0
ZAF_C25,525.0986,30.5594,240.0802,787.3289,0.2092,429.8248,119.1568,38.3631,29.94,72.9589,108.5617,17.9341,64.5716,37.1801,64.7851,294.9348,33.046,38.5734,231.7397,187.7353,38.194,68.9914,32.9621,32.5235,1864.196,87.9441,11.2627,0.3413,4.7352,14.2467,1.8188,14.222,11.7699,16.473,7.4221,88.4513,169.8533,7.2006,7.8822,53.8343,92.4571,22.7194,8.898,8.714,0.0
ZAF_C26,3.9573,0.4597,10.1888,40.8295,0.0287,5.1636,1.0723,0.3259,1.3705,1.0116,1.9549,0.6349,0.7268,0.7839,0.3624,1.4959,44.236,24.2503,7.0332,6.8084,0.8972,1.0504,0.8444,14.5294,68.9124,27.5106,4.722,0.1968,2.4867,13.7331,0.2528,4.4019,3.7566,313.2615,6.0689,12.4969,6.1757,12.3743,6.0241,5.467,1.3999,134.7468,3.6851,4.9311,0.0
ZAF_C27,21.2864,3.1797,44.8032,278.3931,0.2466,36.5732,6.5673,2.0993,10.9235,7.4686,14.0634,2.889,5.4436,6.2219,7.5793,9.7,84.177,174.8928,46.112,56.5002,6.9805,7.0532,6.7485,10.3907,553.9533,175.7365,14.7341,0.7952,10.7802,92.7367,2.1408,36.8939,24.2533,166.4059,10.6963,81.5494,34.9776,56.8878,26.5008,28.0638,8.6305,69.4858,30.5317,7.6955,0.0
ZAF_C28,185.5071,5.332,76.3108,682.2617,0.0636,84.2165,33.0435,6.371,68.2266,10.4973,45.8944,9.1155,19.581,9.6034,19.0846,51.5509,9.956,23.8385,370.7532,139.6414,18.1925,18.3228,4.2833,13.0265,267.3857,143.9028,28.5433,0.8635,14.957,26.9485,1.2577,3.8321,19.762,60.7386,65.9427,13.3927,21.9539,89.5054,69.2141,27.083,14.6123,12.7876,9.4874,3.2587,0.0
ZAF_C29,149.3965,2.276,18.783,136.3214,0.0099,53.3321,114.7335,2.9005,5.9899,1.5556,14.8712,4.1304,13.6891,17.9649,2.9822,7.3451,9.0186,20.9612,91.6928,3281.2323,92.6228,9.7196,3.6535,22.624,159.4029,34.7179,238.872,0.7453,83.7595,22.5406,13.9373,3.3951,3.9774,38.5085,11.4599,8.67,23.0495,18.6519,40.5498,39.0842,99.5926,11.4981,5.4894,2.8141,0.0
ZAF_C30,7.295,3.5411,3.0823,35.061,0.0146,0.9745,0.8315,0.5392,0.5614,0.0882,0.92,0.2203,0.2684,0.193,0.5855,0.8981,0.4662,1.5431,15.0191,68.9169,81.4363,0.5506,0.0561,2.5793,5.0687,6.4147,74.8249,20.3572,1.4285,17.3011,0.0745,0.2257,0.5137,2.9667,2.9471,0.4683,0.4386,4.3653,3.1302,1.9714,0.2806,5.5503,0.6952,0.2761,0.0
ZAF_C31T33,41.1325,1.3933,13.1602,82.0363,2.1928,38.3762,20.4345,12.3895,12.3154,2.8136,10.043,2.3915,7.433,4.0396,34.7275,30.4512,4.3806,4.2442,14.8908,11.5472,1.2212,55.1317,44.6325,17.3024,82.3698,85.247,14.784,0.2474,7.5381,24.7554,2.8265,4.4336,43.5067,26.0368,41.528,183.752,46.4008,83.5424,54.6859,62.9582,91.4552,38.4768,69.5687,19.2502,0.0
ZAF_D,710.8766,3.8548,325.1437,1858.3662,14.5853,324.0768,57.2657,44.8328,55.5717,158.3739,207.3907,27.804,71.98,44.9265,271.2386,50.9281,6.3018,10.5941,34.5646,25.2382,7.9208,21.4351,1820.1657,609.977,46.2994,1237.4526,488.0618,23.7404,8.3305,387.1609,30.8189,469.1134,30.4093,114.8876,28.6336,278.9783,726.8596,115.5825,99.6873,1121.4543,192.2501,479.4293,64.9426,25.2066,0.0
ZAF_E,84.8022,0.6045,36.6955,162.1035,0.2912,177.3771,11.1545,8.762,12.1645,27.5975,56.4585,10.2914,15.4514,9.2142,56.0885,11.1732,1.5909,2.8633,8.3846,6.6528,1.7679,4.4593,222.5633,280.785,11.3797,233.173,90.5585,4.3508,2.8899,97.2911,5.9158,84.0476,4.6964,28.1933,5.6949,29.059,108.368,21.6577,21.5092,208.3137,21.9816,165.7925,15.8207,4.8429,0.0
ZAF_F,72.1138,1.3154,201.7807,879.9646,6.0846,92.1363,12.5505,4.4973,32.4277,17.9073,34.8093,9.9184,8.3666,14.437,6.3853,7.9401,3.1883,3.0362,13.3869,15.3725,3.236,11.0086,40.6611,61.0072,47.1358,534.8458,52.9337,4.2106,35.6554,63.2616,7.4731,104.3193,31.0607,221.2004,58.373,365.1548,1272.993,179.2734,159.3218,1295.9858,422.0859,382.9617,42.5201,21.4963,0.0
ZAF_G,2044.0803,101.7729,726.7376,2776.9044,52.9722,3078.4253,457.5402,131.7448,706.7839,2343.7014,1227.159,239.5312,351.339,274.0894,548.1754,364.9291,147.8151,221.7462,449.3978,1332.5833,81.7964,226.901,971.0756,568.9437,2149.6322,2228.0009,1489.9948,51.8538,513.6996,618.375,93.6102,652.7364,290.4328,790.8879,444.6687,1053.6194,563.6404,754.5001,652.7778,1439.6554,432.7837,705.3024,240.6937,157.1502,0.0
ZAF_H49,544.4182,18.1354,743.9492,1052.1699,10.2727,779.8666,91.9844,50.0371,240.9258,672.9937,389.5732,52.5781,112.113,167.2164,205.0038,118.5772,38.4099,64.8658,142.8571,237.573,21.3358,83.3726,227.3459,82.8029,582.39,1101.3513,557.6386,6.7428,106.5636,507.5659,122.4361,89.5197,77.65,94.5198,45.668,123.0931,98.9294,186.0483,239.8847,299.7287,88.2744,131.8101,39.3675,38.5041,0.0
ZAF_H50,0.1421,0.0004,0.0006,0.0007,0.0008,0.0601,0.049,0.0004,0.0431,1.1955,0.066,0.0046,0.031,0.003,0.1665,0.0427,0.0488,0.0981,0.087,0.9544,0.0066,0.0514,0.2895,0.0403,0.8604,0.0009,0.0004,0.0003,0.0252,0.0003,0.0003,0.0225,0.0117,0.2184,0.0022,0.0082,8.3607,0.0017,0.0013,0.0004,0.0374,0.2492,0.0293,0.0063,0.0
ZAF_H51,59.8027,1.6238,81.769,147.0298,1.903,92.1618,16.5624,5.055,25.9049,125.5949,59.6009,15.7331,14.2772,20.3085,16.4818,9.1558,7.3954,8.785,19.2381,45.2835,5.448,12.2869,31.0779,11.7883,56.823,174.504,40.7681,0.7329,59.9184,158.1105,38.258,14.7757,16.088,31.2767,21.1973,59.1712,9.1959,95.529,183.7322,111.4255,12.8919,36.7993,10.1307,10.572,0.0
ZAF_H52,100.6506,7.5286,210.5509,390.7306,18.9778,433.7209,55.1255,28.1605,126.0234,180.4773,185.3812,40.7346,42.3284,66.5859,54.9573,51.5533,19.7255,24.3822,80.8513,97.8687,13.5358,46.8094,101.5212,84.3909,428.4995,2024.0701,392.194,21.6418,464.5025,1094.3668,49.2292,378.676,104.2058,804.9659,359.1792,83.0665,532.9771,958.3307,923.459,242.8826,417.8329,321.0646,106.0442,92.7134,0.0
ZAF_H53,1.4127,0.2938,4.0768,4.4211,0.5841,48.6709,21.5059,0.8771,9.1418,1.1911,7.1168,2.5971,3.3476,2.5565,0.9615,1.5685,5.4198,2.0784,6.1941,6.6153,1.0192,13.0627,6.3122,4.2603,5.9721,384.1299,6.7116,0.8283,1.3632,122.9331,54.23,9.7582,10.7917,147.5114,11.4971,132.5028,13.1656,137.4909,330.3501,39.0597,0.2359,30.078,5.525,9.4227,0.0
ZAF_I,0.8857,0.1499,21.2622,11.554,0.714,11.1739,4.2172,1.1526,3.4265,2.7074,7.7219,3.2761,2.9006,1.7275,0.6621,2.4373,2.5301,1.1029,6.1918,2.8725,1.0007,2.8808,21.9686,5.7828,19.1563,108.797,11.7181,0.6385,30.7458,61.7848,1.7127,16.6786,6.1519,14.8172,13.5709,108.4302,2.1791,66.5754,62.1668,453.584,1098.5439,104.2463,6.008,9.3816,0.0
ZAF_J58T60,32.1898,0.2877,14.851,54.6115,0.3762,24.909,7.11,1.9491,45.1943,2.8195,9.7924,3.9962,4.1241,3.1695,1.0599,3.6805,2.2248,1.5205,5.618,4.2608,1.5029,5.6232,34.3086,31.7778,20.5854,165.3957,9.99,0.8307,22.8432,13.4582,2.3573,31.3031,76.5852,32.4708,11.2103,182.1933,64.9535,67.3976,39.5092,323.0155,586.4248,44.608,95.26,20.0544,0.0
ZAF_J61,68.3391,1.0756,40.0255,49.9385,0.8906,63.7012,16.7899,7.778,28.0903,13.036,30.3625,10.9189,12.3675,13.5044,4.9224,16.0582,171.2992,23.2486,27.2587,15.997,4.3571,29.5254,65.1444,144.3741,68.7595,724.8515,81.3728,3.6577,30.8801,208.685,28.4327,93.4497,53.5956,7168.2259,148.1736,1002.1857,168.9291,452.8319,179.6662,1368.0782,22.0292,894.241,42.1296,59.5915,0.0
