V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_A01_02,2043.5549,1.2476,5.501,2.7199,0.0167,3611.3555,20.7933,85.1647,5.2957,2.9951,38.0726,10.743,5.0389,12.2086,33.307,16.5145,2.0477,3.503,4.5201,1.0717,1.3033,12.5728,66.4774,40.4519,0.4191,3.7426,1.2736,3.2366,0.4726,6.0523,0.1203,1027.8216,0.8076,1.1484,0.1327,0.5238,0.2064,1.1367,1.4353,40.4558,2.1893,5.2058,2.6013,30.7241,0.0
GRC_A03,0.0,77.864,0.0,0.0,0.0001,27.5917,0.8735,0.0,0.0,0.0,0.0,0.0157,2.1568,1.2648,0.0,1.0473,0.0,0.0,0.0,0.0,0.0,0.1769,0.0,0.0123,0.0,0.0,0.0,0.0477,0.0,0.0001,0.0,65.9995,0.0002,0.0,0.0001,0.0,0.0,0.1491,0.0003,0.2393,0.0286,0.1168,0.0074,5.1947,0.0
GRC_B05_06,0.0033,0.0,0.0002,0.0003,0.0092,0.0079,0.0008,0.0247,0.0872,73.0851,0.008,0.0035,0.0032,0.0883,0.027,0.1331,0.0968,0.0012,0.3849,0.0001,0.3987,0.0983,40.7796,0.033,0.0609,0.0587,0.0368,0.0008,0.0002,0.0037,0.0001,0.0369,0.0006,0.0163,0.0041,0.0117,0.1503,0.0137,0.0049,0.0095,0.011,0.0087,0.0041,0.0103,0.0
GRC_B07_08,1.0104,0.0214,0.0067,171.1048,0.0727,1.8312,0.0984,1.0668,0.3304,60.2037,3.2522,0.941,0.1981,28.8687,5.2036,0.4632,0.3225,0.0463,0.0869,0.0045,0.0126,0.0791,0.4804,1.4099,9.9298,2.2676,1.1265,0.2907,0.2897,0.1654,0.0736,4.2153,0.0619,0.7817,0.1753,0.3529,2.6719,0.8869,0.5449,0.617,0.3623,0.7527,0.2603,0.3242,0.0
GRC_B09,0.1475,0.0738,0.2146,7.5867,0.2138,0.0619,0.0014,0.0004,0.0612,7.3979,0.2041,0.0138,0.018,0.5891,1.0386,0.0616,0.0002,0.0013,0.0031,0.0,0.0003,0.0043,1.0128,0.0947,1.2698,0.0321,0.1671,0.121,0.0361,0.0972,0.001,0.0191,0.0012,0.0,0.0,0.0013,0.364,0.0612,0.0202,0.0891,0.008,0.01,0.0119,0.0079,0.0
GRC_C10T12,602.0961,3.7549,0.0029,0.0171,0.0153,987.1557,3.3184,5.0162,1.2831,0.6717,3.1678,5.5559,0.1773,0.0875,12.3068,15.6162,6.4329,12.8052,7.701,0.0825,0.3065,0.8226,0.2213,0.3327,0.3587,9.8244,0.6757,35.9167,0.087,0.0546,0.022,3419.831,8.6585,0.0543,0.012,0.9284,0.0761,7.0604,10.5734,44.2649,20.1938,118.0182,0.281,53.6416,0.0
GRC_C13T15,11.4585,6.2385,0.0141,0.1134,0.0272,20.509,134.624,0.19,2.551,3.4169,1.7673,3.4099,2.3233,1.4029,2.7304,2.6977,0.4898,0.6091,0.5806,0.1814,0.267,5.0797,3.4581,5.09,2.13,88.5101,1.3471,1.4161,1.3224,0.2979,0.1604,25.1921,1.209,6.69,3.5209,18.7075,0.7416,9.632,1.725,7.6836,3.8166,7.6672,10.2608,7.1003,0.0
GRC_C16,5.5612,1.87,0.0027,0.6863,0.0148,54.1917,2.3089,55.527,1.8172,0.6514,5.1109,7.7642,1.5722,2.7367,4.5432,6.1007,1.1954,1.6321,1.7248,0.743,0.5481,91.9935,14.036,0.5593,19.6392,0.9342,0.8635,0.3092,0.3919,0.4487,0.1024,4.7279,4.7399,0.1868,0.1727,0.1772,3.1128,3.158,0.3973,1.0069,0.2089,2.2362,0.1767,6.2988,0.0
GRC_C17_18,4.027,1.1288,0.1301,0.1751,0.0329,65.0677,4.8428,1.9307,414.6204,2.3182,6.7958,16.0404,12.5157,4.4931,3.3727,2.9387,0.5674,4.3275,0.5622,0.689,0.7777,1.8472,16.5153,2.159,10.895,109.2884,14.3732,1.4516,3.8051,2.5308,0.9858,273.7319,12.9963,9.9389,8.6802,30.6622,3.4973,104.9527,96.6599,64.4421,14.2109,10.3152,26.9686,39.1049,0.0
GRC_C19,411.1128,33.8805,2.7458,9.4078,0.9584,147.097,8.0766,2.8051,7.7887,353.253,134.9144,15.2252,11.1671,35.7633,66.6534,38.2415,2.9779,4.128,6.4362,1.6108,1.0125,12.146,867.7506,50.783,35.4981,367.8633,199.3663,1990.6528,204.0458,266.2945,51.0744,146.6351,1.5865,15.5265,7.8413,7.6589,2.1726,59.3282,48.8272,146.6121,35.6374,53.0846,33.0233,33.8377,0.0
