V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_H50,0.3074,0.0019,0.0056,0.0363,0.0024,0.4619,0.0572,0.0799,0.106,0.5917,0.1384,0.0111,0.4029,0.1855,0.409,0.3124,0.1999,0.1726,0.3335,1.2336,0.0302,0.1504,1.1416,0.115,0.382,1.8036,2.0693,0.0997,0.0803,5.9078,0.0578,0.1278,0.0113,0.0371,0.0936,0.0368,0.1259,0.31,0.2799,0.3614,0.0626,0.1067,0.0176,0.0373,0.0
SVK_H51,0.3685,0.0071,0.0039,0.0342,0.007,0.4924,0.0326,0.1561,0.1581,1.1785,0.2339,0.0163,0.4826,0.3304,0.9105,0.4134,0.4077,0.3035,0.4268,2.7038,0.0291,0.2311,1.5727,0.0519,0.5267,0.5563,0.3848,0.0188,0.0161,0.6107,0.0108,0.0491,0.0062,0.0064,0.0178,0.0061,0.0884,0.0771,0.1421,0.0872,0.0127,0.1378,0.0152,0.0556,0.0
SVK_H52,23.6507,0.1009,0.9948,6.6701,0.2471,56.046,5.8193,6.5061,15.1357,91.4238,16.894,1.0425,48.048,18.2139,57.0735,22.6904,13.3659,10.5191,20.103,65.4207,1.5582,14.9322,117.8233,20.5866,44.4766,336.9376,402.9278,19.2307,15.6176,1156.4983,11.5926,13.5863,1.651,6.0252,16.2531,5.4048,17.1083,66.7424,36.8942,67.0464,10.8061,8.4464,2.1119,2.9743,0.0
SVK_H53,2.5245,0.0194,0.0518,0.4138,0.0177,5.5259,3.0376,0.5595,3.0998,1.6908,1.0004,0.2608,1.6679,1.343,1.7611,2.6002,2.5919,1.1358,3.1445,7.6171,0.795,2.0028,10.4074,5.9701,4.1491,75.797,11.1181,0.0682,0.2707,5.8319,240.4728,2.323,13.6682,31.7067,3.5707,59.1726,1.9087,7.0002,9.5064,25.5405,1.6103,1.9125,3.8582,1.2722,0.0
SVK_I,0.4916,0.0096,0.0708,0.3355,0.0466,2.5934,0.2932,0.3019,0.3548,0.4632,0.5746,0.3297,0.6374,0.5862,0.3761,4.0777,0.8596,1.3683,2.8115,3.3221,0.2747,4.0254,0.0621,0.3923,12.4451,29.8542,19.7109,0.1317,0.3222,3.1502,0.0428,15.9783,0.5526,0.3399,5.9255,3.2046,2.7816,37.6813,45.3398,13.766,10.4999,9.4241,2.0262,0.7404,0.0
SVK_J58T60,0.9529,0.0081,0.0145,0.0874,0.0166,8.7969,0.5446,0.4638,3.2552,1.3269,0.4814,0.4129,1.1073,0.801,0.9746,1.305,3.1657,1.4854,1.4236,7.3149,0.1372,1.1274,2.5513,0.9304,3.7338,56.9528,2.0287,0.0423,0.225,2.6098,0.7406,3.2569,98.1515,9.265,43.263,9.6552,8.8796,48.3256,16.2194,38.5395,9.8127,3.4933,11.2568,1.7997,0.0
SVK_J61,5.1617,0.0198,0.0365,0.2503,0.0621,8.2365,2.4712,1.9177,2.7123,1.5716,1.6808,0.3799,3.6944,1.8343,2.9025,4.992,3.8593,2.7646,4.0345,10.5011,0.3675,3.014,9.4767,3.4304,9.2578,69.3618,11.9015,0.1079,0.2058,5.0979,4.5817,5.8115,42.3676,249.6019,57.5896,19.7419,7.8136,36.8037,9.2297,33.8208,9.2475,6.1375,5.8849,4.55,0.0
SVK_J62_63,10.4482,0.0266,0.1654,1.2296,0.0786,33.9934,4.3896,2.8537,38.6716,18.9913,5.5246,2.189,12.5778,8.2706,16.039,21.1008,17.682,14.4314,23.0249,75.9231,1.0185,8.769,49.386,11.2688,36.3119,388.3274,32.6412,0.3043,0.7425,18.7821,7.7151,14.7472,65.9229,101.9144,958.8292,154.1952,129.6249,285.32,134.6469,90.0739,13.4092,18.2819,78.7201,28.2729,0.0
SVK_K,14.2669,0.0425,0.1984,1.3029,0.4513,23.7297,5.0875,4.3033,7.1406,23.7146,7.0891,1.3524,26.2622,10.1778,15.071,22.3973,20.8378,15.4138,21.7535,176.9834,2.9059,13.3081,48.1819,6.5754,32.7118,140.4608,95.2167,0.4975,4.3506,42.3351,1.9254,7.8511,4.9422,6.6189,37.3925,1280.632,195.5845,61.193,84.5744,161.5121,15.335,18.7182,15.4843,13.0716,0.0
SVK_L,135.9712,0.4618,0.5573,7.4995,0.1357,128.5773,32.7877,15.5238,16.6659,10.2995,17.0795,2.8145,59.1014,12.32,16.6229,57.8186,41.7724,26.3025,46.641,137.2391,3.9724,26.5719,68.2041,32.1153,106.8546,1107.4616,144.1582,1.5671,0.6124,103.6256,6.6315,156.2935,37.6054,54.8401,127.2701,80.6882,1008.2242,476.2146,161.4261,60.9636,24.3522,134.7103,88.6543,23.422,0.0
SVK_M,67.3576,0.2387,0.9273,7.3222,0.9054,182.6223,35.7348,22.7066,61.1674,66.2637,27.9822,27.0507,119.8704,43.4886,58.7519,88.1467,59.8603,62.6628,94.0621,718.4701,7.8816,60.1495,190.6113,70.7599,507.6459,1356.8173,87.416,1.8123,2.7834,52.9547,10.431,66.8887,44.0662,67.3154,256.1296,180.7257,646.7421,2237.1071,361.1014,210.5534,41.8465,88.6785,90.2797,50.1876,0.0
SVK_N,74.7373,0.051,0.515,5.1403,0.4608,112.7185,21.5737,25.0953,35.5402,33.8131,23.491,5.6718,60.991,26.096,23.7642,118.3422,65.5569,42.1806,68.912,306.8227,3.7459,36.2313,114.9309,34.6008,212.6536,707.719,130.7985,1.469,34.2098,75.7598,14.1221,51.6067,23.3479,34.6239,97.7788,136.4904,181.8695,264.1187,1018.8539,216.8108,85.4899,202.7857,90.9839,81.8789,0.0
SVK_O,5.9284,0.018,0.0825,0.4659,0.0385,18.1859,8.0794,1.6815,5.155,5.7057,1.7023,0.2157,7.3789,1.1043,1.9335,5.3088,0.9129,4.1807,3.6672,11.1792,0.4091,2.7256,12.9761,7.6913,13.7853,75.505,10.6571,0.9473,1.3927,4.5531,0.1519,8.0243,7.102,1.0827,10.0643,151.0239,4.2294,121.9804,54.9024,428.2625,19.1106,5.4348,9.9637,10.8281,0.0
SVK_P,2.6857,0.0193,0.0431,0.2643,0.023,4.8941,0.9256,1.4952,2.1668,1.6794,1.3065,0.3184,2.5475,1.4117,1.9093,2.9709,2.3311,1.5896,2.9067,12.9727,0.3128,3.2362,3.4061,2.911,6.6205,28.363,7.7375,0.0768,0.7176,7.2782,0.5504,1.657,2.1447,2.9143,19.4375,16.2005,5.5383,20.6223,23.1055,39.6801,55.2365,8.4693,37.6167,50.7923,0.0
SVK_Q,2.1609,0.019,0.0297,0.1763,0.0225,2.7808,0.5619,0.5921,0.8956,1.256,0.9156,0.6493,1.9321,0.7059,0.8841,2.0505,1.5304,1.0697,1.6155,6.8503,0.2396,7.431,3.0452,0.9893,9.199,25.553,6.3509,0.0386,0.5597,1.4176,0.1868,1.126,0.5587,0.7752,5.8972,10.1996,4.7474,19.3351,55.7681,15.2793,5.4497,212.4697,4.5359,10.7532,0.0
SVK_R,2.7451,0.1511,0.0287,0.2486,0.0109,6.1257,0.8912,0.6376,2.3525,1.139,0.8533,0.2359,1.8726,1.154,1.4796,2.1517,1.6538,1.2782,1.9025,5.8252,0.1621,5.6903,3.1983,0.8328,5.7614,33.8822,6.369,0.0502,0.2583,5.6418,0.6766,3.2292,17.2354,2.465,7.8645,5.3871,3.6852,46.2473,11.9764,19.4733,21.5388,38.2479,1138.378,9.8969,0.0
SVK_S,9.0463,0.0452,0.0883,1.5901,0.0411,6.754,2.4673,3.5453,5.004,3.3469,2.1552,0.3931,3.833,1.5239,2.3282,5.5516,3.137,2.4279,4.0656,20.5129,0.8187,6.6696,7.3642,5.6824,10.1866,68.091,11.2774,0.8974,0.5878,5.0451,27.9785,10.807,5.6238,35.2031,21.1927,38.3615,7.9292,19.7026,14.8059,29.0972,8.2883,22.2576,11.8735,110.7596,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
