V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2372.7383,83.2893,0.3459,3.153,0.0018,22477.7384,385.7855,536.0762,10.6319,5.1511,114.5751,220.0576,398.7778,9.1529,25.5073,24.0802,58.482,24.1816,34.0693,24.3457,24.8724,21.4957,4.0171,3.1855,301.023,62.0514,3.0579,0.8456,6.9245,10.5058,0.6897,4600.7852,9.9845,5.0811,2.6398,25.6401,3.908,130.1521,10.6546,154.1158,281.8513,898.4017,96.0006,42.931,0.0
KOR_A03,5.5409,134.6511,0.0088,0.1501,0.0,1724.8658,4.8031,0.3144,0.954,0.2978,5.8344,2.3115,2.9777,0.9734,2.9981,3.0226,7.8927,3.3439,4.2765,2.9775,3.5009,5.9133,0.3555,0.4292,2.3366,6.0734,0.4899,0.0866,0.1885,0.3554,0.0413,2196.3042,0.946,0.7686,0.4262,1.4492,1.1525,16.2244,1.0734,49.7374,138.824,161.7332,15.3354,4.8103,0.0
KOR_B05_06,0.0503,0.0298,0.0028,0.0565,0.0006,1.1661,3.2247,0.0849,0.3512,65.1985,6.0457,0.1491,0.8931,3.1871,67.1746,1.2126,2.0997,0.9038,1.6269,0.9265,1.0476,0.3218,158.0823,0.4079,0.1866,0.1164,0.022,0.0008,0.0005,0.019,0.003,0.0152,0.0218,0.0326,0.0146,0.0398,0.0225,0.2468,0.1514,0.0685,0.1,0.8063,0.024,0.0122,0.0
KOR_B07_08,1.0173,0.2988,0.0045,3.5771,0.1162,22.5143,6.6302,0.3105,17.8402,13.4971,436.2098,4.6171,24.4391,1815.4323,617.3919,18.568,24.549,9.8107,12.3309,10.1599,2.3574,4.8179,2.0234,5.4749,195.2192,2.6939,0.2974,0.2204,0.1816,0.2837,0.0321,5.9345,0.2154,1.6269,0.1023,0.3086,0.296,5.2493,2.9427,3.8412,0.7381,6.5216,1.1543,1.8025,0.0
KOR_B09,0.0256,0.033,0.0128,0.321,0.0065,0.0177,0.0026,0.0005,0.0433,5.9405,0.457,0.0043,0.0254,0.4196,1.4071,0.0806,0.0026,0.0045,0.0203,0.0015,0.0006,0.0023,0.316,0.0132,1.4256,0.0086,0.0573,0.0064,0.011,0.0259,0.0004,0.0066,0.0007,0.0,0.0,0.001,0.0348,0.0853,0.0227,0.0225,0.0032,0.0048,0.0038,0.0017,0.0
KOR_C10T12,5887.3829,307.5836,0.529,9.9963,0.0248,16005.8732,892.1038,18.8303,97.2273,61.8542,698.12,194.7522,185.764,70.4807,158.879,226.1182,417.8196,178.5395,307.7528,201.348,168.9675,72.2448,40.079,19.7746,134.426,650.1625,26.9488,25.7572,28.9982,107.5016,6.4361,30157.7041,83.5429,45.4602,37.7615,204.4618,20.2661,809.8674,208.1239,523.1065,1420.0553,2082.5962,1260.7218,295.3221,0.0
KOR_C13T15,158.0129,360.8423,1.3293,16.9957,0.0596,509.3294,13573.0596,52.7445,387.0467,95.2376,317.5848,98.8721,1350.1475,227.8186,439.6067,656.3983,1100.1422,495.1615,680.2501,1042.3202,535.1351,1121.1131,101.5894,96.3446,355.5798,1205.1722,305.4485,31.6047,3.2548,612.0011,53.6165,932.3262,116.8251,66.8322,23.7261,337.8007,76.7078,521.278,560.1024,678.232,251.9671,1142.8244,451.5786,648.3234,0.0
KOR_C16,40.821,146.7657,0.5476,2.3397,0.013,83.5477,50.7514,1016.4215,41.3535,11.4599,36.2209,4.5016,35.6699,81.2009,102.0246,156.3897,55.1989,66.0297,111.5778,75.497,27.4368,898.684,160.0243,5.8369,2814.0272,120.0756,4.8976,1.3782,0.1581,387.3866,1.178,173.7868,3.4903,3.2559,1.6713,2.1052,1.2768,9.6502,22.5279,3.3649,31.0545,47.8628,21.8768,20.3029,0.0
KOR_C17_18,291.4299,18.2512,0.2812,7.0061,0.029,2106.6427,680.93,93.8073,8930.1397,111.4484,675.5175,295.2509,474.5456,265.1959,180.017,482.5547,554.8653,585.6932,301.8863,220.996,84.6007,285.9483,27.6165,35.1187,405.9674,2116.7304,45.6317,17.482,3.8472,289.5135,160.3917,702.8031,1173.0191,129.4362,220.8869,1261.2034,83.2996,2531.6413,310.4905,598.8849,637.9852,663.0091,390.1363,445.1021,0.0
KOR_C19,571.083,532.1478,0.5552,99.8859,0.7656,356.5925,454.3272,48.2343,235.2129,7172.9549,14141.9138,177.5085,1491.2719,1278.1743,557.3408,664.2383,1001.3696,517.9029,406.5624,533.5238,329.9398,133.5885,2053.0211,225.4796,1451.0116,3023.7975,7405.3845,1333.5633,3117.8484,387.3775,683.3241,1336.8163,148.3885,105.3235,73.9694,239.1532,338.3899,1831.6907,444.4493,1174.8624,1255.0721,1756.0431,363.5625,688.0385,0.0
