V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_A01_02,12288.5545,16.5255,13.4375,0.8141,26.6698,31150.7221,79.767,2293.4985,716.366,23.8193,33.3339,37.0445,102.0399,17.7552,23.6712,10.3713,2.5903,1.7848,3.3924,3.8298,5.3222,72.6199,81.3002,4.6265,278.6158,190.789,26.3509,4.6407,8.279,80.8452,2.8476,880.2654,2.436,3.8502,2.8784,171.5758,41.059,25.2129,151.7273,438.6646,150.3696,213.3518,23.8969,28.4151,0.0
RUS_A03,167.1717,95.1935,6.2385,0.2142,32.8481,1679.4446,1.8346,1.053,1.6119,7.1198,4.7516,0.9929,1.4104,2.4675,4.1551,4.984,1.4533,0.8477,1.3071,2.2648,1.8789,2.4424,9.6109,1.9836,24.0211,34.2209,28.9768,2.9935,11.1403,14.4821,0.3599,226.8345,2.0906,2.8066,1.1157,1.0717,3.1207,6.3273,7.4005,83.6336,15.0607,23.2183,2.2392,3.2553,0.0
RUS_B05_06,468.0216,85.1837,1402.8109,29.6188,1697.6809,217.7183,9.2947,47.8345,57.577,42062.4141,603.9345,11.6842,34.8636,166.7674,2515.2163,133.1202,14.9534,12.4866,21.4219,19.3228,44.4999,82.9228,18423.0549,70.409,613.1297,4402.342,2868.427,60.6152,593.5939,351.352,17.0314,22.7651,7.8802,30.5582,7.6344,213.5085,90.9146,155.091,153.2973,263.4108,57.2675,99.202,37.194,21.8268,0.0
RUS_B07_08,61.8506,1.1994,254.9413,263.8146,373.0899,50.988,6.5403,10.1889,19.5417,36.5828,342.2358,14.9828,84.4684,1159.6814,3827.9478,154.9511,11.1423,19.1778,19.2543,19.3649,20.2838,215.5532,45.2418,38.4122,1716.8054,68.455,49.5653,2.257,12.4619,144.5261,0.5972,4.8835,1.5062,2.4945,1.0949,1.1766,28.6252,16.918,15.1421,40.0865,8.4952,17.0745,6.5144,15.6842,0.0
RUS_B09,53.2294,15.8716,9776.2302,11.5974,35817.4983,108.7727,6.5147,10.6547,13.216,25244.2661,39.9122,7.2527,16.8152,54.8437,66.3514,37.4785,16.5126,9.2333,22.1355,16.89,35.5545,39.2052,125.0854,20.5212,793.1337,286.7872,732.4637,19.6954,75.2105,123.5692,3.3518,20.2726,10.1108,28.8814,10.9467,20.9791,110.5003,443.3176,104.4347,139.8396,29.0817,57.6836,28.8027,11.5979,0.0
RUS_C10T12,4578.2553,116.2526,22.8903,2.2297,41.9928,16298.1857,45.7212,16.8774,41.3997,185.0352,115.5918,26.1338,25.8091,28.0916,73.6199,35.3294,17.5695,12.2368,16.0398,16.6547,25.232,22.6847,103.307,14.1148,121.9447,542.438,56.9868,3.4837,19.8838,93.0041,1.6971,3449.5573,8.7737,7.993,7.3278,17.0448,34.1635,61.1312,28.3797,955.198,453.4255,620.2524,25.7524,58.6257,0.0
RUS_C13T15,41.567,19.9559,15.0917,1.6425,69.6742,116.4915,1007.5562,3.6249,13.5001,38.9389,66.943,9.9739,102.9646,11.3437,42.8766,20.6562,12.0313,3.5085,8.9891,91.5702,16.6216,142.7594,56.3556,9.3842,104.378,89.1508,36.1791,1.4864,3.1386,18.6761,4.921,43.54,1.7054,7.7132,0.9616,4.2521,19.6035,54.9014,32.8094,222.1179,60.2795,114.1159,42.3165,40.3774,0.0
RUS_C16,158.7968,1.1154,11.9429,1.0739,7.1638,117.049,1.4302,903.9926,181.0087,9.2148,34.0477,13.4895,6.8736,145.9015,40.8071,39.2394,3.3985,10.415,10.9423,16.6645,11.668,830.2756,27.7005,3.8356,2593.4393,66.1159,27.8039,2.0126,2.3681,117.5029,0.5671,2.5018,1.9536,3.3588,0.3967,0.6197,779.794,18.1712,13.8076,40.3992,13.1332,13.9209,13.1303,22.3217,0.0
RUS_C17_18,333.5498,53.5931,9.2329,1.4668,14.1929,2874.801,29.1069,258.5812,3256.2554,40.0165,266.8727,161.863,110.8512,220.4787,37.6509,68.6897,34.2157,32.9292,20.9589,30.5128,14.3395,158.1629,68.2555,20.0297,170.7808,1135.407,33.8188,3.3332,6.9711,67.85,26.8634,294.478,732.4901,41.2789,89.8083,382.0145,496.62,745.0966,143.9556,845.2204,136.2199,192.1309,116.7686,212.4547,0.0
RUS_C19,3817.039,707.2122,1610.9525,224.1055,3582.7282,1356.7827,85.4041,393.7318,369.7307,22336.9521,5253.9927,100.7785,592.9307,738.5436,3117.5699,963.3054,67.1204,115.172,114.8017,138.9656,184.3798,420.9286,4610.9843,465.7176,4304.2536,3417.1696,9548.5197,496.9098,4934.9514,2334.8254,125.8508,124.1871,53.1131,188.4503,41.4726,284.7487,308.8244,678.2684,825.1102,1343.171,325.6409,543.9636,194.8009,141.1558,0.0
