V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_C20,2488.3025,7.416,142.9984,14.609,741.0392,1239.1358,343.9487,404.478,749.705,1193.0709,4314.3292,279.9062,3939.1734,728.8874,550.2561,977.1708,176.1299,421.7048,139.1587,332.4034,148.9118,434.7244,166.6434,90.4487,805.4145,529.1976,106.7247,5.2592,19.6794,82.3354,2.021,130.9776,30.2404,9.045,4.4244,9.5317,278.9887,182.283,324.6937,119.1957,59.6638,247.1109,64.4838,92.5294,0.0
RUS_C21,316.8742,0.557,2.3277,0.3093,4.2303,106.4006,2.4047,2.4176,2.7397,34.9384,9.2185,885.7912,3.8444,5.7473,11.6812,6.8755,2.8994,2.1266,2.7406,2.615,4.487,4.8125,18.324,1.5749,26.0485,45.9367,5.8406,0.1693,1.1937,3.0482,0.1543,3.5969,0.9732,1.3189,1.2762,2.9082,6.9895,75.1159,2.5284,318.6248,65.1241,3072.728,8.0025,1.8302,0.0
RUS_C22,268.0962,32.061,132.2057,18.1228,170.8491,1866.6958,59.867,97.5297,202.3567,36.8137,306.2428,102.41,819.9069,197.138,95.4909,194.5194,113.6289,225.4677,219.3682,945.6314,223.836,498.8868,110.7091,64.6313,4378.2356,916.4726,224.0605,1.0958,8.6785,120.454,7.1999,130.854,7.2168,10.1214,10.3452,17.3901,885.9143,195.887,78.7293,66.3658,30.0523,93.059,14.4655,27.2114,0.0
RUS_C23,94.6193,1.7821,67.8353,13.7263,93.5158,829.8547,5.8974,18.0946,13.7313,44.1577,107.1879,174.33,154.6237,3462.8219,867.7577,96.0107,49.1783,146.0304,82.3131,335.6774,214.4877,175.3188,168.1053,51.6739,13648.0498,174.7047,84.9895,1.7082,6.3176,406.4079,0.6382,38.9904,1.3179,5.0031,1.1496,1.9996,1453.464,85.3863,29.446,71.8637,34.8312,59.248,18.4573,35.546,0.0
RUS_C24,29.6085,3.7485,433.8148,37.0154,1675.5567,265.8172,2.1827,33.1285,79.3457,38.6043,1189.7996,18.283,87.5117,678.8085,27925.5301,8665.2761,678.1153,2736.1488,2623.9591,1761.6957,2672.7818,1756.5025,1851.7133,3160.8618,8264.0311,155.4007,761.7376,4.4997,0.0645,181.3231,0.262,0.4218,5.1686,3.4395,0.0933,0.9741,206.8251,333.8716,44.9314,36.5447,12.4341,14.1454,3.7916,32.8937,0.0
RUS_C25,267.5949,90.9974,147.6982,28.3051,838.0988,924.8015,30.2659,96.7436,49.7715,79.2284,224.3097,54.4899,174.0461,454.4539,546.2516,3701.6725,405.1271,315.0705,1298.2433,1095.8983,1224.5116,859.9059,346.1064,87.1343,8362.7186,468.4795,102.0744,7.8501,15.6985,140.5232,2.1077,53.1057,6.6363,27.7097,12.3172,29.2874,368.9091,1003.9735,58.1856,513.4608,33.7892,54.2354,24.632,60.8504,0.0
RUS_C26,46.2008,13.6732,51.8718,1.5212,136.3163,61.5939,2.8759,4.8066,29.0592,31.3449,20.9396,12.2942,5.6017,10.1375,169.9185,221.8998,2350.5576,148.393,100.4012,84.1173,459.7578,337.4295,105.0503,12.5448,352.8738,244.4837,59.9671,2.7095,18.0504,62.5575,6.3152,10.9565,63.2778,626.3132,400.6693,61.8486,63.74,1245.6796,70.4696,219.7764,59.553,187.7516,44.8414,102.281,0.0
RUS_C27,80.8092,5.0017,103.0655,3.3283,301.1453,34.2969,2.4603,5.0393,9.13,43.0187,22.9964,2.7869,10.3908,40.9659,353.5302,116.0316,464.7161,939.0573,427.9779,265.1795,575.3041,453.3051,406.2663,25.6007,2052.7191,265.9655,142.9494,4.7502,28.3011,157.9916,2.0373,41.2956,11.6301,149.6169,56.004,14.7834,134.4352,620.938,48.3703,163.6857,14.631,53.4063,22.6823,99.5329,0.0
RUS_C28,475.9753,48.4618,223.9579,34.3702,786.772,289.7802,18.2597,47.4522,54.7255,123.3277,51.1188,11.6107,39.1047,133.4251,417.8165,294.1921,104.2377,94.9228,827.8249,225.4979,491.9447,439.5941,170.9018,50.3271,982.0459,310.8757,152.2205,15.6018,56.8334,92.2091,3.2153,22.0761,6.5747,19.9429,35.7825,34.6268,134.2355,224.8335,94.8796,64.5673,17.2213,37.5331,15.5948,29.5057,0.0
RUS_C29,194.668,2.1177,70.0396,16.4006,45.9484,89.0502,2.9092,14.1572,18.8397,11.0563,8.9064,1.1876,16.5049,23.7415,188.8134,48.3291,13.9535,17.6723,141.2753,7727.0361,69.4503,98.0053,55.5444,80.8035,197.3288,1929.8225,713.2435,2.5431,2.1122,245.8079,6.7821,6.2121,3.0044,10.5386,6.1182,13.9048,25.103,105.1709,146.8043,111.1847,13.2759,39.5735,13.3073,19.0764,0.0
RUS_C30,1.4257,137.7029,8.553,5.8628,13.7528,20.4302,0.0242,1.6556,5.6469,2.4064,0.1875,0.4114,0.7096,2.0524,32.1457,1.0981,0.0448,0.9262,2.4053,1.0033,5657.1011,533.4879,0.8863,0.5194,0.472,18.9517,2348.7574,113.7209,625.6637,619.2654,0.0294,0.0651,7.8267,0.0164,0.0,0.0,0.1262,671.2012,450.9974,446.4472,16.6021,2.5703,12.1093,2.4368,0.0
RUS_C31T33,694.9532,300.7246,647.0062,43.8701,1477.1696,594.3894,33.6919,85.4797,320.1315,183.6322,389.2851,30.0902,80.0922,180.736,915.0065,280.5417,79.6526,60.0472,263.1555,159.8799,552.3803,1129.6904,895.9474,176.6268,1011.3014,916.5485,783.926,123.0638,1347.7167,1031.1296,51.2339,74.4974,206.5217,305.9314,76.3117,75.7465,464.8962,317.2697,197.965,404.4012,111.1876,957.3409,185.3929,85.4644,0.0
RUS_D,2410.6254,41.8725,1944.1539,215.4566,3612.4305,2685.7896,198.252,487.1678,919.9724,1809.2397,3003.118,85.6476,567.1652,2211.401,6812.8694,797.903,287.672,222.6779,519.6796,465.0751,530.0093,497.3894,41841.3919,1314.0722,1226.0176,3330.5262,4909.8052,17.1755,87.0595,845.858,89.113,715.4802,75.4867,762.296,120.7628,382.2081,5398.9591,810.3754,480.1387,3439.1823,2460.3461,1862.5304,782.9748,319.3046,0.0
RUS_E,83.4562,2.8796,77.8721,3.411,122.6105,253.5777,21.8595,20.705,345.7898,89.1233,115.3709,12.1008,176.016,120.5409,5160.0496,765.4314,35.066,16.9431,66.0214,56.0218,65.6912,133.4745,633.6525,2789.1022,228.4592,472.9285,93.291,6.2062,6.3469,87.233,21.3099,90.1352,10.5042,42.7685,14.5731,20.9846,1063.1318,137.6462,88.2275,1228.3234,232.6272,255.3091,70.8556,41.2149,0.0
RUS_F,419.6084,30.3695,1908.3216,79.1678,3611.7939,521.3812,32.2302,38.339,77.6767,773.6816,369.8841,37.2242,56.0698,225.8685,1025.1874,269.0926,115.7993,47.3645,83.6391,59.3502,187.1139,195.8313,1727.8366,427.7619,5977.6863,1487.4124,1202.4036,53.9246,98.8185,1835.6121,43.0884,299.799,27.6055,144.1786,70.4626,74.162,6442.9569,916.7677,152.0358,11916.7594,2579.7058,2074.569,1408.3717,277.9409,0.0
RUS_G,6983.291,362.0528,1532.1866,156.8891,2857.2711,16674.0732,1805.8363,1259.2206,1639.9541,16503.5132,3355.7636,1047.0643,1752.1356,1810.8005,5389.5958,2728.8239,1599.3517,1132.6959,1315.3906,4139.4752,2031.7613,2156.4061,7941.0073,717.2732,10518.996,11346.6305,4719.883,162.5526,1456.757,2105.8245,104.6226,2281.0102,316.8656,695.8773,461.8329,757.0451,1740.8302,2716.6742,1005.6398,3650.6318,864.7742,3808.2307,513.7518,458.9776,0.0
RUS_H49,1781.5482,45.1455,5981.114,165.6553,5574.5922,4016.1229,119.8523,685.8833,588.9676,7854.6733,2150.893,73.0224,307.8131,1378.0379,3519.2955,753.9962,274.6046,213.5888,358.2762,707.5022,352.9904,528.723,1303.085,575.6947,3299.2408,31319.3725,3811.088,52.6652,343.5043,7836.3362,277.1158,213.7206,59.5131,149.8097,282.7441,67.8652,276.7609,620.5437,448.4802,1823.4123,148.3605,375.1405,147.5762,173.4031,0.0
RUS_H50,30.7272,0.4539,5.486,0.9204,17.531,34.4253,7.5224,0.9793,2.7892,33.6974,12.5668,7.5049,13.3971,11.3849,41.6512,15.4006,21.4472,9.5072,15.9339,44.038,24.9075,21.8774,35.5714,3.4627,67.7929,33.8205,24.0345,0.9697,12.2917,17.8646,0.2669,5.9073,1.5778,7.9998,4.8529,1.915,11.8478,18.1914,7.3448,20.2409,3.8813,28.1592,2.7548,3.0245,0.0
RUS_H51,105.3441,15.6383,195.1906,15.8633,805.0508,170.4721,24.9141,17.5905,35.9247,169.7031,68.9138,29.0733,38.0761,49.1379,226.12,69.3145,78.8153,33.1198,58.782,125.2927,94.3669,86.3849,113.4844,15.3932,383.7881,688.7839,221.5664,12.4247,1289.3151,518.3619,130.0772,28.235,10.0421,23.3915,73.9198,192.0013,31.449,293.184,662.7977,1424.3583,61.3104,313.5421,160.8672,51.4305,0.0
RUS_H52,688.8357,43.3001,1326.0872,150.016,1491.8293,1305.749,45.3143,248.4497,305.7021,3855.7648,1184.0428,26.1627,134.2897,750.1082,1531.1913,300.9995,134.9256,102.0218,178.3088,311.2243,425.6564,307.7828,325.8794,116.4182,1493.6297,12669.9278,5781.2431,409.9093,4396.1025,9405.1381,102.8907,67.9676,26.3173,69.8862,29.6129,9.5054,148.3956,231.6028,750.1943,4569.0861,44.0479,104.9223,71.3509,31.8393,0.0
RUS_H53,19.0853,1.0095,3.0396,0.4136,8.439,39.219,4.4827,2.5073,57.3758,4.395,8.7478,5.154,4.3163,4.3409,8.569,7.0498,9.4808,2.9847,5.4844,5.5907,3.8203,18.5258,50.5852,7.9671,65.7739,591.6396,16.4493,0.8236,2.4938,32.4529,269.3743,10.9348,15.7854,57.5932,93.4315,114.2447,14.3514,146.4032,18.4155,1045.4423,69.0961,33.3603,9.0785,37.0459,0.0
RUS_I,19.9074,2.4124,40.9586,2.4879,114.252,69.2673,3.6149,3.6503,10.5785,24.9293,24.4467,11.0987,7.7235,13.4277,42.1365,46.6585,38.1753,9.1986,22.7367,14.4621,37.8552,65.9123,74.014,8.7948,229.3267,351.7052,105.6355,2.5284,79.8269,74.5351,3.4339,67.4733,18.0367,33.1095,76.6579,184.1568,29.0352,305.8557,226.683,1149.0845,334.6501,518.1587,206.9404,193.708,0.0
RUS_J58T60,2.9271,13.319,1.0269,0.146,1.7769,88.1495,1.6499,0.8536,66.8618,3.648,11.146,11.2437,2.412,1.6549,32.7686,2.5795,3.4195,0.9844,4.1935,8.2669,1.86,4.1003,5.6956,45.1543,10.5011,219.8748,7.4534,0.392,1.4962,7.2055,2.4833,33.4143,1533.6993,33.5235,35.633,37.1505,18.1587,2896.539,13.706,208.7664,45.2631,26.6599,65.8925,48.3398,0.0
RUS_J61,59.4692,11.4762,37.6009,2.2238,128.6924,80.6303,6.4152,6.0206,13.5469,22.1448,18.3809,7.7364,12.785,16.188,40.1798,16.0346,14.2443,5.0116,18.3257,9.6198,9.0986,29.4641,109.1256,15.7925,114.0465,621.6813,398.1086,9.2592,51.718,95.9062,48.4299,42.8092,283.393,5045.7656,598.9885,558.4241,84.6395,289.3678,69.6884,1237.1921,192.0029,112.4155,64.6306,51.0941,0.0
RUS_J62_63,35.2955,2.9135,115.6858,6.3857,196.2277,615.7881,15.0701,7.8744,86.1773,108.6988,276.5476,99.4297,64.4334,58.4431,249.126,84.2361,245.0906,37.4912,86.1431,205.0027,132.9399,147.7059,452.2265,34.8275,388.362,2534.4755,176.6463,1.5023,59.2151,347.4536,23.9696,45.3213,210.9459,1418.8131,5566.0246,2106.3822,407.2547,1854.9355,85.9998,3272.0568,436.083,337.3018,256.8342,227.3919,0.0
RUS_K,1841.5388,75.6174,555.2083,58.5926,1209.4416,2503.5314,191.368,303.3098,376.4932,1588.9276,514.5391,122.4705,277.5754,428.2666,1246.3033,697.1743,333.1507,290.3518,308.2889,601.2492,381.6391,569.1886,1410.4666,344.9685,3628.8963,7580.8115,1963.9802,52.1618,350.1681,2020.2183,69.0654,1100.8242,157.1517,347.0294,705.0891,13696.299,1864.7557,1893.3887,681.0315,4657.9829,138.4663,645.1302,447.9712,500.7368,0.0
RUS_L,236.2484,14.9618,1264.6304,9.0254,6341.8151,919.4849,171.4088,74.2849,123.0088,98.3438,168.4529,76.4926,215.9214,214.2519,192.1168,342.003,162.5118,87.5166,156.7488,180.2025,100.5426,451.3971,807.6965,171.63,1173.0138,22003.5044,5718.199,10.8076,79.8795,2574.0747,46.6719,2409.2674,319.9911,1622.1788,1208.2637,2566.2027,9254.9884,1876.3888,596.8455,1278.598,347.6009,681.6643,832.7199,859.8325,0.0
RUS_M,467.3844,35.3104,735.2172,50.1468,1254.4404,3328.0166,80.2881,63.2494,293.1632,588.0719,785.668,617.834,144.0166,274.1749,1118.7753,701.7638,702.876,170.0027,333.529,727.6802,1054.6736,437.4392,1072.2029,178.316,5388.8093,11527.1213,582.7969,15.2306,172.0728,623.0678,29.5938,678.3646,554.1069,1216.1996,692.3904,2488.4329,1623.2805,12014.1823,555.7157,1972.3629,281.0972,495.6447,482.6822,274.3892,0.0
RUS_N,481.4201,252.3011,783.609,30.9524,3792.1209,1403.792,137.3358,108.9473,141.7228,593.5175,407.9731,229.462,155.8195,347.961,574.5155,341.0007,99.1624,84.0095,98.4943,183.3207,177.627,223.506,1070.0959,286.654,2930.6994,4506.7005,3348.6186,312.8279,1393.1988,1656.6307,62.0006,435.9938,315.0844,410.0385,443.4476,872.7139,1186.5269,1554.5042,1415.8931,1940.4408,414.1464,490.9031,726.2458,250.2209,0.0
RUS_O,126.6391,6.8018,89.2672,12.6939,250.4449,218.0493,20.3059,15.9123,23.3337,133.0143,34.8516,13.2775,33.9373,48.8727,67.2659,193.748,49.145,16.3624,32.8846,55.0905,38.5183,37.4293,86.0603,14.3951,240.205,663.9035,141.321,5.1301,15.2044,81.4056,9.6733,32.75,28.3061,386.8935,38.3388,183.1497,91.2009,328.3726,172.9246,540.6711,35.6156,76.686,44.0034,12.8047,0.0
RUS_P,12.1547,0.8681,18.184,1.5153,77.2283,24.3454,0.8994,3.2059,9.6185,11.6054,16.6774,6.297,3.6293,7.5837,29.0573,14.8991,10.8775,4.5293,7.7769,11.5863,15.514,25.869,54.4161,5.8848,53.4661,135.5138,145.6631,2.246,40.5738,50.1821,1.7588,7.2105,3.3073,22.2673,30.2716,85.3211,11.1826,114.7777,33.6984,486.6851,857.7987,227.5072,37.386,57.1161,0.0
RUS_Q,18.6121,1.9743,15.4682,1.4351,110.887,40.7903,1.6437,3.8896,7.4512,8.6761,12.8011,3.4459,3.2502,7.3566,34.184,10.4121,5.8479,3.8765,4.5405,6.6224,11.3042,11.5278,44.7624,10.1652,34.2991,122.3278,86.3765,1.4462,4.5289,44.9591,4.0897,25.2896,4.0556,9.8954,20.5247,38.495,9.2632,57.5006,23.7769,769.7693,209.0551,752.6451,37.2544,71.4681,0.0
RUS_R,0.9662,0.1537,1.4598,0.1217,2.8085,47.8985,0.4782,0.3281,9.5261,21.5279,8.4291,5.9185,0.8114,6.1508,7.651,2.8475,1.7132,1.5373,1.9411,10.4813,1.7299,2.2466,2.0992,0.3514,25.8856,147.6174,4.203,0.0489,1.4994,2.881,0.3368,5.9561,35.6468,10.6623,6.8366,70.3287,10.9776,79.8846,7.998,389.2922,128.4579,53.8278,1545.4868,431.4808,0.0
RUS_S,8.2272,0.7339,5.0147,0.6295,28.5539,28.1446,1.9333,2.328,3.8861,23.7831,5.4203,1.8404,2.6294,3.8084,16.2263,8.0224,13.9549,2.1496,2.901,4.1134,10.7522,8.043,24.2437,2.8338,38.2861,87.029,11.1314,0.5839,4.0962,7.6859,1.6277,120.9387,16.9372,11.3089,12.624,23.6267,16.2109,57.628,12.4681,101.2791,46.4942,173.0862,67.8629,71.9712,0.0
RUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
