V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_H53,20.7396,0.034,5.2543,7.3381,0.5583,13.2465,2.4457,2.9335,70.1724,61.8308,53.9792,1.0887,4.9106,4.084,21.2554,34.2455,2.0098,135.5047,287.1647,4.1583,1.5705,128.8618,214.7657,326.6968,20.5381,50577.539,32888.1233,4228.535,24.5895,1877.6443,1867.8935,3986.9962,3032.4762,307.37,4298.1274,5695.5891,407.2045,6276.9158,4664.2006,2216.2551,1026.7513,6434.5283,538.2289,2095.146,0.0
USA_I,606.7483,1.8434,85.7778,75.6703,818.7831,1308.5779,104.7547,294.8968,683.6175,312.5367,559.0542,65.1,658.3066,521.9852,759.1562,930.04,107.5222,104.1918,665.0991,476.9918,199.2832,954.0418,2800.5614,1113.5122,975.0221,14229.7213,1994.4737,41.3388,15470.2679,1253.2163,1782.9449,13298.7583,4432.2469,3683.1516,9686.1577,23153.3313,43217.2338,31989.7855,26199.6328,15309.3524,8349.5906,47201.3688,3757.6056,3862.818,0.0
USA_J58T60,359.1771,0.3824,839.0868,61.1589,78.7188,2114.0001,267.6224,393.2238,749.1392,447.5706,927.7649,781.103,798.4132,347.7712,823.457,1391.1322,529.2288,270.2194,922.4474,869.1729,340.3176,1100.4712,981.7006,172.9188,3063.3295,44868.5783,810.867,328.9784,202.9589,718.8634,157.0837,13593.5348,95125.1155,37060.7798,12626.0939,14157.3594,5966.1452,29163.0144,11837.2769,15195.8416,12796.9503,11412.0336,1947.9584,3676.6539,0.0
USA_J61,709.4752,0.1161,1104.3044,223.3567,800.0085,1507.03,203.1796,331.5113,793.411,312.7758,811.8316,370.4087,691.7838,509.4609,646.1689,1317.0452,476.1863,238.1305,1081.6866,611.1965,386.466,1043.0085,1616.4941,922.6357,7977.9952,35266.603,6786.1416,324.2488,930.2085,3228.9763,617.0108,7840.9983,5848.3165,59323.2752,12281.0268,22626.8436,20967.7262,26524.6201,18037.2175,36654.1056,16968.1123,13241.1195,1995.2814,4273.7256,0.0
USA_J62_63,460.9329,0.5352,7901.1099,335.7795,151.4384,3197.8261,512.8741,1046.471,1827.8358,1481.0497,1458.0498,938.5577,1787.5805,1234.6544,2338.0203,4159.721,1281.1757,481.334,3406.0431,1440.427,1389.9035,2357.5897,4111.4365,1237.4421,7319.6676,67158.5436,3153.0299,284.0406,592.3423,1531.6666,496.9188,13832.5803,16933.3084,12953.4478,38550.159,39020.6138,8076.4855,77411.0315,46972.7676,79542.5889,9099.6379,27188.7345,3887.9081,10574.1408,0.0
USA_K,5195.7991,567.1503,21730.3935,3667.67,10978.5212,7379.6637,840.1068,663.7968,1517.1163,2381.996,4003.3042,1633.7417,2196.3549,2492.6736,5374.704,4547.8584,2117.6611,1523.9902,4804.5505,7079.3649,2493.5303,4364.7608,12928.5988,2158.8808,15805.3036,99899.6737,40427.5968,12003.6406,11253.7767,7916.259,3220.4705,17148.6198,10422.7585,8251.3129,11636.298,753348.2524,258969.0964,84421.4289,60413.701,118594.8744,9463.0558,131414.918,7282.4592,35419.6477,0.0
USA_L,7912.6953,1.1809,2103.8652,154.8036,293.7921,3956.0838,553.3756,608.3203,2494.5116,175.6365,943.1699,3920.3914,2175.9282,787.3487,861.4425,4486.014,5686.6812,469.4087,1533.6649,1510.9237,2472.8425,2981.3085,6432.0158,2019.0013,28490.6734,302464.5968,8550.4168,494.6362,476.3599,25906.9474,2622.8806,103576.88,13155.1312,17954.4174,21662.5614,121552.7476,133292.5668,123691.2687,32942.3372,44047.5529,47477.75,151358.9142,26203.4702,44478.5433,0.0
USA_M,2539.1899,4.3536,31053.9739,6005.8131,10473.3728,34519.9152,3684.7836,3933.9611,10124.1018,16891.439,19999.0576,18872.6552,9620.2735,7515.2069,11235.4193,24155.1249,34753.2299,3287.2571,25045.152,21521.4396,11563.8919,13246.6546,16151.1612,8133.7139,64862.2343,283792.7521,25315.1574,2940.8872,2581.1908,7737.8997,3691.7717,112415.3136,48727.3216,43618.2894,64926.1401,162401.0747,127735.1103,215826.5552,114286.8124,117483.1056,22346.6087,140985.765,16575.4005,23569.5167,0.0
USA_N,4225.3381,2.3056,7349.0832,1603.3363,5104.7289,7142.3137,1064.2181,1057.0955,5928.1444,4938.3053,7748.7989,2944.2339,2926.1656,2619.5793,6370.7286,10102.1764,4504.2156,990.1788,4136.6346,5163.7334,4414.0101,4119.3085,24198.6369,6669.0334,28267.3204,161241.9809,35448.0203,8799.4229,17668.0257,13354.8146,4751.2216,31705.7714,31181.651,31652.5488,68616.8865,65802.4001,138853.6902,121237.9358,102712.0861,72562.2856,14672.3823,117560.948,11534.6656,14627.4987,0.0
USA_O,3969.063,31.0503,4703.7897,808.3551,571.8282,4963.1209,480.3285,1941.0405,2668.9117,3086.2016,4423.1562,650.5874,1797.5338,1500.5406,2191.6724,1717.3345,726.669,293.7848,969.0072,1165.0377,529.6558,924.5146,17884.1485,5611.2517,6108.8007,32539.6689,4365.0141,348.5447,1313.4613,5141.8488,1098.0776,13016.2115,5170.6546,4846.1009,2916.636,24893.3525,39541.0415,16467.0929,8726.5938,34798.1481,11622.1593,25534.5157,4628.4794,4771.7439,0.0
USA_P,86.8722,1.13,90.5612,18.984,78.6682,293.6684,22.1634,42.1387,291.5803,91.4468,125.7627,21.1748,114.9011,72.2978,100.4015,144.6265,27.8591,19.7114,110.5989,82.8262,40.311,133.0782,664.7686,149.4809,277.6419,9879.0973,206.309,3.4348,812.7822,269.2617,70.5454,811.5887,660.5302,517.8791,1683.7908,2324.2569,3501.826,4344.7843,3891.3723,12813.8377,15285.4125,2698.3897,3073.8468,5066.8317,0.0
USA_Q,295.7462,0.2195,139.045,22.6245,54.4458,709.4557,43.217,28.054,109.6638,52.9467,240.9665,77.944,113.4726,52.1869,49.2532,87.484,45.5204,40.2502,103.2167,137.7389,53.0432,95.2078,86.0177,34.1646,627.6184,901.7763,246.4838,12.2947,195.0777,47.4824,37.7893,406.7789,263.3009,211.3072,345.9313,442.3428,354.0014,1186.8171,591.7197,13194.0888,267.6624,33604.3897,215.8161,231.3116,0.0
USA_R,173.2163,0.1066,52.448,10.939,68.9396,441.2502,37.2589,57.5102,134.1273,76.213,159.2234,74.3574,142.2332,79.9044,139.4882,187.3377,52.6925,31.531,131.8013,142.6007,44.4962,161.1113,252.4897,130.1792,514.0188,6749.1891,427.8932,30.3845,432.846,428.8489,84.4683,2926.9661,21327.6781,5092.9954,1515.4164,3195.8464,6222.143,9299.206,3530.9598,3294.5477,1644.7564,3215.6185,16642.8496,2141.1797,0.0
USA_S,194.2296,0.0725,127.1856,32.6541,230.0531,387.169,32.4529,43.5241,160.1752,110.7048,220.3237,57.6516,115.9414,120.0148,192.6587,181.1661,59.2321,23.0283,94.5724,108.1967,58.865,206.9235,242.0178,363.9411,1319.161,8656.4025,646.4537,43.1477,252.3394,1761.8637,429.0156,2828.5426,369.428,1162.3139,660.4589,7479.0475,2633.7104,5910.6081,3782.8764,8905.1462,3128.3421,8582.518,1037.5496,5833.5517,0.0
USA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
