V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_E,108.1402,11.9097,5.1088,4.276,0.955,163.207,2.6375,28.1869,24.6421,36.1575,16.3737,4.3654,5.4008,7.5304,166.1419,4.7471,1.2737,2.0866,0.3548,0.4846,9.33,3.3348,133.5311,702.4937,230.3694,132.5971,29.9563,0.1893,1.3798,9.0592,0.309,16.5459,2.2963,0.9987,0.5804,27.3622,429.0864,33.9605,51.446,51.4545,26.3032,139.7651,21.1342,55.0506,0.0
NZL_F,450.0045,15.8426,24.7561,17.4656,29.0765,126.731,20.1207,53.5271,89.3646,51.2532,13.5966,3.6544,10.7957,51.1416,13.7844,62.0939,10.8689,16.2307,45.0364,9.2659,11.3551,94.7965,165.2343,64.0251,14035.7807,427.6479,40.1755,3.0617,22.6886,40.8055,6.5766,109.4549,21.2941,105.1809,34.5673,304.9516,2515.6757,434.1451,231.6541,175.6859,320.0533,145.1153,76.0379,138.4563,0.0
NZL_G,1648.2465,174.617,183.5901,65.1853,27.1226,2322.0895,158.0447,375.0566,425.1157,286.9412,215.5189,118.3396,309.4518,185.7353,222.816,330.505,195.9571,143.5568,112.9878,105.7473,287.9143,169.9827,389.167,192.0436,1904.2725,1542.4984,540.4049,39.6281,318.6899,157.9369,66.5146,610.4933,170.2655,175.9819,86.2918,161.6218,708.4146,391.8212,437.529,402.6614,265.3411,759.0574,155.8693,184.0589,0.0
NZL_H49,431.8433,17.5859,16.5489,28.2031,5.4247,765.2421,20.8465,89.4886,83.4428,112.6114,37.2957,10.9294,62.4884,62.2349,26.0189,63.7394,17.5121,15.6213,14.4941,8.9511,22.4715,27.7579,24.6117,34.0956,197.1592,759.1452,372.1172,5.0599,26.7054,50.968,30.3131,33.3964,38.732,9.2295,12.7709,13.3416,56.9091,52.0259,69.534,57.7965,36.2305,38.3311,17.1607,54.4453,0.0
NZL_H50,32.0754,9.6117,9.1004,0.7525,0.3515,13.6039,1.4771,3.1699,1.7345,21.3018,1.2812,0.2649,0.9815,6.3567,18.0991,12.9219,0.3139,0.767,0.5067,0.7102,0.5204,0.6633,0.6413,0.1987,4.2037,23.295,33.0986,30.5072,2.5656,23.7567,0.3215,0.6567,1.2407,2.2816,0.5271,1.7648,1.8051,1.9104,3.455,3.644,0.9935,1.6961,0.3185,0.4962,0.0
NZL_H51,51.1265,8.4418,6.0119,1.7809,1.6053,108.2263,5.5273,14.3101,13.4981,36.2384,8.2222,2.693,13.7732,10.8948,7.2384,15.4605,9.222,7.2528,8.1266,9.3122,10.9415,10.1395,10.1973,3.8772,84.1362,135.0841,45.6267,2.9577,136.2834,50.6016,26.9012,14.0458,11.5926,6.4214,16.7158,22.6024,32.7975,35.6333,40.0523,46.0766,24.5469,28.2674,12.8043,15.4163,0.0
NZL_H52,304.9233,183.0946,65.0889,5.4276,2.5012,1148.6247,13.3759,8.6384,35.3189,48.7174,2.818,1.5418,23.0895,38.5185,17.9872,17.3659,13.4213,7.7388,5.3564,13.9573,6.2145,11.846,7.6223,2.1337,34.3219,885.3505,84.2832,47.9825,33.1417,224.9162,9.2638,24.8332,13.5121,3.2523,7.5723,7.546,13.475,8.7845,45.7212,14.4242,13.276,11.3055,9.5956,78.2548,0.0
NZL_H53,30.871,2.4372,1.5227,1.0704,0.2617,28.3031,2.7429,1.7251,20.1813,2.5108,1.5771,1.6627,5.6826,6.3857,1.2592,3.8663,0.8875,0.6124,2.1054,0.386,0.592,7.0003,8.9851,6.3784,55.859,217.2201,6.2375,0.4412,1.8216,5.7667,211.9827,18.3409,15.9409,3.1122,7.3438,155.2322,22.7022,82.4168,54.7814,82.751,31.9114,52.9412,14.0512,30.3517,0.0
NZL_I,56.0476,7.4341,2.7084,1.6323,3.2559,98.4099,5.9572,9.0466,11.3165,5.6144,7.0456,4.3141,7.5447,3.5018,5.4641,8.5026,7.6956,8.2081,5.1995,1.5696,6.2617,3.9241,18.3873,4.6947,61.2346,61.9006,17.6607,1.9707,76.2982,8.1227,1.1184,35.569,12.4114,4.9095,20.9434,9.6948,27.5513,25.8399,19.3011,99.6259,74.1747,185.0636,11.5569,10.3233,0.0
NZL_J58T60,20.6801,0.9444,3.747,1.6908,0.2979,151.1191,5.7745,7.0133,13.7162,24.4957,5.7104,6.0097,12.0404,10.2935,2.2717,15.3945,12.6389,11.4876,4.7487,2.3009,2.7826,11.1126,15.0114,4.1405,43.1613,248.8471,6.5099,1.8556,18.3897,12.8391,7.1127,49.3296,259.6281,54.8085,22.7177,74.1112,55.039,109.3433,71.4903,45.5331,35.008,29.893,68.5821,45.4523,0.0
