V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_A01_02,5165.6409,0.5306,6.9938,6.7109,2.444,9613.3434,19.8661,507.5918,276.7936,1.6887,38.686,164.8882,30.8861,6.3468,4.3,12.224,3.3204,3.2269,8.9836,9.0613,9.1387,14.458,342.4054,10.7407,258.6135,221.0019,35.0258,3.8688,32.7497,17.5084,3.3401,66.9456,19.4571,9.6997,31.3556,91.7921,72.5444,156.6018,107.0111,75.0434,39.8359,119.748,33.0076,9.7519,0.0
GBR_A03,0.1167,239.9113,0.2168,0.0318,0.0318,791.2839,0.0272,0.0312,0.0742,0.0571,0.1055,0.0653,0.08,0.0563,0.0801,0.1304,0.0679,0.0402,0.1102,0.1694,0.0752,0.087,0.1089,0.1404,0.9264,2.9531,0.4455,0.701,0.8591,0.8559,0.0587,261.0793,0.5468,0.117,0.4882,1.6527,4.5505,3.7711,2.8237,1.2435,0.8696,1.2401,0.8424,0.1467,0.0
GBR_B05_06,1.0901,0.0006,365.3744,6.5655,0.7159,3.6618,0.0009,0.0013,1.1075,7754.396,394.7265,2.9019,0.5089,19.1329,228.1292,0.0159,0.0005,0.6244,0.0023,0.003,0.6732,4.0139,3423.2389,0.0183,2.8104,19.685,1.6895,0.7951,0.0381,4.8126,1.4546,0.0771,0.9042,1.9634,1.0329,2.8639,29.661,73.3707,7.8085,5.2783,4.8519,25.0562,31.56,46.1508,0.0
GBR_B07_08,7.7945,0.2684,2.0625,697.5102,7.5129,62.3109,1.4867,3.9244,6.0882,1.2268,144.3393,6.8791,29.8591,1034.1301,18.8876,279.6723,5.767,14.0918,4.4545,63.3116,10.6192,28.1073,4.5078,14.8896,3023.2575,94.4179,30.8748,1.9626,7.3309,14.3653,2.5474,14.5549,6.7477,3.2015,10.2539,19.9112,33.1219,39.2324,63.054,27.4572,28.895,28.6804,12.4801,11.8338,0.0
GBR_B09,5.5778,0.203,2270.6542,404.0928,1255.2005,28.4955,1.6468,2.1597,6.5623,1.7078,8.6969,3.7012,5.5592,9.9208,4.1445,7.6821,2.5748,2.9339,7.8328,9.0261,9.26,5.6492,7.8791,6.4259,381.7058,110.6831,52.774,1.019,2.8263,11.1715,3.2672,9.5994,9.2044,3.4785,12.7657,36.9537,11.6256,100.048,26.2213,22.8521,16.3964,41.6388,6.1533,3.4299,0.0
GBR_C10T12,1468.4585,264.7829,32.0182,19.0989,14.4836,16803.0279,40.1825,28.6021,91.8088,20.0483,259.9918,70.678,122.3195,38.243,26.9,57.158,210.3741,154.845,425.2371,169.0332,47.5318,52.818,69.687,48.6191,249.6394,1708.5856,923.3502,81.0993,46.6213,858.8994,69.1262,11697.0838,492.3885,61.2633,269.8295,379.1047,288.4564,299.2045,563.113,205.1407,1403.3206,1880.8532,661.5048,236.6064,0.0
GBR_C13T15,12.3955,1.0258,3.3903,2.3903,2.5004,41.4967,687.771,7.3977,41.2517,2.2718,33.1402,11.6788,43.2898,12.5256,4.9221,16.4185,10.7055,6.6452,17.5757,161.072,13.9884,125.5515,10.0663,8.3632,209.4382,479.0679,12.8766,1.4375,6.4229,8.5482,2.8434,25.0394,24.9965,4.454,13.7489,38.6355,25.8032,139.8831,21.1608,88.4817,57.8787,142.5942,16.5324,64.795,0.0
GBR_C16,3.9788,0.2682,18.1444,5.3623,1.5856,27.3844,4.7486,1766.9998,360.2546,0.9004,7.1085,7.2228,8.2289,54.41,4.885,111.5243,4.6657,16.2554,12.2803,118.4259,75.4788,1188.4109,5.555,6.4998,3998.0303,80.8789,8.5625,1.7454,3.475,5.3883,2.2265,11.2301,14.6271,2.9934,13.0141,39.8822,159.7818,28.6521,253.749,25.3276,71.5967,38.8022,16.8143,75.4466,0.0
GBR_C17_18,75.1976,3.0364,9.7744,6.2725,2.3818,850.5311,47.0271,45.3027,3183.5674,3.3644,245.0956,93.3912,232.2244,54.9303,9.5756,78.195,51.8088,49.4442,61.6509,84.7695,41.3006,112.6008,33.4772,103.4082,249.542,3052.7134,90.3356,9.207,13.5582,168.8786,73.2222,217.2959,2179.8656,144.5026,389.4019,1552.1127,121.6955,849.6397,592.5418,1439.719,1763.4338,1881.2766,575.2382,280.2639,0.0
GBR_C19,649.4926,40.3642,155.0389,100.8158,6.5408,159.6382,14.1781,20.9252,33.375,958.3739,323.0877,1.4514,16.5451,214.0349,12.6363,49.3842,3.0035,6.8928,16.6019,18.6435,13.774,152.3048,4.8706,112.8559,1602.3455,2713.826,2839.1656,461.7593,3319.0426,623.5423,329.9958,63.6871,83.6574,56.6164,41.4824,537.3173,100.3448,323.7903,631.3783,693.8931,289.167,437.9818,64.8343,118.4238,0.0
