V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_A01_02,339.824,1.6137,0.4039,0.2658,0.0265,613.0683,51.1082,147.7324,16.7516,8.4906,89.3066,0.4137,2.0846,1.3455,0.1269,2.4374,1.1219,1.057,1.5856,0.4927,0.3019,13.3278,17.759,0.7778,9.7577,64.1915,11.1986,0.2878,0.8216,2.847,0.0656,2.3462,0.6517,0.5499,1.4525,0.6198,7.6209,2.4764,3.0211,2.5353,1.6727,4.1192,1.0901,2.1699,0.0
LTU_A03,0.0769,3.0136,0.0006,0.0005,0.0001,60.2084,0.08,0.0052,0.0062,0.0122,0.037,0.0003,0.0049,0.0037,0.0003,0.003,0.0009,0.0019,0.0016,0.0008,0.0003,0.0094,0.0543,0.0798,0.011,4.2839,0.0082,0.0001,0.0631,0.0111,0.0002,1.3695,0.0261,0.0016,0.0013,0.004,0.0198,0.1062,0.0829,0.1986,0.0098,2.4436,0.0804,0.0123,0.0
LTU_B05_06,3.8287,0.0614,0.6311,0.6213,0.0131,2.8967,0.585,0.7749,0.6807,112.0546,9.9605,0.0204,0.3007,3.0798,0.0202,0.382,0.1626,0.162,0.2313,0.0961,0.0538,1.6558,6.6213,0.1295,5.2873,1.352,1.4441,0.0351,0.0815,0.45,0.0075,0.3051,0.0647,0.0616,0.1516,0.0582,1.4168,0.2322,0.9675,1.3815,0.092,0.3423,0.1076,0.0728,0.0
LTU_B07_08,3.5431,0.0117,0.0,0.0,0.3676,0.0,0.1114,0.0,0.0,27.3575,0.0,0.0,0.0,0.0,0.0,0.5462,0.0,0.0,0.2767,0.1276,0.0,0.0,0.0,0.0135,92.751,0.0,5.1712,0.0,1.8478,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.2359,0.0017,0.0,0.5678,0.0662,0.0,0.0,0.5211,0.0
LTU_B09,0.1465,0.0311,2.8203,0.8344,0.4202,0.0562,0.0052,0.0082,0.095,27.0242,0.8347,0.0024,0.0341,0.5867,0.0647,0.0926,0.0005,0.0035,0.0112,0.0003,0.0007,0.0182,0.6103,0.052,2.5837,0.0331,0.6811,0.0051,0.0157,0.1316,0.0005,0.004,0.0008,0.0,0.0001,0.0009,0.0741,0.0696,0.0436,0.0411,0.005,0.0069,0.0069,0.0023,0.0
LTU_C10T12,238.9294,3.1931,0.0228,0.0237,0.0052,628.4245,1.7782,0.0196,0.2563,0.0239,45.9466,1.0882,0.0457,0.0211,0.2906,0.0148,0.0144,0.0204,1.188,0.4052,0.0115,0.6094,1.928,0.8609,0.1047,25.1665,2.9312,0.9729,3.243,0.0237,0.0064,122.8681,0.8196,0.0518,0.5092,1.7135,0.2752,1.6576,2.4227,1.0677,2.4489,26.2958,5.7466,0.4291,0.0
LTU_C13T15,15.3313,0.2632,0.4805,0.117,0.0592,8.6093,79.6089,2.2431,1.7234,5.1361,2.8238,0.0861,1.5053,0.7682,0.0854,3.4774,0.6916,1.2769,3.06,1.378,3.5611,13.3389,9.5551,0.9734,8.0966,25.3305,8.248,0.4507,8.7881,6.8165,0.1193,1.2998,0.4529,0.6648,0.8725,0.6848,2.7451,6.8636,7.7671,9.2427,1.2978,4.8894,1.2371,1.6378,0.0
LTU_C16,23.3541,0.2379,5.5979,0.6733,0.0087,5.339,1.9397,129.016,8.2977,15.982,0.8712,0.0067,1.5439,2.6205,0.0197,1.4298,0.1002,0.6976,0.428,0.6608,0.3898,263.8985,9.7192,0.8253,15.6761,3.0758,1.0483,0.1429,0.717,0.7015,0.1705,0.5058,2.5709,0.0855,0.1129,0.1826,1.3336,10.7038,1.8829,0.9578,0.4325,1.1524,0.1903,2.0963,0.0
LTU_C17_18,5.3084,0.607,0.0351,0.0466,0.0148,36.1445,18.1539,10.419,86.8701,28.0828,3.4122,0.7535,2.4571,1.4808,0.2571,3.1375,0.5398,1.9484,7.3423,0.0984,0.2605,17.1185,2.9987,4.7611,2.6184,26.5638,3.9609,0.4312,4.334,0.6455,3.5615,0.9873,26.8773,1.0933,67.9481,14.5223,8.9286,26.6688,9.3762,80.9661,40.9188,5.9804,9.274,1.1606,0.0
LTU_C19,190.9007,17.5525,4.6699,6.6859,1.0919,26.2648,15.9532,9.4989,14.0898,109.7884,8.0372,0.0855,11.4387,8.7541,2.4687,7.393,0.3795,3.176,10.159,0.2138,2.1871,19.3313,77.2837,28.1924,59.3552,128.2185,740.9567,22.5524,41.3421,26.6528,2.682,6.5168,11.4038,5.0348,7.805,15.0574,25.8784,26.2748,68.8494,64.7963,6.3531,21.2821,12.6537,11.0602,0.0
LTU_C20,45.8887,0.2063,1.0329,1.1892,0.1345,15.413,18.3527,20.2511,22.0362,8.3219,233.7983,2.4891,112.2317,8.0118,0.181,10.8374,1.1878,2.3254,2.9845,3.0628,4.2846,35.8332,6.0692,3.3796,22.4286,40.5941,100.2805,1.1949,1.5594,4.3082,0.0426,2.6588,1.5284,0.3856,0.6709,1.0903,9.6201,5.452,3.328,3.9112,4.8834,7.5915,1.0726,4.3147,0.0
LTU_C21,4.2416,0.0798,0.0301,0.0242,0.0042,2.9092,0.5657,0.5636,0.2918,1.4895,1.7041,0.2785,0.7619,0.183,0.018,0.3611,0.159,0.1342,0.2189,0.0731,0.0668,0.8262,0.2543,0.1089,1.1183,1.4386,1.6844,0.0453,0.1147,0.1071,0.0093,0.3924,0.1034,0.0641,0.203,0.0987,0.3889,0.4496,0.223,0.4102,0.6072,12.1122,0.1241,0.2493,0.0
LTU_C22,43.3779,0.2353,0.7169,0.4754,0.0485,56.1239,4.6814,2.5312,3.0397,31.8394,7.251,1.1686,31.9893,3.889,0.4183,7.3583,5.3408,12.0705,9.6677,1.9763,1.1557,24.6843,3.0314,7.9084,39.965,21.5895,16.9876,0.5232,0.3988,0.8132,0.0603,0.7434,1.0078,0.4315,0.2304,0.6194,9.6784,4.2137,4.2826,11.4855,2.2343,1.6574,0.262,0.409,0.0
LTU_C23,10.1679,0.3769,0.0388,0.1278,0.0774,27.4972,1.0919,20.5267,1.2396,1.2084,0.68,0.6003,13.3575,39.8644,0.0395,6.8192,2.0621,6.1699,0.7482,0.645,0.789,7.5045,0.5761,2.3579,193.2171,7.7949,1.649,0.3897,0.0994,3.736,0.0097,1.5678,0.9102,1.1167,0.3442,0.1854,108.6356,1.9741,1.8615,0.7452,1.6576,0.9592,0.1958,0.1986,0.0
LTU_C24,0.3609,0.0024,0.0,0.0776,0.0269,0.0277,0.2088,0.0463,0.0399,0.0261,0.196,0.0334,0.1883,0.2734,2.6318,17.283,1.1246,5.9926,8.4845,2.2521,0.4285,2.3356,0.3818,0.8884,31.6539,1.2266,0.2045,0.0179,0.0005,0.43,0.0,0.0067,0.0001,0.0013,0.0,0.0571,0.8964,0.4363,0.1944,0.0006,0.0385,0.0176,0.0055,0.2457,0.0
LTU_C25,13.3435,0.551,0.3272,0.3231,0.1837,13.9603,3.1721,17.6726,4.1464,24.1542,1.3291,0.0985,4.1441,2.8459,0.5873,102.9888,2.9199,9.5533,11.5153,19.3989,5.4778,45.3741,2.2339,1.3704,138.7537,17.3651,22.263,0.4353,1.3042,2.3225,0.021,1.5868,0.564,1.372,0.9527,1.1385,12.2799,3.5182,5.4123,2.2971,1.3735,5.9621,0.9123,0.5257,0.0
LTU_C26,2.1703,0.0708,0.0936,0.0864,0.0237,2.9894,1.5239,0.9144,0.2866,2.4352,0.7351,0.0195,0.592,0.2981,0.1048,6.6589,54.8195,6.8511,34.9869,0.3413,0.1667,5.1429,2.5515,0.7114,6.9012,22.1976,24.1367,0.0621,2.2432,0.8012,0.2269,0.7247,2.1898,5.32,24.0905,3.9998,1.4436,5.8072,2.9002,7.5279,2.5503,4.1315,2.3286,12.663,0.0
LTU_C27,1.5353,0.0478,0.0855,0.1293,0.0222,2.2172,0.7549,0.7283,0.2288,2.213,0.3356,0.0132,0.4315,0.3273,0.0534,12.1138,1.9671,39.4534,2.9682,8.7015,0.5791,7.8833,1.4149,0.4953,15.6024,31.8359,25.7537,0.1033,0.1423,1.0971,0.0293,0.2954,0.9322,0.635,0.405,0.9611,1.5988,0.9237,3.975,0.6077,0.626,1.1063,2.6118,0.4568,0.0
LTU_C28,28.2684,0.3817,2.0682,0.9634,0.202,24.0993,3.6645,3.1932,2.6403,2.0505,0.6437,0.0874,0.7455,1.1468,0.0506,7.4543,10.0656,2.9092,27.8034,0.8666,0.1629,21.0395,2.4281,1.593,34.0098,16.4797,9.6996,0.5153,1.9116,1.4749,0.063,0.8387,0.5676,0.9465,4.3431,0.8563,2.6312,9.3083,8.5648,2.6457,1.9518,2.0343,0.5434,2.4887,0.0
LTU_C29,2.4519,0.11,0.1661,0.1726,0.018,3.8674,0.7031,0.8229,0.1965,0.6799,0.0711,0.0098,0.1066,0.3764,0.0177,0.4844,1.4688,1.1054,1.8226,25.8622,0.4553,2.6457,0.3154,1.0245,7.0449,57.311,102.5585,0.0629,0.581,1.2558,0.0461,0.3052,0.1568,0.1642,0.9349,2.3487,1.2497,2.0765,8.8841,1.5713,0.4833,0.3367,1.3436,0.5448,0.0
LTU_C30,0.1884,4.5345,0.0291,0.0302,0.0005,0.0,0.0,0.1089,0.0031,0.0051,0.0008,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,1.7101,0.0891,5.7086,31.0329,0.0033,0.0068,1.1484,0.1432,7.7737,2.2687,2.3978,0.4211,0.0,0.0,0.3114,0.0,0.0,0.016,0.0,1.0488,4.0058,19.7243,0.1321,0.2169,2.9621,0.0086,0.0
LTU_C31T33,30.9214,0.4234,2.2332,2.1439,0.3055,34.7739,10.2783,19.1007,4.7191,19.8336,19.0375,0.4322,5.4374,7.1299,0.1596,13.8842,3.4191,4.0813,4.8579,2.6686,1.9681,98.914,15.0079,9.9964,51.6205,56.0892,125.0296,2.2875,11.7877,16.1251,0.3061,6.0469,6.122,8.218,8.5862,12.4869,18.608,30.9963,24.6338,28.0869,16.2232,126.4653,8.8618,5.2132,0.0
LTU_D,73.0447,0.5651,2.8557,4.3342,0.309,102.9919,31.0628,31.4053,29.1515,34.4565,75.7599,1.3548,33.7571,30.6039,3.5954,24.6124,9.9404,19.8908,9.8238,1.8717,0.8002,49.3668,9.9296,19.8351,13.4587,101.1256,22.5539,0.324,4.0365,9.6182,1.8205,29.7585,2.3192,27.4426,12.6173,11.105,68.6659,19.9456,15.3643,53.2358,32.376,43.4212,30.5629,10.7503,0.0
