V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,5407.2212,4.7249,9.8338,12.5102,0.0368,13291.7947,72.6153,803.234,245.6211,8.7057,96.2637,26.5873,150.6375,19.9929,8.4341,23.4686,2.314,14.6609,33.4052,21.0059,8.3471,140.9065,129.1701,8.4707,85.0226,1145.7824,85.675,0.717,1.9713,7.5759,0.6232,136.3318,2.9114,2.6499,5.1247,8.7361,32.9813,23.161,343.6508,43.2225,13.4421,70.2054,6.8442,66.6995,0.0
POL_A03,0.6109,1.8964,0.0119,0.0704,0.0005,129.6634,0.0766,0.0541,0.0482,0.0224,0.1351,0.0096,0.0609,0.039,0.0263,0.0473,0.0222,0.0468,0.0359,0.0725,0.0205,0.1108,0.0298,0.024,0.1886,11.9231,0.8796,0.005,0.0224,0.0403,0.0031,9.2163,0.015,0.0194,0.0228,0.0275,0.0312,0.3185,0.1576,0.047,0.1022,0.5432,0.0822,0.1836,0.0
POL_B05_06,88.9873,0.0673,114.4958,91.579,1.65,71.2942,5.4289,5.4025,32.3388,842.3644,119.6547,1.3532,21.7936,83.5087,484.7221,13.4116,2.1984,5.9303,6.7139,6.4375,3.2519,10.0346,1950.84,41.4087,130.4965,44.6387,19.3269,0.1269,0.4131,13.4821,1.8335,9.9379,2.177,5.2784,9.1996,8.0175,52.8102,21.6008,33.1853,14.6344,7.9034,10.5122,5.0863,4.844,0.0
POL_B07_08,25.3209,0.0035,286.0537,269.1901,0.0,4.5635,1.0132,0.319,1.8426,1891.2715,382.8107,1.0308,24.5167,832.7489,901.2803,75.5012,54.9575,79.7413,25.7926,17.9278,2.0625,5.7202,487.6745,11.9009,1199.5215,39.2013,32.2094,0.0,0.0,4.661,0.4832,0.7678,0.0241,0.0,0.0936,9.9884,8.2269,28.7069,46.0727,27.1214,5.8321,1.2077,1.7538,11.2494,0.0
POL_B09,0.0,0.0,106.208,44.6813,218.7909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.2342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,3503.9529,8.6134,9.523,17.0539,2.6145,12348.7132,68.863,52.2872,83.9082,100.8029,178.2769,16.977,153.6234,63.0929,57.2178,112.3901,30.4666,74.4288,53.8124,86.3012,21.7262,182.2413,49.6803,41.3429,318.2363,2805.6352,150.477,3.2783,10.3328,51.0354,3.9238,2939.0129,11.6802,19.1348,28.5175,104.4563,92.897,79.3415,140.5377,99.3633,158.3126,303.4395,38.1581,229.4584,0.0
POL_C13T15,16.6739,0.1545,4.0836,4.8623,0.0882,55.8801,925.5919,10.9311,49.4664,6.2847,14.853,2.5998,123.5764,18.4029,11.8106,23.2994,4.2659,19.6171,14.3399,211.546,12.9768,219.9309,5.0639,7.5669,77.7927,169.8568,54.5948,0.4845,1.6835,19.825,2.1682,19.6544,5.0694,2.4719,2.9472,11.529,8.9883,13.0159,26.8651,51.2604,7.4333,25.4393,21.5648,17.6324,0.0
POL_C16,117.6128,0.0888,12.5349,7.2102,0.1714,64.7316,21.4993,1785.4387,110.128,9.0701,33.1788,2.6108,75.4853,94.1164,15.4008,144.265,21.2801,92.9078,34.8421,72.8293,48.9921,1828.4969,11.0107,18.9387,1191.3783,424.3555,183.2178,0.9758,2.3325,56.014,3.6541,15.8044,5.3366,3.7523,4.0059,12.7168,115.6407,18.602,29.5984,30.0308,11.8701,20.8118,11.8072,92.0196,0.0
POL_C17_18,42.9801,0.1557,3.6582,8.0228,0.154,878.5044,84.5934,237.1353,3166.8968,21.7684,145.3663,62.2439,209.2119,206.859,26.3794,80.9408,14.2547,101.2193,41.8567,86.9928,18.7028,306.1172,12.705,47.1877,166.2131,1312.8743,106.0776,1.0871,3.691,89.7677,12.378,75.0267,478.6259,28.9796,57.2681,540.0842,79.8032,444.788,330.1138,146.929,271.7321,75.1311,118.2121,140.7629,0.0
POL_C19,714.7946,9.2868,16.1472,58.5027,10.1719,339.9079,65.6973,82.2261,86.7427,470.0246,385.9452,26.7849,299.6409,239.5625,274.8072,117.9956,24.2061,85.042,53.4204,81.5741,28.9338,155.8362,67.9378,187.2066,803.2561,1008.0782,5917.7632,26.5581,141.8693,524.1503,41.9197,102.2514,15.6044,20.6434,24.4341,322.8364,171.0238,101.1364,177.8879,146.861,63.1012,150.8648,35.4228,61.377,0.0
POL_C20,804.6482,0.3512,12.8976,25.907,0.798,260.4383,164.9371,136.933,241.1263,175.1792,1432.0997,26.7508,1357.0708,236.278,65.8932,196.1101,42.7215,209.3331,72.5479,227.0865,47.7518,254.4604,15.7563,53.0355,521.9662,426.5145,139.5232,1.5664,5.5017,39.3396,2.5395,52.2145,17.6332,8.2041,8.2252,29.0125,97.653,89.3148,94.2116,24.8306,22.2587,269.6866,16.564,57.5488,0.0
POL_C21,31.9347,0.0991,1.0691,1.7547,0.1708,68.9439,9.4402,7.0372,8.2319,10.4732,23.2623,125.3435,27.8597,9.3924,6.5641,14.8462,4.5627,10.3092,5.5605,18.8349,3.3799,17.1576,5.2538,3.0722,40.6601,46.1479,16.5812,0.2176,0.6853,4.2287,0.4566,13.415,3.0131,4.4986,6.7727,5.9817,6.8265,52.6835,8.9198,15.086,6.0244,194.5194,3.4942,4.5267,0.0
POL_C22,85.049,0.2041,27.0183,33.3226,0.6197,453.6351,174.5327,90.4041,180.2958,28.7944,268.2389,37.6326,2618.4047,128.6087,62.1272,296.1785,213.7179,658.2456,214.4664,1141.1093,58.6002,617.9662,24.5801,105.6215,3595.8879,1048.3098,406.8668,1.1414,4.2391,117.6406,9.357,23.1511,99.2115,17.6228,11.338,113.683,57.5755,76.8006,111.2054,69.7857,26.6993,55.5238,17.3311,50.2544,0.0
POL_C23,127.721,0.2827,12.2831,47.0581,0.3216,247.6842,43.9452,130.7212,40.8333,39.2041,104.8377,11.9571,435.9349,1560.4412,121.2919,307.1538,74.7205,255.3707,96.5414,158.2338,50.495,285.1813,35.0238,95.4969,4503.5587,666.9136,200.7734,1.1611,3.5321,37.0868,2.3825,37.5181,5.1439,23.3614,12.8275,46.5255,158.0006,119.6879,61.0151,39.0839,30.0738,70.49,12.5634,104.4922,0.0
POL_C24,6.9018,0.0285,16.0306,166.771,0.0,33.8595,13.591,21.9444,9.4326,10.2192,12.8619,0.7511,78.6984,53.9079,1249.8709,2359.0117,127.4093,538.9234,429.4525,743.8281,207.0464,258.7849,6.7352,258.4008,413.0049,197.8881,68.1017,0.8942,1.3798,6.6579,0.562,0.3145,1.0638,3.1353,2.1258,0.9466,9.1891,32.229,17.9132,10.901,1.9222,2.7296,0.5712,12.5432,0.0
POL_C25,241.7449,0.7242,79.4863,66.0008,0.2956,354.3484,33.4447,177.29,59.6995,33.4233,92.204,7.9376,304.5109,108.9111,433.6489,3964.484,94.3471,666.0232,1121.9291,3432.7932,367.586,853.073,92.363,91.428,3786.2502,728.3119,221.451,4.25,17.4369,55.3306,3.5155,26.8785,12.082,15.7013,30.4188,24.2418,212.3534,148.8008,81.2028,293.8326,27.005,59.3363,20.8088,56.81,0.0
POL_C26,11.9527,0.1325,3.0689,4.4121,0.0308,17.7565,3.7549,4.7401,9.7721,7.0254,11.1078,1.8806,15.2014,7.5127,11.826,38.8,896.7428,144.0654,37.7347,83.6143,10.5265,59.2278,19.9578,4.5724,90.0087,98.0881,30.9544,1.1198,4.1837,10.0185,1.0887,3.8648,8.7326,203.2713,92.2184,16.1313,8.7834,44.7,18.7164,23.7002,13.0914,39.5392,7.6784,25.7924,0.0
POL_C27,35.9779,0.4601,13.5176,14.8115,0.1666,50.3155,9.2882,13.1878,15.3114,22.9609,15.5005,2.8853,44.9439,28.6781,78.4551,114.4599,462.999,1161.6774,226.1835,321.7682,44.7775,118.0046,93.601,17.6711,521.7218,240.3428,170.048,3.1849,10.1087,22.1075,1.5631,11.2157,4.1903,35.2234,28.007,15.1564,28.4176,46.3066,26.0674,55.3634,24.9112,53.5861,8.1448,53.1646,0.0
POL_C28,147.3212,0.665,27.814,40.1175,0.1891,90.2309,21.919,23.4787,39.0731,34.2716,29.9131,4.3412,44.5087,27.3639,53.1873,270.4514,39.4867,159.7798,311.6462,424.8372,87.4067,246.5974,62.8195,27.5207,353.2492,203.8364,75.5205,3.4877,14.7752,26.6394,1.5518,15.3694,7.7741,10.6678,19.6846,15.2572,33.6464,48.0448,45.4509,28.8882,9.004,19.8521,12.9182,10.7813,0.0
POL_C29,54.4833,0.39,8.7304,20.2208,0.3535,80.8489,21.7329,23.0529,22.0068,11.2789,28.5116,4.7143,172.7995,33.2045,25.1655,142.2956,41.2963,126.0568,124.9838,5331.7427,49.2071,388.1738,22.6383,46.1855,317.8456,522.1138,1391.6024,1.5845,6.1404,84.9152,6.6628,14.1341,9.2541,18.3484,31.1103,53.7072,27.0834,59.5006,62.476,33.8212,17.3927,38.1089,11.6698,20.4215,0.0
POL_C30,10.2612,0.5361,7.8853,5.613,0.0,0.6373,0.0,0.1231,0.2997,0.3111,0.1111,0.2631,4.5978,0.1799,0.9385,5.2061,1.0916,2.3122,1.844,13.2592,838.8479,85.865,1.0955,3.1602,3.078,3.6363,634.0961,24.2918,75.656,19.4392,2.4554,3.5555,0.1238,0.1427,0.7198,0.0,0.2702,1.2141,1.7149,87.7789,0.6354,0.5921,0.9657,0.057,0.0
POL_C31T33,168.5324,9.6376,128.8659,217.8259,0.1725,329.7054,62.5531,173.8351,165.6304,113.2963,125.3651,36.5522,203.2335,167.2726,259.1388,514.3286,59.2209,364.2631,279.9543,341.822,202.2322,1086.373,249.2472,75.3017,1132.7972,699.1319,314.3239,51.4494,220.6184,172.2012,11.7996,102.1674,37.3399,48.4048,102.8261,58.8179,128.0086,229.4332,218.9563,171.6693,152.5901,658.3261,192.5552,91.4855,0.0
POL_D,569.6725,3.4529,234.4597,248.7638,203.0689,938.5919,155.9028,223.3067,322.0851,81.6336,446.0847,72.1113,537.5094,567.4174,1152.7005,433.6392,53.9275,188.3533,174.6948,326.5576,69.76,241.6124,1095.77,366.2887,563.6532,1342.4765,698.7761,1.7334,6.7738,546.8577,31.1426,299.6844,64.9246,162.5425,66.8551,146.4687,4361.2827,263.5904,140.3079,360.9212,578.8675,548.5016,295.022,134.209,0.0
POL_E,83.398,0.3757,55.399,60.9827,0.9397,290.9764,96.4691,31.5318,146.2949,53.9452,103.48,23.8408,108.2883,284.4739,467.2482,458.8963,25.902,91.8803,90.8898,100.0351,49.4709,97.197,126.1403,1496.6867,506.2316,749.3064,316.2555,1.8359,4.6806,113.9152,5.7572,184.4968,19.5169,27.6781,59.9765,47.2661,1861.6408,180.0858,334.7834,119.9754,98.2716,228.086,92.8039,92.3417,0.0
POL_F,254.7665,1.3108,58.697,137.5732,0.1116,374.6226,73.2011,154.5465,175.0129,85.2503,216.0214,17.6921,307.3197,364.1521,138.601,812.9033,46.3862,576.7316,296.9671,346.2239,146.929,614.2692,4066.6853,351.3381,30652.6423,3787.5191,143.3382,6.0784,26.7735,518.3626,25.3802,358.1808,20.8105,245.8673,126.8198,127.1608,4680.1537,2750.6808,552.9702,2901.7308,796.3993,560.0876,255.1608,209.3498,0.0
POL_G,3406.7465,14.6392,127.6047,224.487,15.5656,9336.3423,1049.2442,873.6112,1093.5612,1232.1946,1207.9513,289.7226,1958.5337,1023.0483,807.7541,1800.7006,641.5215,1202.5394,707.9866,2874.963,403.5254,1810.0669,661.5102,438.9126,5231.4074,5706.7764,4887.8143,30.4723,128.1615,777.9659,70.6677,1504.742,271.195,358.2108,457.1717,713.0469,717.6833,1704.369,1027.297,611.889,395.8356,1053.8383,243.918,479.316,0.0
POL_H49,801.3186,1.8488,154.2143,301.2101,2.4005,1886.7098,198.4932,892.9049,860.7647,790.9156,1009.6744,44.049,820.7382,1280.5028,796.8709,926.1407,147.0496,415.8809,297.659,505.9322,135.8576,682.2054,641.2277,614.3195,1621.5623,5851.8397,4461.3958,14.6079,47.07,3615.0094,325.8245,220.7193,55.5554,47.7211,90.1521,170.9652,239.0463,405.9876,2580.2294,345.6851,288.5928,326.5635,92.3978,196.2968,0.0
