V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_A01_02,323.2688,0.0206,0,0.9364,0.2768,426.7596,0.9477,15.4045,3.179,0.0025,7.5021,1.4415,6.5024,0.5057,0.0302,0.059,0.0,0.0,0.0,0.0342,0.0492,1.2266,22.5844,13.6174,37.9914,91.5646,5.6644,3.2193,1.4311,2.0663,0.4306,351.6426,2.6039,1.5427,0.0694,0.1597,4.6236,0.5613,0.8747,10.9241,2.8886,18.4476,6.1034,9.819,0
KHM_A03,175.1241,188.7563,0,0.3539,0.0899,162.8545,0.4258,5.696,0.8862,0.0,2.4151,0.7749,2.435,0.187,0.0117,0.0207,0.0,0.0,0.0,0.0107,0.0271,0.187,8.1762,4.1724,0.0058,33.8184,1.4469,1.4148,0.8924,0.5521,0.184,130.044,2.1444,0.5526,0.0344,0.0588,0.0064,0.0921,0.435,0.0103,1.5793,7.7475,2.4703,3.7236,0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KHM_B07_08,3.324,0.0175,0,0.2528,0.0311,1.7745,0.2397,0.0159,0.2394,0.8967,0.0916,0.0051,0.1356,10.6516,13.2862,7.3556,0.0001,0.0003,0.0029,0.002,0.0036,0.0517,17.9041,7.3333,10.3504,0.4277,0.5357,0.0624,0.1909,0.1573,0.3716,3.0657,1.1678,1.1937,0.179,0.2615,12.4226,1.3256,0.7478,2.3941,0.3265,0.1697,0.9056,2.4738,0
KHM_B09,2.7763,0.0146,0,0.2104,0.1384,0.9425,0.0598,0.0232,0.099,0.2873,0.0323,0.0006,0.0799,1.2091,3.5473,3.4226,0.0,0.0,0.0017,0.0009,0.0018,0.0748,14.628,2.1997,2.0588,0.1834,0.2617,0.0223,0.0298,0.068,0.506,0.7847,1.1958,0.0,0.0321,0.2135,10.7841,0.8337,0.1547,2.2032,0.2844,0.2445,0.4209,1.1189,0
KHM_C10T12,16.9412,0.1493,0,0.0899,0.0114,286.802,1.2074,0.0433,2.8027,0.0006,0.1326,0.0178,0.2287,0.1286,1.5649,2.9019,0.0001,0.0002,0.0187,0.1575,0.3051,1.2445,2.6347,1.8629,21.0199,38.2093,4.1687,2.5218,2.471,1.3181,0.6685,120.6421,1.511,1.9737,0.235,0.1542,5.725,0.6384,0.5533,3.2283,0.7825,0.444,1.0121,1.6881,0
KHM_C13T15,20.5261,0.1735,0,0.0084,0.0017,49.7611,1905.6198,0.0455,48.7397,0.0271,0.3476,0.0562,52.5361,0.1522,2.8322,6.8296,0.0001,0.0002,0.0264,0.203,0.3021,8.0509,3.1121,3.2172,60.2599,52.0343,16.0073,4.1824,6.5898,5.2387,1.2263,62.3075,8.5078,2.6161,18.8442,0.0003,0.0116,39.1303,26.4874,38.971,8.6122,0.1541,0.7931,3.368,0
KHM_C16,12.5475,0.0589,0,0.0296,0.0033,0.4546,0.8768,8.8996,0.0011,0.0128,0.0002,0.0,0.001,0.0007,0.0107,0.0375,0.0,0.0,0.0001,0.1194,0.1378,0.6153,0.788,0.22,2.216,4.03,0.0293,0.0073,0.0045,0.0179,0.0,2.1175,0.024,0.0,1.6616,0.0,0.0,4.6881,1.8917,0.0033,0.0,0.0008,0.0337,0.1213,0
KHM_C17_18,0.0121,0.0001,0,0.0073,0.0011,0.5422,1.2184,0.0247,8.7136,0.0167,0.1275,0.0278,0.0563,0.0291,0.4772,1.475,0.0001,0.0003,0.0175,0.043,0.0568,1.1017,0.4021,0.3385,3.3166,2.1473,0.764,0.112,0.2129,0.4273,0.131,4.5783,3.7028,0.3694,0.0341,0.0394,0.0107,0.0963,0.1831,3.6885,0.9975,0.0256,0.061,0.1247,0
KHM_C19,19.3589,0.1027,0,1.7982,0.1948,5.9652,0.0685,0.5091,0.0001,1.3889,0.035,0.0015,0.1991,0.4501,0.2794,0.4833,0.0006,0.0024,0.0,0.1522,0.2301,0.5046,11.8953,2.4742,0.9759,9.9301,18.6062,3.7192,6.5179,1.2418,0.079,0.9327,0.3854,0.1326,0.0803,0.1658,0.4124,0.2032,0.4134,2.3916,0.1737,0.1164,0.399,0.7246,0
