V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_A01_02,7092.3119,92.8661,25.7587,22.1491,2.5809,21723.9607,10.4488,5169.0647,709.0316,13.5404,814.848,15.7153,265.8947,9.7333,20.5506,9.4446,1.7151,3.4394,6.7314,11.8131,2.6238,19.3582,50.3196,3.7341,1090.9318,130.335,67.797,0.9932,1.1002,23.9212,6.1906,2035.4687,16.3091,3.3332,6.6531,15.8501,14.1663,50.251,17.2617,207.8901,48.6117,91.7308,25.0304,43.3047,0.0
CAN_A03,48.53,7.6556,0.0225,0.0089,0.0005,1851.9643,0.0034,1.4197,0.0921,0.0007,0.3835,7.776,0.1152,0.0007,0.0008,0.0012,0.0011,0.0013,0.0021,0.0011,0.0021,0.0056,0.0221,0.0048,0.4967,0.515,0.0111,0.0004,0.002,0.0037,0.0031,256.9605,0.0252,0.0219,0.1079,0.111,0.0128,0.0636,0.0169,2.2056,0.0185,0.0315,0.014,0.0217,0.0
CAN_B05_06,290.4736,10.5175,2449.8423,252.0802,112.7425,208.9402,8.932,65.8019,156.2939,20435.4041,435.5387,18.5904,42.516,248.4425,933.5899,64.9127,9.7256,8.4234,33.618,37.6305,37.7113,54.4231,1324.9948,35.7846,879.6898,785.0436,336.5447,21.9436,151.5842,60.9478,23.6065,75.4709,75.5584,24.5543,30.4248,262.6543,551.2786,144.1362,175.4373,362.5327,298.0263,285.065,38.0415,123.7406,0.0
CAN_B07_08,512.2027,8.8942,1097.9601,380.6705,119.8705,179.0108,28.9459,56.547,191.7757,39.4845,726.7832,93.7096,377.0756,1325.3012,5049.2432,58.5212,27.586,20.5017,52.3689,77.1029,80.5428,687.7545,277.5169,22.9216,2323.1461,1253.3646,95.8634,2.8976,16.7433,82.1347,11.4854,101.9564,101.0457,48.5534,111.3073,559.4022,318.2473,270.7965,292.86,572.4769,114.9863,425.9624,51.8821,160.5801,0.0
CAN_B09,8.4446,0.0763,6212.0206,1376.2256,539.0053,8.2996,0.3947,1.6451,2.4544,0.7082,3.1634,1.1119,1.6556,2.2339,2.8027,1.6049,1.1299,0.5038,1.9394,1.8305,4.1344,2.0789,7.7957,1.1074,6379.2931,64.9068,4.5101,0.0468,0.9079,1.5085,0.5666,4.9178,4.9454,3.5045,9.7422,33.4929,19.1979,14.1213,14.2547,21.6163,4.9017,14.6521,3.0257,6.6623,0.0
CAN_C10T12,5310.3076,83.3616,103.427,36.8024,18.5517,10287.7363,28.6109,39.3411,86.1323,12.4017,113.5476,62.5286,35.3378,32.7221,57.48,61.3294,15.056,8.9999,48.5584,31.8136,53.3129,62.9804,56.453,16.9665,286.9276,781.3976,35.9995,2.9004,34.3935,36.847,6.8416,10101.6265,81.3818,55.9083,70.037,194.0603,169.3466,195.7428,157.2645,289.5095,268.4558,725.3914,308.9655,120.8323,0.0
CAN_C13T15,51.4131,12.4736,7.1436,14.1598,1.6927,34.2845,215.5308,8.9276,42.0498,2.598,26.8801,3.391,65.2266,13.4936,12.7399,19.7058,3.0652,2.5189,13.709,68.5628,10.3658,125.6615,2.8995,2.6433,357.4782,38.5661,7.4409,1.1051,7.7534,5.9394,1.9364,65.6328,10.9362,4.0128,5.7084,8.2613,8.0595,25.8814,10.4005,74.8035,51.6641,132.1514,21.3624,40.0526,0.0
CAN_C16,127.4501,7.2139,42.0308,25.4129,8.883,121.4747,12.0823,2816.141,1767.0457,21.6067,35.0079,9.1797,68.7899,51.2119,49.8316,87.2776,8.0817,6.0769,44.7182,32.0254,37.4043,922.1552,35.7142,6.4826,8665.0332,196.2782,63.6824,2.4945,42.164,10.1154,8.413,16.1087,9.0715,8.5673,12.4419,42.3013,33.8316,30.9284,39.5489,82.8336,19.3622,48.1268,9.257,98.74,0.0
CAN_C17_18,129.5319,23.2405,87.599,27.1934,13.7642,1282.2836,31.3139,95.1125,3363.8853,11.3708,194.3337,56.292,173.8388,77.9201,69.0265,126.2448,56.5459,52.3407,79.4758,47.9896,44.148,202.126,38.1065,40.1004,526.0408,1752.1197,38.8751,4.7937,21.5692,96.9285,50.2331,237.9342,687.5931,123.9846,174.866,506.9325,223.8537,672.7438,319.4869,426.2879,582.5116,650.7605,262.5244,454.745,0.0
CAN_C19,2024.5971,145.1291,1488.0085,734.896,444.547,246.8828,17.4341,176.5952,112.6574,1594.722,1120.5741,33.8822,148.2918,919.9181,495.9164,136.1564,14.7527,23.9839,64.749,99.4224,32.9822,285.254,312.335,261.1204,2506.0715,2021.5756,4701.213,210.6774,2363.1013,232.6258,298.7146,280.946,80.4909,197.5763,67.7986,411.3766,629.3832,342.8323,1088.9527,1121.4206,824.0898,891.0877,96.0564,458.4724,0.0
