V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1867.9408,4.6888,0.3227,1.0183,0.2568,3187.7165,8.9956,128.0311,11.8272,10.3795,104.4042,14.7102,70.3443,7.7344,6.2428,10.6208,7.0076,7.1468,11.6133,34.5132,1.2622,17.4061,49.042,12.5473,86.8632,603.1339,18.6847,1.0201,7.8817,16.379,1.3822,105.7225,9.7075,3.9344,4.2257,5.0331,32.9966,28.4535,51.544,26.869,8.2905,23.0832,10.1668,15.8525,0.0
HUN_A03,1.2799,3.3936,0.0004,0.0014,0.0006,2.5505,0.0074,0.0021,0.0046,0.006,0.04,0.031,0.0326,0.0052,0.0057,0.0111,0.0109,0.0074,0.0165,0.0732,0.0006,0.0079,0.0151,0.0112,0.328,0.3418,0.0219,0.0189,0.001,0.0216,0.0018,7.9884,0.0291,0.0119,0.0241,0.0185,0.1163,0.0764,0.124,0.0874,0.0129,0.0447,0.322,0.0407,0.0
HUN_B05_06,1.8547,0.0032,0.0499,0.0947,0.0056,1.5474,0.1472,0.0544,0.5637,58.1483,3.9524,0.5247,0.5075,1.844,3.7543,0.3705,0.2562,0.2651,0.4647,0.8563,0.1109,0.0704,12.352,0.5148,4.7288,2.7959,0.6494,0.0054,0.0058,0.8917,0.0932,1.5112,0.0542,0.0883,0.1075,0.1696,1.5321,0.9989,0.7355,3.7206,1.7908,1.8673,0.6531,0.2546,0.0
HUN_B07_08,7.9535,0.0206,0.3338,0.9595,0.7143,2.7629,0.8384,1.0782,1.0322,0.3373,19.8629,0.6892,2.6291,62.2198,14.9354,1.5714,0.5941,5.0629,1.9837,3.6235,0.4224,2.4322,2.0134,1.7917,133.6573,5.8693,2.2206,0.1451,0.017,1.6158,0.008,0.2524,0.0911,0.0437,1.2897,0.0174,30.2616,8.5581,2.2811,4.8213,4.2558,3.2186,1.8878,1.1521,0.0
HUN_B09,0.7258,0.0012,6.0176,0.0895,0.6663,0.6273,0.0551,0.3872,0.2351,75.8382,1.4092,0.2795,1.2714,0.7798,3.9952,0.2504,0.216,0.2575,0.8736,3.5117,0.1325,1.5001,5.0145,0.4135,14.2294,1.4913,0.3515,0.0161,0.0937,0.332,0.0346,0.5298,0.1083,0.0506,0.1459,0.1076,0.5571,1.3731,0.7201,1.0096,0.5634,1.1003,0.4094,0.1453,0.0
HUN_C10T12,608.1521,1.5856,0.2343,0.5127,0.285,1023.1924,4.9133,2.7849,13.9824,12.4779,78.8209,16.9651,18.0985,5.8796,6.2303,7.6619,5.2649,6.921,7.1376,24.2287,1.1236,8.0975,10.3945,7.1759,23.3288,185.9835,6.9931,1.4841,6.3022,3.9372,0.6595,953.5147,6.0996,0.9996,2.6179,3.2759,19.0742,35.219,42.339,25.2943,5.8872,91.7387,10.1393,10.0371,0.0
HUN_C13T15,2.3185,0.0119,0.3147,0.1754,0.0543,4.412,119.01,0.5373,4.4199,0.444,1.1693,1.674,34.4228,3.3787,1.4664,1.8396,5.4596,4.0391,13.9855,83.453,0.389,24.7503,1.2038,3.6085,25.8044,16.2193,2.5281,0.1454,0.2939,2.7267,0.7385,4.0153,0.3706,0.4833,1.2471,0.685,3.0194,5.6869,5.8855,5.7378,1.3379,13.3274,30.3987,25.6629,0.0
HUN_C16,20.2347,0.0223,0.0562,0.1948,0.0446,14.9939,2.0798,117.1441,2.9711,0.7521,10.1579,0.8813,11.2466,17.0995,3.9493,17.3803,2.9671,12.7337,11.4135,28.4111,0.7271,77.5777,40.395,2.1351,212.0468,49.9017,5.3887,0.3177,1.0253,2.1145,0.195,1.4161,0.2421,0.7112,0.383,0.4769,23.5001,15.4501,7.5432,2.3378,0.8541,2.6512,1.9285,5.1201,0.0
HUN_C17_18,11.2532,0.0308,0.1586,0.3545,0.0369,105.215,3.2846,6.8577,369.9679,1.1238,27.3851,22.6032,32.5226,10.3332,2.8323,8.6674,12.475,23.8807,9.4967,16.6845,1.2619,13.9249,1.4547,1.8173,9.4353,242.3418,6.5635,0.5012,0.6569,4.9136,5.0882,8.1774,168.9329,1.589,10.1195,40.2625,55.4102,39.3371,35.3328,80.4484,20.2684,6.3467,17.0213,8.7214,0.0
HUN_C19,238.4692,1.2482,1.1192,12.0394,3.6837,57.5479,4.7818,6.7303,10.2711,279.7821,379.1671,14.9338,44.0454,54.4238,102.0563,16.7119,7.1679,18.3827,16.0107,37.2411,1.7952,14.3136,40.0522,38.957,194.6071,301.0933,718.2979,37.3098,321.5978,85.0436,8.2552,12.6081,2.9479,5.007,9.7056,13.9419,43.8485,59.6811,57.0507,57.2812,17.563,32.408,16.1395,16.5539,0.0
