V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T
IND_H53,30.0789,0.0,0.6679,0.7033,5.8663,5.2106,14.8384,1.3393,1.6855,1.9341,0.582,1.3253,15.8272,12.3047,2.1948,6.0362,3.4123,1.2142,4.8825,2.114,0.6072,3.5925,749.9889,225.3264,556.5116,390.904,1680.3824,5.2009,91.82,707.1498,570.519,5.31,37.6384,1295.514,216.1015,394.7252,94.3848,112.9093,452.172,0.0,100.9248,15.0248,31.3319,47.1044,0.0
IND_I,145.782,0.0,1.0275,12.129,29.635,0.0,0.0,0.0,0.309,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.1495,0.0,0.0,0.0,990.3455,187.3288,3681.9497,6021.9998,2609.2276,12.2905,191.5009,426.4746,78.3734,6.3265,44.3788,679.0873,530.8125,4844.207,355.5664,108.8799,543.6101,615.0745,186.6686,43.5151,28.4695,253.766,0.0
IND_J58T60,72.3718,0.1228,4.8155,7.9618,8.9598,4.7148,10.591,0.0771,14.8649,89.7316,2.786,73.308,0.2901,1.1351,17.0729,0.274,0.5997,0.9939,30.595,0.8878,0.2602,4.844,89.6239,5.7003,57.5239,84.8797,231.9997,4.5568,74.4209,111.4946,2.1798,6.7005,499.696,37.918,69.1548,167.4836,20.5409,33.8153,84.4163,7.5879,310.5766,79.8901,48.7522,108.1572,0.0
IND_J61,132.1393,0.0,2.9833,3.1144,14.7056,19.3451,56.3614,5.4698,5.6386,7.1201,1.8293,4.075,56.1232,47.4548,7.5819,21.8043,13.4808,4.3266,16.7605,6.7132,2.2009,14.4577,2289.6876,785.0062,2917.5636,1188.2568,7998.4363,24.6021,512.2256,2296.8594,57.8638,30.5387,244.1927,4494.4566,1705.4684,1393.7026,451.6189,463.9748,1744.9386,0.0,408.9564,74.6122,141.0851,185.2326,0.0
IND_J62_63,0.4289,0.0,0.186,0.0608,57.6675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0996,0.1356,581.8812,61.2606,0.5565,0.1637,24.919,41.3172,3.4216,6.9558,56.5707,61.9882,109.0314,107.1497,804.2325,126.5755,401.6446,34.1193,8.9064,110.5674,34.599,33.3659,0.0
IND_K,7675.7621,7.5683,148.5665,89.139,135.4703,3585.6538,3591.9826,244.6189,527.1055,1330.327,1021.1523,1144.5156,1009.9406,1107.3655,1452.4361,622.9749,571.7038,619.4235,1051.0075,680.8911,228.4475,769.1016,3250.5873,2684.19,7779.6872,17357.8247,4069.49,12.9924,803.4105,1835.4735,270.3758,304.2071,2121.9272,3221.6816,12020.0869,22419.8458,4261.7546,2291.2831,10410.3255,2030.1109,7343.0376,2613.7237,1450.7956,386.6332,0.0
IND_L,0.5997,0.0,58.3308,0.0,12.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10644.2777,643.7717,4345.0783,1.1627,0.0,3.0563,68.8132,231.4616,0.0,990.3795,0.0,0.0,133.0494,2.8317,10.5522,0.0,567.5159,0.0,128.1819,13.2058,0.0
IND_M,12.0804,0.0,49.6861,9.8649,21.7404,7.0219,10.3029,3.1199,3.167,13.8929,4.1541,0.675,34.084,3.2749,72.4814,11.8948,130.2892,34.0182,111.3354,26.0513,6.3828,2.1478,119.9744,33.8824,79.4118,136.4246,84.8462,1.3847,24.9881,44.3576,4.7397,8.083,69.6599,87.695,568.9565,154.692,60.8352,90.9045,118.2824,35.3657,116.4284,17.1528,48.3592,27.1543,0.0
IND_N,508.8668,0.0,2436.0607,437.598,572.2573,295.7438,562.2209,114.609,116.371,426.1176,116.1823,19.1319,1198.2027,113.6787,3133.5474,437.4107,4608.1702,1036.7955,3581.793,852.3333,278.5075,77.8156,4934.2387,1609.0862,2663.3354,4173.6109,6333.3555,88.4498,1990.6607,2565.5553,394.7443,381.3994,2636.3767,4109.9366,20782.258,5096.9821,2566.095,1326.0621,9014.6272,1557.8615,7870.829,1100.6113,2313.1809,966.9659,0.0
IND_O,0.0,0.0,0.0,0.0,8.7743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_P,153.377,0.0,7.1064,6.2374,3.6144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6465,1.2996,64.6813,1266.1048,100.6973,22.9572,429.187,450.1024,19.9339,1.2989,33.8997,232.7828,497.9615,1215.5862,128.0409,240.115,736.6747,0.0,1980.1958,80.9258,41.9537,85.2872,0.0
IND_Q,0.1094,0.0,1.8738,0.0,2.3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8347,0.0,0.0,48.6996,0.0,0.0,0.0,0.0,0.0,127.5366,1.5811,0.0,0.0
IND_R,9.0765,0.0463,1.1102,1.58,0.3093,0.0,0.0185,0.0,0.0052,0.0,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0002,15.5613,0.2621,19.5229,12.909,42.2168,0.7747,1.8404,9.7073,0.3817,2.523,26.82,3.4379,5.9715,7.8144,2.381,7.9584,38.4489,0.1207,150.4793,27.3431,68.8426,31.2858,0.0
IND_S,1.7792,0.0,122.461,24.0647,6.1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0902,0.0,0.0,0.0,20.6729,1.783,24.2311,3.5266,9.5727,0.7615,13.9809,4.5684,0.4989,2.3472,6.8063,3.8593,3.1378,12.2354,9.0596,3.7313,12.6347,0.0,10.3166,1.0956,6.4441,8.4033,0.0
IND_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
