V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_A01_02,47.3919,0.0,0.0007,0.0,0.0,250.5881,1.4553,2.1395,0.0,0.0001,0.0,0.0,0.4142,0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3134,1.5665,0.0,0.0,0.0,0.0
ISL_A03,0.0,58.139,0.0,0.0,0.0,797.0376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B05_06,0.0,0.0,0.0063,0.0,0.0001,0.0012,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0166,0.1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,3.7818,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B07_08,0.0,0.0,0.0271,5.1945,0.0052,1.5846,0.0,0.0,0.0,0.0056,0.093,0.1513,0.0,3.7494,12.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0517,0.0,1.2134,25.3176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B09,0.0005,0.0128,0.0028,0.0054,0.0001,0.0007,0.0,0.0,0.0,0.0002,0.0006,0.0001,0.0,0.0056,0.0887,0.0006,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0134,0.0009,0.0602,0.0002,0.0009,0.0003,0.0019,0.0007,0.0,0.0001,0.0,0.0,0.0,0.0,0.0017,0.0015,0.0002,0.0006,0.0001,0.0002,0.0003,0.0001,0.0
ISL_C10T12,57.6815,17.2393,0.0028,0.1775,0.0001,240.9275,0.5927,0.1518,0.3973,0.0006,0.3744,0.605,0.2389,1.23,8.2386,1.2389,0.0978,0.5881,1.3603,0.0284,0.0999,1.4969,3.5135,0.6812,17.8799,10.9223,1.7323,2.8212,8.5105,2.2433,0.3858,184.7779,1.8717,1.8988,3.85,5.3507,10.6261,8.3492,5.9238,8.7806,6.5446,16.6919,2.0929,2.6964,0.0
ISL_C13T15,0.3993,21.514,0.0011,0.0054,0.0,0.5791,6.929,0.0008,0.0021,0.0,0.002,0.0033,0.0207,0.0714,0.8873,0.0569,0.0005,0.0032,0.0178,0.014,0.0412,2.4135,0.0173,0.0249,0.7221,0.045,0.0081,0.0144,0.0422,0.0109,0.0019,3.9011,0.0071,0.0092,0.0003,0.1608,0.0002,0.0262,0.2592,0.2095,0.0,1.1793,0.4457,0.0814,0.0
ISL_C16,0.0,0.0,0.0004,0.0,0.0,0.0058,0.0,1.0865,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0,0.0358,0.0,0.0,0.0115,0.0122,5.025,0.0,0.0366,19.1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865,0.0,0.0,0.0367,0.0
ISL_C17_18,0.0933,0.0405,0.0006,0.0005,0.0,0.5716,0.0118,0.0063,6.2058,0.0001,0.0283,0.0475,0.0033,0.0054,0.0086,0.0904,0.0047,0.0212,0.0188,0.001,0.0019,0.1152,0.2068,0.076,0.0693,2.266,0.0802,0.1196,0.2157,0.0902,0.1495,0.388,7.8934,0.1028,1.3732,2.5007,5.2482,1.0178,1.5742,7.0622,41.1378,0.2146,3.7321,0.4775,0.0
ISL_C19,0.0218,0.2352,0.0004,0.0096,0.0,0.0005,0.0,0.0,0.0,0.0005,0.0017,0.0,0.0,0.0057,0.065,0.0041,0.0001,0.0012,0.0057,0.0002,0.0003,0.0074,0.0285,0.0391,0.0393,0.0518,0.1263,0.2493,0.4737,0.0456,0.0067,0.0119,0.0044,0.0134,0.0027,0.0042,0.004,0.0076,0.059,0.0189,0.0017,0.01,0.0006,0.0065,0.0
