V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_C28,0.1347,0.0237,0.0483,0.192,0.0018,0.5597,0.0212,0.0695,0.0937,0.0886,0.0436,0.0622,0.063,0.2532,0.0449,0.1832,0.0117,0.0166,0.4801,0.0086,0.0397,1.1324,0.1334,0.1988,1.3169,1.3497,0.499,0.049,0.0846,1.1939,0.0328,0.6161,0.1415,0.2877,0.1133,0.3018,0.1182,0.3393,0.5757,0.1859,0.2342,0.2078,0.2398,0.0373,0.0
CYP_C29,0.0032,0.0007,0.0012,0.0063,0.0001,0.0048,0.0019,0.0018,0.0012,0.0006,0.0018,0.0015,0.0022,0.0049,0.0009,0.0064,0.0007,0.0065,0.0016,0.0171,0.0002,0.0127,0.0023,0.0155,0.0527,1.1777,0.004,0.0011,0.0452,0.018,0.0029,0.0107,0.0039,0.0018,0.0048,0.0859,0.0221,0.0062,0.0077,0.0096,0.004,0.0274,0.0072,0.0025,0.0
CYP_C30,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0071,0.0,0.005,0.0,0.0085,0.0,0.0896,0.0577,0.0155,0.0,0.0073,0.0,0.0,0.0,0.5622,0.0,0.0002,0.0001,0.0138,0.0,0.0,0.0,0.0009,0.0
CYP_C31T33,1.9093,0.024,1.0704,4.1961,0.0405,7.5862,0.2072,2.2159,1.7054,1.7837,0.7104,1.8962,1.3927,3.8984,0.6664,1.1084,0.0319,0.1446,0.2716,0.1013,0.0132,3.4588,5.332,4.968,7.2699,13.1244,0.5423,0.0437,0.0703,7.0801,0.8102,15.2459,2.0863,10.3739,2.3109,1.6059,2.0229,2.49,2.5735,1.583,2.2144,7.9304,2.5577,0.4805,0.0
CYP_D,18.6616,0.5895,0.8132,4.9482,0.0188,34.2556,0.4116,2.0122,3.1519,3.8985,2.0834,4.2693,5.8461,27.0871,2.7656,2.4853,0.0572,0.2132,0.5036,0.1614,0.0229,1.6051,79.2003,24.9572,5.8658,92.314,0.4238,0.0221,0.0187,22.0408,1.0457,92.6376,9.2717,13.932,1.9213,17.3169,3.2072,15.1608,4.6947,28.9565,4.1952,11.3279,6.5639,7.9,0.0
CYP_E,7.1758,0.0041,0.0786,0.2569,0.0026,5.5987,0.1505,0.4174,0.3662,0.0248,0.2493,0.253,0.3704,0.9215,0.3956,1.2705,0.0048,0.0225,0.1468,0.0661,0.0008,0.7018,2.3337,73.8991,8.1981,28.3747,0.2988,0.0483,0.0578,17.5958,0.3886,42.1131,1.5599,2.2932,2.7267,4.3713,16.6527,4.3172,2.1879,44.0479,3.0326,9.4544,1.4027,3.0223,0.0
CYP_F,4.6715,5.371,1.446,6.8492,0.0729,8.04,0.386,4.0963,0.7181,3.8438,0.4686,3.394,1.5857,1.1615,0.4731,1.4336,0.014,0.0716,1.0256,0.0655,0.0552,1.3768,26.331,15.9369,1400.2974,85.8106,0.8315,0.0736,0.6139,117.1918,1.0895,81.2806,6.4111,8.6321,1.8354,65.667,51.6128,21.4693,9.431,47.8768,26.3095,31.056,10.3683,7.9149,0.0
CYP_G,49.7974,0.9461,1.3112,6.8403,0.0631,197.11,8.3038,10.3539,10.278,4.6279,5.3652,22.5388,8.2585,31.0973,3.9008,24.4487,3.2839,3.6763,3.8161,1.6262,0.2927,17.9321,58.2126,6.4485,100.568,120.6491,32.0823,16.179,9.866,78.6802,4.4073,168.7208,81.5722,6.8387,27.9059,59.7885,18.259,40.4523,39.4541,20.2388,8.1321,46.7832,12.5963,8.9185,0.0
CYP_H49,4.5322,0.1316,0.713,3.3482,0.0178,18.5009,0.4788,1.0989,0.9976,0.9144,0.5514,1.9227,0.9305,4.0636,0.5322,2.9385,0.3279,0.3225,0.4518,0.1761,0.0256,1.9071,5.1629,1.004,16.4792,39.9432,5.869,1.0046,0.727,3.3511,2.4216,15.6076,5.3545,0.4461,2.8216,7.2953,1.3324,4.1531,1.937,1.7701,1.38,3.7245,3.147,0.8046,0.0
CYP_H50,0.3377,0.0066,0.0035,0.0201,0.0002,1.1571,0.0408,0.0893,0.0943,0.0639,0.0402,0.1988,0.0656,0.2884,0.0537,0.2906,0.0361,0.0374,0.0384,0.0145,0.0032,0.1557,0.5643,0.0279,0.9594,0.444,75.8976,583.8565,0.5825,0.1284,3.4799,0.9029,0.8493,52.9187,0.109,0.4858,0.0967,0.132,1.9843,1.5281,0.0431,0.4667,2.9531,0.0397,0.0
