V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_A01_02,280.3127,3.2222,2.3936,0.3578,0.6528,2315.0714,16.0729,328.8965,174.9772,0.7707,31.8967,0.2187,1.0208,0.6223,0.6165,1.0991,0.6019,0.6159,0.8193,0.211,0.8074,1.4844,5.077,1.1736,85.4611,37.1531,1.5853,1.134,1.0622,3.8157,0.4292,69.628,5.1526,1.815,5.4025,3.585,2.4246,15.1813,23.6524,60.2238,7.8071,34.8642,4.4489,3.0342,0.0
NOR_A03,4.0176,1458.0447,3.0127,0.4087,0.4224,3930.7496,0.5085,1.2939,0.3375,0.0304,0.8692,0.9249,0.2782,0.8327,0.4063,1.0743,0.543,0.6543,0.8097,0.1898,0.4822,1.3154,3.5969,0.6975,1.8629,8.8807,0.3075,10.8007,0.3629,2.9945,0.1416,103.0199,4.0554,0.6673,3.9912,2.5407,0.8796,4.9313,3.455,7.5406,5.67,45.2062,1.4844,0.2215,0.0
NOR_B05_06,46.1949,73.9338,621.5662,68.5604,242.7882,79.6415,1.4171,8.4954,6.7818,4262.3491,440.494,97.7341,8.7067,161.7481,309.006,19.255,9.2729,6.1996,207.4674,7.2482,501.2113,85.5409,499.0863,60.6693,306.2516,242.8609,297.2622,920.8283,360.4154,181.504,14.1398,30.0617,26.1065,10.8506,31.432,9.4067,42.8782,84.3614,136.7411,57.0419,21.0764,73.7336,34.0444,12.2062,0.0
NOR_B07_08,6.0538,4.6659,26.3948,23.5519,84.0839,8.9171,0.3745,8.6748,2.5623,0.5623,29.7082,25.7827,2.2212,243.4798,16.9509,3.7747,0.9615,0.8698,9.2105,0.4352,33.6477,4.347,0.4818,2.7776,186.2907,6.5486,5.7886,5.8258,0.9024,5.4769,0.3364,0.9498,0.6993,0.1837,1.062,0.4799,3.0623,3.373,4.8418,11.931,0.5494,5.5791,5.7522,0.4375,0.0
NOR_B09,1.6709,43.6995,6258.826,129.5492,2669.3106,2.8451,0.0238,0.249,3.1671,705.3274,17.874,0.3527,0.4471,47.4769,114.1148,5.8404,0.0312,0.1526,1.1535,0.0122,0.0679,1.3112,52.5819,4.4177,368.1714,1.9931,11.4831,7.2811,3.9825,6.6538,0.0857,0.3379,0.089,0.0,0.0101,0.1274,10.2699,15.1802,5.0163,5.9529,0.5122,1.3696,0.6018,0.3828,0.0
NOR_C10T12,781.8638,2089.2442,21.5407,3.5379,8.0064,6797.5099,14.2328,10.2173,1.8909,1.0572,6.238,5.6815,2.1681,5.0954,2.8506,9.6449,4.7246,5.2703,6.7137,1.462,5.9544,11.3868,28.0802,4.4002,19.5002,50.5326,2.6031,68.8294,0.9876,21.0257,0.8074,1390.5175,28.639,3.6367,28.8544,17.1062,5.942,33.075,26.7331,88.7434,44.155,347.2372,13.4875,0.7741,0.0
NOR_C13T15,2.1319,14.4135,10.4716,1.2635,4.5902,10.8469,42.5271,2.4353,1.1712,1.5364,3.7524,0.4537,2.8943,2.8615,6.1125,8.2698,1.9867,2.9707,7.8569,1.435,6.6762,23.6726,4.217,14.7993,71.8896,21.5566,2.0672,2.2824,2.2546,5.1659,0.2591,6.9558,10.3231,1.0671,4.2863,0.8643,5.7448,17.2667,11.7639,9.1358,5.3478,52.5385,34.7111,11.0999,0.0
NOR_C16,2.0017,5.7914,3.2539,0.4405,4.9582,7.4104,0.4499,502.7558,14.2969,0.5527,12.4216,0.1565,0.8999,4.5732,1.5142,8.4262,1.0146,1.5871,3.9103,9.6021,4.2204,30.7481,10.8808,20.3382,1767.3163,60.4113,2.2533,3.8317,1.8449,4.0371,0.4369,4.6012,3.5978,1.5733,3.137,1.8472,391.5439,12.3328,8.2783,3.8141,4.3132,10.6023,26.74,7.5909,0.0
NOR_C17_18,8.6888,15.8793,5.5212,2.0458,9.3128,51.0871,1.6596,9.1089,250.2325,5.6082,14.5992,3.0715,6.8271,7.6095,5.6936,3.3899,2.9639,6.3656,3.5584,1.475,6.6383,6.3898,4.51,19.8475,51.0081,320.7855,6.954,6.7967,4.0236,9.0102,74.8821,22.5173,146.2653,3.1078,29.7085,25.7587,25.5985,236.6884,96.2162,62.4786,28.7338,32.35,43.1314,28.8885,0.0
NOR_C19,65.8103,92.845,105.3189,52.7028,193.0341,71.5438,3.8768,9.9563,3.5622,72.0467,67.0018,21.3456,2.0673,111.2617,118.7334,13.4628,3.8332,5.9982,18.4571,2.0867,14.4141,22.717,45.5039,53.2731,287.9994,202.1726,267.7076,1154.7962,432.3024,105.4056,10.7529,32.1939,18.2682,13.8127,21.853,6.695,30.4702,62.4875,52.2602,74.4449,27.4912,94.2903,29.7067,14.5998,0.0
